,mse,rmse,mae,mape
STE,0.06264385761023479,0.2502875498506364,0.23168652139878687,0.2036907087705455
REG,0.26586250037236175,0.5156185609269335,0.45080720059146195,0.40850882025677476
WFC,0.012111678659086939,0.11005307201112988,0.08874220831229242,0.0773308245234804
JBHT,0.016753606090131413,0.12943572184729923,0.11966721613347316,0.12139368680548834
SJM,0.00909620817565195,0.0953740435110725,0.08014394163047706,0.08664422220686475
PFE,0.05405429354489601,0.23249579253159833,0.1975473028511213,0.2052986545210278
EQR,0.0810171861494569,0.2846351808007171,0.2498400854037099,0.20635514814251435
TSN,0.021892405651715744,0.14796082471963903,0.12739884965820716,0.10681353863440592
TDY,0.012577441833367922,0.11214919452839561,0.09417009021424769,0.08832833714065487
GOOG,0.007482962629516209,0.08650411914768111,0.06776025128775164,0.0677332392154636
CMCSA,0.09698009974071199,0.3114162804683018,0.27310044977663733,0.2612618810746193
MRK,0.0028474113556974222,0.05336114087702232,0.04434534923738753,0.0381771673164167
TXN,0.013151269981993742,0.11467898666274368,0.09583169723151215,0.08757524605067173
XRX,0.8878982025090411,0.9422835043175918,0.8560556639979782,0.8100785970218632
HRL,0.055142692362382985,0.2348248120671727,0.20026086500248505,0.1801523652403077
BSX,0.3907804956857449,0.6251243841714582,0.5293810493198042,0.5146839900769101
EMN,0.5423079485714983,0.736415608587636,0.6251168991128718,0.6217113565272919
LVS,0.25966909878428923,0.5095773727161452,0.4218585306643624,0.5021311353967174
ADI,0.23146358365238878,0.481106623995543,0.4174415360929598,0.40935780719827836
NTAP,0.009044004179628114,0.09509996939867076,0.08050593044311727,0.09038349625486826
NWSA,0.005385289075862975,0.07338452885903796,0.05322658614549136,0.060086795688120725
CAH,0.11889870679052765,0.34481691778468126,0.30875053138289593,0.2783678250833902
MGM,1.4211302626828854,1.1921116821350612,0.9969745490533714,1.0086572218679746
ADM,0.19300155243336892,0.43931941959509246,0.39433117687326136,0.35905141531052437
MSFT,0.034286803243655614,0.1851669604536825,0.1581297621897402,0.1352169574633383
V,0.29727187097603663,0.5452264400925881,0.4798105668510341,0.4764212876640302
FMC,0.0396876435717816,0.19921757847083074,0.15149037217805866,0.1875148772733395
CDW,0.017362380074077834,0.1317663844615835,0.09524292211178534,0.07348941414317714
GS,0.13190151821436022,0.3631824861063102,0.3322459254628439,0.3327325208389179
TPR,0.2643005453372972,0.5141016877401757,0.4712867308085908,0.7033540860294157
MA,0.39056369973651195,0.6249509578651048,0.5596819687792806,0.5997808192499184
SNA,0.08647718897577485,0.2940700409354459,0.2650421443462048,0.23393154057764332
IPG,0.10160920266971046,0.31876198435464426,0.2855964580069819,0.2683263498829585
COP,0.06813483420571664,0.26102650096439756,0.2261566984954281,0.21340207828770927
EBAY,0.7377611389971338,0.8589302294116408,0.7439453011716172,0.7778029424352045
SWKS,0.202999094842496,0.4505542085504207,0.36813873444190043,0.19357002544229826
COST,0.05115205011836297,0.22616818989053913,0.1752075323738231,0.17005845564756336
EXPD,0.004312498856800894,0.06566961897864868,0.05569715365505046,0.05927169324134112
GL,0.05239514833884795,0.22889986530980735,0.2026980330150692,0.19876264294878873
TRV,0.014394942410270914,0.1199789248587889,0.10866776033549079,0.10751139137302937
DPZ,0.015145078971994975,0.12306534431754122,0.07811458739600427,0.0632790071661438
DLTR,0.014582343348469402,0.12075737388859283,0.11160994553862486,0.12230796050656108
WBA,0.06729176155560365,0.25940655650080174,0.23248252067861616,0.20306862956160793
F,1.4102353030483077,1.187533285027543,1.0470265048231955,1.150267957872102
J,0.9194061022143696,0.9588566640610939,0.8157830792045014,1.037316563882877
WMB,0.09941830553049162,0.3153066848807548,0.23363940005810896,0.18116347887041387
DUK,0.015607386140325826,0.12492952469422841,0.09924716732047216,0.09049328881876205
OMC,0.2090170957758485,0.45718387523604603,0.40401504849252157,0.41254880716738146
GM,0.13817219290751934,0.37171520403061176,0.335466619229316,0.40688799680173676
EFX,0.0011039536642186145,0.03322579817278457,0.027285450104437767,0.025506150483758403
IP,0.0945253244958576,0.3074497105151631,0.27955343023076173,0.27290385562927544
FITB,0.13769493520806278,0.3710726818401791,0.31230213026097164,0.3191042628651213
STZ,0.12237736339895909,0.34982476098606724,0.31684491230961276,0.2570833424131706
SWK,0.0307951191664538,0.17548538163178665,0.1608891995991908,0.16529820013938482
HSY,0.002874721443351322,0.05361642885675362,0.040784375845513775,0.040232925541534285
AME,0.5171396907785596,0.7191242526702597,0.6220725702810946,0.6333370303226566
MSCI,0.09630258424025374,0.3103265767546404,0.25775445224550275,0.24994202413065392
ROK,0.3211702622281257,0.5667188564254111,0.4790811635165664,0.4885741288487706
ETR,0.00989891857190029,0.09949330918157406,0.08290401330707378,0.0683108004851446
IFF,0.033461694607296505,0.1829253798883482,0.1633377906536039,0.1448650684521486
USB,0.053482573539175245,0.23126299647625265,0.2014532653111673,0.19035503229134754
DFS,0.04407960116158986,0.20995142571935504,0.18496627021469084,0.16495112195843645
ES,0.005303317352116592,0.07282387899663538,0.05651330194120575,0.051847177313534686
CHRW,0.031757509255047146,0.17820636704407378,0.1461796196583499,0.13155573014667934
PKG,0.015978653364234322,0.12640669825699238,0.10399063759182921,0.09528256215158878
ORLY,0.02469622668427144,0.15715033147999224,0.1281661143450109,0.11015523334816571
MCK,0.13723687633492657,0.3704549585778635,0.3314611575117366,0.2841664409408138
CPRT,0.00355601047626314,0.05963229390408473,0.046925207687480174,0.049475651850274936
PNW,0.05903168247330723,0.2429643646161042,0.20247079528026882,0.1930888173278223
VRSK,0.0020779449434455495,0.04558448138835792,0.03822328157719885,0.042431623786063986
MSI,0.048549281241071295,0.22033901434169867,0.19282875335099198,0.20191039181479825
CVX,0.03837954404420008,0.19590697803855808,0.16858530691313667,0.17599345841645786
FTI,0.34683776587263077,0.5889293386074689,0.50724015828598,0.5614081503685465
KMI,0.27942404058901676,0.5286057515663415,0.48203188852568785,0.4583505900890928
GIS,0.18634970828305764,0.43168241599937524,0.37695176821090687,0.36261702962674736
NFLX,0.024210884659233278,0.15559847254787973,0.13138052713811013,0.13064193845191577
IT,0.10971848075664137,0.3312378009174698,0.3024414387672209,0.288852007286195
RF,0.0789997077149395,0.2810688664988342,0.23030087732715526,0.22609126351089176
TSCO,0.03362498464587341,0.18337116634267614,0.16326864738419414,0.19125392398479385
JNJ,0.0973188822155236,0.31195974454330416,0.26819490613022373,0.24263456442804834
TFX,0.13150000165728515,0.36262928957447044,0.3173273912546247,0.2844322130683362
WAB,0.37843667844303297,0.615172072222913,0.5326550175066441,0.49035823740651047
HD,0.013652375359703164,0.11684337961435028,0.10692567657098463,0.10466517879370978
SYY,0.03210894085810357,0.17918967843629713,0.15726303286842952,0.16358345226856544
AVB,0.02540577765625447,0.15939189959422176,0.1391922721891215,0.12214636893981753
K,0.03998934711609999,0.19997336601682733,0.1749091279250492,0.16798259558681036
NEE,0.005040291358889642,0.07099500939424998,0.06174678762506739,0.054665949178258816
TGT,0.018734487250511286,0.13687398310311308,0.09109970066488014,0.09019290896624466
FANG,0.7406290302385813,0.8605980654397157,0.6652987327037997,0.5600738241690078
POOL,0.029520181887729365,0.17181438207475347,0.14634376648772632,0.14710992249480212
LKQ,0.14152284219303415,0.3761952181953329,0.30280218725957897,0.36980123207422555
LNC,0.0371626675241503,0.1927762109912691,0.18021268143128003,0.17953556086099434
NKE,0.012900358486715453,0.1135797450548092,0.08032302485255952,0.07394451098621405
HBI,0.16266635697273424,0.4033191750620521,0.3348966531814281,0.23233034578185663
CAT,0.33779487251408913,0.5812012323748885,0.48224007872451025,0.42914997057952176
TJX,0.018523467583447376,0.1361009462988681,0.122395849335708,0.1342880664525842
TER,0.10067423064242502,0.317292027385538,0.2594397714213688,0.2405673232795287
ABT,0.010354908022782801,0.10175906850390683,0.0916129465308435,0.0843274238356101
HAL,0.06400644697803147,0.2529949544517271,0.1614098565568818,0.18370499492579578
PWR,0.7343647891504157,0.8569508674074703,0.7129502847792382,0.6821089593161894
STT,0.05809113412755161,0.24102102424384395,0.2276825478216602,0.2356420784936454
HAS,0.002297381165754904,0.04793100422226624,0.04029724148260605,0.03986875127702747
OXY,0.046893846019650076,0.21654986959047118,0.17646611306482565,0.18755827904270897
NWL,0.06232783435976407,0.2496554312643009,0.2280358665688551,0.22438395836030203
RHI,0.29390729430250406,0.5421321741997094,0.4925573414292282,0.41813152671448917
VTR,0.0015830061000135058,0.03978700918658634,0.031569602249977444,0.031894742122902456
NOC,0.01068346082089179,0.10336082827111918,0.08758524043485495,0.07864824005282404
CE,0.052186789207187376,0.22844428031182434,0.19780119879553462,0.18756699036628047
EQIX,0.01665277949504609,0.12904564888072007,0.11267903430285857,0.09706383329940235
TFC,0.13620708777353768,0.36906244427405194,0.30977019128449856,0.3002513153068015
MTD,0.10863886025569577,0.3296040962362206,0.2710439572958698,0.2581165951351612
DE,0.25723652621561316,0.5071849033790469,0.44367883363201666,0.4591139955346273
ROP,0.2777640115802196,0.5270332167712198,0.4671684403439488,0.4392678425351288
AZO,0.0698626299451751,0.2643153986153192,0.2174591450639285,0.19358334612939024
ADBE,0.09615936319570992,0.31009573230812115,0.2589868911962516,0.22544653031117137
TYL,0.04295282847432478,0.20725064167409657,0.1543330737706558,0.16373635350524873
DHI,0.46482572203266087,0.6817812860680915,0.5768446763419182,0.560984221204455
LYB,0.042016030878446096,0.2049781229264384,0.12496815073382177,0.11394486558957147
AFL,0.00498270390651245,0.07058827031817999,0.05885757561581881,0.06446175005945601
EOG,0.062280030716269266,0.24955967365796355,0.16213450810178556,0.1577300154161554
ROL,0.10344359719338192,0.3216264870830478,0.2899946578360769,0.28834555043699966
DOV,0.3684952986892602,0.6070381361078233,0.5147006131470744,0.506063286026701
GOOGL,0.007136062350263164,0.08447521737328152,0.06695925922505373,0.06611816794183342
GRMN,0.45262966289742124,0.6727775731231097,0.60035354190918,0.5193197355406655
SLB,0.02697917636079755,0.16425339071324388,0.11455716182135825,0.1134735335587667
FRT,0.05781015319001768,0.24043742052770753,0.2126914816406084,0.1824013753255816
IEX,0.07213754038152703,0.2685843263884306,0.23117983977008924,0.22508246711789787
RMD,0.0499146709079604,0.22341591462552618,0.198476806994323,0.22726117254859352
ULTA,1.40238640719346,1.1842239683410651,0.9899023373543904,1.2147594548089706
CCI,0.08961176789895663,0.29935224719209413,0.25616009723877253,0.24794019108021836
CSCO,0.5705771889400466,0.7553655995212164,0.65963720747942,0.6148856491367231
PNC,0.0021823766709616887,0.04671591453628719,0.037342971434017304,0.03369630194733853
KR,0.42615633276523207,0.6528065048429221,0.5520420063263232,0.44984117792875156
DXC,0.28959250426163075,0.538137997414818,0.4571467519346484,0.4172686396092911
PNR,1.1298770638533921,1.0629567554013626,0.9121159366282748,1.021066967058012
BIIB,1.2940075339211923,1.1375445195337157,1.008686194212903,0.92174738212808
