,mse,rmse,mae,mape
STE,0.017240888811123466,0.13130456508104912,0.0979652416829886,0.0806782027048258
REG,0.2484767993556361,0.4984744721203244,0.43277120566913846,0.39229097442852673
WFC,0.002320651757474704,0.04817314352909413,0.03983493030306624,0.03498610663564426
JBHT,0.034298137547608167,0.18519756355742958,0.15196592928978894,0.1508619970034829
SJM,0.00922418165724981,0.09604260334481678,0.08363071089066856,0.09115142279605679
PFE,0.0031184938969046477,0.05584347676232782,0.045043572928013524,0.047025037732480394
EQR,0.5203442934217564,0.7213489401265911,0.6434521319728893,0.5347417760571281
TSN,0.11637521825187713,0.3411381219563084,0.26480078267462787,0.2285318369241223
TDY,0.00266591121225859,0.05163246277545349,0.03887992980408962,0.03648628358903578
GOOG,0.08574825291023068,0.2928280261693383,0.24849966611280208,0.25240430538838576
CMCSA,0.012635244171322372,0.11240660199170853,0.0997634659568472,0.09626627415300552
MRK,0.2026623188702144,0.4501803181728566,0.4183166069087076,0.3544721873672153
TXN,0.031502418152171884,0.17748920573424143,0.15026444860076094,0.13265578000697137
XRX,0.013860203979397585,0.11772936753162987,0.10341958348707249,0.10060474629122784
HRL,0.04966642081830776,0.22285964376330622,0.19227462515525695,0.17364765300549198
BSX,0.009505395296850164,0.09749561680839895,0.08956588373026314,0.08512327011816011
EMN,0.00712674777608625,0.08442006737788267,0.06918501536697289,0.06655746301328652
LVS,0.1688192672224518,0.41087621885727554,0.3355434790932193,0.40046130831789994
ADI,0.007095293749702689,0.08423356664479244,0.06580378103216573,0.06627270210369762
NTAP,0.14910104615918054,0.38613604617955644,0.31957549184379985,0.3310836708965683
NWSA,0.019649230283029014,0.1401757121723625,0.11518013309860296,0.1277476309463038
CAH,0.1357395955824966,0.36842854881577325,0.3256743898238747,0.29334797601792234
MGM,0.03142957415901833,0.17728388014429944,0.13389446768007407,0.13530769685290156
ADM,0.005785524794797219,0.07606263731160798,0.06382752609272972,0.06060113535098256
