,mse,rmse,mae,mape
STE,0.27369019508747605,0.5231540835045408,0.4733622817766726,0.40819433299320884
REG,0.12089097608383449,0.34769379644140114,0.3042194437035845,0.2756437795993954
WFC,0.14170363056919527,0.37643542682536574,0.324363041259458,0.28089296810388176
JBHT,0.03971108189595025,0.19927639573203407,0.18248568763949358,0.18397179467966937
SJM,0.0015542920824770667,0.039424511188815854,0.03458116276185964,0.03810507649257747
PFE,0.006871549741825768,0.08289481130822222,0.06953723959527042,0.07148909387359954
EQR,0.11843067677140817,0.3441375840727196,0.30717624753746015,0.254687650145264
TSN,0.07032816145355528,0.26519457282070324,0.24733302934750728,0.20996344453319626
TDY,0.14686639884184657,0.38323152120075743,0.33245435072152,0.31686403984711914
GOOG,0.21037814848966682,0.4586699777505247,0.3865175647091849,0.3915252101913817
CMCSA,0.4454534514593806,0.6674229929058337,0.5837990253264332,0.5572750902238429
MRK,0.03356869019441335,0.18321760339665333,0.1409623992596216,0.11841290455273608
TXN,0.008671105894840131,0.09311877305269937,0.0747225452808553,0.0684477031678315
XRX,0.23526491013827316,0.48504114272737026,0.44223435645813913,0.41943513890283113
HRL,0.030246242531688398,0.17391446901189217,0.14963332079090247,0.1346446641729909
BSX,0.2593033739169531,0.5092183951085753,0.42414396509289864,0.41236917390097494
EMN,0.4347206874476172,0.6593335176127612,0.5522089294554181,0.5493622287273453
LVS,0.24743834227215722,0.49743174634532245,0.4103283470175432,0.4887667360956418
ADI,0.22041265908616664,0.46948126595868195,0.4053289512877699,0.3973147334584801
NTAP,0.006945066601645471,0.08333706619293405,0.07260457536643139,0.07697196816871142
NWSA,0.052445117292034424,0.22900898954415397,0.19357159710907992,0.21384554199082542
CAH,0.07537639785711307,0.2745476240237986,0.2434813260651423,0.21978815821687928
MGM,1.9458499070089528,1.3949372412438321,1.177446285999662,1.1892519254267337
ADM,0.34550913919478393,0.5878002545038441,0.530617187533369,0.4833103506903489
MSFT,0.2202595317324544,0.469318156193061,0.4008948537239036,0.3413188138657259
V,0.8221672375492729,0.9067343809238033,0.8014085828990182,0.7930058666948563
FMC,0.09823692185214525,0.31342769796580716,0.2464963137010617,0.3028943924794765
CDW,0.01897091700748123,0.1377349520182921,0.11952369063360858,0.08995171036172456
GS,0.3081167916028877,0.5550826889778564,0.5052313961243093,0.5040437978549581
TPR,0.08523823420919795,0.2919558771615977,0.2670674052694859,0.3998573204212221
MA,0.5976396171233235,0.7730715472214221,0.6933288041890008,0.7424653117759599
SNA,0.13666088156876716,0.36967672576017974,0.33081274428495594,0.2910932575925601
IPG,0.10659685187442533,0.3264917332405605,0.287216897494672,0.26748756117778516
COP,0.009636864893188688,0.09816753482281547,0.08212654336209436,0.0817930774322316
EBAY,0.29120711769361035,0.5396360974708886,0.4716029312878079,0.4935625056841234
SWKS,0.44531368055732873,0.6673182753059658,0.5617823584225059,0.29871262811636795
COST,0.007576639266512525,0.08704389275826607,0.06035875260532411,0.05793144931076578
EXPD,0.07852075241977015,0.2802155463563186,0.25266524602314716,0.2751481094763005
GL,0.10473208366745607,0.32362336699851585,0.28255892566151825,0.275959045130399
TRV,0.13436882545423157,0.3665635353581035,0.3378233897254819,0.32068048079671646
DPZ,0.009072765836289054,0.09525106737611423,0.06405081959903257,0.052795267783276104
DLTR,0.016230645376523314,0.12739955014254686,0.11545238167280597,0.12679881856869793
WBA,0.009692607692824642,0.09845104211142024,0.08915398434280228,0.08010318581372095
F,0.9931371769462902,0.9965626808918194,0.8782799437455368,0.9641822272151184
J,1.2054471172124592,1.0979285574264197,0.9414694275300369,1.19471664126803
WMB,0.46391188106922676,0.6811107700434833,0.5664834111202166,0.42807168994778444
DUK,0.00972592739070956,0.09862011656203597,0.07507505773075311,0.06808544860452338
OMC,0.43810587657548994,0.6618956689505454,0.5804636025325354,0.5919245474312296
GM,0.18118692144787613,0.4256605706990913,0.38867299923542575,0.4710700872553146
EFX,0.06679276492288647,0.2584429626104887,0.22908653117348046,0.21075189883536427
IP,0.2516252022442454,0.5016225695124228,0.45250276739276096,0.43990191620795766
FITB,0.303612223619231,0.5510101846783152,0.46664517543136536,0.47605198088296147
STZ,0.1112185062876268,0.3334943871905895,0.3079245012778541,0.25054691592080075
SWK,0.009803093806484368,0.09901057421550674,0.08006379009328653,0.07934380145832579
