,mse,rmse,mae,mape
STE,0.004866381446985648,0.06975945417637416,0.05929744337137734,0.05432206247936968
REG,0.07460938386429347,0.27314718351887407,0.2337236616346664,0.2109844934913084
WFC,0.006762693538755145,0.0822355977588486,0.06358164610405787,0.05523423269649814
JBHT,0.011775697756563253,0.1085158871159576,0.09933711014503616,0.10091666026024326
SJM,0.003349783299760411,0.05787731247872875,0.05000210798081847,0.05521312315545089
PFE,0.02975736876818343,0.1725032427758488,0.14942171650212846,0.15746012939788306
EQR,0.10405411659112183,0.3225742032325614,0.28863928705978203,0.23950021607565
TSN,0.051028127675021046,0.22589406294770353,0.18635235339073333,0.16079185354082862
TDY,0.003379348939709333,0.05813216785661217,0.04618244226948676,0.0448546729746806
GOOG,0.24477354403025986,0.4947459388719223,0.42185736910962907,0.4270507200602433
CMCSA,0.6405531789599188,0.8003456621734879,0.7145427811086721,0.6829340121912033
MRK,0.01322139152271376,0.11498430989797591,0.10961613203984864,0.09382999328547534
TXN,0.006072071030934821,0.07792349472999027,0.05985454498514001,0.05519248893478286
XRX,0.05118552464870545,0.2262421814090057,0.20612467657738742,0.19729103883737958
HRL,0.0016958951746752656,0.041181247852332806,0.03214455587226037,0.029886088544027058
BSX,0.004261735880342422,0.06528197209293253,0.05431305498857572,0.05188889826182144
EMN,0.005185992202831271,0.07201383341297192,0.05933202247141297,0.058636796697577306
LVS,0.22090446384845852,0.4700047487509658,0.3847365788838828,0.4591102045411416
ADI,0.03839438760116415,0.19594485857292646,0.1620171287426451,0.16078362931406678
NTAP,0.01756471128493357,0.1325319255309209,0.10385328215176891,0.10639444197929536
NWSA,0.07544718792126423,0.27467651505227786,0.23614634147098834,0.2601521455144554
CAH,0.1883942059685305,0.4340440138609568,0.3857033744115037,0.34726568125059604
MGM,0.05442729192833609,0.23329657504630472,0.17886972987348598,0.18304006481182414
ADM,0.11094552585116127,0.33308486283702726,0.30777775476387415,0.28330578464662415
