,mse,rmse,mae,mape
STE,0.06880621189114285,0.2623093820112861,0.20911150820624325,0.1740076187107798
REG,0.6795038458703311,0.8243202325979455,0.7218748606268837,0.6565374446707162
WFC,0.0010645976322154432,0.0326281723701381,0.02490155810185924,0.02202803639603608
JBHT,0.1687996683680086,0.41085236809346565,0.35301243035393437,0.35227934048717835
SJM,0.08655315257045224,0.29419917160055403,0.24324584637763416,0.2633027827714921
PFE,0.015278118465469304,0.12360468626014673,0.10197800718082455,0.10546750044644214
EQR,0.9727328740857146,0.9862722109467115,0.8790661258852828,0.7309607077918387
TSN,0.026610187647686155,0.16312629355099734,0.1442466001582201,0.12434806933315647
TDY,0.10053856853046991,0.3170781741628867,0.2796941192662998,0.26478069514682495
GOOG,0.06667742676053363,0.25821972573863067,0.22012187093539046,0.22357123174303162
CMCSA,0.03415951585630431,0.18482293108893255,0.15618187951648108,0.1513101816573103
MRK,0.1830583981094345,0.42785324365889116,0.39822204589952487,0.33749592230784087
TXN,0.006873380356690242,0.08290585236694839,0.06679718548976935,0.058577795516766056
XRX,0.020844639158160202,0.14437672651144368,0.12999858647129636,0.12559355341763992
HRL,0.10265356912578107,0.3203959567875055,0.2802051878724848,0.2535124176807446
BSX,0.004081076404449995,0.06388330301768996,0.05192691057201974,0.04971772916878536
EMN,0.010652696296018213,0.10321189997291114,0.078927347787397,0.07990818495921496
LVS,0.016285008990993034,0.12761273052087332,0.09958366308087198,0.11314396810896434
ADI,0.004871711403075712,0.06979764611414709,0.0548797920746203,0.055185764637259785
NTAP,0.28368234341860765,0.532618384416655,0.4529740016426736,0.47209838015059585
NWSA,0.018933657480086068,0.1375996274707387,0.1125200718194273,0.1248939835817418
CAH,0.12636099942338264,0.35547292361498173,0.3140684225392068,0.28325016257851093
MGM,0.03827086674207355,0.19562941175107987,0.16639329488155216,0.15646840131320172
ADM,0.006974026035301187,0.0835106342647521,0.06944827053857268,0.0644187334942163
MSFT,0.026427000109464825,0.16256383395289625,0.14898300247196233,0.1312219530232965
V,0.01338989814397992,0.11571472742905252,0.0920738356996521,0.08835606984887204
FMC,0.015740205205183454,0.1254599745145178,0.10717299220132125,0.11746962657033418
CDW,0.018368038851362692,0.13552873810141777,0.11358915616106552,0.08566699392147346
GS,0.013804742071191593,0.1174935831064471,0.09815016882668823,0.09674806589661317
TPR,0.1421463407726051,0.3770229976707059,0.33693581524130756,0.506651934821915
MA,0.010196580605057494,0.1009781194371211,0.07894269470678757,0.08679095920124152
SNA,0.14931738730299154,0.3864160805440058,0.3327280649730075,0.2902850683071107
IPG,0.003992765424659007,0.06318833297895275,0.04870658508932953,0.04748714656039609
COP,0.07208628381592712,0.26848888955770056,0.21850748062773348,0.22251787584742688
EBAY,0.004194002424930319,0.0647611181568873,0.048114895388202024,0.05099359962813044
SWKS,0.3943206183035094,0.6279495348381982,0.5329366178945014,0.28545597686768687
COST,0.030006150623496784,0.17322283516758633,0.12360632708228629,0.11852936840720713
EXPD,0.17903857939741624,0.423129506649461,0.36084239276201907,0.3878255617126699
GL,0.004130281013536449,0.06426726237779581,0.05526711411350261,0.053919781409643985
TRV,0.06164486857445859,0.24828384678520388,0.19575067636021187,0.18078270784710623
DPZ,0.0969413940469211,0.3113541296448806,0.2623795303501042,0.22497818583274215
DLTR,0.025778391784010108,0.16055650651409337,0.11307996224554825,0.11218386112236055
WBA,0.04333845469351294,0.20817890069244036,0.18513596148476552,0.16169456770287113
F,0.07386689157069765,0.27178464189629564,0.2354371142156634,0.25546034641335613
J,0.015526788229633664,0.12460653365547757,0.1041795474044324,0.12163206366464975
WMB,0.5723965152145591,0.7565689097594211,0.6720889399203664,0.49281758254914787
DUK,0.70802062960074,0.8414396173230376,0.7285975639317782,0.6759983948997513
OMC,0.02297593186865716,0.15157813783213317,0.13374951362334062,0.13762655095089116
GM,0.053601624949044496,0.2315202473846391,0.20860955973398296,0.2532292230738731
EFX,0.022959529950625092,0.1515240243348397,0.12756917073275326,0.11668308393120848
IP,0.13166395416143586,0.3628552799139567,0.3051904974028587,0.29276172047738586
FITB,0.18731390656565147,0.43279776635936035,0.3653784274477918,0.37310816103743416
STZ,0.44690313737802656,0.6685081430902892,0.5762345102679168,0.46734861126525257
SWK,0.3515636485672205,0.5929280298377034,0.5268939478738051,0.5303578176730508
HSY,0.23761269133418342,0.48745532239804645,0.4292364066409788,0.4363103264889655
AME,0.04912039063955253,0.22163120411970993,0.19102256722141883,0.19388021735097616
MSCI,0.007186403252903791,0.08477265628080667,0.07309383314462053,0.07118371038538418
ROK,0.005702406225956728,0.0755142782919676,0.05557944885338635,0.05437866519833981
ETR,0.5295413661127765,0.7276959297074407,0.6359923288459342,0.516871512568114
IFF,0.028196438775308037,0.16791795251046876,0.1303884505650347,0.1175657609149024
USB,0.010388035312007193,0.1019217116811094,0.08990650156654643,0.08458036227781673
DFS,0.028476877448506834,0.16875093317818077,0.14715994633232268,0.13030247309253554
ES,0.37621485763198237,0.6133635607304875,0.5409286502351058,0.48605801709117186
CHRW,0.7897063857820553,0.88865425547963,0.7556270973105184,0.6832819052705681
PKG,0.02810175459398218,0.16763577957578799,0.13964627551511624,0.12313227981000809
ORLY,0.04356114174226851,0.20871306078506086,0.17832927488755393,0.14755169840012064
MCK,0.00809564604551671,0.08997580811260719,0.0727231038868026,0.06479846567148428
