,mse,rmse,mae,mape
STE,0.06981753720714433,0.2642300838419886,0.2437936395996961,0.21364185686902976
REG,0.15709210256990525,0.39634846104142407,0.3484068904024675,0.3160832835459075
WFC,0.00978384488804192,0.09891332007390066,0.07836391033200571,0.06827611400603692
JBHT,0.012787556890741021,0.11308208032549198,0.10444746375025156,0.10618364573685157
SJM,0.011123722674955124,0.10546906027340494,0.08768752132746176,0.09471196549007241
PFE,0.05298077075428463,0.23017552162270563,0.19539884177107728,0.20305183412575445
EQR,0.07167125481461191,0.2677148759680939,0.2349182986025763,0.19402310102095707
TSN,0.016111573163494878,0.12693137186485806,0.10368786964793106,0.08656434096489828
TDY,0.011418967139083951,0.10685956737271564,0.0892782980157184,0.08368785544711012
GOOG,0.0073107759207402135,0.08550307550457009,0.06739402906335136,0.06726808127643491
CMCSA,0.10931266950885338,0.33062466560868287,0.29072044530214963,0.2781486809621869
MRK,0.003503024948469901,0.059186357790202815,0.046562564981848735,0.03992630163905761
TXN,0.010780301088864989,0.10382822876686758,0.08514682540594286,0.078072812152232
XRX,0.8810293607618415,0.9386316427448211,0.8528933816155446,0.807142236189608
HRL,0.05785910359177396,0.24053919346288238,0.20573806107152037,0.18513586726019982
BSX,0.4032499735765269,0.6350196639290211,0.5381152214315064,0.5231402275988476
EMN,0.5630469624300366,0.7503645530207544,0.6376388601379792,0.6341052330165632
LVS,0.3855060620257507,0.6208913447824431,0.5196057484266853,0.6166549585600889
ADI,0.2819429320904517,0.5309829866299406,0.4605250632922358,0.45109908991755315
NTAP,0.008354416079319202,0.09140249492940114,0.07620361445658062,0.08575246142828104
NWSA,0.005950710285237529,0.07714084706066902,0.05608004940923329,0.06330886217633176
CAH,0.11869144519586537,0.34451624808688686,0.30906701264758435,0.2786919623827168
MGM,1.4305288523772781,1.1960471781569815,1.000056750817078,1.0117953439005771
ADM,0.22250088694512785,0.4716999967618485,0.42326304636509077,0.38522313090508964
MSFT,0.031687466270431196,0.17800973644840665,0.15241703617651747,0.13049793912019492
V,0.2659282959908423,0.5156823595885769,0.4550840746020566,0.4522598337349078
FMC,0.06285529932319987,0.2507095916059054,0.19538570105105835,0.24081586308995628
CDW,0.017442074144055696,0.13206844492177416,0.09554388238142586,0.07371031486663222
GS,0.1355778758400884,0.3682090110794254,0.336286387741158,0.33669611891855566
TPR,0.27266818398610243,0.5221763916399347,0.4782550343314571,0.7139713378764805
MA,0.40680076782951746,0.6378093506915037,0.5708610030912952,0.6116858045976556
SNA,0.08505460512432636,0.29164122672270865,0.2628426188441237,0.23199879943323534
IPG,0.10334303027734544,0.3214701079063891,0.2880768693317959,0.27062734408166256
COP,0.06551219259169189,0.25595349693194636,0.22207774941907593,0.20955311954531483
EBAY,0.7231636497648096,0.8503902926096991,0.7371672973755871,0.7707117482629453
SWKS,0.201182670316208,0.4485339121139092,0.3663041823757575,0.19257809332018855
COST,0.047741920007446016,0.21849924486699265,0.16865752213624088,0.16359674524686202
EXPD,0.0061887134874048615,0.0786683766668975,0.06722345596974846,0.07138420685005332
GL,0.0238129484544574,0.15431444668098124,0.13481654709788424,0.1325796867384892
TRV,0.009692361589073963,0.09844979222463582,0.08423774344793145,0.08448459129042156
DPZ,0.015642254371939144,0.12506899844461514,0.07989767733614114,0.06479037104348513
DLTR,0.01056617967090965,0.10279192415219032,0.09743156998906184,0.10601978963095664
WBA,0.056001196753390374,0.23664571991352468,0.20946243183794472,0.18238198049639637
F,1.7578953849047887,1.3258564722113735,1.1664266179190812,1.2817428968442244
J,0.9300591872850029,0.964395762788806,0.8208004406324818,1.0435964188910982
WMB,0.09643906340219581,0.3105463949270637,0.23010690196881495,0.17851339075068706
DUK,0.01558098816789588,0.12482382852603056,0.09932879520151906,0.09058972889982274
OMC,0.2081868597693176,0.45627498262486144,0.4032716514456425,0.41179185813366403
GM,0.1387308735774927,0.37246593613039664,0.3360878023828293,0.4076420399313494
EFX,0.0015310042564688697,0.03912804948459442,0.030738190612662218,0.029310017892040303
IP,0.08692484191758311,0.2948301916656147,0.26824609357616636,0.26197923140612966
FITB,0.15214235733226267,0.3900543004919477,0.32953235289770333,0.33658772303229445
STZ,0.13229269458705684,0.36372062711242653,0.32915887243201125,0.26705058362306133
SWK,0.02062927812442964,0.14362895990861188,0.13090859206765101,0.1349949415420951
HSY,0.002664599096388451,0.05161975490438182,0.039442929004289196,0.03901741088008234
AME,0.5230194406947373,0.7232008301258629,0.6256486636138832,0.6369729981765291
MSCI,0.10767063649694587,0.3281320412531301,0.27286207676409063,0.2646635816248776
ROK,0.17722673872273584,0.4209830622753555,0.35172948760959993,0.35954091344261363
ETR,0.009366627294095004,0.09678133752999596,0.08044376647084046,0.06646289934324465
IFF,0.02911806430477598,0.17064016029286888,0.15208835938105794,0.13487682012738858
USB,0.049316953192550285,0.2220742064998776,0.1932082903131937,0.18259750638584815
DFS,0.02881142483132917,0.16973928487927942,0.1483406959740195,0.13235557073789436
ES,0.005075999640483438,0.07124604999916444,0.05538860489592237,0.05085180732446326
CHRW,0.03247791879688312,0.18021631112882963,0.14810095814776167,0.13334662861307156
PKG,0.007023586308674729,0.08380683927147431,0.06317135255173913,0.05851923066592075
ORLY,0.02433001269438771,0.155980808737446,0.12711024619674124,0.10927350929517173
MCK,0.1363256512179602,0.369223037225415,0.3302828526550038,0.28314670098900163
CPRT,0.0037866667296276688,0.06153589789405586,0.048037403657985644,0.050398652815052195
PNW,0.03295105516340569,0.18152425502782182,0.14471846643842592,0.1369458004697372
VRSK,0.009058346263516651,0.09517534483003805,0.07662699631194113,0.08412068230467276
MSI,0.04896489998994395,0.22128013916740008,0.19451315878647005,0.20373676262000154
CVX,0.03579930537165152,0.189207043662892,0.16225811877547522,0.169506488795699
FTI,0.33626464139778356,0.5798832998093526,0.49875506012178583,0.5521153897940271
KMI,0.2695359965232368,0.5191685627262468,0.4735310088490284,0.4503486801678843
GIS,0.19073123065197511,0.4367278679589558,0.38119870523217425,0.3666947043352745
NFLX,0.022180335281181778,0.1489306391619326,0.13174437403884054,0.12824513462557746
IT,0.09672853424945134,0.31101211270535967,0.2850347795566808,0.2726433074796813
RF,0.07660357758040848,0.276773513148221,0.22643229910065424,0.22232082513886206
TSCO,0.026578173870583557,0.16302813827859153,0.1429995769219664,0.16829716796506922
JNJ,0.11944584689531285,0.34560938484843384,0.297890659230976,0.26960780553982316
TFX,0.1217954502303924,0.3489920489501049,0.3050449315731825,0.2733646102567082
WAB,0.3524934563280479,0.5937115935604154,0.5126678817560179,0.4718741458382585
HD,0.015075405797851715,0.12278194410356807,0.11246172842894733,0.10954154611981813
SYY,0.023684701749119734,0.15389834875371383,0.1353392996141952,0.1408498614170195
AVB,0.02192299731892843,0.14806416622170412,0.1287011836545513,0.11285743446815097
K,0.04565193053128211,0.21366312393878853,0.18679861518976207,0.17944789873109146
NEE,0.00512211392144607,0.07156894523077778,0.062242022595070425,0.05510198767385007
TGT,0.015210869540895311,0.12333235399073234,0.07972501462521786,0.07878273133478306
FANG,0.6860886387945349,0.8283046775157887,0.6383172554757437,0.5387697210415398
POOL,0.027205707241242823,0.16494152673369683,0.14046518485873818,0.141230241051624
LKQ,0.1604599865844875,0.40057457056643964,0.3240312606421715,0.3958169403292657
LNC,0.012872294787473072,0.11345613596219939,0.10349460761462587,0.10449469264271731
NKE,0.012840959934196833,0.11331795945125747,0.08025808411737813,0.07393158155217162
HBI,0.13007205064225127,0.36065502996943116,0.2974261496837334,0.20586916542852104
CAT,0.34632766252220454,0.5884961023848879,0.48923243674170974,0.4354017694022115
TJX,0.011488207355255967,0.10718305535510717,0.09321070876681263,0.10304291114462952
TER,0.09573166535280093,0.309405341506576,0.25331724321573146,0.23490475335504638
ABT,0.004799003329702936,0.06927483908103242,0.06019636706679859,0.055941815434843244
HAL,0.0648727284601901,0.2547012533541798,0.16236442966144424,0.18485405413097666
PWR,0.7486518316465514,0.8652466883187426,0.7205404491300516,0.6892765171803417
STT,0.053931363494971796,0.23223127156989817,0.21951618536109097,0.2273445100135909
HAS,0.0033199292477608866,0.05761882719876279,0.048491725341394086,0.04768872249738614
OXY,0.04612531721037488,0.2147680544456621,0.17467005400918909,0.18569910480216967
NWL,0.03894824672793432,0.19735310164254913,0.18185543329158899,0.1799508811254949
RHI,0.25663219653639807,0.5065887844557931,0.4607133326022021,0.3913606090185839
VTR,0.001582552760996043,0.039781311705322675,0.0318941279450167,0.032234717770367745
NOC,0.050855483708565505,0.22551160437672715,0.19521738667630117,0.17268300880794174
CE,0.058569886383457316,0.24201216164370193,0.21002024594458799,0.1993083445399923
EQIX,0.01781893921056639,0.13348759946364452,0.11642960503265351,0.10017201306266298
TFC,0.13652309757677308,0.3694903213573707,0.31012973655813575,0.300598215992179
MTD,0.11672120185234552,0.3416448475425109,0.2819784666204045,0.2687111627554205
DE,0.26026296672483784,0.5101597462803567,0.44641450213138895,0.46194671407876403
ROP,0.27131787924483103,0.520881828483996,0.46065397808070596,0.43302182782983484
AZO,0.07724944877701446,0.2779378505655796,0.22963625218824438,0.20438985601254528
ADBE,0.0793172465360032,0.28163317726433296,0.2354148352666979,0.20507324471744418
TYL,0.04887003345020395,0.2210656767800102,0.16435880768994363,0.17393934271236708
DHI,0.48687691566452534,0.6977656595623816,0.5910232635984316,0.5747134340699563
LYB,0.044086548228684956,0.20996796953031896,0.12746349753100625,0.11645237247092496
AFL,0.0028270713140875294,0.05317021077715914,0.04271686730757579,0.04624586862402423
EOG,0.06321378854946633,0.25142352425631603,0.16350822035581497,0.1590189027685376
ROL,0.09016330715694229,0.3002720552381495,0.2709945357165642,0.26967582303719906
DOV,0.35894334565199776,0.5991188076266658,0.5078987986953162,0.49947438375747055
GOOGL,0.007469579038495881,0.08642672641316389,0.0674051126739331,0.06688884460251746
GRMN,0.443491618256807,0.6659516636039038,0.5951978276670576,0.5149867457562712
SLB,0.03197776906224213,0.17882329004422812,0.12469519772522956,0.12366934231370563
FRT,0.05713953048111018,0.23903876355334125,0.21143850492233365,0.18132641859343354
IEX,0.06250049385641812,0.2500009877108851,0.21490821002767793,0.2093793460324436
RMD,0.049722586494020914,0.22298561947807513,0.1979716665457184,0.2267177016512669
ULTA,1.3897952438493621,1.1788957731069198,0.9851770689584236,1.208898655210036
CCI,0.08248530481677578,0.2872025501571596,0.24541508068607623,0.2375103235283019
CSCO,0.5705463422516549,0.7553451808621373,0.6588016147304739,0.6138961324076093
PNC,0.0025674236636105594,0.050669750972454554,0.04060734672602182,0.036403315816858614
KR,0.4061988059935642,0.6373372780510835,0.5387554916267755,0.438970715860346
DXC,0.2896034717309383,0.5381481875198859,0.4571634946898796,0.4172873417893012
PNR,1.1258656988207643,1.06106818763959,0.9103918410823049,1.0191535687609727
BIIB,1.3775576907881553,1.1736940362752788,1.040899601893944,0.9512378496438331
DG,0.005713186526503495,0.07558562380839028,0.05750862404311603,0.06168528501810322
DVA,0.15745480336257464,0.39680575016319336,0.34034081950214856,0.29573872308086036
RSG,0.18226970094739764,0.4269305575235833,0.362441280970166,0.32679325165034884
ZBH,0.06773734473965536,0.26026399047823606,0.22928769366493976,0.2070715512420517
PAYX,0.15100350863357753,0.3885916991310771,0.36069792111745996,0.3732071579718636
LHX,0.48875534660557335,0.6991103965795197,0.5945794801336947,0.5831155451378547
JKHY,0.06010967960721021,0.2451727546184735,0.22141759476431136,0.22311653332970485
ALK,0.5307337450560182,0.7285147528060212,0.651679600499065,0.5148107261232587
AXP,0.0860420383633421,0.2933292320300554,0.25067218881323156,0.25037960657730074
ESS,0.3965134115296347,0.6296931090059941,0.5610783311696839,0.47786704467198987
UAA,0.030168037386064012,0.17368948553687413,0.14785175135076173,0.10485257061861643
WHR,0.00999669523657268,0.0999834748174551,0.08815880544426075,0.09319392915315497
GD,0.00473397260329642,0.06880387055461648,0.04760803530954485,0.037045724568748696
WYNN,0.7994065426605341,0.894095376713544,0.7247419523153015,0.7502013890257834
NCLH,0.10099799638245963,0.3178018193504556,0.28893141963063557,0.29592564435652835
CMG,0.11402676339290682,0.33767849116120324,0.2884839915467791,0.24875179542252646
PPG,0.0048601792390378954,0.06971498575656382,0.05718680265988029,0.051961951023237245
LEG,0.09409842213276337,0.3067546611426848,0.2753175626115852,0.23740113527860257
IDXX,0.03817154357357268,0.19537539142269858,0.1581237817225061,0.13489944769802403
NVDA,0.05581721677666038,0.2362566756234845,0.1897153549660773,0.16129366088724686
WST,0.013074871216651282,0.11434540312864039,0.07648622435814889,0.07879169528827484
AES,0.010610841991393437,0.10300894131770036,0.08485141755312431,0.091608400484743
ABBV,0.12190966033320677,0.34915563912560077,0.27665049315310086,0.24487201162338665
PVH,0.10472352844913073,0.3236101488660866,0.29680588266277536,0.3362441058523031
ETN,0.346626944970073,0.588750324815259,0.5045290786471535,0.551045442710292
AVY,0.003993467540216937,0.06319388847204242,0.04981254737533025,0.05238964324345921
BIO,0.018261403983149304,0.1351347623047057,0.11357319613812406,0.12014452012898617
CF,0.017234288837562756,0.13127943036729994,0.11401670289003435,0.10549954250144487
LDOS,0.2087334863754234,0.4568735999983184,0.4092460303850331,0.5137831881094552
CMI,0.3591656078337711,0.5993042698277488,0.5152793121617352,0.5001200928805121
