,mse,rmse,mae,mape
STE,0.03569693767038148,0.18893633231959775,0.1453659421125357,0.12004571157766437
REG,0.2769600089426653,0.52626990123193,0.4575409597195967,0.4149318175908422
WFC,0.01777517876882137,0.1333235866935081,0.11956171089394506,0.10427146411202584
JBHT,0.07344885961175947,0.27101450074075273,0.22939739923628408,0.22841551487258457
SJM,0.010945366077702957,0.10462010360204657,0.09030048090190079,0.09825451284949517
PFE,0.006057771831035643,0.07783168911847951,0.06290204398254691,0.06488530007246243
EQR,0.5099550886567761,0.7141113979322666,0.6369151414580874,0.5292869028519539
TSN,0.16324422593141588,0.40403493157326864,0.31432764783917155,0.2712972300166287
TDY,0.007037827175593146,0.08389175868697202,0.06697318545777375,0.06271679526067024
GOOG,0.06423307934090637,0.2534424576524351,0.2167813856767665,0.22014390200280426
CMCSA,0.013164990490614405,0.11473879244010896,0.09926970732857283,0.09497768361441203
MRK,0.03389745351600237,0.18411261096405745,0.16856610249797946,0.1441936939680331
TXN,0.05755858566581285,0.2399137046227515,0.20662056407987942,0.18301191979405654
XRX,0.014066998891574912,0.11860437973184174,0.10442796714569591,0.10154744419432712
HRL,0.04647173798859768,0.21557304559846457,0.185497316652134,0.16748343075840272
BSX,0.009117581604449625,0.0954860283206377,0.08752045570751636,0.08315493228141671
EMN,0.008235814561864011,0.09075138875997442,0.07432126991378225,0.0713255163641451
LVS,0.13831621230522112,0.37190887634637215,0.3036330852052405,0.36224827463378567
ADI,0.0038704111476252916,0.06221262852207172,0.050180738350611535,0.05006787293742562
NTAP,0.201343321404986,0.44871296103966735,0.3760103932124115,0.39061900745957
NWSA,0.005997110547040541,0.07744101333944786,0.061799800335092435,0.06818274901068551
CAH,0.08686706466524219,0.29473219143019,0.25838824583074976,0.23324955547344667
MGM,0.029580249166452577,0.17198909606847923,0.13042979864660253,0.13139198416489542
ADM,0.006341417148034075,0.07963301543979152,0.06669858459543986,0.06274033799166459
MSFT,0.03555629215133992,0.18856376150082477,0.1730356465644762,0.1519940201970386
V,0.009629875771312845,0.09813193043710515,0.08622487941652249,0.0885607021361396
FMC,0.022645097581866735,0.15048288135820212,0.11633004848548016,0.14293559635268152
CDW,0.013994886238442902,0.11829998410161728,0.10121722733544726,0.0772162507093107
GS,0.04184427212421115,0.20455872536807407,0.16592401953750974,0.16188842374715826
TPR,0.17707355447517475,0.42080108658982185,0.3774291320880705,0.5670510402154186
MA,0.01930473898278856,0.13894149481990095,0.1201145868758063,0.13138329437217572
SNA,0.14459701422894233,0.38025914088808216,0.32738482312509026,0.2855936070328033
IPG,0.004712871409787309,0.0686503562247663,0.05809509000619498,0.053590991802552085
COP,0.07665072628633807,0.276858675656621,0.22597347762533657,0.22989158686423847
EBAY,0.01233709946735135,0.11107249644872194,0.09671588837528655,0.09901944743017452
SWKS,0.40381852539325325,0.6354671709799439,0.5402128562687384,0.2895197666309919
COST,0.051444564469952915,0.2268139424064423,0.1662628319771169,0.16029767511834597
EXPD,0.1356651479095594,0.3683275008868594,0.3131328814342192,0.33607746504468716
