,mse,rmse,mae,mape
STE,0.22199928935940821,0.4711680054496572,0.4323914643437438,0.37551270292302347
REG,0.11643489051733157,0.3412255713121916,0.30102587411102305,0.27331228733796525
WFC,0.15551915290555715,0.39435916739129717,0.3376193007552978,0.2919185073201955
JBHT,0.03361294859036019,0.1833383445718876,0.16825460923383284,0.16977941388602846
SJM,0.001193283129513664,0.03454393042943527,0.02978744202778621,0.03285628441927541
PFE,0.01664188824917442,0.1290034427803166,0.10396583554316209,0.10745312895371334
EQR,0.11256769775417008,0.33551109930100687,0.2929849137719784,0.24173114178837515
TSN,0.07360503052748535,0.271302470551754,0.24471217628612388,0.20713620813475597
TDY,0.13935616094672373,0.37330438109768244,0.32562004257637917,0.31050165478133773
GOOG,0.20054598088060827,0.4478236046487593,0.375456096257971,0.3805447049624107
CMCSA,0.46843761225406744,0.6844250231063059,0.5960666351124665,0.5687875016139277
MRK,0.02145840991203819,0.14648689331144335,0.10808280459602054,0.09090335452583134
TXN,0.00862047589740668,0.09284651796059279,0.07353591873167621,0.06787172804649412
XRX,0.9860845078720578,0.9930178789287017,0.9014200213568702,0.8527397581518381
HRL,0.042798097129941794,0.20687700966985625,0.1760443908566562,0.158277519698657
BSX,0.21970475975290882,0.46872674315949675,0.39280274305188684,0.3824200538243554
EMN,0.5151408421256612,0.7177331273709339,0.6083037394717112,0.6050821907644416
LVS,0.233330509997191,0.4830429691002561,0.3960870878090375,0.47232555266304843
ADI,0.23220072385385424,0.481872103211894,0.4144727962742178,0.40586847822307376
NTAP,0.0058646629528514415,0.07658108743581173,0.0643762977084541,0.07215758850472664
NWSA,0.05625472899557711,0.23718079390114435,0.20357364851590354,0.22460503327833545
CAH,0.07892176531500084,0.28093017871884257,0.24898306267892575,0.22469682620479775
MGM,1.6821536359642635,1.2969786567111516,1.086506891984732,1.0986387833011255
ADM,0.33942690676033793,0.5826035588291046,0.519504338818771,0.471682983786657
MSFT,0.1673206928632554,0.40904852140455833,0.3465372455820109,0.2944597933890822
V,0.8160586780971156,0.9033596615396968,0.7940350197760682,0.7853506441904406
FMC,0.11938456673543979,0.3455207182434069,0.2819102161200699,0.3437208689789957
CDW,0.01662344060175642,0.12893192235345138,0.11086876948610325,0.08343796120075173
GS,0.3291401492198111,0.5737073724642303,0.5193710959992923,0.5178939943284775
TPR,0.22690729582407637,0.47634787269817463,0.43876723593379857,0.6537065311189842
MA,0.6386956227799644,0.7991843484328033,0.7117872349053657,0.7617604026771089
SNA,0.13788609487550096,0.3713301696273829,0.33201527769645944,0.29207686144689843
IPG,0.1026578131834863,0.32040257986396786,0.28700580943354953,0.2697083066422761
COP,0.009917690485700442,0.09958760206823157,0.08912361053431733,0.08766161772836958
EBAY,0.3092479132786195,0.5561006323307136,0.4825233662983374,0.5050831010736258
SWKS,0.4705529852128879,0.685968647397888,0.5817162123342119,0.310765154539618
COST,0.01686474673350905,0.12986433973000075,0.09633300185511119,0.09333544683828349
EXPD,0.06653321671248805,0.2579403355671386,0.23439566182524704,0.25630943475328904
GL,0.09907576765266993,0.31476303412673784,0.27796323227192954,0.2718545963550988
TRV,0.12227157348730565,0.3496735241440302,0.3245947026250746,0.3090765234745066
DPZ,0.0063066180555549686,0.07941421822038525,0.06575603011060123,0.056831608509551525
DLTR,0.019634255622362387,0.1401222880999393,0.1283981463168714,0.1404803884244425
WBA,0.009678727969146272,0.09838052637156539,0.08882598481225326,0.08002254404140258
F,1.0080305445115616,1.0040072432565224,0.882858069067731,0.9690347741950046
J,1.1710401113829714,1.0821460674894916,0.9253454937027833,1.175060174572259
WMB,0.4529097999484606,0.6729857353231646,0.5594801715119209,0.4229277322758258
DUK,0.00540686240871473,0.07353137023553097,0.05343560944448369,0.04831290539726102
