,mse,rmse,mae,mape
STE,0.22200045704852406,0.4711692445910748,0.4323926699453171,0.37551376048662205
REG,0.11643489248566773,0.3412255741964071,0.30102587675622483,0.27331228976197336
WFC,0.15551915105537167,0.39435916504548446,0.3376192985694947,0.29191850541355063
JBHT,0.03361294858879078,0.1833383445676075,0.16825460923006383,0.16977941388225457
SJM,0.0011932822719968,0.03454391801745714,0.029787427338846418,0.03285626921919712
PFE,0.01664145077485331,0.12900174717752202,0.10396417918050686,0.10745139812503673
EQR,0.11256770058466496,0.3355111035191905,0.29298491769306645,0.24173114506707247
TSN,0.07360502811865043,0.271302466112364,0.2447121722171032,0.20713620466479254
TDY,0.13935120098001277,0.3732977377108155,0.3256138766222889,0.3104957800855979
GOOG,0.2005458325663151,0.4478234390541825,0.37545594585449665,0.3805445536966054
CMCSA,0.4684377389415998,0.6844251156566362,0.5960667194271075,0.568787582181246
MRK,0.02145921472947156,0.14648964034863202,0.10808512446475882,0.0909052976969145
TXN,0.008620475905657806,0.09284651800502702,0.07353591877962516,0.06787172808939564
XRX,0.9860838266862922,0.9930175359409783,0.9014196905891964,0.8527394425617575
HRL,0.04279706486082229,0.20687451476878996,0.17604222483005608,0.15827556534444065
BSX,0.21981739739694653,0.46884688054518026,0.3929091212454672,0.3825231400610173
EMN,0.515140882421441,0.7177331554424952,0.6083037632686492,0.60508221432542
LVS,0.23333051241212127,0.48304297159996157,0.3960870900174611,0.4723255552489956
ADI,0.2322007193186621,0.48187209850608914,0.4144727919019416,0.40586847396096287
NTAP,0.006056064100555464,0.07782071768208941,0.06421074273329859,0.07227876782847131
NWSA,0.056254729045880573,0.2371807940071889,0.20357364890858573,0.22460503367801643
CAH,0.0789202889747088,0.28092755111364354,0.24898087885983064,0.22469488818331035
MGM,1.6821522884106215,1.2969781372138165,1.086506455246749,1.0986383433406193
ADM,0.3393394271917417,0.5825284775800593,0.5194417200585079,0.4716272551631527
MSFT,0.16732069488925558,0.40904852388103735,0.34653724820354864,0.294459795714769
V,0.8160587146611629,0.9033596817775092,0.7940350378156761,0.7853506619490107
FMC,0.11938263639121019,0.3455179248479161,0.28190757743035566,0.3437177623823593
CDW,0.016623440837675044,0.1289319232683475,0.1108687702655112,0.08343796174895557
GS,0.32914079880657116,0.5737079385946923,0.519372011484605,0.517894938356764
TPR,0.22690748775387645,0.4763480741578331,0.43876742203324387,0.653706807435585
MA,0.6386955746296193,0.7991843183081231,0.7117872082125085,0.7617603742283856
SNA,0.13788254862505425,0.37132539453295443,0.3320107308274721,0.29207282858452527
IPG,0.1026578017659629,0.3204025620465025,0.2870057928631074,0.26970829131428453
COP,0.009917691248340967,0.09958760589722482,0.08912361545282624,0.08766162703652584
