,mse,rmse,mae,mape
STE,67.2370038831408,8.199817307912463,6.221644990707593,5.915530697066345
REG,112.21064366499124,10.592952547094281,7.618580789896313,7.375471710020227
WFC,27.03102781790845,5.199137218607377,3.2945639732359555,2.9273758906032543
JBHT,10.699679846155941,3.2710365094501683,2.591738681836783,2.648804887653886
SJM,19.35005746363603,4.398870021225455,3.491192266835856,3.8599499335441654
PFE,35.216442768088484,5.934344341887188,4.456561776942437,4.686993338794803
EQR,28.93836441625981,5.379439042898414,4.207641061824251,3.7297603707045353
TSN,163.39680004972385,12.782675778166473,10.068067324203016,8.845807174605
TDY,3.1339451271460206,1.7702952090388824,1.2197478584615495,1.1835683436366002
GOOG,82.963500001714,9.108430161214061,7.269142826570768,7.164598985861677
CMCSA,94.3854225938636,9.71521603433828,6.675321449472405,6.524010427649316
MRK,97.40733958512205,9.869515671253684,7.891877793703761,6.878817781010144
TXN,13.972011783648941,3.7379154329183186,2.7732726537100705,2.599430227920284
XRX,152.3768926484787,12.344103557912932,9.608427170490316,9.522380486777049
HRL,121.95055446029589,11.04312249593818,8.69880445955738,8.301567368218395
BSX,47.27191441397303,6.875457396709911,4.661576124402738,4.5048964506707705
EMN,350.31424841952304,18.716683691816854,14.704539678111955,14.400508560580866
LVS,14.820137536797183,3.8496931743708074,2.9825805222200485,3.2252275378244457
ADI,6.9693012960359555,2.639943426673374,1.9852776885086203,1.9572261265842952
NTAP,121.2853914405561,11.01296469805275,8.62925840364202,9.389465553910275
NWSA,18.450382280378854,4.295390818118749,3.1420084786945788,3.250200369490545
CAH,101.99339217402795,10.09917779693119,7.775916494380914,7.3348223160719686
MGM,97.93552287474752,9.896237814177038,7.870514536575272,7.4843654288949075
ADM,33.36701371389293,5.776418761991978,4.471981576208977,4.399492534547227
MSFT,46.13278482253103,6.792111955977392,5.33883185750639,4.90790883476433
V,48.1025951672892,6.935603446513447,5.636392858367555,5.7125599843296
FMC,100.50559782244837,10.025248018001767,7.6451017531777445,8.11835587473751
CDW,70.11957643325314,8.373743274859407,5.891386661123729,4.683376928048596
GS,12.373031515643344,3.5175320205569336,2.7630215754020475,2.8130108750607183
TPR,81.03794361398647,9.002107731747408,7.006862173327788,9.908811978499047
MA,56.17342267973245,7.494893106624834,5.71402942035256,6.265006308257401
SNA,42.991532040555,6.55679281665625,5.214059406700608,4.845385067911982
IPG,83.25379298645915,9.124351647457432,7.1156842732759396,6.848308700481897
COP,50.28307845395649,7.09105622978386,4.775690042182632,4.532328814218838
EBAY,111.85540342423901,10.576171491813048,8.13241472664124,8.42081121756956
SWKS,9.429271838091347,3.0707119431967804,2.11516817327287,1.336018561914037
COST,151.51023811967517,12.308949513247471,8.32095976324203,8.859859723126874
EXPD,265.38921814648586,16.290770950034435,11.79262114503133,12.885337763459042
GL,50.566843028157145,7.111036705583592,5.711362106288089,5.635463151277953
TRV,56.32552703015016,7.505033446304564,5.667243422702538,5.60451470715907
DPZ,60.5086194273828,7.778728651096064,6.117884211741747,5.751875380066038
DLTR,30.850675955750898,5.554338480480903,4.211466917074728,4.658772369131875
WBA,66.56476138575218,8.15872302420864,5.870652397891436,5.305003482332586
F,64.92671032589946,8.057711233712677,5.773609939998328,6.4599064120428
J,225.76657687915076,15.025530835186848,11.785617688363358,13.507801979152484
WMB,84.76161100427609,9.206606921351431,7.3158263822501235,5.970274683158903
DUK,218.97699277279156,14.797871224361684,11.560687318797196,11.294636213181546
OMC,65.30674738795713,8.081259022451707,6.312947708970284,6.470956879551368
GM,23.872639195957042,4.88596348696519,3.7300762267389267,4.36493076729345
EFX,192.38223748999965,13.870192409984789,10.003274582579612,9.416892833670229
IP,60.79069939496724,7.796839064323903,6.074959554168073,6.123190492645124
FITB,29.636000505231124,5.443895710355878,4.053082447698609,4.057855278722437
STZ,142.61852178563328,11.942299685807306,7.549595269765734,6.318576983571474
SWK,201.94472378486316,14.210725660038024,10.74605617427181,11.272842494431762
HSY,32.835270004814646,5.730206802970958,4.020754869899815,4.143230016009274
AME,45.75364557955271,6.764144112861043,5.2285255684812855,5.341043364471555
MSCI,8.38650750883483,2.895946737914016,2.135590292460889,2.1702957573546806
ROK,48.061804112988476,6.9326621230944525,5.569341505529545,5.552100119750606
ETR,101.07342949397334,10.0535282112288,7.947986933127153,7.145969705040149
IFF,70.00244595561804,8.36674643787046,6.718617547496,6.1471990603787665
USB,39.881243162197684,6.315159789126296,5.125140619486498,4.928705360335894
DFS,134.3037562697369,11.588949748348075,7.958212963366895,7.374618560720317
ES,277.53567477153615,16.659401993215006,11.524916199929015,10.821668401197643
CHRW,54.24139786060578,7.364875956905573,5.735609776334511,5.772781425898079
PKG,85.59918118957158,9.251982554543194,7.006173450356908,6.422588714173044
ORLY,225.6385642335913,15.021270393465105,10.331574948417241,9.205781676145698
MCK,40.541852171133215,6.367248398730272,3.956493095656301,3.4904815071045885
CPRT,35.76457600685421,5.980349154259659,4.614345957222573,4.840362759055178
PNW,221.11148385347875,14.86981788232387,10.68269486454909,10.887501843586847
VRSK,39.32832519682984,6.271229958854151,4.5030981915240895,4.98476070041493
MSI,86.28560778075881,9.289004671156045,7.183952121111129,7.482308969442978
CVX,7.780161358748507,2.7892940610033405,2.2658873060293727,2.3110541339134687
FTI,86.0782998569928,9.277839180379923,6.588146291203254,6.860697120164074
KMI,58.75210269955192,7.664992022145354,5.990043211735076,6.020467132491075
