,mse,rmse,mae,mape
STE,34.792457616106454,5.8985131699527855,3.848682400018561,3.556574129137414
REG,26.875189165306672,5.184128583022095,3.563446234409086,3.4932705666479618
WFC,11.273427502411655,3.3575925158380455,2.4341776025199873,2.2328446895507437
JBHT,75.34385379857511,8.680083743753578,5.707778311889039,5.855378830800036
SJM,65.81015125251669,8.112345607314612,5.66225449494012,6.32087726136123
PFE,90.10982350193966,9.492619422579821,6.47653110553804,6.792248760617741
EQR,2.2028202071438905,1.4841900845726905,1.1054770247936687,0.9754274595311208
TSN,7.399382744828701,2.720180645624239,1.8181532628257808,1.6063555064961679
TDY,196.1093647198391,14.003905338149037,9.673140362655959,9.399826646213741
GOOG,31.859643385650294,5.6444347268482336,3.746981797442384,3.6546853998471107
CMCSA,117.18134823693468,10.825033405811489,7.659588713387995,7.445659767285856
MRK,135.33615472040435,11.633406840663845,8.359830830429797,7.3099035146856846
TXN,175.48365423352502,13.247024353926621,9.367419749541336,8.77858318316436
XRX,81.5167332352075,9.028661763251932,5.971999658939743,5.87654987272315
HRL,57.8529921357862,7.6061154432329126,5.400924341848556,5.171391389369631
BSX,60.26575281496918,7.763102009826303,5.588930058619249,5.360396784083484
EMN,65.71183550653896,8.106283705036418,5.709205899348629,5.647159510116442
LVS,340.27556780678964,18.446559782430697,13.129413707883135,14.365622162093585
ADI,95.06971421824493,9.75036995289127,6.928938727721775,6.869587524332921
NTAP,79.86305146176342,8.936612974822363,6.137633299440841,6.490482641337372
NWSA,18.06176884362265,4.249913980732157,2.919335059572621,3.0765216168194125
CAH,98.84590893367732,9.942127988196356,7.1367372604935095,6.721084918531746
MGM,39.46677192782276,6.282258505332518,4.157153854309286,3.9421848192718554
ADM,101.61910103865583,10.080629992151078,6.476183166127977,6.174485810409245
MSFT,2.383458862232193,1.543845478742025,1.116397487455954,1.0481902918820034
V,1.1600869467880546,1.0770733247035944,0.7805127159393079,0.7997211209472086
FMC,22.775090491068152,4.7723254804202275,3.29973485133261,3.5400305794698035
CDW,17.254320737151343,4.153832054519217,2.9872333896591257,2.4780583171173176
GS,30.214794729893903,5.496798589169327,3.9028375862065934,4.032527230014814
TPR,6.322608032475902,2.5144796743016045,1.9123120061565746,2.6175296513198436
MA,60.28339554112927,7.764238246030918,5.493254168921101,5.962559678082682
SNA,108.54649941227083,10.41856513212212,6.9177750944306675,6.383880540521021
IPG,79.91756819708691,8.939662644478645,6.381571174448303,6.1792770546398526
COP,9.218402263822464,3.0361821855452718,1.9895920894140895,1.9384499281538075
EBAY,28.09239315758549,5.300225764775071,3.7504790076475594,3.8773986323161282
SWKS,54.21194622161977,7.362876219360188,4.9658325015633675,3.3819582648114292
COST,39.0028860461733,6.245229062746482,4.211214632370994,4.410650702945149
EXPD,5.940907228441766,2.437397634453961,1.6630258165283702,1.8222632411642807
GL,69.62678074482906,8.344266339518954,5.852280040373131,5.7847319503266466
TRV,14.073660702105082,3.7514877984747708,2.608972476172884,2.634969009138354
DPZ,130.11583386413434,11.406832770937529,8.043868658961756,7.544131428838277
DLTR,7.966544586174553,2.8225067911653556,1.8717526357397598,2.0640913551679225
WBA,67.31325814298644,8.204465743909621,5.8687941268230555,5.505060895380889
F,39.224130115345496,6.262917061190056,4.567424997141091,5.020869262079127
