,mse,rmse,mae,mape
STE,120.98196201612072,10.999180061082768,8.600057506300125,8.12481192534756
REG,439.85819745006165,20.972796605366238,16.69552072748609,16.320870634283384
WFC,159.86723313545474,12.643861480396515,8.715518026238536,7.850162922684406
JBHT,33.01393639756998,5.745775526207927,4.64885654230264,4.766297359275278
SJM,233.415261214992,15.277933800582852,12.119404756384148,13.499028586872116
PFE,46.23086388625732,6.799328193745123,5.206177659897561,5.463349008628144
EQR,68.1410238560386,8.254757649745908,6.368131739361838,5.6929544102213905
TSN,184.12797313200872,13.5693762985632,10.777243027339704,9.399343848584069
TDY,28.125184575788076,5.303318260842741,4.311013741999228,4.194989262640238
GOOG,9.804690975030034,3.1312443173649087,2.1416256679245,2.09806425482704
CMCSA,56.289069911859606,7.502604208663789,4.8098229321212145,4.6531975884396495
MRK,21.73773836483766,4.6623747559411886,3.4673224243023903,2.9943055334069912
TXN,193.43650252931207,13.908145186519734,10.82725849357345,10.079909167625491
XRX,106.17534523467194,10.304142139677225,7.712885159907675,7.652930704009346
HRL,393.96534335183054,19.848560233725532,15.643265823259302,14.87101971649454
BSX,191.5040103702894,13.838497402907926,9.880471884292305,9.484845482517242
EMN,105.65561350426022,10.278891647656387,7.0617565571222025,6.897722724499365
LVS,31.524749237283068,5.61469048454882,4.406251839545743,4.750141420443775
ADI,83.6536113974315,9.146234820811868,7.296320030890749,7.159646369863864
NTAP,204.0571844052995,14.28485857141398,11.271612950749814,12.027590697838896
NWSA,57.52572297689099,7.584571377269185,5.78570206218654,6.028404383491576
CAH,322.6223812069288,17.961692047436088,13.41681632048339,12.638504146050634
MGM,193.19466400295437,13.899448334482717,10.98897400125154,10.476686069316498
ADM,46.408275586396044,6.812361968245378,5.439244374652016,5.324751522857449
MSFT,34.59594493626696,5.88183176708302,4.484179306355219,4.092739222447584
V,31.448872646712054,5.6079294438065155,4.481632096085726,4.546406676812489
FMC,91.75000200973992,9.578622135241577,7.565419118272048,8.223791779956212
CDW,918.280904697194,30.303150078782142,23.201526477126297,18.88349312487723
GS,69.68080393298827,8.347502856123397,6.751913654751065,7.004864648928762
TPR,80.78538783337291,8.988069193846524,6.324263099880896,9.144687661035226
MA,19.388950984872235,4.403288655638219,3.1144770091706455,3.423521389320641
SNA,34.47153234321073,5.871246234251356,4.697545590338174,4.360296953580491
IPG,118.6171836878956,10.891151623583964,8.257625377669868,7.84145734739721
COP,13.02973213639551,3.6096720261535546,2.237012212504183,2.0848688246286287
EBAY,330.17089191527384,18.170605160953606,14.415618457625852,14.922788863659024
SWKS,56.896933552651035,7.543005604707651,5.828530524294126,3.8759678491752036
COST,87.36893036585664,9.347134874701265,6.246373183622768,6.5677928143631945
EXPD,427.3712688340981,20.672959846961877,16.350566409824314,18.006166727169024
GL,80.21976465071177,8.95654870196728,7.116495036231531,7.026070347731208
TRV,127.00003224654799,11.269429100293767,8.528029609674842,8.445261776661695
DPZ,17.21334594590575,4.148896955325084,3.296108175021619,3.0770461421791553
DLTR,55.74933933008564,7.466548019673191,5.9367000484118355,6.539346361469088
WBA,79.72616857843319,8.92895114660357,6.566363646640225,6.030422301876931
F,56.44090749787226,7.512716386093133,5.667895146195223,6.267215565066023
J,350.0916477753451,18.710736163372758,14.791954021618501,16.951546268833265
WMB,749.1134856317502,27.369937625645957,21.44421287925872,17.164636798104542
DUK,127.57569528893474,11.294941137028326,8.789735265315437,8.630586192997589
OMC,30.949805747212658,5.563254959752668,3.380366905794636,3.4674354323147845
GM,56.64990074107362,7.526612833212137,5.987652226976782,7.0527577441528
EFX,200.3976958435252,14.156189312224008,11.387943433954971,10.827599530047276
IP,11.71706354228108,3.423019652628521,2.782879284787915,2.7913650281971365
FITB,81.89528015784876,9.04960110490229,5.932149555360151,5.937207611757544
STZ,237.31151078769935,15.404918396009093,11.367041662062814,9.533167688689973
SWK,219.69357902711164,14.822063926022976,11.216999428405448,11.796441333172915
HSY,213.56850799532114,14.613983303511782,11.625817605587752,11.79399531027621
AME,46.04194725794771,6.785421671344214,5.424689691210356,5.535339933459724
MSCI,17.307331768698635,4.1602081400692725,3.2505623169992313,3.2850664767617945
ROK,8.587895974028575,2.9305112137694636,1.9640108387008517,1.996004473685456
ETR,239.4733981730497,15.474928050658255,11.504303069969628,10.26904911544156
IFF,34.35294319982334,5.861138387704504,4.09866711598563,3.7022680708236106
USB,214.61568256287566,14.649767321117276,11.58036270997342,11.12182598758639
DFS,339.1201802399409,18.415215997645557,12.901747641688635,11.941853831058697
ES,185.71099194891733,13.627582028698903,10.791952075069313,10.16285745412804
CHRW,112.19588010562775,10.59225566655317,7.9622136637003305,7.839181034264349
PKG,46.16432021742576,6.79443303134454,5.025295401471935,4.6312254753728235
ORLY,357.40459128014294,18.905147216568903,14.436925081665088,12.902570962687665
MCK,108.06521846536019,10.395442196720646,8.212048677659412,7.387954397699781
CPRT,318.992401974674,17.860358394351273,13.965229517221301,14.649341356338592
PNW,165.20938747376943,12.853380390923215,9.612062072105324,9.830712029348915
VRSK,145.10854530223438,12.04610083397256,9.48959492609606,10.480234239503844
MSI,73.98660403485675,8.601546607143204,6.980399071720256,7.268219324047788
CVX,92.56825652218835,9.621239864081362,7.527019853640636,7.624403560016092
FTI,196.97567058786004,14.034802121435844,10.3845084151066,11.029133671878606
KMI,62.86491418075825,7.928739759933999,6.319493080522134,6.32998233663631
GIS,188.0563020015924,13.71336216985435,10.960898601647278,10.843115996923082
NFLX,342.3562391509762,18.50287110561429,13.6539433968944,12.404741971937176
IT,263.9366056136667,16.246125864761318,12.541577086605445,12.48810090713865
RF,90.95276264830215,9.536915782804321,6.351709277422017,6.133979277333715
TSCO,528.3073897065324,22.98493832287858,18.09814196187404,20.781537294921968
JNJ,202.13374141104805,14.21737463145176,9.37079364326912,8.832798252565645
TFX,229.12325045930234,15.136817712428934,10.759426910539739,10.10389297958455
WAB,21.87954296623429,4.67755737177368,3.6525499192123276,3.470874994657288
HD,219.73168986894567,14.823349482115898,11.873201217137055,11.773890200967719
SYY,28.919684825369245,5.377702560143062,4.023129684305623,4.340003066402707
AVB,9.727714778816983,3.118928466447569,2.402099548989615,2.2948791448188888
K,144.45997046251202,12.019150155585544,9.685083886599067,9.641237687260375
NEE,71.34630399636175,8.446674138165966,6.546237054230314,5.980782921830399
TGT,67.00539371365295,8.1856822387418,6.275360790025416,6.8971461489592105
FANG,85.0965108182845,9.224777006425928,7.127693802882635,6.183415007292638
POOL,89.83205332564077,9.477977280287222,7.697660202686073,7.795049627456432
LKQ,74.86331590690912,8.652358979313625,6.872895692408971,8.502654373178155
LNC,77.39135740844499,8.797235782246887,6.629155584272354,6.622228229713714
NKE,38.84231243382687,6.232360101424409,4.9836879260581615,5.0859348935926905
HBI,91.0189133229897,9.540383290150858,6.550518565923805,5.2360989267600395
CAT,67.34220894005747,8.20622988588898,5.539031093615957,4.793460078725722
TJX,80.91412692221203,8.995228008350429,6.513279132458053,7.140539752000245
TER,210.02490068854692,14.492235876100931,11.538537072984404,10.6016948437755
ABT,30.74115090020892,5.544470299335088,3.486057082918472,3.219861729571404
HAL,47.910185315913786,6.921718378835836,5.518848792638984,5.240738611800251
PWR,89.15878088186038,9.442392751938483,7.498140718279918,7.0265141844084145
STT,330.3099466448556,18.17443112300508,12.317007584838002,13.026184954215683
HAS,59.402220817506745,7.707283621192796,5.876479515148707,5.999423790439166
OXY,89.68565125383348,9.470250854852447,7.074100277290511,7.068507154576974
NWL,71.80914567356962,8.474027712579751,6.764925841099114,6.8921011337467135
RHI,45.98451284355997,6.781188158690184,5.341080726924146,4.876068993853612
VTR,143.16402039696987,11.965116815015634,9.660032054635447,9.859362405491877
NOC,98.88554078602988,9.944120915698374,7.046520431843016,6.547623606142128
CE,79.04752930689409,8.890867747688866,6.559460719567772,6.440931002653561
EQIX,526.8413957158194,22.95302585098138,17.503786023929678,15.535984393848512
TFC,86.10114581800671,9.279070310004483,7.451208231098593,7.242630872556027
MTD,51.012755652567854,7.142321447020419,5.3128208619929715,5.35860389254074
DE,102.50416807169839,10.124434209954568,8.10383359951927,8.360326072175802
ROP,95.24047658549667,9.759122736470562,7.593847559250047,7.458745306804999
AZO,56.477989964279224,7.515183960774295,5.466867645697956,4.943616089547129
ADBE,23.403389705336537,4.837705003959681,3.4222592443813746,3.012516908332534
TYL,84.74979202156725,9.205965023916137,7.402333172408606,8.480520993995084
DHI,459.4704518667511,21.435261880059947,16.81814986266971,16.44692069958165
LYB,11.83884638274354,3.440762471131005,2.578675157538134,2.146986830602587
AFL,58.8523507194887,7.671528577766539,6.108103311169025,6.57326915771695
EOG,96.87673496146613,9.842597978250769,7.892527640771677,7.557258961856364
ROL,210.77399912472384,14.518057691190094,11.537028623200035,11.683434251696887
DOV,195.49574012181012,13.981979120346665,11.254476179821703,11.070811721380723
GOOGL,9.825915680843915,3.134631665896954,2.141185879956046,2.074206877595056
GRMN,117.3609725364849,10.833326937579466,7.608824419259561,6.73138799004894
SLB,128.87803764142242,11.352446328497766,7.8388932239515965,7.1196968694506095
FRT,81.58377107787045,9.032373501902502,7.253778981901189,6.593796699845664
IEX,35.60244310963359,5.966778285610552,4.477366223674088,4.399707448486471
RMD,185.13584287514158,13.606463275779697,10.447400638756164,12.156798860944939
ULTA,97.23316804779218,9.860688010873895,7.688741721885974,10.830809827708293
CCI,116.57439933945666,10.796962505235287,8.500971775043558,8.574974096420975
CSCO,60.66048707072214,7.788484260157565,5.090326389158299,4.946792614248303
PNC,70.7768860539573,8.412899978839478,5.892807821766135,5.353162322082358
KR,29.611516008167072,5.441646442775116,4.222207744858522,3.9649779188105057
DXC,269.4430720120422,16.41472119812098,13.010719800033906,11.972694009448643
PNR,160.84365823519292,12.68241531551435,10.21160295448739,10.814318776682214
BIIB,82.63491388692482,9.090374793534357,6.346433004246874,5.802937577426759
DG,175.4465028103167,13.245622024288505,10.454991058898583,10.958869934938631
DVA,26.309760333952795,5.129304078912927,3.5498760139525722,3.152448746726198
RSG,66.05612934922767,8.12749219312007,6.439840268007269,6.226653301299547
ZBH,63.907776772636765,7.9942339703461744,6.312314397278104,5.924443773336279
PAYX,251.02208104979815,15.843676374181534,12.630438336651016,13.476286520979942
LHX,46.19742127762199,6.796868490534592,5.260237552444124,5.090635811232231
JKHY,47.21987069851972,6.871671608751376,5.537443840944931,5.6560681008028855
ALK,18.299857174416246,4.277833233591072,3.0568183102936786,2.585937416810339
AXP,146.4269238450006,12.100699312229876,9.491899289349764,9.523332940297788
ESS,271.26244362041564,16.470046861512436,13.0348634724727,11.866028660192612
UAA,11.557367518986991,3.399612848397151,2.3947338589238956,1.723115849292936
WHR,221.81828170675055,14.89356511070303,11.244198231520931,11.956837315046391
GD,51.541135099072406,7.179215493288414,4.9465604004968,3.9922099208582686
WYNN,65.86929642035672,8.115990168818387,5.9709922457593505,5.570946820025476
NCLH,238.9977303935599,15.45955142924787,12.195816708561473,12.630673638687538
CMG,20.173333408512445,4.491473411756152,3.279518741864025,3.023122774840284
PPG,59.62254274683709,7.721563491083725,6.111073495230847,5.836651454882717
LEG,186.95187795041826,13.673034701572956,10.926835502134509,10.148315548429078
IDXX,227.83858033340601,15.094322784855438,11.341660965579422,9.882394612659628
NVDA,363.40483280540775,19.063180028668032,14.858074831430274,13.163532072891378
