,mse,rmse,mae,mape
STE,10.952192058130935,3.3094096238046653,2.27468365068383,2.1159695744034437
REG,16.434662474869267,4.0539687313630415,2.7515384718581415,2.694492654981668
WFC,13.294946228802313,3.646223557161891,2.6150067167284266,2.407219667284145
JBHT,110.86355427638729,10.529176334186227,7.004345858840897,7.185930965190706
SJM,37.08210551778557,6.089507822294473,4.252390099254528,4.745817526068519
PFE,44.18379841714801,6.647089469621122,4.566872610047308,4.784036799562074
EQR,6.220945002133038,2.494182231139705,1.784142661761504,1.6143343416624976
TSN,11.872261813309718,3.4456148672348332,2.487451982884795,2.2099421491501654
TDY,23.116107697252396,4.807921348904576,3.19782220558636,3.1008010880674584
GOOG,23.673351031305167,4.865526798950466,3.1580456147042826,3.0718901705629684
CMCSA,42.50022176933322,6.519219414111879,4.643440674815809,4.512961547331665
MRK,69.03886808778557,8.308963117488583,5.96688105217803,5.221825278959809
TXN,61.80665408153335,7.861720809182513,5.52676442377616,5.173379580531267
XRX,70.2244031839526,8.380000189973304,5.32997499126743,5.217501332111935
HRL,54.9941430849415,7.415803603449966,5.275177740004184,5.05574880239859
BSX,36.491777263513775,6.040842429952447,4.308262356384021,4.140463481053344
EMN,16.929313217697196,4.114524664854641,2.8144294913321457,2.7685270062292857
LVS,111.29496634768579,10.549642948824657,7.485722845458775,8.207449920271145
ADI,94.14690675589404,9.702932894537302,6.970017361429745,6.915524723576802
NTAP,25.0058299861414,5.0005829646293645,3.318037105974231,3.510370526743472
NWSA,18.79037547298446,4.334786669835606,2.9833517088375703,3.1583487078388455
CAH,8.127288413266617,2.8508399487285527,2.0373235230624984,1.9186636730884328
MGM,22.28811137768528,4.7210286355502316,3.1099071675569014,2.9247159990932046
ADM,89.98237226623789,9.485903871863655,6.046906772826451,5.775720234696738
MSFT,4.745729566729565,2.1784695468905606,1.4842446769816378,1.3825227478006494
V,3.437963981470578,1.8541747440493785,1.3114238729997638,1.3350530125513544
FMC,16.84418691590145,4.104167018519282,2.8529633979987223,3.0379128526306425
CDW,20.118304507242147,4.485343298705479,3.2126630658720656,2.6745137313564022
GS,11.695415944803912,3.419856129255135,2.3862910671017015,2.4510366034305355
TPR,3.4559706843989124,1.8590241215215344,1.340988195826511,1.874437041810619
MA,54.16002245749571,7.359349322969776,5.158223163578016,5.587762363736999
SNA,109.24811617610801,10.452182364277233,7.100953812022086,6.574348693977247
IPG,84.03489120113717,9.167054663365828,6.543011367453285,6.330947015628031
COP,7.994086013665177,2.827381476501743,1.87246589944458,1.8350511465993478
EBAY,34.36318873236184,5.862012344951334,4.113589773307364,4.24560612059267
SWKS,49.8709239782562,7.0619348608052315,4.771471793340861,3.246029417939827
