,mse,rmse,mae,mape
STE,79.20089868570616,8.899488675519857,6.858819965234318,6.508194811028131
REG,119.38427981659986,10.926311354551446,7.861152361350638,7.60286122372915
WFC,94.41604017800935,9.71679166072883,6.93536379603323,6.188465802771127
JBHT,10.623531591799097,3.2593759512825606,2.3889000289632287,2.4478163326369127
SJM,19.99321853636016,4.471377700033868,3.4996221129282437,3.863391514479504
PFE,33.114086072126625,5.754483997034541,4.483854988095588,4.704620604373533
EQR,31.13280196137605,5.579677585790782,4.355321623689565,3.864813612642362
TSN,155.11706243086314,12.45460005101983,9.82384535732995,8.630452060609862
TDY,5.615631184858753,2.369732302362179,1.5771469206667206,1.5248522334198447
GOOG,87.85334218816247,9.373011372454558,7.535534613646833,7.429693794050639
CMCSA,90.05606063735407,9.489787175556366,6.525843302792164,6.382967955899218
MRK,147.69326262201986,12.152911693171307,9.641007213453653,8.407391036265478
TXN,16.057926680671716,4.007234293209185,2.9697091907509305,2.778457036976677
XRX,147.64120538760267,12.15076974465415,9.412897328802625,9.318703022865545
HRL,122.342220419549,11.060841759086376,8.70118275115206,8.305040325385693
BSX,45.8061132855649,6.7680213715357675,4.488367739137482,4.340089017210005
EMN,359.59717576416807,18.963047639136704,14.930929088913668,14.625775133680444
LVS,18.17248222759642,4.262919448874963,3.438841128639822,3.700541066661782
ADI,8.32855128409443,2.885922951863828,2.306610964641031,2.267242981511908
NTAP,132.41772613614006,11.507290130006284,8.947672344362532,9.744942520724766
NWSA,17.696625408254935,4.206735718850774,3.05334358307946,3.1590868119276427
CAH,95.28626803460267,9.761468538831782,7.504626847954123,7.083203998693006
MGM,102.691520199617,10.133682459975594,8.03528182536507,7.642414565740851
ADM,40.480018735501325,6.362390960598171,4.940693219881475,4.857928260753821
MSFT,46.1911349187158,6.7964060295656115,5.422833184720325,5.009712970324602
V,59.884302048446045,7.7384948180150674,6.148206147824972,6.2100936576219565
FMC,144.45699299555167,12.01902629149099,9.188423667116417,9.79755843062497
CDW,66.25372151994985,8.139638905992689,5.725810940534399,4.559974452164455
