,mse,rmse,mae,mape
STE,58.848164311683995,7.671255719351558,5.26209928404577,4.881687043306179
REG,17.517581962121206,4.185401051526748,2.8228237807639487,2.760965035643474
WFC,5.615005547284529,2.369600292725448,1.6574868770142828,1.5159216852089368
JBHT,252.69705609741703,15.89644790817801,11.093451227952917,11.370160956568268
SJM,55.01580347711431,7.417263880779375,5.118761718524788,5.700716458511367
PFE,92.65856967988842,9.62593214602557,6.643022120243802,6.96651306644886
EQR,1.5036209110339986,1.226222211115913,0.9699250552007636,0.8646011846546346
TSN,24.985257379627388,4.998525520553775,3.5425891714551567,3.1451694571865505
TDY,201.3528848290572,14.18988670952158,9.935617718710569,9.659921406259457
GOOG,27.7512122734424,5.267941939072829,3.685291350532479,3.606532894529263
CMCSA,153.06811556955896,12.372069979173208,8.849807761276345,8.594766505763701
MRK,141.11167654841591,11.879043587276541,8.528510617257927,7.44263355948016
TXN,272.7830710385158,16.516145768263122,11.765525607823895,11.044153397729547
XRX,108.1770668476212,10.400820489154748,6.842979139569556,6.729373716927513
HRL,74.00241730065656,8.60246576864195,6.100374766267497,5.846418202314122
BSX,87.4188988973714,9.349807425683773,6.698050491542057,6.427794097295555
EMN,54.358840606308426,7.372844810947022,5.210509887375718,5.153806442644016
LVS,368.5796055141508,19.198427162508672,13.771955853258135,15.042360768211656
ADI,112.27725977241528,10.596096440313069,7.576377361794368,7.515520965776337
NTAP,199.52680445322952,14.125395727314315,10.053536251353927,10.613498943964771
NWSA,2.7488496963713964,1.6579655293073485,1.1964427673291353,1.2555253078812298
CAH,158.89922752701756,12.605523691105322,9.048794749312638,8.507436783102076
MGM,50.08936915913382,7.077384344454794,4.796119580664261,4.5649621579513395
ADM,89.850953618434,9.478974291474474,6.419349370954779,6.158059555109525
MSFT,1.743396620513284,1.3203774538037538,0.9477877150765814,0.9004489237734693
V,2.1699965536157757,1.473090816486131,1.125659429574914,1.126341002992582
FMC,19.83559521674943,4.453717011300721,3.275907652082042,3.5825020006484585
CDW,45.82038636497002,6.769075739343593,4.818122668937199,4.03635916479224
GS,11.120997681129174,3.334815989095826,2.365837768050958,2.4390707451868865
TPR,16.12010951456171,4.014985618226012,2.9796566954206467,4.053208982549442
MA,51.78552790735438,7.196216221553823,5.107421254533908,5.556080881535291
SNA,162.21918888228777,12.736529703270344,8.821759705549614,8.197087843040697
IPG,87.3501608316124,9.346130794698542,6.67698475809579,6.45527627356776
COP,10.548414584845567,3.247832290135309,2.421523391276353,2.409158171646908
EBAY,15.829437931061664,3.978622617321435,2.66620544446857,2.762570087891961
SWKS,49.20038844062964,7.014298855953433,4.689053961529279,3.1795127597851294
COST,56.022939169560054,7.484847304358323,5.269284683996785,5.529713746075151
EXPD,3.482637175739383,1.8661825140482329,1.4517209391115977,1.5991176316834965
GL,119.85214263661952,10.94770033553255,7.892867190593861,7.828046553831227
TRV,13.059984706013637,3.613860083901096,2.6186581207090898,2.6201394888552185
DPZ,225.86634634171372,15.028850466410054,10.714293897610368,10.051410402017746
DLTR,19.677042130900645,4.435881212442534,2.7312849705928963,2.9898544936738976
WBA,72.36948027853441,8.507025348412594,6.020820553449356,5.628262158378507
F,106.69490556706998,10.329322609303574,7.456422866265798,8.19569150335437
J,48.86059585034051,6.990035468460837,4.728499006555415,5.325492955985449
WMB,150.35630194706886,12.261986052310974,8.452175139169011,6.623826186719302
DUK,67.56255755517024,8.219644612461675,5.589433053906809,5.456435029643152
OMC,22.638035642828882,4.757944476644182,3.179518953859709,3.237990320382203
GM,100.30195579899842,10.015086409961645,7.070529213007043,8.336538074753697
EFX,4.400001369591119,2.0976180228037515,1.566909261551782,1.4767244034786973
IP,25.01640219632215,5.001639950688389,3.6239886408077733,3.6326023714581726
FITB,27.732558892721894,5.26617117958787,3.8292539852321084,3.8237498475434286
STZ,137.92741305074776,11.744250212369785,8.35325844975095,7.08722158293585
SWK,155.08916404497685,12.453479997373298,8.090984408528312,8.473136685248555
HSY,78.5282958129622,8.8616192545698,6.205452588376467,6.375632587877958
AME,217.10951227418153,14.734636482593709,10.425825968841917,10.612957306126097
MSCI,20.60862506093534,4.539672351716073,3.340886149728058,3.3513921243339766
ROK,70.88996132222233,8.419617647032574,5.783498413566855,5.774190094403106
ETR,10.655362703393422,3.2642553060986854,1.7314581735434067,1.4968295236235167
IFF,15.144384767071896,3.8915786985581953,2.7963872317785907,2.6150936172548684
USB,108.14975857476402,10.399507612130684,7.407443997144634,7.143571374163775
DFS,180.60618076215096,13.438979900355196,9.705911452387005,9.105330066200244
ES,92.29315391119782,9.606932596370072,6.860559982494591,6.48367585446313
CHRW,11.264466914047842,3.356257873591933,2.335631752420386,2.3290336876753504
PKG,22.392062736680526,4.732025225702049,3.4414802113351035,3.1864025139444263
ORLY,24.9667861249327,4.996677508598358,3.5903790679263974,3.2248715103530836
MCK,37.416897471082024,6.116935300547327,4.306009618194847,3.908052113325655
CPRT,154.9637421856424,12.448443363956892,8.84338892562527,9.346904761243705
PNW,150.41523684538467,12.264388971546225,8.789213258918812,9.007563487685031
VRSK,47.95990290753779,6.925308867302439,4.612204405076556,5.055940429339627
MSI,16.524248859713705,4.065002934773074,2.8865780274140382,3.0262881247877376
CVX,99.81412483968776,9.990701919269124,6.999347319125984,7.115674289133871
FTI,276.86576537449287,16.639283799926393,11.890530017850221,13.113192487522989
KMI,209.61043067758743,14.477929088014882,10.273582188889671,10.2228538702258
GIS,175.81835631367315,13.259651440127419,9.153818638992693,9.005786484374303
NFLX,5.595979349950407,2.3655822433283538,1.6528013628989748,1.5103589432264266
IT,360.8070765795837,18.994922389406693,13.650554500525985,13.583546417321475
RF,504.31798647684724,22.45702532564915,16.180233729851157,15.66725457899813
TSCO,24.362157004997773,4.9358035824977655,3.456208557311099,3.9624415817409413
JNJ,12.551629673016906,3.542827920322536,2.520674174091639,2.4259075351260964
TFX,296.64517861541003,17.223390450646182,12.136884301268214,11.48449808592645
WAB,61.51658013763647,7.843250610406152,5.330252420855382,5.039864870554436
HD,69.94853283135235,8.36352394815441,5.46533016655423,5.363519099052613
SYY,185.21548699958737,13.60938966300794,9.172452619110313,9.812221871584011
AVB,67.05780821127657,8.188883209038737,5.810107262975309,5.481471922817795
K,93.0121005606173,9.644278125428428,6.610378877343245,6.571369183028851
NEE,55.92451302244263,7.478269386859679,4.994870169099738,4.559198045717987
TGT,78.71414863670917,8.872099449212072,6.193619189810783,6.803316121567144
FANG,68.6225360735346,8.283872045941717,5.596807695994596,4.609059454820939
POOL,25.326571352182807,5.032551177303894,3.5293396388709106,3.602367699159356
LKQ,44.021863204421344,6.6348973770828845,4.813946575300476,5.928724592823231
LNC,72.55956482261422,8.518190231652156,6.172383048413053,6.222585581623409
NKE,244.37575245277586,15.632522267784424,10.683634970247303,10.872559736750205
HBI,44.229704206635475,6.650541647613033,4.476281495975125,3.5956131099505404
CAT,239.79018779352876,15.485160244360689,11.064721921372152,9.905696892207843
TJX,23.40421778077938,4.837790588768739,3.505671717101662,3.7961558501141193
TER,119.6517794733151,10.938545583088965,7.819641466791059,7.121223389756813
ABT,50.90480186218635,7.134760112448515,4.924360605251503,4.645353443077311
HAL,34.938053565771824,5.910842035257906,4.282214737441465,4.269976592719336
PWR,144.24598760698103,12.010245110195754,7.834853966495085,7.11870434580662
STT,33.57916874757165,5.794753553652791,4.14875827947224,4.302258275604779
HAS,82.19298803269888,9.066034857240451,6.023049028967582,6.153161940334832
OXY,3.762360898215192,1.9396806175799128,1.3763964494935204,1.3850320422076694
NWL,47.74908931077887,6.910071585069063,4.6126338549640895,4.6018842646348475
RHI,101.08094481933726,10.053901969849182,7.193038771415869,6.5889417313497
VTR,29.74924746803949,5.454287072389891,3.7982982971364927,3.9083671470290104
NOC,77.55143218994337,8.806329098435022,6.296090328690213,5.869373648636265
CE,37.717745402983496,6.141477460919603,4.185435794330623,4.136329292601534
EQIX,38.85005865977356,6.23298152249576,4.451346192896859,3.999326816585739
TFC,1.203699727182006,1.0971325021081118,0.838687198658789,0.8133706233271967
MTD,70.73669306889502,8.410510868484447,5.789802890636215,5.740940362806106
DE,43.45535064203242,6.592067251024706,4.772461198365129,4.978313530866544
ROP,58.137639070196016,7.624804198810355,5.299494383791826,5.153328002604085
AZO,1.3192515944372631,1.1485867814132562,0.9120894975970291,0.8255450740923003
ADBE,35.564551805963006,5.963602250818125,4.3104017658514655,3.887405465141702
TYL,20.934366222105613,4.575408858463429,3.174005849911287,3.6124213024620913
DHI,50.746512713411875,7.12365866064706,4.891781073055434,4.85604390193449
LYB,11.294529168270069,3.360733427136117,2.3063558364796872,1.8834488686893907
AFL,2.482041120647412,1.575449497967933,1.2620232557361561,1.3620908264733471
EOG,1.3451368985405627,1.159800370124343,0.8663304142084427,0.8080553217061754
ROL,175.86869674975927,13.261549560656903,9.578977825259932,9.740573702448389
DOV,159.6342713081054,12.634645674022893,8.58219707664757,8.317749543851114
GOOGL,27.75859994977956,5.268643084303544,3.682003512917659,3.5681878016854207
GRMN,40.21083574940061,6.341201443685621,3.836209100696775,3.4906434059033913
SLB,347.7381165062748,18.64773757071551,13.43944966506684,12.829200923614334
FRT,39.54605294325386,6.288565253160204,4.467857730567925,4.12595585615609
IEX,233.5557934840058,15.282532299458941,10.788645151069991,10.55322814482917
RMD,90.6540252852637,9.521240742952765,6.312224331533746,7.239632060753504
ULTA,72.68498194483871,8.525548776755588,5.73845956297908,7.951397281657459
CCI,169.2683996954317,13.010318969780553,9.17963462617581,9.232759998178375
CSCO,30.42953321807658,5.516297056728959,3.991105620811116,3.931751942387631
PNC,3.3972908670615514,1.8431741282530936,1.2922313284059515,1.1857344008633512
KR,5.9073850582591545,2.430511275073447,1.7444536979057577,1.6565246110623943
DXC,25.207017553651408,5.020659075624574,3.3465486000739912,3.0714438374006927
PNR,93.99482247106334,9.695092700488393,6.262281041633708,6.66709717309098
BIIB,2.227238583876337,1.4923935753936817,1.1076808166577057,1.0138316303814796
DG,108.27323188670354,10.405442416673283,7.170635961491126,7.399216859893316
DVA,91.1480259630025,9.547147530178975,6.7325373829961395,6.137263126940966
RSG,7.168067168767155,2.6773246289471797,1.877120262517152,1.7942299980163114
ZBH,155.5079203266466,12.470281485461609,8.599435267085552,8.078866685451752
PAYX,134.57284258154488,11.600553546341867,8.261860486535314,8.808684990149597
LHX,203.98748359226082,14.282418688452626,9.990177403046427,9.790691623951735
JKHY,156.4682538339282,12.508727106861361,8.948514707385431,9.125154312001976
ALK,109.22612343777763,10.451130246905242,7.505919457008927,6.534678273948625
AXP,42.189518435003215,6.495345905723822,4.745605127567444,4.779677962284757
ESS,94.07686942709917,9.699323142730073,6.680991172959392,6.025267718636147
UAA,63.22132275945971,7.95118373322235,5.658911020675573,4.3133865267307545
WHR,167.93801433484438,12.959090027268287,8.865784263298265,9.352961632719333
GD,47.992644221328376,6.927672352336561,4.928928851035208,4.0635556650110205
WYNN,270.2730130377088,16.439982148339116,11.650185528346515,11.08068283539518
NCLH,111.39315244565874,10.554295449989011,7.428562275371832,7.616877814512028
CMG,48.343664141971864,6.9529608183831915,4.902860390951952,4.481895072456795
PPG,39.94551590386331,6.320246506574194,4.376665881940677,4.156816507944435
LEG,33.14529060342176,5.757194681737084,3.6604751186685935,3.389829808375091
