,mse,rmse,mae,mape
STE,58.84815082923586,7.671254840587416,5.2620993020213565,4.881687115938382
REG,17.518169705799934,4.185471264481448,2.822918591543519,2.761050783973368
WFC,5.6195625272076,2.3705616480504363,1.6582157234273127,1.516587533892694
JBHT,252.68550873175406,15.896084698181312,11.093224612711971,11.369926977569657
SJM,55.01564500702349,7.417253198254963,5.118745691084185,5.700698340976905
PFE,92.07768503239967,9.59571180436343,6.616771963406886,6.939091199928669
EQR,1.5021595511092216,1.2256261873463792,0.9695643164038941,0.8642861159195256
TSN,24.984476660423354,4.9984474249934205,3.5425355710882926,3.145121563294073
TDY,201.3530202728145,14.189891482066185,9.935621642312787,9.659925227971797
GOOG,27.751200798400273,5.267940849933708,3.685289586735633,3.6065310212286352
CMCSA,153.06784382345992,12.372058996927711,8.849789937489001,8.594748198543032
MRK,141.10817812229274,11.878896334352477,8.528398168929272,7.442536231921788
TXN,272.78320195165827,16.516149731449467,11.765526911819993,11.044154708923504
XRX,108.17706805976388,10.40082054742624,6.842982226916187,6.729377394013933
HRL,73.967568963932,8.600440044784452,6.098986805080771,5.8450593792630245
BSX,87.41879961080427,9.349802116130816,6.698046533669455,6.427790399032794
EMN,54.35890408819109,7.372849116060296,5.210512279149436,5.153808714149852
LVS,368.5792862193363,19.198418846856537,13.77195757584878,15.042365537854382
ADI,112.27716953038768,10.596092182044647,7.576375432707042,7.5155189221234675
NTAP,199.5267358955803,14.125393300562653,10.053534409662857,10.613496569563733
NWSA,2.7488281430310133,1.6579590293583897,1.196434663951653,1.255516932356138
CAH,158.89920070891253,12.605522627361093,9.048786655725689,8.507428661858713
MGM,50.08946485245824,7.077391104952322,4.796123410032496,4.564965488550039
ADM,89.8507999590937,9.478966186198456,6.419348859477776,6.158060359232812
MSFT,1.7434000781187622,1.3203787631277482,0.9477910971294131,0.9004521470083268
V,2.1699790645158283,1.4730848802821337,1.1256605027141489,1.1263425609319866
FMC,19.83557800556223,4.453715079073001,3.275908445555842,3.5825023616755423
CDW,45.820240296236214,6.769064949920057,4.818123425714571,4.036359482723759
GS,11.120930773951711,3.334805957466148,2.3658269887465204,2.4390589122648447
TPR,16.120173387005334,4.014993572473726,2.979672044373316,4.053231037037237
MA,51.785353846353324,7.196204127618485,5.107409904149427,5.5560679748407455
SNA,162.21895801236897,12.736520639969497,8.821756796423932,8.197085304169505
IPG,87.34995377807947,9.346119717726681,6.676969329511729,6.45526113011967
COP,10.548848601012256,3.2478991057316198,2.4215459710892477,2.4091814863862044
EBAY,15.829383399172727,3.9786157642040187,2.6661980035251345,2.762561815012957
