,mse,rmse,mae,mape
STE,163.52980535070884,12.787877280874604,9.94573109083437,9.407358798946658
REG,525.7988517567519,22.93030422294375,18.229074579742733,17.824712104335973
WFC,166.84922265414326,12.9170129153045,9.150449450669992,8.26615801680531
JBHT,56.24399538063024,7.499599681358348,6.018086399151337,6.170606902012427
SJM,246.8318621457737,15.710883557132416,12.460139136128944,13.879937300067578
PFE,46.93220342292476,6.850708242431928,5.404936067039291,5.6606723940668315
EQR,72.85684812946569,8.535622304757029,6.5785928889687035,5.880267490354382
TSN,187.29199756043855,13.685466654829076,10.858682438193089,9.470721515142605
TDY,44.82363779369082,6.695045764869036,5.387296971347857,5.242689321800943
GOOG,6.0267764293904404,2.4549493740992787,1.6826389945105285,1.6551717006710762
CMCSA,56.31454451293071,7.504301733867763,5.576103261650352,5.392354756072575
MRK,21.172110812119524,4.601316204318013,3.291666479268348,2.8409040731078665
TXN,206.4075872841402,14.36689205375123,11.252296764921695,10.485816977904568
XRX,127.26863785405021,11.281340250788034,8.471438571091943,8.408884946704879
HRL,405.87952713106824,20.14645197376124,15.86433145230593,15.081777482748999
BSX,206.213479501341,14.360135079494935,10.251800368069624,9.841622901346854
EMN,106.63234522258982,10.326293876439399,7.104987347349013,6.940298387929792
LVS,44.06307877754579,6.638002619579612,5.140582947724345,5.548541362430931
ADI,90.43256521367331,9.509603841047918,7.601815821822537,7.46672919909955
NTAP,266.9408413085945,16.338324311525785,12.876441623245793,13.734555654787176
NWSA,74.65573744991225,8.640355169199484,6.8963384234537894,7.241531298107401
CAH,295.0916220052855,17.17823104994474,12.81447664327278,12.075134668132922
MGM,222.59909530116082,14.919755202454255,11.777282962586785,11.231214905868457
ADM,53.18833417716066,7.293033263132745,5.814744382737758,5.692597628441576
MSFT,40.205104749082416,6.340749541582794,4.986084612577715,4.604887343282808
V,62.081499707897066,7.8791814110285,6.211041010214777,6.306750633510917
FMC,141.07859805714253,11.877651201190517,9.30989801678217,10.127339115861727
CDW,842.6165626717257,29.027858389342565,22.214926255580416,18.07175188366617
GS,90.27129933259987,9.501120951371995,7.658996082386631,7.946564667067519
TPR,73.4408021312741,8.569760914475625,6.231257588664554,8.98206580151803
MA,12.240886449322572,3.4986978219507,2.615584508276538,2.8638117863268895
SNA,48.916753189475266,6.99405127157896,5.56363309582474,5.21146688646565
IPG,116.93495219022124,10.813646572281769,8.297207396182102,7.897648025518389
COP,12.434158372035212,3.526210199638588,2.7518460419893085,2.6910862481704507
EBAY,376.7260186705013,19.40943117843749,15.392273331914526,15.933541493175673
SWKS,63.82644683097151,7.989145563260912,6.192545569054981,4.120519419028848
COST,83.6607465849078,9.146624873958032,6.3991651129545986,6.722379634210781
EXPD,601.8729708416714,24.53309949520589,19.46057919503597,21.436626149119057
GL,104.87541532554067,10.240869851996981,8.162690805308433,8.086514036388252
TRV,125.89284209644241,11.220197952640694,8.388088569954604,8.377699051568925
DPZ,26.609664622352543,5.158455643150626,4.137717130276721,3.86048612361914
DLTR,54.821728674040656,7.404169681607834,5.871372898964505,6.465419794228267
WBA,58.97467203306934,7.679496860671885,5.5275974070852545,5.0573374919690615
F,44.32204041294697,6.657480034738893,4.9531465294047,5.4898040670529085
J,438.72411013769704,20.945742052686914,16.530205720636246,18.947293661620833
WMB,778.4614728008991,27.90092243638011,21.862106025819386,17.50106913895783
DUK,169.87896976691553,13.03376268645841,10.169274222976346,9.981852270510126
OMC,20.82337144621671,4.563263245334057,2.9673341263878372,3.037851719348898
GM,72.791945142969,8.5318195681208,6.8122445077587335,8.032550693665709
EFX,369.7469621447966,19.22880553089028,15.375660825897855,14.63428477713455
IP,38.90204337153632,6.237150260458403,5.027613108692677,5.046283431322691
FITB,77.58837425972978,8.808426321411208,6.306052803997817,6.313978594723691
STZ,272.13983013118,16.49666118131727,12.481727235615198,10.488070715810036
SWK,278.14624596818504,16.67771704905036,12.619915800393757,13.273031280768256
HSY,238.56695768738572,15.445612894520751,12.266266580553976,12.443817069702874
AME,75.79507423804776,8.70603665499105,6.893232407613587,7.036866674188114
MSCI,35.918418134658914,5.993197655230379,4.624163120130442,4.675760598956028
ROK,17.245863045839926,4.152813870839858,2.8346908931925947,2.8740274548202907
ETR,331.1463092108159,18.19742589518682,13.485346301829857,12.030035278936468
IFF,33.00576064999609,5.745064024882237,4.262453387606092,3.8832391993561672
USB,167.3749272722986,12.937346222170087,9.909250466818541,9.53707071901706
DFS,316.56072413915876,17.792153442997247,12.109740995513194,11.187736814680743
ES,267.05203645162015,16.3417268503552,12.93544804340582,12.181231360547711
CHRW,145.11189330681768,12.046239799490033,9.059206917784811,8.915362500618736
PKG,36.12009564939342,6.009999638052686,4.422160486934886,4.065173554476776
ORLY,365.44506628677516,19.11661754303766,14.582327767851128,13.032882888894454
MCK,191.14650682554725,13.825574375972495,10.865357994122611,9.77377929952073
CPRT,348.1969710191909,18.66003673681247,14.579983414495231,15.295855195459593
PNW,240.40430318290177,15.504976723068687,11.600923963178387,11.864416665895373
VRSK,181.49006007355862,13.471824674985887,10.580332473350866,11.681768438967039
MSI,103.69244444282266,10.182948710605523,8.22948456316582,8.572856467931476
CVX,93.2853039108689,9.658431752146354,7.571629700643872,7.673195448159695
FTI,181.04724681761127,13.45537984664912,9.92708990559924,10.532358677593741
KMI,84.31508866997133,9.182324796584542,7.319056487265714,7.3182551298995415
GIS,210.14851689790925,14.496500160311427,11.568063687444887,11.44446354411909
NFLX,331.0811177330879,18.19563457901614,13.473227992785477,12.249703845529165
IT,340.43453903879447,18.45086824620442,14.174743840017547,14.112686034328815
RF,78.10044134748185,8.837445408458365,6.118726381945195,5.9162010438986306
TSCO,703.3630170474175,26.52099200722736,20.82889770554212,23.92762241451277
