,mse,rmse,mae,mape
STE,163.5301421417798,12.787890449240633,9.945743630368733,9.407370743843238
REG,525.7988005291251,22.93030310591478,18.229071847958117,17.824709624337192
WFC,166.8498278140483,12.917036340200035,9.150463691844193,8.266170424115433
JBHT,56.23827476915282,7.499218277204153,6.0177917232764955,6.170304225703535
SJM,246.82892811635278,15.710790181157432,12.460060621284695,13.879851119628487
PFE,46.93234074741638,6.850718265073844,5.404944487120258,5.660681376502455
EQR,72.85717452997477,8.535641424636744,6.578605758773093,5.880278927600532
TSN,187.2931025404631,13.685507025333884,10.858720774367079,9.47075499440492
TDY,44.82673769933053,6.695277268293713,5.387500938820752,5.242885841829472
GOOG,6.026855287944828,2.45496543518332,1.6826513395353677,1.655183976650251
CMCSA,56.31466959457805,7.50431006785954,5.576106539600514,5.392357993921741
MRK,21.153699365926563,4.5993150974820765,3.2899754565036905,2.8394516567079013
TXN,206.43289641434077,14.367772841130972,11.25302690747718,10.486493751895186
XRX,127.26780015330003,11.281303123012874,8.471409157172396,8.408855480982268
HRL,405.8794203504782,20.146449323652003,15.864326128187999,15.081772462232472
BSX,206.20317874136015,14.359776416830456,10.251553025786954,9.841385967522104
EMN,106.6370961184761,10.32652391264728,7.105063264259648,6.940367677664471
LVS,44.06310718062185,6.638004759008678,5.140584485983469,5.548542862803496
ADI,90.43275141892062,9.509613631421658,7.601826480445033,7.466739406533819
NTAP,265.87451412018453,16.305658960010923,12.82406022161143,13.68214442045988
NWSA,74.65581841145404,8.64035985428003,6.8963416787580725,7.241534163499086
CAH,295.0914161545104,17.178225058326323,12.81446362966923,12.075123370779982
MGM,222.5980551246446,14.919720343379248,11.777241809231226,11.231175204163012
ADM,53.188310742789646,7.2930316565053825,5.814743332933847,5.692596667355162
MSFT,40.20455787072092,6.340706417326142,4.98606172207698,4.60486370848848
V,62.07851575920282,7.878992052236303,6.210784206809861,6.306502941881349
FMC,141.07867571641057,11.87765447032412,9.30989863664382,10.1273377764176
CDW,842.610494120967,29.02775385938373,22.214851631671692,18.07169068814333
GS,90.27146426888031,9.501129631200719,7.659003261825336,7.9465716308830725
TPR,73.4409505823017,8.569769575799672,6.2312618652422005,8.982073308749014
MA,12.240837678008347,3.4986908520199878,2.6155798405800175,2.8638066326146108
SNA,48.91682043688518,6.994056079049208,5.563635514603301,5.211468992007185
IPG,116.93536210867079,10.813665526021728,8.297218629485286,7.89765743453246
COP,12.434166615895993,3.5262113685790295,2.7518480500380966,2.6910882031129453
EBAY,376.72589324359274,19.409427947355706,15.39226979760023,15.933537845699409
SWKS,63.82662068662963,7.989156443995175,6.192551529702647,4.120522627445635
COST,83.66171169791917,9.146677631682401,6.399190649330642,6.722406836112338
EXPD,601.8724693987849,24.533089275482304,19.46057318173362,21.43661913481324
GL,104.87538323528709,10.24086828522304,8.162691785923368,8.086514844392052
TRV,125.87796402034515,11.219534928879412,8.387811420694542,8.37740909116254
DPZ,26.609875565306726,5.158476089438307,4.137735156706019,3.86050260622341
DLTR,54.82189183790456,7.4041806999765045,5.871380361651098,6.465428302938185
WBA,58.97470485435041,7.679498997613739,5.527598446748253,5.0573385964696
F,44.322340943358455,6.657502605584053,4.953165293042537,5.489824301290948
J,438.723745838054,20.94573335641543,16.530195671392292,18.947283516558013
WMB,778.459760914618,27.900891758411916,21.862083984326325,17.50105004890179
DUK,169.74088036582953,13.028464236656196,10.165951455946917,9.978567964660574
OMC,20.823247360261917,4.563249649127464,2.967315869344444,3.0378333332660477
GM,72.67109239652503,8.524734154008852,6.806576045947963,8.025869521596013
EFX,369.7468701838438,19.228803139661185,15.375660164629004,14.634284388436184
IP,38.90196483428637,6.237143964531072,5.0276055599917715,5.046276162022284
FITB,77.58850887518742,8.808433962696627,6.306054214660256,6.313980142753686
STZ,272.16809139104834,16.49751773422439,12.481883699929556,10.488179198074713
SWK,278.1461793409582,16.67771505155782,12.619909736712197,13.273025332654118
HSY,238.56740835362666,15.44562748332442,12.266284888879623,12.44383555350689
AME,75.79512083520575,8.706039331131336,6.893234458895473,7.036868678950015
MSCI,35.91854367575707,5.993208128853617,4.624172119649163,4.675769748117186
ROK,17.245826637745086,4.152809487292318,2.8346836922970433,2.8740206522099117
ETR,331.1469070777415,18.197442322418322,13.485348598719202,12.030035897412999
IFF,33.00500151159645,5.744997955752155,4.262391747983142,3.883184356727292
USB,167.37443268609243,12.937327107486015,9.909335909249489,9.537150018602341
DFS,316.56095787222006,17.792160011426944,12.109741531310865,11.187736943057832
ES,267.0694905040363,16.342260874922918,12.935880998866939,12.181641197967833
CHRW,145.11577973709655,12.046401111414834,9.059320169402156,8.915473882480445
PKG,36.12132907000744,6.01010225121066,4.422256928970321,4.065260994535159
ORLY,365.4449519197651,19.116614551739154,14.58232310128554,13.032878493506242
MCK,191.2900175713574,13.830763448608229,10.867722281852906,9.77462753919905
CPRT,348.93675660894905,18.679848945024933,14.595014775729911,15.311615743773626
PNW,240.40588968943004,15.50502788418744,11.600958358465418,11.864452047608868
VRSK,181.49132414407816,13.471871590246032,10.580364948658962,11.681804270998308
MSI,103.59695974891652,10.178259170846285,8.225349979539766,8.568617549917189
CVX,93.28568353812479,9.658451404760743,7.571643619950144,7.673208506463176
FTI,181.04724408820437,13.455379745224747,9.927088188579823,10.532356642461297
KMI,84.31618547012428,9.182384519836026,7.3190861153367655,7.318288370279397
GIS,210.14846237189798,14.496498279650089,11.56806034518454,11.444460478114596
NFLX,331.10069440832154,18.19617252084409,13.473661425732185,12.250105426051665
IT,340.5338260579215,18.45355862856597,14.179741196001318,14.117295993243912
RF,78.1005561267513,8.837451902372726,6.118725818263384,5.9162002769625825
TSCO,703.3617412609775,26.52096795482732,20.828872098537165,23.927593024865963
JNJ,198.06430045022154,14.07353191101017,9.39049363952844,8.871554368045803
TFX,231.0449647867808,15.200163314477276,10.821861928671456,10.16288023408013
WAB,43.87987242157679,6.624188434938788,5.130200725429599,4.869389274995698
HD,256.5392057851119,16.016841317348185,12.817281653427283,12.700947340188577
SYY,34.20813011905297,5.848771676091739,4.475344718729283,4.818036328452309
AVB,15.926475476683661,3.9907988519447657,3.0730962712793732,2.9336230861333026
K,162.8115387790579,12.759762489131916,10.271209659107173,10.229908260015527
NEE,128.28376377080588,11.326242261703829,8.77616524464093,8.026674007638746
TGT,65.01920606306581,8.063448769792354,6.1982928259543915,6.8124033898334595
FANG,90.83371976902065,9.53067257694968,7.3150816362621995,6.365621997626367
POOL,100.6582727680761,10.03285965057202,8.131289749212696,8.233588271031616
LKQ,98.06552731869415,9.902804012939676,7.873977463811267,9.741759276802998
LNC,112.12354515333509,10.588840595331252,8.373697418670151,8.412653612520705
NKE,53.370237314556896,7.305493639348192,5.834193694429434,5.952843302865715
HBI,69.58213613550251,8.341590743707252,5.70045612263983,4.532983464495787
CAT,71.62848081130143,8.463361082412911,5.833068734037424,5.054453523229379
TJX,28.41597301632851,5.3306634686808465,4.061483309803405,4.401931086943119
TER,233.30226760966653,15.274235418169596,12.149888382562612,11.166723974868479
ABT,20.68705830079043,4.548302793437397,3.10144356105791,2.8666466756024596
HAL,106.88973638430261,10.33874926595585,8.226655917165953,8.005274775288697
PWR,121.97204555273457,11.044095506320767,8.762256622351469,8.205242636788808
STT,336.96744465816084,18.35667302803427,12.613662142745266,13.310130816403063
HAS,53.96326182823776,7.345969087073383,5.626612468758537,5.743523311109481
OXY,104.00091986433988,10.198084127145641,7.94486232520231,8.004032790769445
NWL,85.50887346249579,9.247100813903554,7.366531056681892,7.501797989210312
RHI,57.515606900958815,7.583904462805344,5.972192054943191,5.449892114292421
VTR,194.45730013682194,13.94479473268868,11.215835523731938,11.450767675726489
NOC,143.26322526471742,11.969261684194118,8.458765881805235,7.854135385602773
CE,78.97282873224162,8.886665782634205,6.593324738527354,6.48043196670167
EQIX,711.3965160607622,26.67201747263904,20.373661593437784,18.089818608346135
TFC,139.56984372624038,11.813968161724508,9.41334795564783,9.150367292047362
MTD,59.15040448924376,7.690930014584957,5.945500041783294,5.991749990934285
DE,76.94828150860883,8.77201695783865,7.138146493771199,7.367342934566236
ROP,54.71878702262122,7.397214815227501,5.297563294564002,5.210157503804638
AZO,56.33790729661051,7.5058581985413575,5.457873586994866,4.935526603417679
ADBE,44.00388162763312,6.633542162949831,4.491731138285266,3.9480369896633976
TYL,152.15428667650983,12.335083569903766,9.842244126475416,11.272332289908066
DHI,511.31143136292087,22.61219651787329,17.726994774017214,17.33862651093777
LYB,13.714500507657739,3.703309399396402,2.608619762186755,2.140943483595449
AFL,115.6789640313754,10.755415567581542,8.471905163398914,9.116650226417995
EOG,125.87286162759952,11.219307537793922,8.960079500644536,8.58813490860618
ROL,240.58924086351897,15.510939393328792,12.29076376295139,12.446724700345404
DOV,276.4327578398478,16.626267104790774,13.340594013192193,13.13856602844741
GOOGL,6.040344284293357,2.457711188136913,1.6805873305153596,1.6332947628909875
GRMN,117.46126905803868,10.837955021960493,7.636532564814581,6.750687380856438
SLB,103.24229087046878,10.160821367904703,7.742022141633093,7.114718671851148
FRT,110.74580413702421,10.523583236570337,8.423666732063527,7.663059915002175
IEX,99.54303164764666,9.977125420061967,7.984655172229248,7.845045335575266
RMD,204.06420835346097,14.285104422210605,10.971760132207288,12.765898670005301
ULTA,106.39697340407749,10.314890857594058,7.910424096677044,11.143109639639547
CCI,125.32977627370406,11.195078216506754,8.78441952914429,8.86530696777393
CSCO,88.73593046150353,9.419975077541528,6.2895340465669305,6.115588368550963
PNC,122.90785265928733,11.086381405097306,8.607937362181344,7.852143856449437
KR,39.88793462253447,6.315689560335789,4.931873661585748,4.643455719925485
DXC,317.5589566107403,17.820183966804056,14.106422939939716,12.982764271197203
PNR,212.04368092710317,14.561719710497904,11.688878059245953,12.382565744652112
BIIB,54.68236879444593,7.394752787919683,4.907245943709819,4.478825702235891
DG,211.52778333962618,14.54399475177388,11.480365229909602,12.023522413218751
DVA,34.22026738269543,5.84980917489583,3.9559622747993983,3.5108795435024014
RSG,101.67626837333833,10.083465097541536,7.969072873486031,7.721492321128947
ZBH,70.10459198577854,8.372848498914724,6.620214327577996,6.212277282403716
PAYX,311.54127266637533,17.650531795568522,14.037262862736338,14.975137868966565
LHX,51.70366445039088,7.190526020423741,5.703167515330626,5.5271000055179655
JKHY,74.11124169647985,8.60878863118847,6.903320379347707,7.05174398486146
ALK,17.009718421235878,4.124283988916849,3.1506264219842532,2.698014243580298
AXP,257.7247939214802,16.053809327430056,12.450107084905872,12.495353958016358
ESS,289.3114195530812,17.009156932460854,13.451939250694405,12.244888328226027
UAA,11.655234343203459,3.413976324347235,2.45913630197038,1.78210966840431
WHR,266.04288887177773,16.3108212200299,12.326941428032065,13.107006560132005
GD,64.26360246618614,8.016458224564396,6.01275015865897,4.864543190155985
WYNN,60.71006271483888,7.791666234820308,5.805633385652401,5.417341907809934
NCLH,289.35251832466196,17.01036502620276,13.40054661489448,13.875376191670705
CMG,44.42520826622765,6.665223797159976,4.972038937459569,4.571339770540417
PPG,73.82778230717118,8.592309486230764,6.6947282234853605,6.41225174625237
LEG,235.01723294918435,15.33027178327848,12.21647096413149,11.348361389408286
IDXX,272.6406653769573,16.511834100939765,12.618582181601187,11.002182378740176
NVDA,355.30257651697843,18.849471518240993,14.690565107926966,13.018609045084014
WST,169.6373147187256,13.024489038681157,10.381659124165193,11.525000807220458
AES,1295.6567022197523,35.99523165948168,28.21160394120443,29.659726956813582
ABBV,150.48751243426713,12.267335180644048,9.29504759394697,9.13125616224265
PVH,126.26747812445555,11.236880266535527,7.354998992343585,8.339491244890388
ETN,197.82510829353922,14.06503140037516,11.273690151063686,11.959693987660076
AVY,334.0620145870319,18.277363447363843,14.546313701254567,14.89770725389707
BIO,11.954196956606213,3.457484194700854,2.8398932924606513,2.892493850446319
CF,281.668295307983,16.782976354269913,13.178665658563018,12.538088306039771
LDOS,98.50233864365293,9.924834439105418,7.467589194220736,9.116509889115402
CMI,61.55814938535463,7.845900164121044,5.9187623051873866,5.7140584317813365
AMP,37.80480219720692,6.148560985889863,4.8441397047209716,4.731484904373673
CHD,141.84180151166592,11.90973557689951,9.246858495207231,9.051402838377545
MCD,69.73974291775392,8.351032446216092,5.486889550107177,5.477117401947965
OKE,84.68203478034006,9.202284215364143,7.436438042408828,6.473356828948481
ARE,225.1770658467781,15.005901034152467,11.886151444211285,10.398699124197368
APD,91.1825506869836,9.548955476227942,7.637503887160967,6.986094196944032
RTX,99.90640834934648,9.995319322030012,8.057015453275062,8.066205419830341
EW,568.3968801387259,23.841075482006385,17.615865397895142,16.832686833061356
LYV,11.452821274894044,3.3842017190016973,2.3986932425273,2.123761828268429
NRG,319.58918305344565,17.877057449520198,14.320887404640235,13.853973200326147
SPGI,131.2312044025273,11.455618900894326,9.074181454253543,8.783607947975902
ITW,134.32854443382521,11.590019173143123,9.255159568553829,9.171653505629472
