,mse,rmse,mae,mape
STE,163.53014214159228,12.7878904492333,9.94574363035698,9.407370743833741
REG,525.7988004442403,22.930303104063853,18.22907184445492,17.82470962137075
WFC,166.8498278137327,12.917036340187819,9.1504636919149,8.266170424176282
JBHT,56.23827476971982,7.499218277241956,6.017791723349235,6.170304225775274
SJM,246.8289281201691,15.710790181278888,12.460060621479606,13.879851119839598
PFE,46.932365994772816,6.850720107753112,5.404945654359991,5.660682668999426
EQR,72.85711201928652,8.535637762890746,6.5786036522815685,5.880277136602672
TSN,187.29310258875182,13.685507027098113,10.858720779387111,9.470754998644448
TDY,44.8267376994455,6.695277268302299,5.387500938823547,5.242885841833889
GOOG,6.0268552891071945,2.454965435420058,1.6826513392709253,1.6551839763635743
CMCSA,56.31466959476838,7.504310067872221,5.576106539805788,5.392357994115736
MRK,21.153699371497098,4.59931509808766,3.2899754582766016,2.839451658168915
TXN,206.43289617927456,14.367772832950644,11.253026891264692,10.486493737845704
XRX,127.26780015210211,11.28130312295978,8.471409157084508,8.408855480902844
HRL,405.8794202935962,20.14644932224029,15.864326125827823,15.081772460179902
BSX,206.2031787616669,14.359776417537526,10.251553027401885,9.841385969093146
EMN,106.63713223038371,10.326525661149722,7.105065880493387,6.940370117603728
LVS,44.063107185053774,6.638004759342507,5.1405844864919255,5.5485428634410034
ADI,90.43275142916598,9.509613631960342,7.601826481567488,7.466739407633011
NTAP,265.87457659661203,16.305660875800527,12.824060930084968,13.682145081927166
NWSA,74.65581841149152,8.6403598542822,6.8963416787637435,7.241534163505654
CAH,295.0914161476171,17.178225058125683,12.814463629238789,12.075123370415229
MGM,222.59805508961895,14.919720342205444,11.777241807371803,11.23117520220247
ADM,53.188310733762684,7.293031655886507,5.814743331905874,5.692596666466252
MSFT,40.2045555879987,6.340706237320784,4.986061554663972,4.604863538743271
V,62.07851576594403,7.878992052664099,6.210784207621541,6.306502942646204
FMC,141.078675692904,11.877654469334592,9.309898634764233,10.127337773950645
CDW,842.6104942215777,29.02775386111674,22.2148516347329,18.071690690377867
GS,90.27146427591993,9.501129631571182,7.659003262523572,7.946571631535676
TPR,73.44095058227795,8.569769575798286,6.231261865193654,8.982073308672536
MA,12.240804950752533,3.49868617494518,2.615576938681447,2.863803474116356
SNA,48.916820436740835,6.994056079038889,5.563635514584974,5.211468991991677
IPG,116.93536210943138,10.813665526056896,8.297218629662492,7.897657434695067
COP,12.434199366350855,3.526216012434697,2.751851280629607,2.691091238238465
EBAY,376.7258932435769,19.409427947355297,15.392269797599525,15.933537845698696
SWKS,63.82662068799358,7.989156444080538,6.192551529847677,4.120522627518182
COST,83.66171169652576,9.14667763160623,6.39919065019731,6.7224068369150505
EXPD,601.8725083732526,24.53309006980679,19.460573588419816,21.436619684863125
GL,104.87538321245962,10.240868284108512,8.162691783899012,8.08651484239743
TRV,125.87801401429452,11.219537156865899,8.387813035766104,8.377410843399389
DPZ,26.609875564526437,5.158476089362675,4.137735156525282,3.860502606077944
DLTR,54.82189184003867,7.4041807001206195,5.871380361853046,6.465428303141741
WBA,58.974704854262754,7.6794989976080315,5.527598446735693,5.057338596458122
F,44.32234092931584,6.657502604529407,4.953165291491239,5.489824299540723
J,438.723745844024,20.94573335655794,16.530195671606588,18.947283516838624
WMB,778.4597609458818,27.900891758972183,21.862083985301634,17.501050049990244
DUK,169.74088042621165,13.028464238973513,10.165951460860514,9.978567969020622
OMC,20.823247359256925,4.5632496490173455,2.9673158698119364,3.0378333337329853
GM,72.67109239445419,8.524734153887392,6.806576045703608,8.025869521292588
EFX,369.7468705998701,19.228803150478974,15.375660182262177,14.634284404119086
IP,38.901964834123966,6.237143964518053,5.027605559971049,5.0462761620030046
FITB,77.58850887529908,8.808433962702967,6.306054214443359,6.313980142529288
STZ,272.16809288992613,16.497517779651766,12.481883741811558,10.488179226031319
SWK,278.1461793434591,16.677715051632795,12.619909736850682,13.273025332789416
HSY,238.56740836042255,15.445627483544413,12.266284889210016,12.443835553843925
AME,75.795120846867,8.706039331801056,6.89323445995615,7.036868680036944
MSCI,35.91854367575188,5.993208128853183,4.624172119746844,4.6757697477045905
ROK,17.245826637694105,4.15280948728618,2.834683692287551,2.874020652199985
ETR,331.1469072783751,18.197442327931007,13.485348612108407,12.030035907772199
IFF,33.005001523491416,5.744997956787401,4.262391755201124,3.8831843632425986
USB,167.3744327681295,12.937327110656572,9.909335918828127,9.537150027115784
DFS,316.5609578724719,17.79216001143402,12.109741531298958,11.187736943047804
ES,267.06947402325164,16.342260370684702,12.935880293298576,12.181640444790144
CHRW,145.11577946645684,12.046401100181615,9.059320148935631,8.915473864973748
PKG,36.12132907102351,6.01010225129519,4.422256928031043,4.0652609935175175
ORLY,365.4449519146332,19.116614551604926,14.582323101062741,13.032878493327049
MCK,191.29007201762468,13.830765416911122,10.867722977743822,9.77462813257192
CPRT,348.93653608087004,18.679843042190424,14.59501116439653,15.31161183829313
PNW,240.4058896894971,15.505027884189602,11.600958358469954,11.864452047613094
VRSK,181.49128769494627,13.47187023745947,10.580362707146797,11.681801801461063
MSI,103.61601753104485,10.179195328268579,8.226130177109988,8.569408337479386
CVX,93.28568353344845,9.658451404518658,7.571643619035643,7.673208505478927
FTI,181.04724408818532,13.45537974522404,9.927088188578876,10.532356642460147
KMI,84.31618525554312,9.182384508151634,7.319086094751812,7.318288352068453
GIS,210.14846238592628,14.49649828013394,11.568060345952945,11.444460478858174
NFLX,331.10069461102773,18.196172526414113,13.473661435791406,12.250105435876478
IT,340.533810330997,18.45355820244424,14.17973909064281,14.117294123084777
RF,78.10055612675608,8.837451902372996,6.1187258182609225,5.916200276960047
TSCO,703.3617413286433,26.52096795610302,20.828872100763952,23.927593027276345
JNJ,198.06430068261983,14.073531919266742,9.390493622034459,8.871554352411076
TFX,231.0449647948011,15.200163314741099,10.82186192932503,10.162880234653706
WAB,43.879873022303855,6.624188480282234,5.130200820101885,4.8693893599471325
HD,256.53920578507547,16.016841317347048,12.81728165342531,12.700947340186888
SYY,34.208130119052875,5.848771676091731,4.475344718729053,4.818036328452065
AVB,15.926475476661613,3.9907988519420035,3.073096271275004,2.9336230861295856
K,162.81153878472998,12.75976248935418,10.271209659466578,10.229908260366667
NEE,128.28376376952752,11.326242261647396,8.776165244546897,8.02667400755715
TGT,65.01920695246713,8.063448824942533,6.198292908087504,6.81240346901344
FANG,90.83370512169523,9.530671808518811,7.315080256510154,6.365620719405469
POOL,100.65827247019591,10.03285963572679,8.131289666297688,8.233588189215045
LKQ,98.06552735237781,9.90280401464039,7.873977467063785,9.741759280771754
LNC,112.12354515904897,10.588840595601058,8.373697419399127,8.41265361321258
NKE,53.37023731837044,7.305493639609198,5.83419369485742,5.952843303243549
