,mse,rmse,mae,mape
STE,8.910591967784544,2.9850614680077436,1.9288883860833828,1.7962196594719655
REG,12.801551409435609,3.5779255734902606,2.391151091196835,2.3417232804328822
WFC,7.080590807862888,2.6609379564098985,1.9161259208476547,1.762335124786634
JBHT,200.12134836631017,14.146425285785458,9.736058779883939,9.98285681711917
SJM,36.10570433760148,6.008802238183703,4.180383258450655,4.660133945668941
PFE,40.71958571629212,6.381189992179524,4.434095470418395,4.644158616890846
EQR,8.365760477403125,2.89236243880381,2.0725493006676037,1.8697405082385334
TSN,26.306173486915316,5.12895442433595,3.7092095798127875,3.3008973900678877
TDY,15.806850105357606,3.9757829550112023,2.6905363283296517,2.6080879648010695
GOOG,17.192796863788452,4.146419764542473,2.7989769607546586,2.7324581949283395
CMCSA,26.26824785675099,5.125255882075644,3.662209193521877,3.565934431656615
MRK,68.8466001099497,8.297385136894015,5.957342538153307,5.200710292685356
TXN,77.7920917039241,8.819982522880876,6.284800603456874,5.8956555921611775
XRX,87.39824449175404,9.348702824015428,5.935689377112779,5.809989346474063
HRL,69.78436018235101,8.353703381276535,5.930589759990851,5.6857428339551745
BSX,50.335393309960565,7.0947440623295615,5.041765502399724,4.84597866394308
EMN,11.91420082048452,3.451695354530078,2.389943543867788,2.351303243894909
LVS,100.05344123549081,10.002671704874194,7.169570940321822,7.850033735124166
ADI,95.46724809823552,9.770734266074149,7.049279362737789,6.997498963677908
NTAP,35.02123788982657,5.917874440187673,4.104610180758342,4.34363769100647
NWSA,7.748313735909629,2.783579302967607,1.8680129210679683,1.9628824208277296
CAH,6.706490486443995,2.5896892644570304,1.8325384915125746,1.7374007983391007
MGM,24.553197406871995,4.95511830402383,3.2753733648039733,3.0880388307795648
ADM,78.81536611228572,8.877801873903568,5.934088355229926,5.685553920096181
MSFT,7.456653239590155,2.7306873199965893,1.8140871140827095,1.6805172522126222
V,2.2137466725400174,1.4878664834386242,1.0244546903584804,1.057944641318919
FMC,10.300554681315205,3.209447722165794,2.277796817771694,2.4197205596328866
CDW,42.14985679476577,6.492292106395535,4.607723571658106,3.86481280024226
GS,10.26347891129089,3.2036664794093177,2.0464945933204657,2.092165848970743
TPR,6.557947259961275,2.5608489334518105,1.8539172927069993,2.6078227966772265
MA,44.924321675025425,6.702560829640073,4.716032783173714,5.115716488195026
SNA,143.38158884701733,11.974205144685694,8.38488289065123,7.808386057309959
IPG,92.61124984550361,9.623473896961722,6.8595828266041305,6.626201326023668
COP,8.62614127947095,2.9370293290110245,2.1962590578486783,2.1758311888404553
EBAY,19.20126186860477,4.381924448071278,3.0628276780579187,3.1623925190887587
SWKS,45.56861956245437,6.7504532857027,4.515861670195918,3.057821513687721
COST,7.141590408317918,2.672375424284155,1.8468162258296283,1.929115677964727
EXPD,15.033328137040755,3.87728360286435,2.859619611514085,3.1564613512158757
GL,6.297250275733218,2.509432261634734,1.7935635514052473,1.7669057989019166
TRV,22.33775103373873,4.726283003983017,3.380615408708598,3.419245922035958
DPZ,73.10759092773739,8.550297709889252,6.140038068222294,5.755458078928218
DLTR,6.980140529495574,2.6419955581899783,1.7497989856592975,1.9145622556679713
WBA,8.573547921804904,2.9280621444574746,2.0139637589617774,1.8710773172777726
F,41.691125871643365,6.456866567588598,4.652280719839539,5.1319023320631425
