,mse,rmse,mae,mape
STE,79.20089859046006,8.899488670168644,6.8588199559146075,6.508194803434611
REG,119.38427981712253,10.926311354575365,7.861152361470972,7.60286122384225
WFC,94.41604012505107,9.71679165800374,6.935363793818028,6.188465801399813
JBHT,10.62353159117917,3.2593759511874616,2.38890002884085,2.4478163325173226
SJM,19.99321851808068,4.471377697989813,3.499622108447347,3.86339150961778
PFE,33.11408607237054,5.754483997055734,4.48385498819084,4.704620604471284
EQR,31.13280196722459,5.579677586314875,4.355321624803724,3.864813613525221
TSN,155.1170624277701,12.454600050895657,9.823845357003382,8.63045206033225
TDY,5.6156311850001055,2.3697323023920034,1.5771469207429767,1.5248522334891526
GOOG,87.8533421872085,9.373011372403669,7.535534614078866,7.429693794466216
CMCSA,90.05606063789712,9.489787175584977,6.525843302824242,6.382967955928424
MRK,147.69329224000154,12.152912911726206,9.641007911752594,8.407391770294739
TXN,16.057926680653317,4.007234293206889,2.9697091907425937,2.7784570369694133
XRX,147.6412053878251,12.150769744663302,9.412897328854626,9.318703022913384
HRL,122.34217984241364,11.060839924816452,8.70118192401956,8.305039525282877
BSX,45.80611331123841,6.768021373432446,4.488367734247584,4.340089012494684
EMN,359.5971757710264,18.963047639317537,14.930929089593137,14.625775134377792
LVS,18.172482227409905,4.262919448853086,3.438841128546825,3.700541066541367
ADI,8.328551284142716,2.885922951872194,2.3066109646546558,2.267242981525278
NTAP,132.41772617503025,11.507290131696092,8.947672346981285,9.744942523388351
NWSA,17.69662540891895,4.206735718929696,3.053343584321696,3.1590868133582686
CAH,95.2863137238704,9.761470879118086,7.504627726736741,7.083204757206793
MGM,102.69152021750453,10.133682460858171,8.035281826860597,7.642414567342981
ADM,40.48001873219554,6.362390960338381,4.940693219464523,4.857928260385481
MSFT,46.19113492861833,6.796406030294124,5.42283318679216,5.009712972041109
V,59.8842536783896,7.738491692726019,6.148202116965377,6.2100895824140725
FMC,144.45699302889702,12.01902629287818,9.188423670439605,9.797558434942806
CDW,66.25372150504481,8.139638905077105,5.725810938660752,4.559974450835943
GS,20.145598393338194,4.488384831243661,3.5369477897935804,3.6133724578731194
TPR,79.07022129855528,8.892143796551835,7.007857665825285,9.887019761247897
MA,41.48193249970163,6.440646900715923,4.877520727997469,5.351916017176753
SNA,43.316930520151494,6.581559885023572,5.185632648977054,4.8569448764295275
IPG,84.29083357541387,9.181003952477848,7.1487658762996995,6.8691122944984535
