,mse,rmse,mae,mape
STE,79.13263583724982,8.895652636948558,6.85499240392395,6.504666382391278
REG,119.38612551798803,10.926395815546316,7.861204179048988,7.602910253135852
WFC,94.41639117812838,9.7168097222354,6.935378126281435,6.188479259960242
JBHT,10.623526902933657,3.2593752319936495,2.3888964520627325,2.447812612953131
SJM,19.993537027137023,4.471413314281853,3.499647136358518,3.8634193480923753
PFE,33.14201891095275,5.756910535256975,4.4862124016684755,4.7070842579064855
EQR,31.13306099204568,5.579700797717175,4.355338981898733,3.8648291155592394
TSN,155.11176577951275,12.454387410848948,9.823668079726696,8.630296240957176
TDY,5.615709261344069,2.3697487759980107,1.5771572329096497,1.5248630127280003
GOOG,87.8533303389742,9.37301074036375,7.535536840090238,7.429696243072919
CMCSA,90.05686686439378,9.489829654129403,6.525869483914138,6.382992397545005
MRK,147.69386292870388,12.152936391206197,9.641023941178611,8.407405708879148
TXN,16.057957722838967,4.007238166473134,2.969711972797578,2.778459482351712
XRX,147.6460878314052,12.150970653878035,9.413060653556576,9.31886364321255
HRL,122.32712710602948,11.060159452106895,8.700109186171671,8.304118065774277
BSX,45.80645111042145,6.768046328921032,4.488378760275118,4.340099317975299
EMN,359.6339680371841,18.96401771875317,14.932309354143271,14.627155046362951
LVS,18.172471413389736,4.2629181804709475,3.438840939761701,3.700540381093299
ADI,8.328694582223251,2.885947778845496,2.3066273846131566,2.2672593779096557
NTAP,132.41818384744903,11.50731001787338,8.947681737871944,9.744951714038542
NWSA,17.696678216917814,4.206741995525494,3.0533462443300863,3.15908929054852
CAH,95.2906285218285,9.76169188828599,7.5047986731737835,7.083364833540458
MGM,102.69166484399683,10.133689596785409,8.035283733316856,7.642416501762374
ADM,40.481654675820444,6.362519522627844,4.940797698903818,4.858030051908277
MSFT,46.19113201390262,6.796405815863457,5.422832376945438,5.009712233759129
V,59.844967589073626,7.735952920556952,6.146485834997642,6.208295713745334
FMC,144.46339853914515,12.019292763683941,9.188662548672188,9.797829386342622
CDW,66.25430084718208,8.139674492704366,5.725836552918914,4.559996490893032
GS,20.132595126950317,4.486936051132255,3.5359336286507768,3.6123782323071816
TPR,79.07063276676699,8.892166933136545,7.007868916128375,9.887036416925536
MA,41.48205036763573,6.44065605102739,4.8775274451713795,5.351922944711342
SNA,43.31688408071937,6.581556357026761,5.185628402311111,4.856941154711418
IPG,84.2910089120464,9.181013501354107,7.148774965417055,6.8691208399455155
COP,31.598495743936684,5.621253929857349,3.8715859122726815,3.678338848540686
EBAY,115.70658388364393,10.756699488395311,8.247093981880406,8.540373218932183
SWKS,9.57660805529379,3.0946095158022424,2.1486620889934542,1.3469323500172146
COST,131.01988810804738,11.44639192532072,7.87120895217821,8.37003159206548
EXPD,273.63500443850006,16.54191658903224,12.287775605409786,13.387959784964432
GL,57.01022017866574,7.550511252800418,6.078087920539479,6.024988635059267
TRV,97.9242538878085,9.895668440676886,8.307254909245604,8.251700350222237
DPZ,65.05002492009403,8.065359565456088,6.3244345993841,5.948758801113678
DLTR,28.641149664754142,5.3517426754987145,4.0463117176636745,4.47880436162691
WBA,54.75461023556005,7.399635817765632,5.2355901066985835,4.720865475629274
F,69.24463806398028,8.321336314798259,6.028359351192067,6.733163610088784
J,243.5598896679677,15.606405405088248,12.160752982433596,13.931730821206706
WMB,80.53004075505734,8.973853172136112,7.132121819838383,5.811481818626576
DUK,284.27728476190833,16.86052445097448,13.177498929324928,12.8749751111491
OMC,56.64178521944354,7.5260736921348,5.990570361867877,6.1367426344024905
GM,25.02464569210508,5.002463962099585,3.821810252671649,4.470356426959968
EFX,276.4927709289901,16.628071774231373,11.503976247875919,10.8151671570424
IP,61.37625055119275,7.834299620973961,5.970505082787499,6.019025927570834
FITB,28.98364388412972,5.383645965712244,4.332422592962386,4.327502393548893
STZ,126.17628095303792,11.232821593572913,7.092102961154045,5.916045960171498
SWK,247.67742154468465,15.737770539205503,11.910489137445465,12.49277068986151
HSY,36.48679590927926,6.040430109626239,4.228430201764831,4.3540434856654295
AME,82.97545096314693,9.109086176074246,7.235888756041036,7.375225612484206
MSCI,14.062933119180157,3.7500577487793647,2.749052259399419,2.7807461673652236
ROK,66.31906577280579,8.143651869573366,6.353406682219218,6.337749937876377
ETR,121.58408636939728,11.026517417997274,8.74500019633704,7.856227768762655
IFF,74.86318939887012,8.652351668700835,7.007235893801121,6.437501927085799
USB,43.29414105658567,6.5798283455258675,5.236973711057888,5.047219139161015
DFS,137.95847734349925,11.745572669882863,8.098005059168623,7.506719137088824
ES,396.4652724049633,19.91143571932881,14.08953154601913,13.21724337286637
CHRW,103.07956289224278,10.15281059077942,8.065314519152423,8.031992235041017
PKG,82.66463722119043,9.09200952601736,6.93112521805905,6.352520417234335
ORLY,222.59891482291647,14.919749154155255,10.256777804098359,9.139773822992531
MCK,65.70892975328994,8.106104474609856,5.424410929946988,4.800023360685918
CPRT,37.96160884071034,6.1612992818650145,4.744628777825451,4.976624491408186
PNW,340.8336667638714,18.46168103840686,13.477341398214904,13.735113320322235
VRSK,53.3671427909079,7.305281841989938,5.244752248924232,5.804022212030326
MSI,117.44818087501343,10.837351192750626,8.396488065464448,8.750273089307857
CVX,7.617245027123704,2.7599356925703367,2.240616086423971,2.2844490006322764
FTI,77.2955448979885,8.79178849256444,6.206029043202838,6.45509322541708
KMI,71.14895747070163,8.43498414169829,6.652910621146821,6.661977543610399
GIS,76.35876760970928,8.738350394079495,6.120331767917517,5.941677048652715
NFLX,437.3595684016025,20.913143436642958,16.260496959745442,15.023090033398834
IT,214.96264042855591,14.661604292455717,11.43023713199718,11.428082405997047
RF,83.83009985103705,9.15587788532793,6.778993471138217,6.558685777458697
TSCO,178.58861567569636,13.363705162704555,10.418791472129689,11.968381537795532
JNJ,120.8636112890669,10.993798765170613,8.349532659943197,7.862871208866726
TFX,103.69894776706805,10.183268029815775,7.9743706192804495,7.494993477772708
WAB,42.24390540300448,6.499531167938537,5.248821959453891,5.020288873066911
HD,150.7144107768382,12.276579767053942,9.184238934661007,9.078769705114375
SYY,125.51868689704014,11.203512257191498,8.846220534155798,9.537243083158241
AVB,10.638976195558385,3.261744348589936,2.5974527389083306,2.458074916572627
K,136.74353363157437,11.693739078309143,8.206313461224235,8.014701798778143
NEE,66.78455640875622,8.172181863416661,6.527515084051372,5.936138958743168
TGT,11.857799654111979,3.4435155951602687,2.82540794517525,3.099322206546825
FANG,600.9283192791153,24.513839341872078,19.44782311004361,15.808089704526964
POOL,124.72237180487237,11.16791707548334,8.656950130484699,8.775820082930535
LKQ,93.79924921572008,9.68500125016616,7.522561935409109,9.34394305105009
LNC,81.14383225518694,9.007987136713004,7.113069551439751,7.150060820209849
NKE,27.385421456911544,5.233108202293503,4.023759747707988,4.100246651682227
HBI,83.35426953335869,9.129855942639987,6.893381384542799,5.505355919986737
CAT,81.08267183958593,9.00459170865542,6.079758459348329,5.247057521488554
TJX,46.50803641363434,6.819680081472616,5.0481326404590625,5.507176513739363
TER,46.19639610905261,6.796793075344622,4.5346367064992545,4.138128613003973
ABT,302.5123166580915,17.392881206346793,13.945260117648804,13.171106167212919
HAL,35.90242989009801,5.9918636408131,4.331303298101257,3.9480364777226935
PWR,75.99051811218047,8.717254046555054,6.548953721538424,6.196830366649623
STT,80.6258112802702,8.97918767374144,6.1108457857306995,6.498943100255849
HAS,28.398606808402384,5.329034322314164,3.6100702664402653,3.692179041195491
OXY,41.91247350925077,6.473984361214566,4.5342224679431675,4.5215242695042654
NWL,13.229698363715723,3.637265231422603,2.7034419909245515,2.7929829648203794
RHI,51.07251915401699,7.1465039812496425,5.515419189898048,4.9865455902468465
VTR,132.86769252473616,11.526824910821547,8.07596427938558,8.20171117646934
NOC,69.36233723036936,8.328405443442902,6.090227836690686,5.614559461862974
CE,160.02646184272072,12.65015659360471,10.172603131005257,10.102000020209607
EQIX,198.38176795846977,14.084806280473643,10.680954870661488,9.482126339452405
TFC,60.390955752671864,7.771161801987645,6.427737622148823,6.252417835199387
MTD,84.72954741441129,9.204865420765872,7.227925327235149,7.303551502491446
DE,63.57666167928345,7.973497455902488,6.5477394186371445,6.753948039654473
ROP,25.491548036674544,5.0489155307525735,4.268636699712647,4.158103742664456
AZO,10.086406666709097,3.1759103681793506,2.316454986220433,2.106756006733419
ADBE,7.521698351530042,2.7425714852178498,1.9717409274601108,1.7499865056168933
TYL,26.226058438734267,5.1211383928511705,3.5166287344916345,4.171407379739203
DHI,43.73351619199339,6.613132101507832,5.11916475653981,4.98316107625861
LYB,89.7753002884775,9.474982864811814,7.659188792564307,6.566795676407888
AFL,12.509121895073587,3.5368237014408264,2.5239833298293197,2.691698082234336
EOG,22.416512378286377,4.734607943461251,3.8262818068399866,3.6073890512115288
ROL,182.86558256239218,13.522780134365572,10.341248525336956,10.43660174729075
DOV,170.65828368349835,13.063624446664805,9.21194822789265,8.638932363499556
GOOGL,87.86812806265337,9.373800086552592,7.533686218562992,7.357331391723184
GRMN,41.23052944122709,6.421100329478359,4.8894894050000675,4.51921273914137
SLB,33.97671873591386,5.8289552010556624,3.5520640881691112,3.1767130139371336
FRT,10.153508980816202,3.186457120504872,2.5754506203002383,2.3155615671795937
IEX,21.05815171593795,4.588916180966694,3.5301361091921213,3.4861802486037816
RMD,14.601234429859339,3.8211561640240954,2.4496914366703235,2.7388085991331392
ULTA,264.16700915409166,16.253215348173164,13.05675208782798,18.175582235810765
CCI,12.064772925861753,3.473438199516691,2.715642244201136,2.729386081074127
CSCO,121.56185579647953,11.025509321409126,8.83326269613579,8.669760677867018
PNC,12.985497247725705,3.6035395443543705,2.8614897258095806,2.6081270913283787
KR,15.646647081205098,3.9555842907470824,2.7076162866084275,2.4311566909305315
DXC,87.16231908102556,9.336076214396794,7.2215958230851305,6.584820208470641
PNR,34.164239998126256,5.845018391598631,4.4234804035500135,4.732776220031525
BIIB,17.341021567824736,4.16425522366542,3.276157806934025,3.045912082246728
DG,85.28486580679717,9.234980552594422,6.948986196003299,7.3590596734596785
DVA,3.70908500082789,1.9258984918286557,1.3986669485151442,1.2823329145137286
RSG,63.2763973225797,7.9546462726245535,5.8426033273645706,5.584354563429009
ZBH,21.46548513103452,4.633085918805577,3.636829667076517,3.409841654904792
PAYX,304.4679012609968,17.4490086039579,13.897727318271421,14.849352325874248
LHX,10.939722697812364,3.3075251620830284,2.639032285511285,2.5505240940844285
JKHY,55.8064616336651,7.4703722553608465,6.015529024630206,6.145029388681407
ALK,11.463226373482234,3.385738674718153,2.654457268311643,2.2655649037877916
AXP,78.86846990474264,8.880792189030359,6.75407434510194,6.791382538118716
ESS,41.58397479704807,6.4485637778538,4.77191776397493,4.3109348249477115
UAA,91.15631827666957,9.54758180256496,7.365551587533939,5.435449204609415
WHR,111.16324070949517,10.543397967898924,7.478596749388775,7.957562552759839
GD,87.640056707836,9.361626819513583,7.116570317409281,5.882672056005779
WYNN,41.028438513552786,6.405344527310985,4.777002777996299,4.443626798173126
NCLH,99.07494925874278,9.953640000459268,7.861429930002497,8.253456352857807
CMG,86.33259675832862,9.291533606371374,7.400969187528312,6.923763294671977
PPG,56.825556783431345,7.5382727984221525,6.038031046958508,5.766036295975475
LEG,103.33802948071849,10.165531441135702,6.997377230240818,6.3746865108697435
IDXX,52.37230247901703,7.236871042033085,5.205855576641223,4.542794312441392
NVDA,454.1227558097798,21.310156165776444,17.01935220917324,15.019344212248503
WST,67.86724257569547,8.238157717335561,6.115239193991528,6.901760909806481
AES,138.0695901552165,11.750301704859178,9.178424897371356,9.667215107938299
ABBV,87.20531562709084,9.33837864016505,7.274874410919667,7.233482050064455
PVH,180.48175386395974,13.434349774513084,9.815869031847614,11.143924716388511
ETN,43.332498325001225,6.582742462302564,4.895247565107715,5.165766601556233
AVY,110.30996702612346,10.502855184478335,7.268266112957018,7.405546348409084
BIO,9.109541044239542,3.0182016241860885,2.127223398264164,2.183390032234501
CF,150.3904809923711,12.26337967251977,9.775967779077714,9.28730618115108
LDOS,23.209934004387314,4.817668938852826,3.865137464332721,4.701019954414709
CMI,257.23206293718636,16.038455752883017,12.942938096872235,12.607342693202122
AMP,95.94145953201105,9.79497113482276,7.885189572991684,7.784679458372766
CHD,125.43735793064072,11.199882049853949,8.646935372916488,8.399727545396587
MCD,122.66690128421094,11.075509075623158,8.317062461274151,8.314059704304936
OKE,30.215973861456032,5.496905844332431,4.484649006039814,3.875031286400045
