,mse,rmse,mae,mape
STE,0.10414853396452324,0.3227205198999953,0.2945989161905138,0.25587085546006416
REG,0.26247186775596076,0.5123200833033591,0.449194207203098,0.4073264048438477
WFC,0.0016031637467171166,0.04003952730386707,0.031289868375648025,0.02749579989917665
JBHT,0.014185331692440049,0.11910219012444753,0.11019907460723874,0.11186781827325902
SJM,0.006150486695584066,0.0784250387031085,0.0666747159914718,0.07216908696594695
PFE,0.11028453846969219,0.3320911598788685,0.2929098762041416,0.3050082587669965
EQR,0.0383699992815582,0.19588261607799248,0.17525196046343208,0.14542245591088496
TSN,0.009530737664249724,0.0976254969987335,0.07103759304238158,0.05946162561232336
TDY,0.019031984690875955,0.13795645940250842,0.11925391374544297,0.11221655385797927
GOOG,0.12458870137234998,0.35297124723176815,0.2936428208774363,0.29793058555409396
CMCSA,0.0785601912165962,0.2802859097717832,0.24542713155806692,0.23476436591008815
MRK,0.018551281769906107,0.13620309016283774,0.13013913154618764,0.11058605081762923
TXN,0.012276823142666569,0.11080082645299433,0.09206480834829749,0.08390420758301902
XRX,0.211849159945816,0.4602707463502498,0.4187496458516645,0.39717434359472165
HRL,0.09524897405436213,0.30862432511771026,0.26820932556213406,0.2419098753204708
BSX,0.3232409478627906,0.5685428285211156,0.47529051062997185,0.4619576420853621
EMN,0.3936192461461019,0.627390824085037,0.5237384109474066,0.521185458392537
LVS,0.4049020393920374,0.6363191332908649,0.5328894784901601,0.6323127275921685
ADI,0.2844342945166754,0.5333238176911617,0.46244141280237433,0.4529310231587976
NTAP,0.008899709069205156,0.09433826937783603,0.07946228984155135,0.08320665727286253
NWSA,0.012992650299404478,0.11398530738391013,0.08850782488299877,0.09917015874459971
CAH,0.15630986700229788,0.3953604267023925,0.35045942928468116,0.31552679798474653
MGM,1.5078703874271646,1.2279537399377733,1.0287820273740842,1.0405843704788083
ADM,0.14801993947766104,0.3847335954627059,0.3511978306010157,0.3214942003873677
MSFT,0.1426931731837895,0.37774749924227097,0.3204028159069115,0.2723124011680088
V,0.2354174358952861,0.48519834696264796,0.4280370906684302,0.4256475364697582
FMC,0.16255103364624873,0.4031761818935349,0.32675186707088605,0.3983173419253132
CDW,0.009654370746243635,0.09825665751613799,0.08373078129793388,0.06367206587233033
GS,0.11729102972152929,0.342477779894593,0.3165776239061899,0.3174127842767603
TPR,0.10030707831365804,0.31671292729166906,0.289241342053619,0.4332067130558247
MA,0.39498047758778315,0.6284747231096753,0.5648353720593509,0.6055037766938797
SNA,0.06867958652629162,0.26206790441847627,0.23571357165449702,0.20801779814179785
IPG,0.1405957711870115,0.37496102622407507,0.33029315094324774,0.30720820194246684
COP,0.037752457050886847,0.19429991521070422,0.16420870928762474,0.1534420583228476
EBAY,0.42549334030536223,0.6522985055213313,0.5710457912739965,0.5972223274136793
SWKS,0.20769728538878648,0.4557381763565419,0.3734237729949553,0.19662756636214743
COST,0.003918440975607141,0.06259745182998379,0.05382569627485998,0.05447562787882934
EXPD,0.019915230357776783,0.14112133204365945,0.11559639582062779,0.12231682450044461
GL,0.029226906805515478,0.17095878686255198,0.14748051227919784,0.14429890631146736
TRV,0.018172129881353288,0.1348040425260062,0.12797093344590404,0.12411335594744378
DPZ,0.015601000879368394,0.1249039666278393,0.08061778946078256,0.06548851758896065
DLTR,0.006189957872732065,0.07867628532621546,0.0652229844553287,0.06816613800182603
WBA,0.08144645883019547,0.2853882597974126,0.260200411486532,0.22831167729200902
F,1.3902521832864154,1.1790895569406148,1.0394857782818383,1.1419254279574027
J,0.8500305595208417,0.9219710188074469,0.7864951604813837,0.9994693372396914
WMB,0.053204414416231104,0.23066082115572012,0.1611228200354463,0.12551028280880178
DUK,0.013517396670178688,0.11626433963248872,0.09113605905305189,0.08295363599892183
OMC,0.1629262501508411,0.40364123940801827,0.3532303881359658,0.36078849177809064
GM,0.24987292428662894,0.4998729081342866,0.4545384271423115,0.5508066859327692
EFX,0.0012079983858413804,0.034756271172860016,0.028661084498289097,0.02648895668273045
IP,0.08284339526691847,0.287825286010313,0.2618103324619674,0.2557629933125245
FITB,0.061418570466507214,0.24782770318611924,0.2014165380230456,0.20637899623618935
STZ,0.08259535042028657,0.28739406817171187,0.2667625424030503,0.2172250873043246
SWK,0.0013813384712114793,0.03716636209277792,0.029625255083051277,0.030751272477320124
HSY,0.0032784532748909123,0.057257779164851585,0.04360320507931283,0.04291090861764327
AME,0.4601651654164933,0.6783547489451912,0.5900065988176884,0.6008148607220832
MSCI,0.14757273613420718,0.3841519701032486,0.32926857112111774,0.319828693250129
ROK,0.37137562827012716,0.609405963434989,0.5143077773109943,0.5241982197737979
ETR,0.005970179713431303,0.07726693803582035,0.06278902458088062,0.05125404287835918
IFF,0.03459093836864328,0.18598639296637612,0.17008374520123687,0.1513213313966015
USB,0.0369227391520979,0.1921529056561412,0.1642529619260179,0.15498743466575465
DFS,0.01725021436188399,0.1313400714248473,0.11229695694256155,0.10018110696626747
ES,0.013477797328547899,0.11609391598420607,0.09378616876097375,0.08530806872054508
CHRW,0.025066777759635825,0.15832491199945706,0.12912119386910087,0.11614857944883607
