,mse,rmse,mae,mape
STE,0.005318905667206178,0.07293082796188576,0.06151987238468191,0.05637732014669717
REG,0.07551630132044235,0.2748022949693877,0.23541241571654656,0.21250130719416666
WFC,0.007244350750140545,0.08511375182742531,0.06603851563805421,0.05737804687785007
JBHT,0.015212289723177532,0.12333811139780572,0.11303303457727314,0.11461363380511516
SJM,0.0029379477361403243,0.05420283881993935,0.04513629590179406,0.05014246962439834
PFE,0.03259908675084844,0.18055217182534372,0.15616088741200576,0.16453122615167665
EQR,0.10655891425759595,0.32643362917689095,0.29229333000335983,0.24255840141492926
TSN,0.04785716236161223,0.2187627993092341,0.1810763685394222,0.15625397312272238
TDY,0.0034230461804971245,0.05850680456576931,0.046451493779497435,0.045092429801851616
GOOG,0.2594096019821014,0.5093226894436389,0.43449598241826753,0.4398016734094317
CMCSA,0.07173202867004311,0.2678283567325221,0.2352051605325693,0.22532162343572767
MRK,0.013637228385031874,0.11677854419811833,0.11122414739062375,0.09521992672217049
TXN,0.0065363382862701795,0.08084762387522702,0.0628811415027944,0.05786821411336281
XRX,0.05098396592162106,0.22579629297581716,0.20362148168043243,0.19487145483738044
HRL,0.0017811867352333025,0.042204108037409135,0.03296173901779348,0.0306131394053806
BSX,0.004171316266158941,0.06458572803769375,0.052933960449317856,0.050659836104903835
EMN,0.005199625101569448,0.07210842600951325,0.059914105760178735,0.05890561733247082
LVS,0.21575770171621161,0.46449725695230065,0.37983800207775703,0.45331908151179956
ADI,0.039184276093035666,0.19795018588785326,0.16336561729077254,0.1621613485374734
NTAP,0.014367647112118765,0.11986512049849515,0.09576743460850075,0.09848859239463431
NWSA,0.08220173154763574,0.2867084434536865,0.24698434475560185,0.2719620360559179
CAH,0.19924997692884863,0.4463742565704799,0.39581938111252934,0.3563580548968225
MGM,0.05006102976769006,0.2237432228419222,0.16965131165043373,0.17340345135094745
ADM,0.10779917003001259,0.3283278392552368,0.3026535783001036,0.2787324085184007
MSFT,0.003023016082516615,0.05498196142842319,0.04533073959097037,0.04182060587562405
V,0.06125407168010757,0.24749559931462936,0.21496729568096937,0.21635413305280232
FMC,0.05755482756364007,0.23990587229920002,0.18507153335595136,0.22861153880101642
CDW,0.09026726439727804,0.3004451104565991,0.26855971375182114,0.20131896882030506
GS,0.04007889370072899,0.20019713709423767,0.18799210290360152,0.1898785205218409
TPR,0.08936741812137597,0.29894383773775296,0.26603900505387007,0.40073637042885407
MA,0.222829578506554,0.4720482798470449,0.42716331183358897,0.4589815253188079
SNA,0.00432438742713328,0.0657600747196449,0.05720913757014306,0.05226986659121558
IPG,0.005155860874844905,0.07180432351080891,0.06047584258303478,0.05566031620039986
COP,0.010744060179961904,0.10365355845296342,0.08291103545556631,0.07878732323827262
EBAY,0.022670991124946176,0.15056889162422024,0.13319243575931822,0.13676263684531015
SWKS,0.26256191740083223,0.5124079599311785,0.42781799127684095,0.22726948486516765
COST,0.005755955665221151,0.07586801477052864,0.06585308668968688,0.0693825282504733
EXPD,0.006870114580508075,0.08288615433537784,0.06751896812955548,0.0757653033733153
GL,0.021502096815730596,0.1466359328941259,0.12558711402665054,0.1229375948546206
TRV,0.009666020059682158,0.09831591966554631,0.09125402464289259,0.09008901877382217
DPZ,0.02777652731318469,0.1666629152306676,0.1262745243340997,0.10579536157349244
