,mse,rmse,mae,mape
STE,0.005434540824730336,0.07371933820057215,0.06217581092450622,0.05702172250790794
REG,0.2980511526584653,0.5459406127578945,0.4777415090197061,0.43342255710228544
WFC,0.13038254540520447,0.36108523288166255,0.3070056500047709,0.2670934716255656
JBHT,0.15787701734691167,0.3973374099514312,0.34450212963448834,0.3433329379760499
SJM,0.0036576661669946962,0.060478642238353,0.049537411281625345,0.05571495415057259
PFE,0.2988855361505924,0.5467042492523653,0.47914292217632426,0.5022527771013896
EQR,0.6449937810665999,0.8031150484622984,0.7210932958218025,0.5993912937351525
TSN,0.12541808934146315,0.35414416462997544,0.3340206162174336,0.2861502195924225
TDY,0.12666978069016716,0.35590698319949715,0.31698513253652133,0.30019814001938744
GOOG,0.03299772260257282,0.1816527528075829,0.1523015763525004,0.1496226291393563
CMCSA,0.004524516103272016,0.06726452336315196,0.05310185531843231,0.052145008650128846
MRK,0.009640131583077315,0.09818417175429711,0.09092797378054428,0.07811444768073732
TXN,0.14674515300656754,0.3830732997829104,0.33009127984920195,0.2968675196878362
XRX,0.14049055901216007,0.37482070248608207,0.3172341967651506,0.2958869186303724
HRL,0.05273482264270937,0.22964063804716572,0.20066078863175188,0.18137691183764046
BSX,0.056741268028482165,0.23820425694869973,0.2247142990229557,0.2157743039468151
EMN,0.9118762958299019,0.9549221412397463,0.8727951020065382,0.8602330363048171
LVS,0.31382438186062145,0.5602003051236418,0.46353972795947346,0.5517548574497004
ADI,0.013277341516155776,0.1152273470846039,0.09208451099908053,0.09213393748739677
NTAP,0.005042927019810573,0.07101356926539162,0.062458025562949916,0.0673525903353718
NWSA,0.08348742808685082,0.2889419112673875,0.24905399492987157,0.27421464080661606
CAH,0.34438381392283096,0.5868422393819577,0.5208740696378994,0.46778234275531433
MGM,0.031316235550738036,0.17696393856019943,0.13482014656816627,0.13585005739497935
ADM,0.5188409940229367,0.7203061807474213,0.6431871264673312,0.5876639583994646
MSFT,0.004641527992393116,0.0681287603908446,0.05816478030165318,0.05295767283999719
V,0.049831637345552474,0.22323000995733633,0.18307113149465057,0.17621015924660405
FMC,0.012545000468389658,0.11200446628768719,0.087898250850605,0.10638247858325149
CDW,0.019970049312793482,0.14131542489336923,0.11847248700850246,0.08937923347612936
GS,0.019851426104105282,0.1408950889992454,0.11628407722498904,0.1140139918781801
TPR,0.03827908747315653,0.19565042160229693,0.1588020530925067,0.23293692584265738
MA,0.020706823816697258,0.14389865814766048,0.12337783031666918,0.1348066313570079
SNA,0.0012923503096978887,0.035949274119207036,0.02921041374987014,0.026541937126935266
IPG,0.014125300399354043,0.11884990702290871,0.09709166437249833,0.09271817131176525
COP,0.4395737151927486,0.6630035559427632,0.5576759190415191,0.556599288213966
EBAY,0.006323912660166053,0.07952303226214436,0.06756372497454961,0.06903218000859301
SWKS,0.5837843191842966,0.764057798326996,0.6556663848435892,0.35365051654812546
COST,0.029585985640326544,0.17200577211339899,0.16298420161461108,0.1678821132964249
EXPD,0.09567144864183205,0.3093080158059795,0.26122458084147643,0.279479024917131
GL,0.09848233707874378,0.3138189558945472,0.2727796150602203,0.26692213598189474
TRV,0.10227157647031389,0.3197992752810955,0.2935092117890412,0.28101306604314236
DPZ,0.03780765773338026,0.19444191352015713,0.1532162161963102,0.1293428715071345
DLTR,0.07703123589421487,0.2775450159779759,0.2102720945316579,0.21098676001479705
WBA,0.015020910934579372,0.12255982594055595,0.10282383590699698,0.09437328029736523
F,0.19559077098447275,0.44225645386412704,0.36414001180973987,0.4093446275645133
J,0.07309761981276003,0.27036571493582545,0.22258924295501403,0.28553104521474937
WMB,0.041462427225801526,0.2036232482448935,0.15807129914893855,0.11169089828152745
DUK,0.22863471774078178,0.47815762855023214,0.4123912476792146,0.38161293482508446
OMC,0.2886018847287431,0.5372167949056909,0.4752351306924828,0.48501072244248133
GM,0.3878699984798856,0.6227920989221729,0.5533644319806209,0.6715804317379208
EFX,0.033993558123279595,0.18437342032755044,0.15441886539586924,0.14096621871468637
IP,0.05725304215859114,0.23927607936981737,0.1981524114142835,0.1894545918186458
FITB,0.16195014614932987,0.4024302997406257,0.33749243264688406,0.34488024346197715
STZ,0.1702434877317907,0.4126057291553169,0.3473172197927514,0.28164039361580534
SWK,1.4655741687039046,1.2106090073611318,1.0806500763189115,1.0883145715309506
HSY,0.015124233283742322,0.12298062157812638,0.10173400954533231,0.10157917079994337
AME,0.004018635758925762,0.06339271061349058,0.04812085204519559,0.048453754281897105
MSCI,0.028822922495772067,0.1697731501026357,0.14189987581230068,0.13737275572842506
ROK,0.11858096832615342,0.3443558745341125,0.2835632760980315,0.29067912886183306
ETR,0.5189748381241348,0.7203990825397648,0.6331430253249929,0.5142934986546465
IFF,0.6156160824030796,0.7846120585378992,0.6394826513456752,0.5758421990537492
USB,2.9304993534652155,1.7118701333527655,1.4266366477975336,1.3472808428701966
DFS,0.07471842689914122,0.2733467155448209,0.23955921067170877,0.2122300507548853
ES,0.341304328924752,0.5842125716935164,0.5193964427320128,0.46632477292356944
CHRW,0.3178596661485273,0.5637904452440883,0.47004913742979987,0.4212588103541065
PKG,0.03430658024512072,0.18522035591457198,0.1559106200987131,0.13771171964832035
ORLY,0.13878522382058162,0.37253888900433146,0.32931714087024677,0.2744977149908659
MCK,0.26453812944364624,0.5143327030664551,0.4526656855823801,0.3876539375953092
CPRT,0.0019892541560881725,0.04460105554903575,0.035028599879662024,0.03716342923543511
PNW,0.42335287234534,0.6506557249001502,0.5667677006977813,0.5459505505977522
VRSK,0.012368809301096177,0.11121514870329571,0.0921055294971166,0.10131957124487612
MSI,0.002126700349760776,0.04611616148120717,0.037772616876842954,0.0391660324758163
CVX,0.0900086579873825,0.300014429631947,0.25440649355291917,0.2642215932408645
FTI,0.5953345128798646,0.7715792330537834,0.6986564564141104,0.7568298618965512
KMI,0.008486518001225421,0.09212229915294896,0.07603747956363173,0.07196677184488075
GIS,0.01206086496789216,0.1098219694227533,0.09050146788037677,0.08867942345575885
NFLX,0.02692951015159533,0.1641021332938586,0.14159011549739,0.13008670208461012
IT,0.06372730203539932,0.2524426707896257,0.22442600052178796,0.21426537653409256
RF,0.18210474195567555,0.42673732196244046,0.39077340731057714,0.37842857954004744
TSCO,0.03614177300583467,0.19010989718011703,0.14315195766767855,0.1544288534832081
JNJ,0.18887141187528986,0.43459338682875726,0.3777678378141032,0.34711745333135924
TFX,0.7364298298817923,0.8581548985362679,0.7709356239869047,0.6950891992102166
WAB,0.032380946763777646,0.1799470665606351,0.15106962836436982,0.14029193927735104
HD,0.01551692000784189,0.12456692983228691,0.09074129190508182,0.07975556107658487
SYY,0.47608766682690196,0.6899910628601663,0.5991427434288187,0.6237687206866857
AVB,0.5297593775698345,0.7278457100030435,0.6467826566037816,0.5704066603949327
K,0.007947828463469668,0.08915059429678339,0.0781547791920406,0.07553380561629248
NEE,0.2036590445371079,0.45128598974165807,0.4083837319035687,0.36139078033989447
TGT,0.015334305120964679,0.12383176135775781,0.1127825086974642,0.12318864421513681
FANG,0.37085445870596795,0.6089782087283321,0.5544414188482847,0.4337515759562063
POOL,0.600245284271449,0.7747549833795514,0.6980065072474896,0.6945961276139322
LKQ,0.08366119634790631,0.28924245253403985,0.22975864216871805,0.28016889916335486
LNC,0.5581527599934155,0.7470962186983786,0.6649882130507774,0.6509691874029704
NKE,0.19975106241102647,0.4469351881548671,0.4165393216830124,0.4021020320887165
HBI,0.06514548388276492,0.25523613357588093,0.20011726686300663,0.13666451953320938
CAT,0.026448217115456675,0.1626290783207501,0.14682750815549628,0.12809638589562036
TJX,0.07348117583210473,0.2710741150167325,0.248945180402199,0.2682180807058321
TER,0.008832097576102425,0.0939792401336722,0.07880157144749085,0.0715955818164545
ABT,0.3231809672592818,0.5684900766585832,0.49854747380336256,0.4487343455544798
HAL,0.46374444391198827,0.6809878441734392,0.5275436404693643,0.5556301091996834
PWR,0.017613282109785716,0.13271504100811526,0.09576594465410439,0.09354355580623422
STT,0.00723790432957673,0.08507587395717267,0.06575885334286101,0.07047238557194578
HAS,0.005751964554203745,0.07584170722105184,0.061833557713313836,0.061853473322654194
OXY,0.015992028047312933,0.12645959057071524,0.10579237738273531,0.10603476438653414
NWL,0.021045850221049503,0.1450718794978872,0.12500664608292988,0.12597846226703818
RHI,0.03453550598495933,0.18583731052982694,0.14674565298307887,0.11985300921963221
VTR,0.6967965646217665,0.8347434124458645,0.7467507663151094,0.7307072996956291
NOC,0.45512688612927393,0.6746309258618922,0.5985313289540583,0.5260959914064236
CE,0.15679468964509924,0.3959730920720488,0.34753135538932156,0.3327107294521126
EQIX,1.839386949379753,1.356240004342798,1.2213938241404356,1.0318436793209662
TFC,0.17652871095684178,0.4201531993890345,0.38690289270183204,0.3741031596917076
MTD,0.023204216964989272,0.15232930435405156,0.11673567082322515,0.10974020506974558
DE,0.008855985155765054,0.09410624397862798,0.0756502601761033,0.07854600380874723
ROP,0.6481392538144962,0.8050709619744686,0.7179620264016352,0.6738935471521159
AZO,0.006998228936339786,0.08365541785407438,0.07248850777840155,0.06522133772374905
ADBE,0.2152627551599399,0.46396417443585003,0.3891232731175056,0.3384792676122388
TYL,0.21859041363929907,0.4675365372238827,0.37609498813067943,0.4006968724235362
DHI,0.02986348756178274,0.17281055396526782,0.15447541268042025,0.14706405811523568
LYB,0.02552974084879903,0.15978028930002294,0.11834829602092196,0.10275884906772553
AFL,0.005440465996846787,0.07375951461911058,0.06752716506199945,0.0735865655700818
EOG,0.22884088350428708,0.4783731634449063,0.4367572349486855,0.4007081291368411
ROL,0.1514746856055374,0.38919748920764813,0.3402742800155274,0.3346958414199994
DOV,0.041568098758822745,0.20388256119350362,0.18133063211139458,0.17242523114378505
GOOGL,0.03240627591535234,0.18001743225408015,0.15025465440759947,0.14603354878974525
GRMN,0.10007112974420938,0.3163402120252962,0.2894210288213951,0.24986916350106742
SLB,0.0316520401088975,0.1779102023743931,0.14986283147425744,0.13481553186390058
FRT,0.2610527870519964,0.5109332510729718,0.4568012726471041,0.39330464625495887
IEX,0.024328109362536744,0.1559747074449468,0.13568443697823543,0.13107486173463367
RMD,2.2690831134052525,1.5063476070964672,1.335161529390323,1.470800540708789
ULTA,0.14300162539057323,0.37815555713300475,0.3328746741586609,0.44388815336031767
CCI,0.8635840085470858,0.9292922083753236,0.8268096400046192,0.8043198030817537
CSCO,0.17294878672129904,0.4158711179215251,0.3643818468348134,0.3383512600228442
PNC,0.16908055269588335,0.4111940572234518,0.33930139927122926,0.3041297456804679
KR,0.293020134174671,0.5413133419514717,0.45509476622889966,0.37060278120441925
DXC,0.2794289482401645,0.5286103936172316,0.4888606238236308,0.44380226685933405
PNR,0.12613448932433732,0.355154176836395,0.28921124979063656,0.32651410860778735
BIIB,0.011217779637112705,0.10591402002149057,0.08245529849193407,0.07571876074819384
DG,0.017312986122290902,0.13157882094885523,0.12201463902842971,0.1265033502105019
DVA,0.31792624736164604,0.5638494899897011,0.47144339867109736,0.4094723093182607
RSG,0.006602739034810809,0.08125723989166017,0.06982208762835397,0.06372627239664293
ZBH,0.0027586892899316064,0.0525232261950045,0.04450454545838334,0.040585604597090506
PAYX,0.025766871187477385,0.16052062542700668,0.1458012301669357,0.1531488669648928
LHX,0.01586497451095582,0.1259562404605497,0.108203502036513,0.10493663739408295
JKHY,0.05697026342352796,0.2386844431954625,0.21546968742972222,0.21698666466966032
ALK,0.011917570122827783,0.10916762396804185,0.09366333844840223,0.0759332847422795
AXP,0.0183049836570934,0.13529591145741768,0.11600224958007471,0.1159888809764815
ESS,0.1706775714288476,0.4131314214978662,0.36721099786737343,0.3127794700478
UAA,0.1879045698264942,0.43347960716335227,0.3869842224537695,0.26582672870702384
WHR,0.597063397559446,0.7726987754354513,0.6695966748453793,0.6618146564341607
GD,0.24728860112249879,0.4972812092996263,0.44470675364102774,0.3356767423038127
WYNN,0.06012339285372612,0.24520071952122433,0.19441232171151498,0.19877576456617316
NCLH,0.02718193799792599,0.16486945744414272,0.13923116464259105,0.14735277831869356
CMG,0.07982300182124404,0.2825296476854138,0.23993018864160473,0.20987728350862225
PPG,0.21390203557553136,0.4624954438429976,0.4050356992799331,0.3767005363420398
LEG,0.2774251410992572,0.526711629925956,0.45673586147290296,0.3859561238929846
IDXX,0.02886348906105747,0.16989258094766077,0.11512393289790349,0.1001949337666089
NVDA,0.013160559988670327,0.11471948391040786,0.10050358764332601,0.08423705516334848
WST,0.01873661578289311,0.13688175840079317,0.11632170617237853,0.1257276602303644
AES,0.27692827461195635,0.5262397501253172,0.46472537297470795,0.49518305605497237
ABBV,0.07733798078730514,0.27809707079957735,0.22240836640775707,0.19854343018106835
PVH,0.08759041671328394,0.295956781833571,0.2701273462624888,0.3056796200052627
ETN,0.007546140637588264,0.08686852501100882,0.07059058338962947,0.07786253546466713
AVY,0.04592168244230934,0.21429344936863876,0.18687910122774834,0.19132339915723748
BIO,0.02114573394200221,0.14541572797329114,0.12070355619214239,0.12792725035960162
CF,0.012745646759601383,0.11289661978819997,0.09632948806887354,0.0891483343679492
LDOS,0.6272390218077563,0.7919842307822526,0.6962630269014534,0.869437678071423
CMI,0.12090533888539617,0.34771445021079606,0.31831531788533574,0.30594779088855545
