,mse,rmse,mae,mape
STE,0.007139856989078957,0.08449767445959064,0.07121992142433428,0.06577172224853406
REG,0.0759600793526204,0.2756085618274955,0.23610284248239094,0.21312023754976944
WFC,0.00892312853281022,0.09446231276445766,0.07432839246497326,0.06456830980024225
JBHT,0.012921480687969621,0.11367269103865546,0.10399282728037818,0.10556918944967165
SJM,0.0031884236374671174,0.05646612823159666,0.04421467929822524,0.049782693690574545
PFE,0.03920938851495086,0.1980136068934427,0.17235512534634584,0.18148608984149994
EQR,0.0893313987562375,0.2988835872981946,0.26670662349226937,0.22115254269276508
TSN,0.04886354973326892,0.22105101160878887,0.18267420977777193,0.15764618120805005
TDY,0.008466421135520815,0.09201315740436698,0.07643912553787233,0.07365618401744227
GOOG,0.2891627714980518,0.5377385717038083,0.46023282171099056,0.4656963596826212
CMCSA,0.06353019523279382,0.2520519693094934,0.22098521280327094,0.21170784147523525
MRK,0.014645050160192664,0.12101673504186379,0.11564153723651935,0.09896126593498114
TXN,0.010991006758738191,0.10483800245492181,0.08651483841339302,0.07901587116654182
XRX,0.059956095915189786,0.24485933904017176,0.22163868651637864,0.2118972563755646
HRL,0.003766881355051045,0.061374924481021116,0.04896237085711952,0.0453282444556032
BSX,0.00397241649124375,0.06302710917727189,0.05006499851385321,0.048079561164059634
EMN,0.00623911899892711,0.0789880940327535,0.06301294528923773,0.06304216714071158
LVS,0.23728216777633446,0.48711617482519964,0.4001039930927561,0.4769507341636464
ADI,0.03959491020412412,0.19898469841704944,0.16436796385983354,0.16314098807431449
NTAP,0.008392340456015113,0.09160971813085723,0.07961935093461234,0.08355088615097565
NWSA,0.0881405853364191,0.29688480145743246,0.25634498160610725,0.2821589995198692
CAH,0.1693389693046637,0.4115081643232169,0.36357217114523144,0.32725359449392677
MGM,0.05537037711689374,0.23530910971930888,0.17910265049140792,0.18319834874814653
ADM,0.11191603809477797,0.3345385450060695,0.3084238320739459,0.28400370298274624
MSFT,0.0038128864209909627,0.06174857424257634,0.052213229266888414,0.04782388089577856
V,0.06910518643218284,0.2628786534357304,0.2289231777298979,0.23017698844034154
FMC,0.0658138514711594,0.25654210467515737,0.2001793180327308,0.2466093340636185
CDW,0.09031213758372011,0.30051977902247984,0.2686325085010311,0.20137396363783516
GS,0.05184178537614183,0.22768791223106646,0.21310100392742498,0.21486704904712622
TPR,0.12451622776181333,0.3528685700963084,0.31557725234065725,0.4747217383372049
MA,0.23271016637226502,0.4824004211982666,0.43651504532867896,0.4690150004635129
SNA,0.004064275495948196,0.0637516705345687,0.05513482377420268,0.05044596099270866
IPG,0.004786210765537191,0.06918244550127721,0.05848614349948132,0.05396672210692569
COP,0.010785420260893505,0.10385287796153511,0.08301301138445837,0.07885296757866835
EBAY,0.017789828900786255,0.13337851738861942,0.11654250666968126,0.11941140581306521
SWKS,0.2866227938066543,0.5353716408315389,0.4492334646840147,0.23912874746181628
COST,0.00734141218449324,0.08568204120171997,0.07556988316170427,0.07995720753090647
EXPD,0.004559071898019574,0.06752089971275245,0.054302863195802464,0.060994190793977957
GL,0.0306283951168667,0.1750097000650727,0.1517966258240741,0.1485448914558099
TRV,0.0150334502203219,0.12261097104387478,0.11642430611821467,0.11387076852295368
DPZ,0.021666872633346455,0.14719671407115872,0.10584349283090108,0.08778211592994746
DLTR,0.02770591758685856,0.16645094648832298,0.11813693259673715,0.11727985521605824
WBA,0.017691551096226568,0.13300959024155576,0.10696132718617299,0.09206321659027691
F,0.07774056316669814,0.2788199475767438,0.24182944455323868,0.2625347144638946
J,0.08729874141462265,0.2954636042131461,0.24456863980862,0.3133161936691946
WMB,0.07021574563496118,0.26498253835858915,0.21183838478227357,0.14973308811992989
DUK,0.002358024081748008,0.04855949013064293,0.038059858259576695,0.036613497014474174
OMC,0.14002916181569883,0.3742047057637021,0.33175304177431675,0.3392396770876041
GM,0.170877819204631,0.41337370405558094,0.37154662926274534,0.4507161797493862
EFX,0.06804133081585224,0.26084733239167357,0.2334548318382091,0.21495090506523476
IP,0.024371273981413283,0.15611301669435923,0.13981956204410306,0.13760225814163177
FITB,0.12399968622958572,0.3521358917088483,0.2927632172429149,0.29947634325900346
STZ,0.045573941320097205,0.21348054084646031,0.17485295306530738,0.1417374623863035
SWK,0.20640990951362417,0.45432357358343645,0.4008838664449222,0.4027142242190695
HSY,0.03298543283101574,0.18161892200708532,0.1541556962596436,0.15976831441659925
AME,0.10754580419888322,0.32794176952453497,0.28216463300546,0.28778314567217744
MSCI,0.013714163053784137,0.11710748504593606,0.10459827743304441,0.1035609734851935
ROK,0.05980229060613429,0.24454506866042972,0.19501693640858328,0.20050630493378427
ETR,0.050504439242036715,0.22473192750928098,0.19112170008005958,0.15376305249286312
IFF,0.003406850261080663,0.058368229895043616,0.04405383410548221,0.03928978328251477
USB,0.027393099551000385,0.16550860869151304,0.14033669655905537,0.1325277289318828
DFS,0.005746985406283906,0.07580887419216767,0.06286314230382155,0.056867880898311685
