,mse,rmse,mae,mape
STE,0.004467431851768185,0.0668388498686818,0.05427753612670026,0.048584241411756955
REG,0.11876689844459005,0.34462573677047115,0.2965886961589386,0.26797784136175135
WFC,0.004756590375891016,0.06896803879980216,0.053952280328823154,0.04696905833552467
JBHT,0.003039667115486414,0.055133176178109075,0.04273898699824512,0.04219226391660873
SJM,0.008038319860684104,0.08965667772499773,0.08019861372580511,0.08952667977685135
PFE,0.08782082416276167,0.2963457847899337,0.261100954903037,0.27426119429210916
EQR,0.3549878823770609,0.5958085954205938,0.5339242903787123,0.4435770614485617
TSN,0.11136827184416216,0.3337188514965287,0.25904705688868573,0.22353573274048852
TDY,0.03307241272284955,0.18185822148819544,0.1568445014543624,0.1479232171990218
GOOG,0.10954139908299093,0.33097039003963924,0.2796323759346755,0.28407307987741304
CMCSA,0.06630204009187042,0.2574918252913487,0.22586450085710003,0.2163828517287289
MRK,0.051387263527726934,0.226687590149366,0.2171157753958331,0.1845970649465729
TXN,0.006477415352852536,0.08048239157015984,0.06361462121933746,0.05860370311299629
XRX,0.01104598726446202,0.10509989183848868,0.08746169606009835,0.08562171407085348
HRL,0.025214821054827828,0.15879175373686075,0.13511039816876724,0.1217841541605473
BSX,0.007171000469592383,0.08468175995804754,0.07592758738211125,0.07208563804483965
EMN,0.007345822339791405,0.08570777292516359,0.07026380310033385,0.06754627469948132
LVS,0.36025078579257175,0.6002089517764391,0.49965970135185467,0.5938278875591796
ADI,0.0549576672428024,0.2344305168761149,0.1967853293493656,0.1949206764577541
NTAP,0.011875640293846409,0.10897541141856913,0.09877946129792144,0.10890275121649799
NWSA,0.004435672765050421,0.06660084657908202,0.05502061724057793,0.058005206652551565
CAH,0.20342672612770993,0.4510285203041044,0.3991209005370354,0.3589479162018464
MGM,0.06254164219872754,0.2500832705294929,0.1904264004384109,0.19505883726562118
ADM,0.3214978528114614,0.5670078066583046,0.5130557041880965,0.46966569160292215
MSFT,0.02541264323212616,0.1594134349172809,0.1446153749616364,0.12737943788400435
V,0.010657613817725363,0.10323571967940827,0.08979006622964353,0.09237058839138758
FMC,0.049021207819716646,0.2214073346113824,0.1714128039490211,0.21148581142861603
CDW,0.013739465215645662,0.11721546491673214,0.09988228880475958,0.07821039162879159
GS,0.0931894729560687,0.3052695087231424,0.24820728946647663,0.24141177844572145
TPR,0.19897551845170627,0.4460667197311477,0.39912782888774057,0.5994767688610134
MA,0.04824323117814336,0.21964341824453415,0.19546586815750633,0.21172527800751081
SNA,0.0036887204174490444,0.060734836934407295,0.04716931022520898,0.04107539625752
IPG,0.04886748560123166,0.22105991405325312,0.18902442941215453,0.17243023357936965
COP,0.17230108815958087,0.41509166235854567,0.3455541523806515,0.3477848673108715
EBAY,0.04313983934065515,0.20770132243357323,0.1850588896010006,0.19058921873775325
SWKS,0.34566794279884083,0.5879353219520331,0.4972987954505273,0.26579214868233925
COST,0.013430488196722932,0.11588998315955927,0.08303830631548631,0.07988845527341235
EXPD,0.04936869975112327,0.2221906833130572,0.1839983594150678,0.19612502032562304
GL,0.0381642216940318,0.19535665254613624,0.16998904479193894,0.16633717327210384
TRV,0.030666962946081355,0.17511985308948086,0.1660666353690385,0.16072360372449565
DPZ,0.01029829088632358,0.1014804951028698,0.0673517206421854,0.05524458921660344
DLTR,0.010136645391107936,0.10068090877176236,0.09160078030307932,0.09790503030212695
WBA,0.03010388192117472,0.17350470287912867,0.15001056507492255,0.13014321600896342
F,0.011658602628693513,0.10797500927850626,0.09273682498949301,0.09919825638894658
J,0.03914089074027268,0.1978405689950185,0.16422064984684095,0.20981822478271692
WMB,0.05442819522530836,0.23329851097962104,0.18373965874396564,0.12953863892680972
DUK,0.13941845090293858,0.37338780229533286,0.31726841571887704,0.2929732552044246
OMC,0.13290624571038878,0.36456308879313165,0.3231230160291408,0.3304864312317118
GM,0.098485801910057,0.3138244762762411,0.2827469708906934,0.34299084947460834
EFX,0.05534297654608556,0.2352508800112883,0.21033815693258948,0.1938472651428934
IP,0.008751316520291737,0.09354847150163244,0.07663953082679563,0.07352215476701415
FITB,0.09361184886804425,0.30596053482115015,0.25218448629980805,0.2581513140031677
STZ,1.9646679766658262,1.401666143083233,1.134603765361231,0.9211262534807352
SWK,0.4801057319262705,0.6928966242710889,0.6150246209953522,0.6186563887324614
HSY,0.0056501236559976424,0.07516730443482487,0.062203385395105996,0.0635614188131288
AME,0.017338430129087392,0.13167547276956096,0.11342947943970216,0.11559157395813462
MSCI,0.051613585060814114,0.22718623431188367,0.2035968032141009,0.2000992728390073
ROK,0.03597010187871859,0.18965785477727673,0.14911715556077584,0.15353905865667447
ETR,0.22395346240810973,0.473237215789407,0.41059370888428026,0.332001094183289
IFF,0.01386832065848263,0.11776383425518477,0.09137501703610365,0.08232817278137251
USB,0.002748398043593489,0.05242516612843005,0.04581768185651122,0.043508303480710706
DFS,0.0038941581421161027,0.062403190159767495,0.053393386959302035,0.04816919552849707
ES,0.16693916914445997,0.4085819001674694,0.36072672869169103,0.32344344089728333
CHRW,0.26004831861824773,0.509949329461514,0.42103965563141493,0.3762537396226618
PKG,0.02219322049753418,0.14897389199968625,0.12350013138846376,0.11345222768014683
ORLY,0.04439308062591058,0.21069665546920904,0.17958662256301972,0.14852993084335087
MCK,0.034235902201515185,0.18502946306335968,0.15811781212156625,0.13701791103361985
CPRT,0.05104703767293872,0.22593591496913173,0.1869550076566827,0.19944305848953373
PNW,0.1397868102370573,0.37388074333543486,0.315965245421291,0.3026072714567757
VRSK,0.015117224140311759,0.12295212133310982,0.1112848740887477,0.12460654677197944
MSI,0.20116956850819867,0.4485193067284826,0.3932579447731665,0.4111644171265009
CVX,0.007049059658324043,0.08395867827880596,0.06672430671211006,0.06617407290161895
FTI,0.18556873225708767,0.4307768938291464,0.3883508521844601,0.41722769582816716
KMI,0.14804515163988594,0.3847663598079826,0.3138714748494079,0.2888904308194948
GIS,0.00533158005411669,0.07301766946511433,0.06401697001024877,0.06185257172114903
NFLX,0.08769743251963823,0.2961375229849102,0.22230053010002,0.2242153029407948
IT,0.1883230428389687,0.4339620292594373,0.38615736204867873,0.36659788261090204
RF,0.010865706919364313,0.10423870163890335,0.08912303326711024,0.08499051307940456
TSCO,0.04231715718536329,0.20571134432831673,0.18515192684569867,0.21590527912208524
JNJ,0.003990251453895179,0.06316843716521076,0.053375877712475324,0.05025182947917777
TFX,0.002720783471640438,0.05216112989229085,0.04231848372997516,0.03922388864497759
WAB,0.014194184243494482,0.11913934800683812,0.09947421368068501,0.09330148196667497
HD,0.06734562303205711,0.25951035245642345,0.19978627341470026,0.17719652524131796
SYY,0.04638452539664403,0.21537066976875943,0.19053865084326327,0.1984430456453674
AVB,0.35441506267009965,0.5953276935185358,0.5270507692066,0.4643121056552319
K,0.001982701451635415,0.044527535881018786,0.0358043565707986,0.03552205419208279
NEE,0.10892536793881967,0.33003843403279515,0.2990487834108743,0.2646757158246369
TGT,0.010710950614194444,0.10349372258351926,0.06927801128083384,0.06965194242777713
FANG,0.05395503865470562,0.23228223921493787,0.19564122607665776,0.16065765943721397
POOL,0.08768032302012459,0.2961086338155721,0.26645983783701777,0.26469391781847007
LKQ,0.00669490081620736,0.08182237356742568,0.06844525328585588,0.0853007739337295
LNC,0.3130731324266665,0.559529384774979,0.5039823336062128,0.4942608265957504
NKE,0.01675319696177049,0.12943414140701243,0.11065945861142341,0.11374911334306463
HBI,0.010768668484339617,0.10377219514079683,0.08681226443432777,0.06395716923351123
CAT,0.01006710411883311,0.10033495960448238,0.08844688596062536,0.0777637409514708
TJX,0.06624255329999466,0.2573762873692809,0.23569528190625177,0.25435126418800413
TER,0.018828936863378144,0.13721857331782072,0.11671999702486409,0.10497319679820061
ABT,0.04450197874459734,0.21095492111964903,0.19165989268086855,0.17475055950441745
HAL,0.16920138422843167,0.41134095860785813,0.29735274817438595,0.3240968551989709
PWR,0.028822925224144195,0.16977315813798186,0.1230367067900088,0.12099997904655047
STT,0.054446739520229416,0.23333825130104455,0.21934102273232645,0.2273881157656806
HAS,0.02495322133054887,0.1579658866038768,0.13863345591481185,0.1384861616791286
OXY,0.009960276217065151,0.09980118344521346,0.07264098461747609,0.07870684206503444
NWL,0.078737084842522,0.2806012915909725,0.2586174542983206,0.2544188495855678
RHI,0.005260653216458731,0.07253036065303088,0.05743856209417016,0.04978453317812738
VTR,0.28456270561616537,0.5334441916603511,0.4743154876608972,0.46362233015181253
NOC,0.05807920929625829,0.24099628481837285,0.20009182504384512,0.17495182241961846
CE,0.010370482760227399,0.10183556726521141,0.0859315863325119,0.08594859064925311
EQIX,0.7712555814645786,0.8782115812630682,0.7902055023244582,0.6673395182626877
TFC,0.02295182744869267,0.15149860543481142,0.14050478832285296,0.135700576164168
MTD,0.022517543048890424,0.15005846543561088,0.11473786752093586,0.10785235964319365
DE,0.006039884849054408,0.0777166960765472,0.06266259029438163,0.06504786446623473
ROP,0.1277525530701539,0.35742489150890694,0.3126920319040821,0.2927583528464165
AZO,0.003662245698713272,0.06051649113021402,0.04363430931589645,0.03927542550230949
ADBE,0.01460267344366461,0.12084152201815654,0.09817471370328763,0.08659677342191399
TYL,0.2724962883322744,0.5220117703005119,0.4837470338141022,0.5486280083637914
DHI,0.016105866452342462,0.1269088903597477,0.1038196385362708,0.0981893189725934
LYB,0.028329792190274584,0.16831456321505453,0.1179288536442754,0.10382180758364919
AFL,0.2803339017426254,0.5294656756982697,0.47142047314769175,0.5156192205853292
EOG,0.03995757718502975,0.19989391482741478,0.1728054393826425,0.15468712932564097
ROL,0.06826228537062222,0.26127052143443624,0.23075703504482944,0.22916894081382808
DOV,0.025406785150041744,0.15939505999259118,0.13901983311966215,0.131443744130391
GOOGL,0.10260217471939549,0.320315742228501,0.2695573328511948,0.27051064649379225
GRMN,0.012144282145353156,0.11020109865765021,0.08974340152325336,0.07784077642236835
SLB,0.017149535198166428,0.13095623390341687,0.10175962452392427,0.09913212480314004
FRT,0.08952941177287259,0.29921465835228156,0.26729210968698974,0.22987492072375318
IEX,0.018091484087358143,0.13450458760710782,0.11677175010540965,0.11277811968569387
RMD,0.14431522856366236,0.379888442261228,0.318133231523608,0.34639428546984286
ULTA,0.33727018743463266,0.580749677085259,0.46784315608707316,0.5640185437461311
CCI,0.002030521765599526,0.04506131118375858,0.035597528608671894,0.03592224567536501
CSCO,0.05049807505060238,0.22471776754543105,0.18895047567583015,0.1738556676169862
PNC,0.022290095143575186,0.14929867763505203,0.11543374092091992,0.1035829170841551
KR,0.24433238315993783,0.49429989192790424,0.4154905871313154,0.33843625687537443
DXC,0.006011062075367616,0.07753103943175027,0.061291292009390604,0.055347792607947637
PNR,0.087756648928667,0.29623748737907396,0.24375894975756218,0.2745975089224525
BIIB,0.028064965001735703,0.16752601291063934,0.13683199256150733,0.12562907853719532
DG,0.030937985633073654,0.17589197148555033,0.16447509533115864,0.16916640568710048
DVA,0.03396417839099563,0.18429372857206952,0.14619168023302556,0.12634717108637084
RSG,0.0440571565333393,0.2098979669585661,0.17442161019551172,0.15669507887734893
ZBH,0.0131579012330262,0.11470789525148738,0.09626416994519404,0.08776599250961138
PAYX,0.00788615355451085,0.08880401767099758,0.07359534547950679,0.07628446085491264
