,mse,rmse,mae,mape
STE,0.2730984278684928,0.5225882010421713,0.4728576798434929,0.40776366525632984
REG,0.13584796380655043,0.36857558764322745,0.3225653514795368,0.29229507097458185
WFC,0.14156790191214197,0.37625510217423225,0.324199688709472,0.2807513329432359
JBHT,0.035024798413213674,0.18714913415031786,0.17168783053668496,0.1732062498778066
SJM,0.001329525953174446,0.036462665195710064,0.03144902731478324,0.03490470060285475
PFE,0.007229080659229569,0.0850240004894475,0.07157913938602067,0.07362378860316593
EQR,0.11920089371815105,0.3452548243227762,0.30818323314305895,0.25552495157282085
TSN,0.0684645863844754,0.2616573835848616,0.24404963705292074,0.20715050440511273
TDY,0.14238936568223037,0.37734515457632467,0.3272540997070141,0.3119242345039862
GOOG,0.207713297946344,0.4557557437337943,0.38392292236326137,0.3889136672649352
CMCSA,0.43398888832675897,0.6587783301891152,0.5762428763724697,0.550075872318092
MRK,0.033055732879944066,0.1818123562356092,0.13978669027423574,0.11742937112341016
TXN,0.009142151920810937,0.09561460098128809,0.077176228589684,0.07062562921516452
XRX,0.5605842192365011,0.7487217234971222,0.6743994551126682,0.6366160064765646
HRL,0.03273614398134881,0.18093132393631792,0.155822233973354,0.14023839727605186
BSX,0.2822438689446609,0.5312662881688061,0.44315788728183597,0.4308003517403213
EMN,0.42896139615433926,0.6549514456464229,0.5483314540654222,0.5455277499881233
LVS,0.2336492723630549,0.4833728088784628,0.3979691702034217,0.4742888536765417
ADI,0.22864250901702074,0.47816577566469637,0.4129843839936468,0.404764921494143
NTAP,0.006324634217876246,0.07952756891717642,0.06981159632589953,0.07446153883592371
NWSA,0.045492383683196184,0.21328943640789194,0.1795149355446427,0.19850725208612685
CAH,0.09710312213094041,0.31161373867488645,0.27622873435272244,0.24905931314787674
MGM,1.941561503779386,1.3933992621568974,1.176074176240729,1.1878792548729329
ADM,0.32997488779639594,0.5744344068702675,0.5187851196623877,0.4726282296663857
MSFT,0.22139479117970146,0.4705260791706464,0.4019537826189333,0.3422247328430629
V,0.8095140236537197,0.8997299726327448,0.7952383559850665,0.7869354818630038
FMC,0.09762082703024226,0.3124433181078486,0.24560087663464866,0.3018320349221358
CDW,0.017828607472347643,0.13352380863481855,0.11564546832935077,0.08707925749845713
GS,0.3117242398990739,0.5583227022959696,0.5080908022934109,0.5068704716487432
TPR,0.08086560333413308,0.2843687805194745,0.2602406260029261,0.389586517876487
MA,0.6200334168229591,0.7874220068190622,0.7059209105532921,0.7558749994690273
SNA,0.1338130634093242,0.36580467931578486,0.32742268663684415,0.28813831860959327
IPG,0.10619856657614515,0.3258812154392228,0.2866914779454147,0.2670053006415589
COP,0.009585986012924489,0.09790804876476954,0.08204830742202003,0.08167337284090238
EBAY,0.29671933217627655,0.5447194986194973,0.47612413925607905,0.49827326828568114
SWKS,0.4456188222025702,0.6675468689182582,0.5619749623528378,0.2988149509992402
COST,0.007543880521619634,0.08685551520553911,0.060261332952836144,0.05784708661357054
EXPD,0.07037110794877226,0.2652755321336143,0.23936618873419208,0.2608390416677376
GL,0.10239610407090237,0.3199939125528834,0.279374347102696,0.272855418296909
TRV,0.13083812224013777,0.36171552667826934,0.33354192315137354,0.3166745929008116
DPZ,0.008962593579765685,0.09467097538192835,0.064074991992947,0.052881600431676376
DLTR,0.015991239888318617,0.12645647428391563,0.11455009738792848,0.12584237498242604
WBA,0.009694307192618636,0.09845967292561272,0.08916819423623124,0.08011890597812138
F,0.9372010136244342,0.9680914283395108,0.8532471057457953,0.9365810487594015
J,1.186520778154947,1.089275345426925,0.9338528060735135,1.185123646908446
WMB,0.4613559978451202,0.6792319175694854,0.564792971326488,0.4268159932307719
DUK,0.010009266335850362,0.10004632095109926,0.07639121587159149,0.06930391431872492
