,mse,rmse,mae,mape
STE,0.005197926683952142,0.07209664821579531,0.06078167953678919,0.05564268018941986
REG,0.07706350093963887,0.277603135680487,0.23789319334714157,0.21474981241370963
WFC,0.006954656434060115,0.08339458276207223,0.06453010666228838,0.056069223182640834
JBHT,0.012165818590796766,0.11029876967036743,0.10084174655136069,0.1024140421862568
SJM,0.0033422633943985367,0.057812311789086385,0.050216064490375675,0.05541869013245755
PFE,0.032604586395578145,0.1805674012538757,0.15616941044011864,0.16454085385641037
EQR,0.10549300317202812,0.3247968644738248,0.2907818358341032,0.24129527462978553
TSN,0.05041556448736241,0.22453410539907387,0.18498916754583053,0.15965524689386024
TDY,0.0035551049007039874,0.059624700424438085,0.04745260443562794,0.04605093311527477
GOOG,0.2663962943347677,0.516135926219797,0.4406651074316214,0.44600710059530946
CMCSA,0.07048785214639271,0.26549548422975616,0.23313236517899782,0.22333528336090747
MRK,0.013473929057798317,0.11607725469616481,0.11049544526660061,0.09460627198890591
TXN,0.006075318410420401,0.07794432891763454,0.060042032180371054,0.055339164585385625
XRX,0.04684038150871192,0.2164263881986481,0.1948139374877165,0.18655671175600544
HRL,0.0020059641963904224,0.04478799165390677,0.03507503531071521,0.03256440655728425
BSX,0.004346529153560749,0.06592821212167632,0.055082045924344084,0.05262509949810612
EMN,0.005240562097554818,0.07239172672035678,0.05975378452779147,0.058938478215100565
LVS,0.22174694914158813,0.4709001477400364,0.38552821309669544,0.45996450215834517
ADI,0.0387848215433306,0.19693862379769642,0.16239223414141152,0.16120952452505866
NTAP,0.01705826713055119,0.13060730121456146,0.1024874548115556,0.10500890917922047
NWSA,0.07985554918825544,0.2825872417294444,0.24317197033636698,0.26780869650156536
CAH,0.20437117043653644,0.4520742974739179,0.40110777302243067,0.361135286917524
MGM,0.04994684013579299,0.22348789706781214,0.1694604450762399,0.1732029279647806
ADM,0.11923558604524073,0.34530506229309865,0.3183724056330887,0.2930813229162567
MSFT,0.0029992846388101966,0.05476572503683482,0.04519077120048203,0.04169266324271296
V,0.06220454557187827,0.24940839114167404,0.2166985873808339,0.2180710959767798
FMC,0.07183042290562694,0.26801198276500054,0.21050169088413104,0.25890520791812927
CDW,0.09232769030897234,0.30385471908293993,0.2718104808692054,0.20379424376754268
GS,0.03848488377461161,0.1961756452126808,0.1843294834562578,0.18622958244682677
TPR,0.08775932339520491,0.29624200140291534,0.2635782384168222,0.3970459194557168
MA,0.2226325594317534,0.47183954839728454,0.4269630845051843,0.4587692740322579
SNA,0.0037962970647248593,0.06161409793809254,0.05285828232812542,0.048448016605742356
IPG,0.0052672197828815374,0.07257561424391486,0.0610403460688812,0.0561390541751626
COP,0.011203718472645967,0.1058476191165676,0.08411004345395755,0.07964729517616821
EBAY,0.02797627095982502,0.16726108620903135,0.1493015113657727,0.15356033802503097
SWKS,0.26134740338444523,0.5112214817321796,0.42672670952195174,0.22667244532852693
COST,0.005588734106671091,0.07475783642315427,0.06511049393209789,0.06846933576868204
EXPD,0.0055177478763031185,0.07428154465480048,0.05933984526502083,0.06674161589583495
GL,0.020934538314161404,0.14468772689541226,0.1237928777360672,0.12118585401557841
TRV,0.022731009436420868,0.1507680650417086,0.14406564387922477,0.139954294187703
DPZ,0.030376946535447615,0.17428983485977492,0.13406264396054018,0.11265894897870615
DLTR,0.030892548144183397,0.1757627609710982,0.12536293971663443,0.12447648129244679
WBA,0.012970522611604026,0.11388820224941662,0.0929573529244701,0.08077258763390005
F,0.09702840108579232,0.3114938219062977,0.27215327935074884,0.29595433962530787
J,0.0689860929535331,0.26265203778675145,0.21611049221810535,0.2772482078775974
WMB,0.0771861390346664,0.27782393531635535,0.22480505546469004,0.15939610602273513
DUK,0.0021871113052457647,0.04676656182835942,0.036284966579806094,0.0343728367593647
OMC,0.1136699165145202,0.33714969451939325,0.2978448521716146,0.30462158037970183
GM,0.14640579381171429,0.3826301005040172,0.3436902401069129,0.4169599674169822
EFX,0.06819630362760938,0.261144219977409,0.23371908492910023,0.21519824557806222
IP,0.0326305263083437,0.18063921586505988,0.16257485484457096,0.15968496103423285
FITB,0.11195678540760187,0.3345994402380283,0.2768667159192457,0.28332744016529426
STZ,0.0433012253430336,0.20808946475742976,0.17025707038418367,0.13801965709405148
SWK,0.2595200454540535,0.5094310998104195,0.4513195227686885,0.4537187129685404
HSY,0.02174233952232074,0.147452838298626,0.12520681378541917,0.12977516463445724
AME,0.09701723201826482,0.31147589315750396,0.267279570455553,0.27261599091159466
MSCI,0.011328885073652373,0.10643723537208383,0.09463138689682273,0.09380621746422821
ROK,0.051318330996574596,0.2265354961072869,0.178365790292385,0.18361325774211193
ETR,0.06528181297841092,0.25550305864785827,0.21826738529570747,0.17551290764854316
IFF,0.00620759821813373,0.07878831270013167,0.06433505984841541,0.057256206142711305
USB,0.07657223794174588,0.27671689131989374,0.24163774378534505,0.22819615848075553
DFS,0.0011373651007239832,0.033724843968860455,0.02774361107474167,0.025654186517411224
ES,0.007887311095126363,0.08881053482063016,0.06946358349947031,0.0612158813524699
CHRW,0.03887743662085944,0.19717362049944573,0.15779120246550504,0.14065336288801011
PKG,0.0295148975461307,0.17179900333276296,0.14322210705843327,0.13135151074206863
ORLY,0.0442209428651851,0.21028776204331318,0.17970492004418248,0.14869991520987502
MCK,0.13568029448347801,0.3683480615986434,0.32351232873277425,0.2784236441559798
CPRT,0.04482388714745301,0.2117165254472428,0.17366425541809666,0.18541512486999404
PNW,0.03889141164346612,0.19720905568321684,0.15873994384835557,0.15056358401533862
VRSK,0.021795362238066676,0.14763252432328952,0.13535962988924258,0.1512562086609991
MSI,0.06913160326933064,0.2629288939415572,0.2302364157517199,0.24079494612445368
CVX,0.006331103681111918,0.07956823286407659,0.06060269609736379,0.06416723913500073
FTI,0.08301229106270637,0.288118536478836,0.25614328811467796,0.2720597337351328
KMI,0.011113511945939179,0.10542064288335173,0.08626434215137968,0.0805382251618245
GIS,0.00485933856665122,0.06970895614374971,0.05549800389807836,0.05459423878042866
NFLX,0.024913565243504278,0.1578403156468723,0.12405045355788892,0.12382893579068256
IT,0.06745285656854567,0.25971687771214574,0.23088625943033744,0.2202845884636579
RF,0.01303772707540937,0.11418286682076856,0.0912860543765161,0.08979543277645431
TSCO,0.10237514833681491,0.31996116692001064,0.29331317391149414,0.3378188950616563
JNJ,0.0019858170094256694,0.044562506767748936,0.03700571002389342,0.03517597775063866
TFX,0.04821945882908676,0.21958929579805742,0.19142689679281538,0.17292609817597704
WAB,0.04962519905438215,0.22276714087670596,0.1870214114608565,0.17323891978713482
HD,0.004933564045169777,0.07023933403136577,0.059477641748612774,0.05903520713063255
SYY,0.042460431387161435,0.20605929095083636,0.18119950834309215,0.18861578272299231
