,mse,rmse,mae,mape
STE,0.11136402298382443,0.33371248550784616,0.30428065468330073,0.26407488118443845
REG,0.25941533921102666,0.5093283216266563,0.44655196769829936,0.40492459302661216
WFC,0.002240571224624873,0.04733467254164618,0.03657725971664662,0.031973020373583676
JBHT,0.010498689768425652,0.10246311418469405,0.0945203112206349,0.09622228965876609
SJM,0.017324482670000415,0.13162250062204567,0.10825086086712164,0.11682031958099731
PFE,0.11111794355832141,0.33334358184660073,0.2940116597615387,0.30615930862598995
EQR,0.031672307403032465,0.17796715259573173,0.1591942044941625,0.1321290321337993
TSN,0.008270423856708994,0.09094187075659371,0.07053764198913202,0.059744639529963395
TDY,0.013856754274936368,0.1177147156261118,0.10058087531417591,0.09448354463090351
GOOG,0.13011551478787328,0.3607152821656899,0.3004338004084325,0.3047800222860218
CMCSA,0.05713066799548623,0.23902022507621867,0.20973711652281207,0.20075357545955613
MRK,0.01592289806058255,0.1261859661792172,0.12040884848154226,0.10238134096016113
TXN,0.01295027882593487,0.11379929185164057,0.09487215539262102,0.08639187965319634
XRX,0.1532254220828378,0.39144018966227495,0.35788598405190736,0.34021905517949
HRL,0.09407242951666693,0.30671229110791587,0.2665025485146077,0.24036236708290074
BSX,0.32859566828408593,0.5732326476083562,0.4792684589439896,0.4658152848125406
EMN,0.4034402535818801,0.6351694683955457,0.5306800237968808,0.5280549498683322
LVS,0.41571879908325104,0.644762591256077,0.5405033119992875,0.6411817636274417
ADI,0.27200252427899907,0.5215386124526151,0.45200000990725936,0.44276528632338197
NTAP,0.010992484914323373,0.10484505193056738,0.08547520537560073,0.08875551337832677
NWSA,0.013459092512455655,0.11601332902927859,0.09041406472858218,0.10124964675711529
CAH,0.1731156280749528,0.4160716621868795,0.3688085812889869,0.33195671779034486
MGM,1.5041033723725272,1.2264189220541761,1.0274304384385007,1.0392286174936456
ADM,0.14871705948610012,0.3856385088215389,0.3520362800250955,0.3222670376664466
MSFT,0.1586257484510556,0.39827848102936164,0.33842167017818764,0.28775193336790894
V,0.2626983854909405,0.5125411061475367,0.4521979288288013,0.4494125989623348
FMC,0.189513108907791,0.4353310337062946,0.3555836117943974,0.43252680051590114
CDW,0.010110922915603534,0.1005530850625854,0.08566875469475464,0.06509633715634491
GS,0.09468329209337044,0.3077065031704245,0.285597215633058,0.2867692286455159
TPR,0.06637447294025557,0.2576324376709105,0.23570194326189664,0.3528190978237162
MA,0.3860485469414441,0.6213280509855033,0.5585674422647897,0.5988255990820519
SNA,0.06783141549597023,0.2604446495821525,0.23424623524182947,0.20673041862998198
IPG,0.14078736268587871,0.3752164211303641,0.33053190173737995,0.30743770099049833
COP,0.03261848902749288,0.18060589422134837,0.15161218033578766,0.14136675708353344
EBAY,0.48013938607944967,0.6929209089639666,0.6066602262332714,0.6343650823009804
SWKS,0.20546914843285202,0.4532870486048019,0.3712356090073401,0.19545061147469456
COST,0.011237328219324806,0.10600626500035178,0.07146898291671126,0.06798333219571231
EXPD,0.04163151607631818,0.20403802605474838,0.16724331905247083,0.17728888738819018
GL,0.02313439396101199,0.15209994727484946,0.1306948398144917,0.1279395060119839
TRV,0.003990472811545543,0.06317018926317652,0.053085244026381914,0.05361507609103068
DPZ,0.014273022863197973,0.11946975710696818,0.07603560382572552,0.061650279214635666
DLTR,0.00618200160413817,0.07862570574651886,0.06529390419227687,0.06825940313582919
WBA,0.07639738695531927,0.27640077234935373,0.25176113962008717,0.2207692993564823
F,1.4706496849772699,1.2127034612704253,1.069031116681025,1.1745001798936274
J,0.8513117474671166,0.9226655664254066,0.7871193600944495,1.0002488236339049
WMB,0.05890033514687378,0.24269391246356753,0.1706847982543437,0.13285547846953297
DUK,0.01290735926686201,0.1136105596626564,0.08871171625842483,0.08070779649984004
OMC,0.22045364593879663,0.4695249151416745,0.41128961908727063,0.4198378465504262
GM,0.22880102614636183,0.47833150235622346,0.43544770864168514,0.5276889262723091
EFX,0.0014197710235480134,0.03767984903828588,0.029321196400949594,0.027940528550096988
IP,0.08741812357493786,0.2956655603463783,0.26878343427338497,0.2624893373964305
FITB,0.07228851462070253,0.2688652350541113,0.2187785680243252,0.22414192226593613
STZ,0.0870522157983872,0.295046124865905,0.2736465058146983,0.22280599338778387
SWK,0.001854012648503361,0.04305824716013601,0.03096660735233321,0.033121616721017655
