,mse,rmse,mae,mape
STE,0.006973420372170783,0.08350700792251381,0.07042694165439739,0.06501537659270683
REG,0.07673183721144361,0.2770051212729534,0.23734518310542654,0.2142467070271541
WFC,0.00862822774155878,0.09288825405592883,0.07291899707677149,0.06334390155047123
JBHT,0.010270564028150159,0.101343791265919,0.09232468722418943,0.09389732483250392
SJM,0.0029251908007283927,0.05408503305655265,0.04315704162348394,0.04845482077155471
PFE,0.03947973950147801,0.1986950917901044,0.17297545457287242,0.18213532550728714
EQR,0.0873416908488493,0.29553627670532984,0.26359881115709005,0.21855400369750969
TSN,0.05118276497149327,0.22623608238186338,0.18617090454964752,0.1606855186515422
TDY,0.00878106917812087,0.09370735925273356,0.07794384749583408,0.07508980595548165
GOOG,0.2968175898614649,0.5448096822390961,0.4667055367396904,0.4722071678244863
CMCSA,0.0614166547554826,0.24782383815017192,0.2172100401767052,0.20809440736902307
MRK,0.09463416122231731,0.30762665882903795,0.24425919744348887,0.20482670600520692
TXN,0.010567088794320601,0.10279634621094566,0.0845471222747588,0.07725525713651363
XRX,0.056663101912033956,0.23804012668462843,0.2151843376995528,0.2057980624943231
HRL,0.0041630991968292196,0.06452208301681851,0.05192712010717981,0.04802701302409408
BSX,0.0040518698699367065,0.06365429969716661,0.05123718533784139,0.04911968544036766
EMN,0.006485524428421477,0.08053275376156882,0.06381238898943903,0.06394837396846066
LVS,0.2432402125764834,0.49319388943546677,0.40557472940585976,0.4833202805245316
ADI,0.039185401543552684,0.1979530286294016,0.163374338930265,0.16216881295377525
NTAP,0.009509013701228431,0.09751417179686464,0.08312516417033294,0.08672512737043836
NWSA,0.08651688661407886,0.2941375301012757,0.2537991368631562,0.2793852626827026
CAH,0.17076703826050585,0.4132396862118955,0.3651466490669697,0.32867464024553805
MGM,0.05547479023470065,0.2355308689634984,0.17929398425867432,0.1833939696649343
ADM,0.1221270551915116,0.3494668155798367,0.32223702009274824,0.29661309698771693
MSFT,0.0038318861721841034,0.06190223075289051,0.05244239526055302,0.04802077984204599
V,0.07016139056213357,0.2648799550025135,0.23071164976699254,0.23194932531636359
FMC,0.06562318384695696,0.2561702243566901,0.19984362020627752,0.2462076513397737
CDW,0.09207856111704801,0.30344449429351655,0.2714206886149285,0.20349701312700955
GS,0.06207587207588902,0.24915030017218326,0.23274901547960944,0.23442394830685195
TPR,0.1240530907167901,0.35221171291822495,0.31496546024493083,0.47381078199552557
MA,0.23192822972038885,0.4815892749225099,0.43577444249504815,0.46822431560738387
SNA,0.0035650816052814416,0.05970830432428509,0.05081560990838394,0.046653483781501574
IPG,0.004853541619131375,0.06966736408915852,0.05885827813217333,0.05428140329589333
COP,0.011246114321098895,0.10604769833003871,0.08421692148648907,0.07972376189478501
EBAY,0.021540218512495407,0.14676586289902502,0.12948343819096494,0.13288870692977575
