,mse,rmse,mae,mape
STE,0.008487921894776889,0.09212991856490968,0.0776265650149057,0.07174075452465996
REG,0.17660634763139682,0.42024558014498714,0.36436322867753845,0.3298123337064085
WFC,0.0017746870934276552,0.04212703518439976,0.03384845610066074,0.02969650618579193
JBHT,0.15050235969577108,0.3879463361030377,0.33719243313115327,0.3359833902572425
SJM,0.008619355665311742,0.09284048505534502,0.08326649101475547,0.09288439289978065
PFE,0.056044389655541337,0.23673696301072492,0.20763672395959393,0.2183684960170186
EQR,0.30242442059554725,0.549931287158266,0.49251500388132213,0.40909274988038014
TSN,0.21731060530780513,0.4661658560081435,0.36205994239270756,0.31240648026370527
TDY,0.07978114714221599,0.2824555666688408,0.24865096826921054,0.23514953843905165
GOOG,0.02643782703562824,0.16259713108055823,0.13467213940818373,0.13622789431159485
CMCSA,0.011799164812624543,0.10862396058248172,0.09602526071381298,0.09277060594331868
MRK,0.04926259747263303,0.22195179087502995,0.21277772550327814,0.18094001669614246
TXN,0.007457956381813945,0.08635946029135398,0.0691535709190677,0.06070192782653676
XRX,0.012769514920390308,0.11300227838583746,0.09586746598426085,0.09352254343927219
HRL,0.0363555495217741,0.1906713127918673,0.16380831559883957,0.14782155398620492
BSX,0.003968472756954089,0.06299581539240594,0.04953335165321596,0.04774749593731458
EMN,0.005496172459713582,0.07413617510846902,0.060006128405160855,0.05955221279980836
LVS,0.327685316542451,0.5724380460298311,0.47544394872542445,0.5653414526317725
ADI,0.010655024491465711,0.10322317807288105,0.0819085862104086,0.0821186934383001
NTAP,0.005675415677093553,0.07533535476184838,0.060908419071534575,0.06816047475522362
NWSA,0.01795623783782404,0.1340008874516286,0.11373689788699926,0.12125164554308022
CAH,0.020336998947512522,0.1426078502310182,0.12133821273996223,0.1122212425257627
MGM,0.06753979056518254,0.25988418683171655,0.19781116048640932,0.20277763485168818
ADM,0.3472211153679759,0.5892547117910691,0.5337299636766885,0.48855520234485833
MSFT,0.005019714373321474,0.07084994264868162,0.057932848678839285,0.049951047057972174
V,0.043278163398557216,0.20803404384512938,0.1691600866884894,0.16271386634753846
FMC,0.006722347559427812,0.08198992352373438,0.06346514126894715,0.07295917040727139
CDW,0.3162548956534897,0.562365446710135,0.5078422934064214,0.38271568151339674
GS,0.1360065812961991,0.36879070120625207,0.3059363020290726,0.2984208125356644
TPR,0.09498538027170056,0.30819698290492814,0.2749790670002185,0.4141101607602209
MA,0.01871983388304584,0.13682044395135487,0.11546382216291295,0.12639668718788813
SNA,0.12488066014434616,0.3533845782491734,0.30533641800579575,0.2661733520260278
IPG,0.03512688621064,0.18742168020439898,0.15867060404253686,0.14439232951867012
COP,0.033870900862798835,0.18404048702065215,0.1491170673677838,0.15261438816225412
EBAY,0.08328463417819189,0.288590772856985,0.2590874651413923,0.2676046608344685
SWKS,0.29375069714560853,0.5419877278551688,0.4553092272224013,0.24249807665647524
COST,0.03512649863274387,0.18742064622859422,0.13420446827195492,0.1287433123285801
EXPD,0.100780369137884,0.317459240120498,0.26989862587395574,0.28874147143984497
GL,0.0025211996833989,0.05021154930291337,0.04031542524471677,0.039598911604762775
TRV,0.0039998411555285385,0.06324429741509141,0.054603100154332174,0.055002630946862606
DPZ,0.09329037380765268,0.3054347292101091,0.25599962940780957,0.21921833991803386
DLTR,0.01198623076667759,0.10948164579817747,0.10211470587244979,0.10986503932977341
WBA,0.05633397736434061,0.23734779831365743,0.21398571863756516,0.18739382934461726
F,0.04898781920443661,0.22133192088904982,0.17918476351252957,0.20279541285346225
J,0.03129485100851716,0.17690350762072854,0.1477468349837047,0.18819194015554735
WMB,0.035305582868228276,0.18789779899782827,0.14420954406006656,0.1022392797225041
