,mse,rmse,mae,mape
STE,0.008487922694582315,0.09212992290554853,0.07762656628798685,0.07174075547736973
REG,0.17676220693098071,0.42043097760629,0.3645294347149312,0.3299639238024349
WFC,0.0017746870810612166,0.042127035037624196,0.0338484559738278,0.029696506076854
JBHT,0.15050235946611515,0.3879463358070484,0.3371924328672871,0.3359833899944275
SJM,0.008619356161891306,0.0928404877297147,0.08326649386169963,0.09288439601389989
PFE,0.05604438966279393,0.23673696302604275,0.20763672397391872,0.21836849603199224
EQR,0.302424424770857,0.5499312909544765,0.4925150074310439,0.40909275285553215
TSN,0.2172875784776303,0.46614115724491684,0.36203985823806,0.312389160648047
TDY,0.07978100071198446,0.2824553074594005,0.24865072647779862,0.23514930854139873
GOOG,0.02643785812986925,0.16259722669796448,0.1346722049515488,0.13622796500471254
CMCSA,0.01179916481585482,0.1086239605973508,0.09602526072710885,0.0927706059560114
MRK,0.04926259746809191,0.2219517908648,0.21277772549363488,0.18094001668798881
TXN,0.007457956123859709,0.08635945879786248,0.06915356959758859,0.06070192666826035
XRX,0.012769515195306454,0.11300227960225605,0.09586746717212595,0.09352254455847052
HRL,0.03635458066853908,0.1906687721378073,0.1638060979350027,0.1478195508087542
BSX,0.003968471652791195,0.06299580662862564,0.049533324749213604,0.04774747691908683
EMN,0.005491967822253867,0.07410781215400888,0.05998885897926765,0.05953038565379042
LVS,0.32781777208660273,0.5725537285588164,0.47554672328090974,0.5654617831040248
ADI,0.03008724279469811,0.1734567461781124,0.1408313550016744,0.1400660583066702
NTAP,0.005675415663755079,0.07533535467332107,0.060908418991987165,0.06816047466277453
NWSA,0.01795623783839281,0.13400088745375088,0.1137368978887923,0.12125164554499682
CAH,0.02033699891163533,0.14260785010522853,0.12133821261812282,0.11222124241637767
MGM,0.06752900417805789,0.25986343370712606,0.1977956418086558,0.20276140605485127
ADM,0.3471217408587447,0.5891703835553385,0.5336568160920665,0.4884887967136274
MSFT,0.005019714302931996,0.07084994215193119,0.05793284826508408,0.04995104671670248
V,0.03857128936237587,0.19639574680317257,0.15906897937418474,0.15291839268850535
FMC,0.006722313261923535,0.08198971436664196,0.06346496238567302,0.07295889961601526
CDW,0.27638213959705366,0.5257205908056614,0.4747594657829927,0.3576571207008833
GS,0.13600658131235907,0.3687907012281615,0.3059363020504111,0.2984208125569272
TPR,0.09498538028028151,0.30819698291884934,0.27497906701339936,0.4141101607796766
MA,0.018719833881060455,0.13682044394409942,0.1154638221560585,0.1263966871805363
SNA,0.1248895453093874,0.3533971495490412,0.3053478497584005,0.26618337414943793
IPG,0.03512245536962397,0.18740985931808382,0.1586600395413309,0.1443825986526547
COP,0.033748867402594945,0.18370864814318064,0.1488534793285031,0.15234615366730725
EBAY,0.0832841252817016,0.28858989116339745,0.2590866316158982,0.2676037934505144
SWKS,0.29375069395993975,0.5419877249162934,0.4553092244957932,0.24249807513732471
COST,0.035126606437194986,0.1874209338286281,0.13420467927291568,0.12874351602184875
EXPD,0.10077870722426802,0.3174566225868788,0.26989610994021473,0.28873875149229317
GL,0.00252119967885545,0.050211549257670296,0.04031542520380163,0.03959891156483458
TRV,0.0039998411428017015,0.06324429731447494,0.05460310006725674,0.05500263085792412
DPZ,0.09329037657675789,0.30543473374316465,0.2559996324121498,0.2192183423399353
DLTR,0.011986230756418817,0.1094816457513259,0.10211470582003855,0.10986503926954969
WBA,0.056333977850364356,0.23734779933752145,0.21398571963712884,0.18739383023731654
F,0.048987818873976956,0.22133192014252476,0.17918476290385987,0.20279541217172856
J,0.03438496928067771,0.18543184537904409,0.15449650732745332,0.19705377965331092
WMB,0.03530558939702985,0.18789781637110595,0.1442095389229811,0.10223927378921341
DUK,0.054408868472259106,0.2332570866496002,0.20010563262734396,0.18839871075444087
OMC,0.08941287099620242,0.29901985050528407,0.2633015652339835,0.26964979002578804
GM,0.01715265277045211,0.13096813647010525,0.11623776607750272,0.1407712696341348
EFX,0.03487578193099748,0.18675058749839982,0.15619707321189152,0.14243965240415127
IP,0.15652005276115283,0.3956261527770287,0.3410422184967751,0.3274593459370622
FITB,0.021519925335729755,0.1466967120822064,0.12782237254244383,0.12982410536995098
STZ,0.01447305288619698,0.12030400195420342,0.10349314289639407,0.08554937686910044
SWK,1.2141289532279547,1.101875198571941,0.9832806646185318,0.9901275667520067
HSY,0.00497369366269271,0.07052441891070574,0.05553313844362465,0.05637533611759133
AME,0.008096919491180084,0.08998288443465281,0.07549484407557693,0.07680911281248494
MSCI,0.002759790518772176,0.05253370840491061,0.043372115759060165,0.043750500769373236
ROK,0.009828445074084292,0.09913851458481861,0.08042668925705022,0.07921652358722453
ETR,0.2591708250922682,0.5090882291825929,0.442773630628761,0.35833251796498183
IFF,0.0065137903053269245,0.08070805601256249,0.0655870515403775,0.05891087132831772
USB,0.009766115209783696,0.09882365713625305,0.08670548716361919,0.08162538218077303
DFS,0.09805317760713886,0.31313444014853886,0.2738965822091117,0.24262726779537647
ES,0.2148857162078911,0.4635576730115586,0.4103851485842153,0.36817235975530027
CHRW,0.3694852601902869,0.6078529922524746,0.5106125454604427,0.458543885029814
PKG,0.01961563025618758,0.14005581121891222,0.11424917250514961,0.1003827013983243
ORLY,0.10569596924099092,0.3251091651137982,0.28586827639142176,0.23791832264172227
MCK,0.008862323975254018,0.09413991701320974,0.07601868239483699,0.06815713286750018
CPRT,0.033804775436948264,0.18386075012614375,0.14975683310345642,0.1599123408393633
PNW,0.14603345946263202,0.38214324469056365,0.32363503468300525,0.31005725116455457
VRSK,0.005124694506557569,0.07158697162583126,0.059604236814937483,0.06583470882858142
MSI,0.051629992862948726,0.22722234234984184,0.1984968201006359,0.20763774322669318
CVX,0.004149352631579044,0.06441546888425981,0.05046777567536024,0.050142317503809604
FTI,0.30231256717987615,0.5498295801244929,0.49672615431990197,0.5358144627063623
KMI,0.14883173026362528,0.38578715668568503,0.31524345986019264,0.29021471185812053
GIS,0.007407766030833846,0.0860683799710082,0.07577257541591134,0.07317420885301695
NFLX,0.05563995285600551,0.23588122616267176,0.19385123684970607,0.17108616451057915
IT,0.04520059146645069,0.21260430726222526,0.18785434908586615,0.17985002370345596
RF,0.368066413340101,0.6066847726291644,0.5553235007163246,0.5384294130486078
TSCO,0.010022151295297505,0.10011069520934067,0.08850123202672053,0.10192197169777545
JNJ,0.024083069719519762,0.1551872086208131,0.13207500477628373,0.11968525956444817
TFX,0.05788521222968159,0.24059345840999416,0.2095450856161784,0.1889194503069963
WAB,0.015076335592281317,0.12278573040985388,0.10270688122358614,0.09622690811882449
HD,0.10997491311090014,0.3316246569706483,0.26586494334964844,0.23780652409501457
SYY,0.1444308295427551,0.38004056302288985,0.3347718678375364,0.3485268313910082
AVB,0.31252878037914106,0.5590427357359552,0.4942986280054026,0.4352879416328754
K,0.0058178733269556365,0.07627498493579422,0.06132540200767575,0.06095158936425393
NEE,0.1260968341913551,0.35510116050409507,0.3219128154436627,0.2849112248829767
TGT,0.00785861034664154,0.0886488034134784,0.07322410003939354,0.07770814281716265
FANG,0.0550688490740031,0.2346675288019267,0.20108457562292645,0.16187015820075934
POOL,0.15050740307353067,0.3879528361457494,0.3493603475013098,0.34734573861030743
LKQ,0.08806035640559134,0.2967496527472127,0.23667006864785262,0.28861333532768296
LNC,0.013894921836206494,0.11787672304660701,0.09703423858302848,0.09763298962819743
NKE,0.01122626484587753,0.10595406951069661,0.0914356271925328,0.08732125492260152
HBI,0.2970074821813524,0.5449839283697754,0.4600024088492829,0.32248648793170065
CAT,0.10576646500580064,0.3252175656476763,0.30414412641184796,0.2678235686777366
TJX,0.009515366646709931,0.09754674083079316,0.08144138756746952,0.08930058079155506
TER,0.016900304063504852,0.13000116946975843,0.11063467126833015,0.09951625967926278
ABT,0.006404412995235989,0.08002757646734024,0.0653080840248371,0.06041066824550232
HAL,0.17031316042228856,0.41269015062427716,0.2986656366476996,0.3253478965261822
PWR,0.015192695114599369,0.12325865127689564,0.09064738861010765,0.08763231479922007
STT,0.012254418202043742,0.11069967570884633,0.0902338789567544,0.09146178542700656
HAS,0.014629981613815296,0.12095446090911775,0.10439678935185953,0.10465475189722147
OXY,0.015257524402430162,0.1235213520102098,0.09198302469664278,0.09935345554534379
NWL,0.04792338645896089,0.21891410749186743,0.19947051167700855,0.1975235187390874
RHI,0.05771828566224483,0.2402463020781898,0.19453661907866673,0.15950799527994727
VTR,0.35478066227036964,0.5956346718168526,0.5305490079111613,0.5187889485626651
NOC,0.20416593853951454,0.4518472513355753,0.393797694081373,0.3455458218681993
CE,0.010264024979947143,0.10131152441823754,0.08542750452377233,0.08543754025040474
EQIX,0.8512394361455097,0.9226263794979578,0.8302606677431591,0.7012011745394148
TFC,0.04806246781798338,0.21923153928662586,0.2037399836523843,0.19689829995652774
MTD,0.10984868976218845,0.33143429177166994,0.2774228946447178,0.26479108280551134
DE,0.006946707028988393,0.08334690773501074,0.06746922412748277,0.07000896093020495
ROP,3.5908135931552936,1.8949442190089114,1.6865051178172075,1.5882268436101359
AZO,0.005244091398121561,0.07241609902584895,0.06145819744502868,0.05553415995371261
ADBE,0.0079435709577783,0.08912671293040207,0.07454226830646378,0.0659436812628941
TYL,0.05670095413169547,0.23811962147562613,0.2152555164818673,0.25315812748158917
DHI,0.020007303098772602,0.14144717423396128,0.11831823466014006,0.11216449822443793
LYB,0.09292163557543451,0.3048305030265746,0.25875654959147976,0.20555899316992043
AFL,0.004224286561880145,0.06499451178276627,0.05917033559887907,0.06438859125344543
EOG,0.08551301232030341,0.292426080095985,0.26477427423174443,0.24004158430405018
ROL,0.03073695748212779,0.17531958670418943,0.152279005794474,0.15159391801100564
DOV,0.07052945826599695,0.26557382827755627,0.23900515204941852,0.22848606137975133
GOOGL,0.023793103714641523,0.15425013359683526,0.12732562135038267,0.12738422893431744
GRMN,0.015468424709582993,0.12437212191477233,0.10352213573741226,0.08916691572708614
SLB,0.021605775112246945,0.14698903058475807,0.11794511019041726,0.10507957667908034
FRT,0.17309476305000127,0.4160465875956697,0.37225082727206615,0.32042744284941954
IEX,0.03845573930556478,0.19610134957609235,0.17277905771242397,0.1669685081007332
RMD,0.12468687732210847,0.3531102905922008,0.2943926647565708,0.3202024159683629
ULTA,0.1339097721032557,0.36593684168617907,0.289716046960677,0.3480357783651541
CCI,0.00370739807237822,0.06088840671571412,0.048613519230053304,0.047153569771852456
CSCO,0.05707492461077884,0.23890358852637364,0.20242948890741877,0.18649693935987122
PNC,0.0025614269769215197,0.05061054215202125,0.04116053625959506,0.037273676500068284
KR,0.34169985714503026,0.5845509876349798,0.4928989632824339,0.4015905417752657
DXC,0.021125111289621405,0.14534480138491848,0.1352727072849251,0.12229622327202025
PNR,0.03933065158410834,0.19831956934228234,0.16817656161034977,0.18802559796102533
BIIB,0.024337252297807112,0.15600401372338826,0.12629435348904144,0.11592095492224694
DG,0.007808588969042005,0.08836622074662923,0.07527574856438933,0.07977814054402085
DVA,0.04950332232907575,0.2224934208669455,0.17847886240859176,0.1544227159106424
RSG,0.0772652225570035,0.27796622556886924,0.234710477294397,0.21139961649053016
ZBH,0.0028144838920676598,0.05305170960551281,0.03998099939294592,0.03747599727441608
PAYX,0.02138350175760093,0.14623098767908574,0.11681857684423831,0.11834416807343005
LHX,0.13938400841372076,0.3733416778417871,0.3073736809025966,0.30254483249321784
JKHY,0.004215101968975894,0.06492381665441345,0.054832528639885046,0.055416862508714
ALK,0.01754422851016174,0.1324546281190723,0.11117190574487708,0.08874908650265095
AXP,0.008840185873756963,0.09402226264963508,0.07805612717963493,0.07794275431167683
ESS,0.1814060910925489,0.4259179393880339,0.37920451423678847,0.3231017987002073
UAA,0.0909093521901181,0.3015117778630183,0.26721768999179224,0.1838715208306316
WHR,0.22106996313585095,0.4701807770803172,0.3929966565003683,0.38540073394885865
GD,0.43684864153742264,0.6609452636470153,0.5915032360471927,0.44652124076183286
WYNN,0.09585155842508897,0.3095990284627666,0.24935870634230917,0.2571599159236307
NCLH,0.020899332314436393,0.14456601369075786,0.12206973317745615,0.12900923250383017
CMG,0.07714809050600811,0.27775545090242265,0.2359287299285162,0.20647838628105447
PPG,0.08920990294909431,0.29868026876426623,0.2628191731150271,0.2447303315405913
LEG,0.39069550426509114,0.6250564008672267,0.5449727707547906,0.46124747272398825
IDXX,0.013157274933187506,0.1147051652419694,0.09544181933517358,0.079123943177217
NVDA,0.004970165403940197,0.07049940002539168,0.055728653157555055,0.04862790026088471
WST,0.09184983148840307,0.3030673712038349,0.23751253794336127,0.25039991127874583
AES,0.08705768228575055,0.29505538850485435,0.26102684537837345,0.2784882238585287
ABBV,0.011185099567998315,0.10575963108860732,0.08975376496528556,0.08746861921237735
PVH,0.3465889243577835,0.5887180346802563,0.5319102335912231,0.6008525805191172
ETN,0.021329977936588442,0.1460478618008098,0.13217062899843804,0.1413687951518971
AVY,0.004439951154341734,0.06663295846907695,0.05039898848211512,0.05124324843546919
BIO,0.005812308303960809,0.07623849620736764,0.06723878690273483,0.07046833475311703
CF,0.1948082100231196,0.4413708305077711,0.3954750943523791,0.3621754377141248
LDOS,0.013126921604406979,0.11457277863614454,0.0858666401060908,0.10253292561838513
CMI,0.16034648980824281,0.4004328780310663,0.3671458131757454,0.35308969767840237
AMP,0.019017671082633275,0.137904572377544,0.11498295427271946,0.11135907872727878
CHD,0.032773282631850226,0.18103392674261426,0.14650548336799193,0.13578003971709177
MCD,0.009448761035119614,0.09720473771951454,0.08845260006966729,0.0882190829272695
OKE,0.025866867931379486,0.16083180012478715,0.10633981860517781,0.10054728727352133
ARE,0.10948672540159914,0.3308877836995484,0.298485084975466,0.2466886086107312
APD,0.5233811639168243,0.7234508718059743,0.6409571188657432,0.54700024268811
RTX,0.06686626850477051,0.2585851281585438,0.23807930500003519,0.23970646206770052
EW,0.4210179121962347,0.6488589308904014,0.5346554144523964,0.4114296363039234
LYV,0.09045838460031916,0.30076300404191864,0.27107857657353424,0.2253932615509697
NRG,0.05476970734569795,0.23402928736741038,0.20949922176417643,0.19358007689414466
SPGI,0.006329740558307795,0.07955966665533357,0.0658960480401998,0.06270214308950349
ITW,0.059008145492526906,0.24291592268216364,0.2052296804211308,0.19317897497825398
AEE,0.20626518192772256,0.45416426755935185,0.3863902734364543,0.3401378468200359
TEL,0.29225204787295683,0.5406034108965247,0.4937951778515733,0.4422183119807174
XRAY,0.08147295134104972,0.2854346708811838,0.2649874986144847,0.2712318157864921
LUV,0.0749284701807653,0.2737306526145096,0.20494819187964486,0.11784334693528815
TROW,0.034300303112079995,0.18520341009841043,0.1637759666620227,0.16741610722665135
MAA,0.2552432940316794,0.5052160864735795,0.4590146588646808,0.42109701211865574
LH,0.014995881859928324,0.12245767374863988,0.09837063293626125,0.1060746403140561
AWK,0.41653433123283273,0.6453947096411875,0.573232542590712,0.4956070024592607
ECL,0.0527825184863753,0.22974446345097263,0.1956067715667826,0.1886273612254708
FFIV,0.07756679607702467,0.27850816159858705,0.25876551685657095,0.20305583409529995
NWS,0.024610616075913833,0.15687771057710473,0.13375385585940958,0.14853867904370424
CPB,0.1367582383747784,0.36980838061728455,0.31703381459979957,0.3075704199287424
WELL,0.500112919966408,0.7071866231529044,0.6186435698052463,0.585745230017153
VRTX,0.31578900967962054,0.561951074097755,0.4633268734265062,0.3637246932251234
FTNT,0.1416883532295096,0.37641513416640093,0.3339727051154205,0.2888310658018252
MCO,0.002009297645372703,0.04482518985316965,0.03637416892296118,0.03343328739815292
EL,0.008976016438703932,0.09474184101390437,0.07785646358224327,0.07863517863763599
IQV,0.03697295947556372,0.19228353927355227,0.17712318785165745,0.15030087129693512
UNP,0.4629936708899276,0.6804363826912312,0.6083415089780878,0.47797764094948597
ALB,0.5428847908897314,0.7368071599066688,0.616215586409316,0.6834136263639878
REGN,0.2669248717839043,0.5166477250350613,0.4451536771253765,0.3974911684387459
ILMN,0.03695228365655275,0.1922297678731178,0.14625083776243103,0.09899468323127102
HES,0.020357876344116583,0.14268103007799104,0.11031740662737707,0.09990347289650264
HPQ,0.014477123208558403,0.12032091758525781,0.1012796853997195,0.08368606083365376
KLAC,0.017348072555814557,0.13171208204190896,0.10299684695880383,0.08709935321530349
IVZ,0.4974735712721298,0.7053180639060153,0.6226804443250021,0.5821694237992353
ICE,0.11898356029621904,0.3449399372299749,0.31281888540759933,0.3501100560421553
LRCX,0.05329702136935373,0.23086147658142042,0.18367580739662956,0.1358366180728114
LIN,0.00206866323714218,0.04548255970305739,0.03377585645058813,0.0332977136456627
GE,0.0042846912850286615,0.06545755330768682,0.05163096328134742,0.05470581593297029
TXT,0.06840653744057287,0.2615464345782081,0.2218370259400442,0.20952010569983937
CINF,0.0034514269853465986,0.058748846672480294,0.04869755041793897,0.05235380466894977
CHTR,0.16641147366962172,0.40793562441839,0.34516239262820303,0.312184766045517
WDC,0.10328994930707479,0.32138753757274846,0.2751933288304749,0.2385687553434449
BAC,0.012697115175148306,0.11268147662836295,0.10151382591579201,0.0997471958300481
SO,0.1726350517979004,0.41549374459539146,0.36761543436711236,0.3333539262553578
AJG,0.004244878324598224,0.06515273075319425,0.05582191798978716,0.056405895236846006
VMC,0.04290101268722869,0.2071255964076596,0.192380020862752,0.17830703076936716
L,0.008313008146363925,0.09117569931930286,0.07321602986056094,0.08383012949777965
NDAQ,0.018162484883121423,0.13476826363473496,0.10702347639889843,0.10898648402974648
MO,0.1406347183970255,0.37501295763883347,0.34532692018582345,0.3006313789067161
AEP,0.11006720683430057,0.3317637816795266,0.2937461832840555,0.2543315570599084
PSX,0.12278722781564878,0.35041008520824396,0.2791388571343763,0.27122706370678584
