,mse,rmse,mae,mape
STE,0.24777905319711452,0.49777409855989346,0.45383337137796426,0.3940927257104334
REG,0.11720542491187724,0.3423527784491857,0.3017517101488764,0.2738988452833858
WFC,0.1500912585858149,0.38741613103459555,0.3320643958253454,0.2871234796747942
JBHT,0.03509594472149764,0.18733911690167018,0.1718513313222569,0.17339349493230005
SJM,0.001134102047172102,0.033676431627654706,0.028754777660340184,0.0317857970257231
PFE,0.018646000876403404,0.13655036022070174,0.1102502178257506,0.11407822816505112
EQR,0.11076290102451161,0.33281060834130816,0.2895714121675821,0.2387252185275181
TSN,0.06585350569508817,0.25661937903262133,0.2339740537165147,0.19803953045135023
TDY,0.13961996925755885,0.3736575561360413,0.32631334812391327,0.31123500403615045
GOOG,0.12988937322817762,0.3604016831650174,0.3010658304727207,0.30565060049387954
CMCSA,0.4550206037445177,0.6745521505002543,0.5882621526452181,0.5613771149548789
MRK,0.022772559965831968,0.1509057983174668,0.1113102658852549,0.09368970244147551
TXN,0.010177908028211087,0.10088561854006292,0.08069621894761496,0.07433993229398207
XRX,1.099598666604215,1.0486175025261666,0.9441931440264992,0.8933490484615418
HRL,0.0371015041296098,0.19261750732892843,0.1635306395726247,0.14697276744812657
BSX,0.2726456433860259,0.5221548078740882,0.4364372388196719,0.4250867325519601
EMN,0.5383845568409046,0.7337469296977702,0.6214079106093134,0.6182604011078734
LVS,0.2308633661656965,0.4804824306524605,0.39480176366922914,0.470667094996661
ADI,0.22952416801422668,0.4790868063453915,0.4123514067534681,0.403596169837511
NTAP,0.006809343546339995,0.08251874663577964,0.06740730966703434,0.07603166700345139
NWSA,0.062289555093733094,0.24957875529326026,0.21463461704455186,0.23669511805763466
CAH,0.08093247544162481,0.2844863361246456,0.25147433193459157,0.22689263815674535
MGM,1.626467357874903,1.2753302936396136,1.0681152568731127,1.0799764169498631
ADM,0.32510794086209893,0.5701823750889701,0.5077456522018918,0.460877468795311
MSFT,0.16499859574576692,0.4062001917106477,0.3432713793909875,0.29153144883415777
