,mse,rmse,mae,mape
STE,6178.686932031629,78.60462411354455,50.66022521372717,45.74356210211953
REG,40050.910006144426,200.12723454378823,134.14018978094595,128.26573127291636
WFC,23936.466855353294,154.7141456213791,96.97077957252866,86.08618011936805
JBHT,222.5443047757549,14.9179189157119,10.733013884898515,10.83690347733869
SJM,178.01573103401446,13.342253596526131,8.958973364626253,9.746477784092807
PFE,8436.824925491179,91.8521906406765,60.42336540615165,63.907181599925664
EQR,74.008136905657,8.602798202076869,6.683831672624201,5.6148302030320965
TSN,88806.22283431163,298.00372956443283,176.21234892992925,155.03516412358078
TDY,2666.4142275872955,51.63733366070808,34.78102824810189,33.80670451748828
GOOG,68.37106844284521,8.26867996979235,6.137285650812796,6.144387618599806
CMCSA,203.05933740933824,14.249889031474535,8.726707905873536,8.305956711451508
MRK,473.5128675040208,21.76035081298141,17.026481089250854,14.67835783550807
TXN,46.12574998069981,6.79159406772076,5.471698563507736,4.934109507913646
XRX,343.8902392950451,18.54427780462332,13.307186413567099,12.713982772533758
HRL,19264.09406234341,138.79515143672495,93.39425648300018,88.12427843849238
BSX,2479.745806222778,49.79704615961451,29.466758882857288,28.592096516939467
EMN,344.5190231041538,18.561223642425997,12.46182458681979,12.165470757778994
LVS,16076.721817301554,126.79401333383825,86.68902386123115,95.20030498911181
ADI,2384.468482070668,48.83101967060147,28.781683330941412,28.560764473984026
NTAP,3507.6501555229493,59.22541815405738,43.990554977172906,47.60615620624674
NWSA,40804.741175694624,202.00183458497258,142.42287427738847,147.69123717202967
CAH,689.8375453514075,26.26475861970575,18.808593254195063,17.517159073138235
MGM,115.5241650008665,10.748216828891502,6.1192037792246845,5.720348726592503
ADM,2498.1033501481556,49.981029902835694,32.47434813308423,30.018124388915364
MSFT,9.303014724268966,3.0500843798604924,2.3134972376113017,2.159329705624546
V,204.1928079408358,14.289604890998064,9.61603201446461,9.774207516422685
FMC,6557.224141328718,80.97668887605073,57.72242052607136,63.023891996381174
CDW,7702.321864710914,87.76287292876707,49.70134275899102,37.24389621577952
GS,148.99946422928952,12.20653366969057,7.891149220787521,8.050631048563284
TPR,196.0565202440886,14.00201843464322,9.247546789895074,13.889521081294067
MA,32.254207069115694,5.679278745502433,3.8838722622261703,4.282158223092532
SNA,104.38164305760296,10.21673348275284,7.129372356846039,6.664446668318146
IPG,2827.8204905777825,53.17725538778569,30.601972326634037,27.85140453652536
COP,3.517973856590593,1.8756262571713462,1.4086443388555974,1.351464130860579
EBAY,17438.74978401607,132.05585857513503,74.04153200708835,77.71541771449004
SWKS,217.40816758356354,14.744767464546992,10.302898575854712,5.79420378494544
COST,5653.970525677198,75.1928887972606,48.89074851964941,51.039017420129476
EXPD,1346.0908035570528,36.68911014943062,25.579604292981013,27.798036243652312
GL,10356.205681178448,101.765444435616,72.46159806348278,71.09289460195383
TRV,8729.264090060793,93.43053082403414,59.451380294409745,58.26629039579567
