,mse,rmse,mae,mape
STE,2690.052346288507,51.86571455488208,33.64200609269902,30.60567444357733
REG,11.810783506301561,3.436682049055682,2.2403875185494933,1.969541239257381
WFC,282.1496002317997,16.797309315238547,10.83605088030951,9.564640019816856
JBHT,504.3655030145452,22.45808324444776,13.143331431909566,13.19683352124101
SJM,59.60989267596527,7.720744308417762,5.02685903294953,5.6242668971044845
PFE,3718.199108002679,60.977037546954335,40.90294563548834,43.055571484099055
EQR,23.093608953211195,4.805581021397017,3.922290866619739,3.237546954823191
TSN,700.8742581894262,26.47402988193196,14.719426821218867,12.958154753046214
TDY,1453.0757643151646,38.119230898788665,20.300801828499957,19.540162657057927
GOOG,131.21489298432135,11.454906939138413,6.982351657404893,6.955096521518168
CMCSA,7108.432545359277,84.31152083410237,43.96260232320294,41.71974064369326
MRK,538.7523674537557,23.211039775368867,16.03240038646785,13.687485027540566
TXN,8860.443576836013,94.12992922995328,59.57894404723481,55.12397678464248
XRX,310.4237245022573,17.61884571991756,10.555417358872894,9.739375738081309
HRL,360.7551818275101,18.993556323856524,14.259435312468286,13.379237578545284
BSX,12029.494557474443,109.67905250080547,68.33639467177147,66.45730605532017
EMN,785.767788423059,28.0315498755074,15.661627060383166,15.433479972206243
LVS,12880.112172824205,113.49058186838327,73.3449123557891,78.74551206780818
ADI,1443.1313712400897,37.988568954885494,20.553554311229437,20.10619484720821
NTAP,290.3627100654239,17.04003257231112,11.015477382325583,11.634355227813078
NWSA,1285.3843522182615,35.852257282049365,21.729582697024714,22.900688905106364
CAH,119.03551937759168,10.910340021172194,7.685832339855417,7.2343213231360455
MGM,215.3514910280218,14.67485914849004,9.07765513626303,8.869718509219917
ADM,3160.4635948590308,56.21800063021657,35.19933234031744,32.510731628511316
MSFT,3.824049483220948,1.9555177020985897,1.3802550962933806,1.2731032846188906
V,20.357890155134214,4.511971869940482,3.4175551525148378,3.288493332235073
FMC,57.43264728193432,7.578433036052659,5.229699298093727,5.676039354696936
CDW,19.635606784493813,4.431208275910061,2.8974173747021954,2.4183287819362067
GS,176.8544890549238,13.298664935057346,9.007393567905325,9.189839253347266
TPR,107.80657065406227,10.382994300974179,7.079366227204022,10.486510382755805
MA,24.944985291620757,4.99449549920918,2.7470698923952757,2.9631406614912503
SNA,237.32898980044817,15.405485704788674,9.545188599924943,8.854371818881468
IPG,513.5525243049733,22.661697295325727,16.279451953570604,15.359731005370232
COP,680.5915930567077,26.088150433802465,15.817863433639127,14.981650950144893
EBAY,2504.6813162668077,50.04679126844005,27.124391662102855,28.172958443149412
SWKS,360.9662254065167,18.99911117411856,11.467888611780133,6.267207318895154
COST,1284.5551161187354,35.84069078740999,21.15369541571018,21.670952932627493
EXPD,573.9106441049057,23.956432207340594,14.13953545994602,15.33619105981366
GL,782.4176039764242,27.97172865549114,17.546544920577922,17.274099961105133
TRV,601.9201959998388,24.534061954756673,17.373767777469496,17.176982605952272
DPZ,1564.6216624383412,39.55529879091221,21.42677258268466,19.77631953881112
DLTR,19.26532984711983,4.389228844241301,3.0382834553314613,3.3517179872590717
WBA,759.6076361961908,27.560980319941287,19.694437991904337,18.431523036484297
F,4561.638173056414,67.53990059998915,41.47621130531982,44.18884034239476
J,267.0884942653015,16.342842294573533,10.967682712478485,12.607454687703047
WMB,341.4261264304744,18.477719730271765,11.346546557434174,8.559195607263868
DUK,116.20545814929531,10.779863549660325,7.416358340197696,6.951609759465638
OMC,5071.694920786929,71.21583335738569,48.9216884520988,50.20857040186941
GM,17702.811693733045,133.0519135290171,84.47833754217638,99.38609543467045
EFX,55.14975809173446,7.426288311918308,5.354700622019579,4.84838386717435
IP,64.59958020457081,8.037386403836187,5.5057687333786385,5.306728094159875
FITB,78.68929714862801,8.870698797086282,5.686101902283578,5.763830081616975
STZ,137.29190114810132,11.717162674816004,7.245086808007276,6.135484390650994
SWK,544.9064334646375,23.343230998827853,14.28607340461516,14.483715250833429
HSY,205.29707224739207,14.328191520474315,8.758443522196554,9.074065912825306
AME,259.3996523706585,16.105888748239213,10.357579946539074,10.442435574390352
MSCI,1.2406913376812485,1.1138632490935538,0.7516795334913943,0.7473894958642687
ROK,909.2575430475858,30.153897642719187,16.91933746332464,16.90180373949355
ETR,319.818580442326,17.883472270292646,10.46954635571645,8.659475913661524
IFF,204.838349300445,14.312174862698017,8.751852402380873,7.930441818165694
USB,123.98045818334037,11.13465123761586,7.064954082087569,6.831651574192919
DFS,87.41376685163686,9.349532975054789,6.340866603240575,5.627813841491519
ES,1551.768759477866,39.39249623313895,21.254805566894213,19.768943406749102
CHRW,596.1814308771203,24.416826797868726,13.718576137847641,12.494718615516838
PKG,164.16124940854797,12.812542659774756,9.053307900378934,8.19437449302214
ORLY,8.076218596656593,2.8418688563437606,1.9738758874126694,1.777183618942802
MCK,798.132303811695,28.2512354386794,17.02809741016409,14.727741140256654
CPRT,226.91431245527178,15.063675263868104,9.39751381172447,9.939001812716887
PNW,298.19512006644925,17.268327077816462,10.113973036801974,9.96559072705089
VRSK,615.9260484082905,24.817857449995365,14.44980001539609,15.837436582016444
MSI,13.570791846143706,3.6838555680351672,2.6820884971656302,2.807553312011128
CVX,170.37477447865382,13.052768843377784,8.26837046068805,8.321991596521649
FTI,4397.622988299365,66.31457598672682,35.51968471331716,36.45912608360509
KMI,787.3834779652872,28.06035420242031,20.98885681368492,20.409937682184456
GIS,75.53937388162274,8.691339015458018,5.707239090559163,5.656942885098559
NFLX,451.3346402620654,21.244637917885665,11.897402396192838,10.486108286725113
IT,1315.6398915438488,36.271750599383104,23.958237893796795,23.473971726083164
RF,948.4210967016786,30.796446169999527,17.494564877930035,17.004080732475433
TSCO,25.578644692573686,5.057533459362745,3.525381492233351,3.8635030504364876
JNJ,2474.1141226531295,49.740467656156284,34.444801394063994,32.440555691104045
TFX,1.2988202824253683,1.1396579672978064,1.0655504643706175,1.0000118524494113
WAB,2778.944712732211,52.71569702405737,34.85825516496581,32.701769652097695
HD,215.7294565257722,14.687731496925323,9.228533717146028,9.022572040791674
SYY,3345.600746750019,57.84116826923553,33.34550561781706,35.30660854335243
AVB,130.66911117671432,11.431059057528936,7.374599372501263,6.483640497428952
K,824.3340296796615,28.711217836930246,15.702407828028567,15.196647216767897
NEE,93.74137475974923,9.68201294978215,6.645306958647563,5.84781668250505
TGT,717.8863275180857,26.793400820315547,16.641376787850817,18.318949469536562
FANG,241.5121424265046,15.540660939178379,9.898178787362468,7.681036157164381
POOL,1050.6230121827373,32.41331535314981,18.217504885629896,18.465560104611846
LKQ,41.80765223734432,6.465883716658096,4.789169427139781,5.894652050264423
LNC,1860.6283926433696,43.13500194324059,26.611105465098735,26.191292599870163
NKE,14384.355899889673,119.93479853607823,76.38809954718415,77.30923935665294
HBI,368.5946697726241,19.198819489036925,11.36022809285818,8.05203243585022
CAT,291.04484357803506,17.060036447148494,10.272120530833346,8.897499442935393
TJX,315.00313816484555,17.7483277568577,10.4857744507045,11.30801469634128
TER,2239.6265891743456,47.32469322852865,29.448478622624815,26.568842623594715
ABT,1604.6276450212608,40.05780379677923,23.508017829799986,21.30755581536028
HAL,55.46536384586515,7.447507223619534,4.846976708670196,4.574821246524018
PWR,3029.087907712246,55.03715025064657,29.458748002215764,26.68153474771313
STT,391.39394097659795,19.783678651267007,11.142344581512338,11.294112555954266
HAS,427.31865405678195,20.67168725713462,12.369526063286909,12.496014917492078
OXY,40.915737936720866,6.396541091615129,4.659257674741701,4.874394722041882
NWL,214.72658889445202,14.653552091368564,9.724566655200384,9.438534046456379
RHI,44.26420850828322,6.653135238989451,4.574394682981728,3.7337886461420915
VTR,328.0839417475876,18.113087581845,11.9683298165162,11.88160224877267
NOC,1762.0005278432975,41.976190011044324,22.946325336332087,20.59577993654838
CE,707.1482624286714,26.592259445723514,14.852051416275057,14.063743913644585
EQIX,16.063983402370297,4.007989945392865,3.014166163070696,2.5699410029460785
TFC,129.0799445831666,11.361335510544814,6.944425776500646,6.7316109780220295
MTD,5.6466103659511155,2.3762597429471204,1.651646949895131,1.646421306207886
DE,65.61852925928365,8.10052648037667,5.21114936387952,5.44805651143649
ROP,2290.7171929668307,47.8614374310554,25.787632436113473,24.33602141645107
AZO,56.826293886364915,7.5383216889679705,5.127156813132111,4.670715935528998
ADBE,1437.1684348065555,37.91000441580765,21.57403582819465,18.747637840985313
TYL,144.10968897725806,12.004569504037121,8.12605458144476,9.035504663097624
DHI,149.05401140923104,12.208767808801634,8.351383126205318,8.145371379394561
LYB,97.09772823175243,9.85381795203019,6.245785874026857,4.978208184854089
AFL,6.240620917346542,2.4981234792032483,1.6898764580871062,1.8101684636610447
EOG,33.20591482883738,5.762457360261973,4.48101676330665,4.129806457810047
ROL,1353.3370644206752,36.787729807922034,19.406882243393902,19.54778386097269
DOV,560.641761550372,23.677874937383464,14.094969435682003,13.281817260523344
GOOGL,134.9672609812769,11.617541090147988,7.0953289284155465,6.973954000905986
GRMN,108.80629955413617,10.431025815045047,7.188262912836895,6.280861237399677
SLB,3487.9510053420363,59.05887744735787,38.396046056347814,35.25178815271728
FRT,1264.0508769679425,35.55349317532586,19.80660549670482,17.171927163449304
IEX,820.7291898465938,28.64837150426868,18.177901817384495,17.68595881828545
RMD,405.9682669145461,20.148654220928655,11.651319347662737,12.702142212158432
ULTA,649.3940355774853,25.483210856905085,18.85448890997466,25.21925027807991
CCI,717.1041447115907,26.778800285143298,17.92105256096065,17.647642732547876
CSCO,11.038488700717238,3.3224221135667333,2.6509014806700892,2.445611009904331
PNC,2865.618275574454,53.531469955293154,29.827139992738175,26.948844371638142
KR,400.85882867995724,20.02145920456242,12.128048442269767,10.585486553133835
DXC,55.12090264266993,7.42434526693566,5.062487449610032,4.57442047675065
PNR,170.34566094268706,13.051653571202657,8.573764779801968,9.159733902902634
BIIB,62.05921575778487,7.8777671809837635,5.83112946446819,5.309869395433666
DG,583.4593638210355,24.154903515042975,14.334189077406737,14.742867182869977
DVA,433.57835163427933,20.822544312217932,16.066221579103882,14.477177366022094
RSG,222.05072397187712,14.901366513574422,10.897220446282102,10.101833908091793
ZBH,375.1001891556594,19.367503431151352,11.492573211080371,10.440751085544028
PAYX,298.346613400911,17.272712971647245,13.363974591544205,14.109576021599212
LHX,876.1323761764016,29.599533377680157,16.924055330125285,16.463000010914108
JKHY,350.41646580212057,18.719414141530194,11.713122652961172,11.952617303923603
ALK,3.6104381528645906,1.9001152998869808,1.6688755307416834,1.3511517929359098
AXP,182.31311287571918,13.50233731158125,8.032459825277511,7.958892716563018
ESS,23.753263465605226,4.873731985409664,3.214790325540633,2.822581524511876
UAA,242.2212048512897,15.56345735533367,9.523630737012853,6.4310959573117925
WHR,2027.8221404194624,45.031346198170255,25.502260513484607,26.461869213391516
GD,17.692318422629207,4.206223772296144,2.7933846232688726,2.28090745499176
WYNN,1296.419612616845,36.005827481351474,19.193998181579847,18.907430325784574
NCLH,317.0308010163608,17.805358772469617,12.107516636275765,12.58103312988441
