,mse,rmse,mae,mape
STE,7058.781375286093,84.01655417407984,53.6804999732739,48.42793191898132
REG,34339.645495896075,185.3095936423586,125.44285832773484,120.15675375271168
WFC,24756.834625288757,157.34304759120675,98.46205345300854,87.39408953813253
JBHT,229.1874589066697,15.138938499996282,10.929966079663865,11.040507639326021
SJM,104.09586450151053,10.202738088450106,7.301270613855507,7.9998529210906915
PFE,11652.927168419084,107.9487247188177,71.16293141926377,75.25893624921824
EQR,68.85759776829241,8.298047828754207,6.442610946405886,5.408045139898599
TSN,79330.51821531102,281.65673827428844,166.51966458754055,146.56646855791396
TDY,2053.066532900343,45.31077722684023,30.981526445323993,30.120317178407923
GOOG,56.70435331961456,7.530229300599986,5.598626784075591,5.611981457978423
CMCSA,205.7828184280198,14.345132220653102,8.830044654737753,8.395652679753304
MRK,471.9789144817218,21.725075707157426,17.017924881399804,14.668028404814791
TXN,2802.712295716935,52.940648803324414,31.480200322411388,28.62855341176449
XRX,344.6139166598496,18.563779697568318,13.29374052434056,12.693062047676898
HRL,17407.655148200694,131.93807315631335,89.49844005086709,84.52442321504236
BSX,2662.2417834818407,51.59691641447036,30.435041731835835,29.530395624634547
EMN,357.17858237971427,18.899168827747804,12.634135426520942,12.332721553555016
LVS,15280.919519445224,123.6160164357565,84.60950387755561,92.90577440857787
ADI,1639.4940120697418,40.490665740016446,23.861244900101116,23.793816692019494
NTAP,1712.3005412835953,41.379953374594265,31.250522904684487,33.99371257658194
NWSA,40819.22612414772,202.03768491087922,142.39106556502372,147.65701759545414
CAH,248.65405007943818,15.768768185227348,11.340937935302259,10.070028045782186
MGM,158.38587439167594,12.585144988901636,8.128205890122418,7.561268315861875
ADM,5159.456550424875,71.82935716282637,45.592497260174554,42.106093922217475
MSFT,8.713498753507606,2.9518636068605213,2.2457462567272604,2.0967630074624926
V,267.578558300304,16.357828654815528,11.050260452782103,11.24390035613144
FMC,6352.039206779517,79.69968134678781,56.869554374400096,62.096559227328115
CDW,7765.78052469067,88.12366608744027,49.71929823730807,37.23623526874603
GS,2012.1640099582203,44.857151157404324,26.30367303658841,27.005049088683563
TPR,186.16999138313827,13.644412460166185,9.09259868345046,13.636248043907177
MA,19.495922664937716,4.415418741743269,3.13135759667128,3.4515197679509146
SNA,72.63960284770529,8.522887001932226,5.918680660805149,5.561001238771987
IPG,2639.042187366857,51.3716087675562,29.59052276970486,26.92550783813557
COP,1.0042495371232265,1.0021225160244762,0.8855685571346105,0.8735377690986501
EBAY,16441.11141290886,128.22289738150852,71.81518280821668,75.38959719456885
SWKS,225.44844322921233,15.014940666856207,10.46938130112592,5.889745626578708
COST,5532.267614350435,74.37921493502358,48.43564072518914,50.56424983607598
EXPD,1725.5681755813505,41.53995878165204,29.392470138184475,31.939115340414315
GL,10300.132018704071,101.48956605831,72.21554816177955,70.84893860271987
TRV,8948.054802910277,94.59415839738878,60.04413834298312,58.83112816668316
DPZ,1497.9187585046207,38.70295542338622,26.698775192384776,25.09222479736009
DLTR,225.22793925051562,15.007596051683814,11.347310853528699,12.651479862029635
WBA,5719.349733573024,75.62638252338283,49.33803449705231,45.289887749848305
F,863.7989657475023,29.390457052375048,15.011532833790643,16.066374864805926
J,10494.280185638176,102.44159402136505,73.33857068490413,84.48972828186697
WMB,2140664.9188453727,1463.1011307648466,972.4082271644514,735.160718837974
DUK,110.66666432294954,10.519822447311055,7.71221995533605,7.647776925146976
OMC,2195.3048108438857,46.854079980764595,23.583249479844135,24.264142415005058
GM,95.21330575163103,9.757730563590647,7.622520504725759,9.038939960789062
EFX,793.5278968339026,28.16962720438278,19.010017670015632,17.69908384606777
IP,321.80762677704706,17.938997373795644,11.575435489687077,11.367642829169286
FITB,21.7530899685369,4.664020794179299,3.469886172063003,3.444054341635606
STZ,1274.0269254855746,35.69351377331146,20.7356487966422,17.071164843370564
SWK,3620.6930000946995,60.1721945760224,40.24113111974346,41.872531086713295
HSY,12729.42335685658,112.8247462078093,83.0383290251479,85.51945303060643
AME,2063.1037986625643,45.421402429499736,30.827237009172915,31.169497282200286
MSCI,7.441184099384014,2.7278533867097794,1.8649738063278662,1.9048794474284942
ROK,174.46387423383425,13.20847736243032,11.069081390143896,11.018619847644027
ETR,155776.7623908215,394.68565009488435,234.04273967578717,202.26808533753095
IFF,2435.649650088154,49.35230136567244,32.53467806008744,29.35572710167097
USB,16.927478112619408,4.114301655520583,3.570008129051135,3.391576694062981
DFS,1984.7232816413862,44.550233238911176,25.72044916457979,23.08323678262716
ES,3832.1770251754538,61.90458000160775,38.21283900599826,35.835612373419444
CHRW,1405.628300301651,37.491709754313035,21.49738291159317,19.906175260283547
PKG,258.9779004937108,16.092790326531656,11.033521685893922,9.990619320109772
ORLY,1376.4223914749668,37.10016700063447,24.652460799583217,21.63180530627657
MCK,514.1933932896078,22.675832802558936,16.63393682331165,14.677519572419811
CPRT,91962.77912562928,303.2536547605474,189.47855817971924,200.2738076129626
PNW,496.1506709224067,22.274439856535263,15.701246816804893,15.818493719287854
VRSK,1192.9051842818767,34.53845949491489,22.16286540292552,24.49970763654279
MSI,303.96856271473666,17.43469422487061,12.051333069481599,12.502359036599232
CVX,2009.1298858337288,44.82331854998834,27.053758297989855,26.674841611431614
FTI,491.9550717517824,22.180060228768145,14.041437436460026,14.589195827379024
KMI,3125.895276911571,55.90970646418715,36.84069193010926,35.605416104816904
GIS,11156.230002495236,105.62305620694393,71.15946907895736,69.08890281323417
NFLX,6446.2285868323015,80.28840879499545,49.334457819579285,44.378451175889005
