,mse,rmse,mae,mape
STE,6555.196329518553,80.9641669475982,51.94604531864678,46.87611919093971
REG,37943.74340680419,194.79153833471358,130.98114850593817,125.3130717591727
WFC,24918.476655506714,157.85587304724115,98.73426519928772,87.6307126175902
JBHT,236.22969147181772,15.369765498270223,11.098351489265418,11.21176617742526
SJM,115.15613160018795,10.731082498992725,7.748814543108475,8.491138788018233
PFE,8853.497400945438,94.09302525131945,61.927861253129144,65.4969568965965
EQR,68.99709262874211,8.306448857890002,6.458851329829952,5.422786817671659
TSN,160666.54899369765,400.83232029577863,241.7143706273328,212.54021640285944
TDY,1979.3556702339185,44.489950216132165,30.491084175772883,29.644699889958392
GOOG,68.07682872011097,8.250868361579341,6.092091321054646,6.098156497513558
CMCSA,199.84048237354196,14.136494698953555,8.708403420568368,8.276847585987706
MRK,473.55685940052354,21.761361616418295,17.103424435556526,14.734785091803982
TXN,46.30907848640587,6.80507740487982,5.479657163599681,4.9413466836807896
XRX,359.50078097949387,18.960505820771075,13.563625403786508,12.953865237393995
HRL,17447.46535318853,132.0888540081582,89.5859260812574,84.60538237846811
BSX,2577.7897940874363,50.771939042028286,29.96832073618529,29.07771121024107
EMN,372.4555578813985,19.29910769650759,12.753530068715126,12.446061953541212
LVS,18140.371805097482,134.6861975300271,91.89434219211265,100.90032536891964
ADI,1763.6149657494468,41.99541600876751,25.178119814083328,25.016128367975124
NTAP,1631.5086442588688,40.39193786213864,30.39927183372996,33.031452874844575
NWSA,40967.85737515836,202.40518119642678,142.81593149389494,148.10074587984084
CAH,253.1368513011534,15.910275022800624,11.436539000652314,10.1539062196791
MGM,124.33412121314312,11.150521118456442,6.638923872638496,6.193287574400745
ADM,2823.3526353285106,53.135229700534,34.57132664393087,31.986518302828735
MSFT,8.684807290023093,2.9469997098783525,2.242188402390306,2.093544997414245
V,188.16252654232014,13.717234653614414,9.229830170709567,9.378211285043074
FMC,6329.556030389086,79.55850696430323,56.809643475938735,62.025111800186096
CDW,7801.370397470511,88.32536667045606,49.87130706950659,37.356955709614645
GS,2969.3474740948336,54.49171931674421,31.742147789519688,32.60755089905951
TPR,201.53749421397643,14.196390182506834,9.335907463144942,14.026427298384988
MA,19.056077027462994,4.365326680497462,3.1041872588596435,3.4211759536874706
SNA,73.74974258364571,8.587767031286171,5.963458268954809,5.602962837431608
IPG,2970.347707017624,54.50089638728545,31.352156257265737,28.538626686924196
COP,1.5412678599463279,1.2414780948314506,1.0409786296862593,1.012593524756208
EBAY,14805.08036287098,121.67612897717851,68.26358359063035,71.66891391160773
SWKS,202.50950591377403,14.230583470602111,9.992090327172658,5.606553919326632
COST,5470.370748212191,73.9619547349324,48.100029262587746,50.206692226681334
EXPD,1474.126889145518,38.39436012157929,27.126081358199016,29.47744236060355
GL,9982.914383264679,99.91453539533013,70.9522774178912,69.60160920283948
TRV,8551.150912827545,92.47243325893152,58.85711487144653,57.68490084841773
DPZ,1499.7091766459093,38.72607876671623,26.712263834669244,25.10491704277809
DLTR,225.63133127906053,15.02102963445118,11.35835446497965,12.663707118476905
WBA,5672.258322311433,75.31439651428825,49.107229350654954,45.07818561139156
F,744.9618240530478,27.293988789714263,14.361163446163149,15.416299140447595
J,10121.257679398639,100.60446152829724,72.16657742535078,83.11952461301424
WMB,2293236.6928543663,1514.343650844935,1007.5956200989617,762.1644977945874
DUK,72.93903435000068,8.540435255301727,6.303802462344973,6.266176874612622
OMC,2120.16528303876,46.04525255700918,23.184557593252652,23.856017982195564
GM,87.40242362447486,9.348926335386052,7.271398474873908,8.632603772253905
EFX,592.8237089421292,24.34797135167793,16.745180821497726,15.586160417236323
IP,289.0075432478441,17.000221858783025,10.920461164445232,10.713789308868387
FITB,27.682016185702576,5.261370181397862,3.848019193433856,3.821315758805112
STZ,1207.1654755291127,34.74428694805972,20.187825484835958,16.616173180707534
SWK,4229.412609092901,65.03393428889953,43.03048398319701,44.77272635919477
HSY,12553.621257466604,112.04294380935644,82.46615589947484,84.9280409186288
AME,1906.347746842726,43.661742370669614,29.820277080740787,30.155595609031845
MSCI,7.718549735819721,2.7782278048820475,1.8933161106562322,1.9345543147257178
ROK,155.34090230006532,12.46358304421587,10.553833621980084,10.505861628880451
ETR,148045.360866284,384.7666316954785,228.29902603649793,197.3066101246102
IFF,2448.725528614831,49.484598903242926,32.70608021627406,29.515268937030218
USB,17.177598801107628,4.1445866864028345,3.5926663759579203,3.413014413419947
DFS,2007.240959237891,44.802242792497466,25.862949275370188,23.21250764142898
ES,1107.0902678709108,33.27296602154534,23.451485978132773,22.175453249801272
