,mse,rmse,mae,mape
STE,107.70817057809369,10.378254698073935,6.7008578466180175,6.141647249706925
REG,175.65044335701054,13.253318201756516,8.499946216924252,8.11309555805479
WFC,43.029181525331936,6.559663217371143,4.862772074635671,4.377441539140289
JBHT,972.0575299685204,31.177837159888437,17.67570184718715,17.822942491118333
SJM,1678.1241106373077,40.96491316526019,28.149330642903834,31.058239922219705
PFE,166.02930726585507,12.885236019020182,8.129117780921568,8.558838681022737
EQR,73.93333473061516,8.598449553879767,6.7044319772770455,5.849281086927884
TSN,32.12798868912022,5.668155669097332,3.805657501934996,3.3721329919245013
TDY,11.82565542132503,3.438845070852281,2.4200708705837637,2.3541613804505035
GOOG,12.010787561987701,3.4656583158164485,2.5273731024749684,2.5034871850545173
CMCSA,57.47952760649743,7.581525414222222,4.910012767868698,4.7877417337117185
MRK,124.33336473049313,11.150487197001445,7.367565426223559,6.39417518793259
TXN,216.99969755815906,14.730909597107678,9.34710798599059,8.794197457894796
XRX,501.8995780577332,22.403115365005224,13.134627066182066,12.185429112267947
HRL,3164.3467839037708,56.25252691127547,38.697449231480604,36.45017867224764
BSX,1885.9392486941742,43.42740204863945,27.862084542095808,27.134689458242242
EMN,15.738858686808866,3.9672230447516896,2.8391522257115036,2.8019778239008737
LVS,274.1088080603802,16.556231698680115,10.65153878503204,12.144888594537395
ADI,851.3266199330346,29.177501948128366,16.332138242463436,15.962790157319555
NTAP,47.10642575339013,6.863412107209513,4.389432199550366,4.619040015433446
NWSA,125.4840779567128,11.201967593093313,8.074761004727272,8.471471698840416
CAH,23.429163275737118,4.840368093000482,3.4857327635617503,3.2453603488247134
MGM,20.509627911379162,4.52875566920751,2.9584966501850873,2.772020430310258
ADM,9819.377809236728,99.09277374882957,67.59983770750912,63.99956803290653
MSFT,2.359256329139969,1.5359870862542981,1.158129113095605,1.062765380579893
V,7.7318335124748145,2.7806174696413772,2.124413614266263,2.145630313117365
FMC,30.345949634168917,5.5087157881096855,3.965049835658012,4.276672375283583
CDW,29.01706816861921,5.386749313697382,3.4713820476586297,2.9006565120886005
GS,20.872908532276693,4.568687834846751,3.1693509847391907,3.2672211020107333
TPR,19.515656683188073,4.417652847744837,3.035405225558142,4.403821112045157
MA,143.75790573744382,11.98990849579111,8.692605405252793,9.437545638567544
SNA,1329.240824352924,36.458755112495595,19.90881921875122,17.630494723826335
IPG,93.31971715505108,9.660213100912996,6.16860437834074,5.969034219837572
COP,2.621181485045136,1.6190063264376504,1.1945682729198888,1.1877908309926244
EBAY,36.60949967938682,6.050578458245693,3.8503651710336864,3.973552611475277
SWKS,361.8299032450479,19.02182702174131,11.800840749406007,6.473679041722016
COST,1.3940520687178697,1.180699821596442,1.011638859957441,1.0249826120568692
EXPD,3.8384937934120296,1.959207440117567,1.4315330040623555,1.5741395000716756
GL,120.50575136523022,10.977511164432046,7.1183481490469935,6.997020069846424
TRV,70.83876045641007,8.416576528280965,5.75504264938939,5.776561735681811
DPZ,15.360661371532439,3.9192679637315484,2.6817851130324795,2.5230016059552445
DLTR,6.422798285786655,2.534324029359043,1.7714865559876463,1.957809680066864
WBA,12.081292320959934,3.475815346211581,2.256893967396847,2.1255799168352136
F,1543.1223585269227,39.282596127635486,24.69737043263927,26.411855485590866
J,5368.960840909692,73.27319319443976,50.563708076660596,58.443260082707155
WMB,42.344663893045414,6.507277763630919,4.276491293255797,3.3241891658479403
DUK,28.30640633402717,5.320376521828805,3.3836838743055284,3.327236023993228
OMC,85.17592326553448,9.229080304425489,6.468477375705944,6.607518199632021
GM,437.05011993937507,20.905743706918802,13.243781623494215,15.566196615308016
EFX,1.7063411645705113,1.3062699432240303,0.8365121414245148,0.7845532628688061
IP,70.01978499544572,8.367782561434405,5.3421739697139285,5.3856653540426604
FITB,0.8562567497382089,0.9253414233342248,0.7209629119566573,0.7239389196266177
STZ,63.72296615466323,7.982666606758873,5.596323452602144,4.541607330370655
SWK,3260.7616801762174,57.103079428137825,30.093938552676686,30.467640268326946
HSY,944.054265594953,30.725466076122473,20.0268899608138,20.754505622646853
AME,747.4378561666728,27.33930972366846,15.305956445750148,15.411235445986811
MSCI,1.0665580327154027,1.0327429654640126,0.8818785502416389,0.8773781552609526
ROK,27.732115703252003,5.2661291005113045,3.4956674806129504,3.470879261477167
ETR,29.057812392513046,5.390529880495334,3.9025143765557178,3.540340828084312
IFF,42.280273333930495,6.502328300995766,4.178886433029849,3.9122644875170285
USB,23.287089076713283,4.825669806017946,3.2043716435463754,3.084160370572995
DFS,3.019461059171459,1.7376596499808181,1.4491668726419287,1.3293317673317337
ES,90.83831795875076,9.530913805021571,6.065984901432164,5.714752620167069
CHRW,24.40333730331465,4.93997341119511,3.4501007231348124,3.446934298365344
PKG,168.41363734452807,12.977427994195462,9.44192430100949,8.756168747032397
ORLY,5.77160143528432,2.402415749882672,1.666131713347833,1.4973099779896262
MCK,18.965423215562648,4.354930908242133,2.992613177266811,2.6913942446247816
CPRT,58.932552521618874,7.676754035503474,5.0463202279148565,5.32546340193148
PNW,3.1850712361211206,1.7846767875783898,1.3431027243891214,1.3581813664762237
VRSK,1223.698452483791,34.98140152257755,19.824958996046227,21.783873344474063
MSI,109.10040306597601,10.445113836908433,7.139515168773316,7.537284618150179
CVX,1944.9856670792494,44.10199164526756,26.5722258179954,26.295235087460487
FTI,1461.0441006743722,38.223606589048764,20.653283477932654,21.30993711838116
KMI,1509.4554249760024,38.8517107084875,26.978250810121388,26.14841711753616
GIS,66.44405194807143,8.151322098167354,5.247937138790228,5.133272345606566
NFLX,2096.4330578174504,45.786821879416905,24.62554828958683,21.506996685501267
IT,94.92137494068625,9.74276012948519,6.386336747035958,6.4287164834766015
RF,4563.309436837133,67.5522718850901,40.85880884972708,39.59114928663927
