,mse,rmse,mae,mape
STE,37.182388905778076,6.097736375555939,4.058239369086891,3.761271713792693
REG,310.24042033146003,17.613643017032565,11.199573579269456,10.68778502659107
WFC,43.459012526452355,6.592344994495688,4.88540169119303,4.397793783635655
JBHT,792.1975245451644,28.146003704703165,16.137427128993657,16.25217121362063
SJM,1531.8329031923452,39.13863696134991,26.769485001849905,29.527735743146774
PFE,209.30940462659103,14.467529320052924,9.110627569605853,9.596419201554937
EQR,4.650117379571062,2.1564130818493616,1.469789077455467,1.3293512391569364
TSN,26.968871229024767,5.1931561914720765,3.510326142606092,3.11330869821483
TDY,10.819441338671972,3.2892919205616233,2.3353708284355434,2.271196920258176
GOOG,9.857366418653827,3.1396443140352424,2.338516690020454,2.31648793373017
CMCSA,672.3922405060232,25.930527192982854,16.64275827103012,15.938535593293098
MRK,117.72089783094088,10.849926167073253,7.142073271125785,6.204764160252369
TXN,280.0938621575355,16.736004964074777,10.627591480770144,9.977449781745166
XRX,439.6601983614837,20.968075695244035,12.396748377855833,11.486405121672606
HRL,407.06704988139245,20.17590270301164,13.291710220062534,12.533705660481536
BSX,109.43623744335778,10.461177631765832,6.932116927025976,6.672340732119172
EMN,13.722749971478908,3.7044230281487707,2.6729041772110658,2.6398530731475907
LVS,276.7118770042942,16.6346589085648,10.527548520681393,12.021403075608761
ADI,162.41491404730778,12.744211001364807,8.156385760050515,8.126111594845188
NTAP,9.24621860329062,3.0407595438131274,2.1837683992555124,2.307843127023225
NWSA,135.46149775570007,11.638792796321278,8.3842015478205,8.794133525924646
CAH,25.64633509208297,5.06422107456645,3.646571337917985,3.391552945208864
MGM,22.009397256003336,4.6914174037281455,3.0545664642123027,2.8628372758967138
ADM,61.78585198416298,7.8603976988548725,5.309485681460678,5.1190672128778525
MSFT,2.822411905023725,1.6800035431580866,1.2038098792790368,1.1057365441359555
V,6.45730776349409,2.5411233270925853,1.9228251731531514,1.9431628046851972
FMC,30.448580903090704,5.51802327859268,3.9721177944615556,4.284750317254339
CDW,29.436385650076957,5.425530909512631,3.527558188624042,2.9421349603813205
GS,22.930794995029622,4.788610967183451,3.3363880760129687,3.436331959620193
TPR,18.734279679310635,4.32831141200707,2.9785860544676717,4.322158199767836
MA,141.2803133198245,11.8861395465401,8.564318532699144,9.299790935766927
SNA,1330.235502178303,36.47239369959563,19.891441435401752,17.599823952295612
IPG,92.30266798068175,9.607427750479404,6.146822005466384,5.944162450841147
COP,1.5104078935650502,1.2289865310755241,1.026336482091794,1.036373897363021
EBAY,46.870873747388565,6.846230623298383,4.485575779359388,4.633151721043448
SWKS,348.2339166918543,18.66102667839726,11.62264318734921,6.3736874138445545
COST,1.3042050021869225,1.1420179517796218,0.9485029534083713,0.96429542051604
EXPD,5.888917774579934,2.426709248051759,1.6565673691499672,1.8237814284079152
GL,118.89770565219345,10.904022452847089,7.083248060780756,6.964041502475485
TRV,70.24531499059093,8.381247818230346,5.691019256972901,5.7191082737187795
DPZ,17.95976119094466,4.237895844749451,2.8857700190402995,2.7212948918632662
DLTR,7.765181502414637,2.7866075257227445,1.9613705137568898,2.1604710474694153
WBA,11.624113072834218,3.409415356455446,2.2084178498789275,2.080580363524402
F,39.517511058420254,6.286295495633358,4.706298954409715,5.121818745236616
J,5154.934120136569,71.79786988578817,49.5917104548126,57.33461866025932
WMB,45.98114613421247,6.780939915248657,4.3773014593231165,3.3826233570674535
DUK,18.98880982242747,4.35761515308861,2.8121255555117397,2.770679398197497
OMC,161.52344002712675,12.70918722921048,8.659461555997407,8.854100039898405
GM,408.00546748840196,20.199145216775932,12.800651442583499,15.047506201200921
EFX,1.5773114471263905,1.2559106047511466,0.8187295259412968,0.7675286489068225
IP,73.45591988444801,8.570642909633326,5.495077665617833,5.531447389332578
FITB,0.8688462228779322,0.9321192106581283,0.7202773069136139,0.7232950691953847
STZ,7.833802846749084,2.7988931467187315,2.0694328042248573,1.747707921041715
SWK,990.3440007442965,31.46973150098832,17.877752865760982,18.110299202045585
HSY,993.6579416039374,31.52234035733923,20.621797001582156,21.369487608377252
AME,754.3217325615562,27.464918215089522,15.38332094265005,15.489272782158524
MSCI,1.0143374147627104,1.0071431947656253,0.8570080358087455,0.8534970483726638
ROK,87.80195174884723,9.37026956649846,5.948943902623766,5.912716566999647
ETR,28.181901863458805,5.308662907310918,3.8350056006024342,3.483307288630053
IFF,175.8034677322441,13.259090003927271,10.096052634377898,9.249484982766614
USB,34.315676748465,5.85795841129527,3.8710594692114135,3.7227267070498598
DFS,2.94022429931515,1.7147082257093043,1.4413985808271734,1.3204943889601897
ES,85.70419177284755,9.25765584653305,5.8879918353410625,5.549491341891076
CHRW,28.38711810978195,5.327956278891743,3.7387659496711723,3.7065763193845034
PKG,134.62947058695175,11.602994035461354,8.485404400947521,7.867460152329432
ORLY,6.2730703386379965,2.5046098176438574,1.7045704670821766,1.536907952064051
MCK,17.98754209829753,4.241172255202272,2.906234239043599,2.6161155386244808
CPRT,61.50522633131713,7.842526782314303,5.1485749300534716,5.433956772631006
PNW,1.9108324797279612,1.3823286438933258,1.0906778343048358,1.0894153721385342
VRSK,414.7511512008149,20.36544011802384,12.446516227625109,13.662948333178893
MSI,82.43662017454346,9.079461447384611,6.272852673957518,6.613819897519212
CVX,1944.2280785672833,44.09340175771521,26.60440282718374,26.329052049147176
FTI,1163.4837030381727,34.109876913266234,18.595609487914313,19.215306872124902
KMI,1526.1425522755612,39.065874523368365,26.878770308637858,26.017423380048186
GIS,70.72214102514498,8.40964571341415,5.407927938504542,5.288529293435891
NFLX,8.28764485156261,2.8788269922943632,1.8927723273174568,1.7166928814158198
IT,1074.3566271051018,32.77737980841516,23.843789199304034,23.655014016660818
RF,3290.827331017647,57.3657330731304,35.770974978963174,34.651970245923586
TSCO,2.703253537141802,1.644157394272763,1.215586630663091,1.3827834704071684
JNJ,18.96069663485251,4.354388204426945,3.0016933287032277,2.8912092402894825
TFX,421.99104439766364,20.54242060706731,11.998648778497172,10.903812044193222
WAB,260.88404053805107,16.151905167442354,10.479430481328041,9.850281254917075
HD,64.11853865920791,8.00740523885284,5.434027490161199,5.388030610420406
SYY,1854.0144086299579,43.058267599033265,26.892648142311916,28.56499144029904
AVB,4.3036688768080635,2.074528591465556,1.5190633940331384,1.454482528704884
K,17.48607189128873,4.181635073902161,2.8409449404299667,2.83744886337204
NEE,1259.7479020447486,35.49292749330137,21.683064534475985,19.734679827809686
TGT,129.57962733124518,11.383304763171598,7.365648786975561,8.060317407011798
FANG,492.0594883168183,22.182413942509015,12.11953342012674,9.098710095850759
POOL,38.15760373634506,6.177184126796372,4.006175450533763,4.09139292698729
LKQ,4.415254575459034,2.1012507169443237,1.496256631246023,1.842221380185128
LNC,10.853079642099067,3.2944012569963403,2.14937897643552,2.140918787804046
NKE,176.34917063249804,13.279652504207256,8.274551949712416,8.167119967794997
HBI,166.27654334323375,12.894826223847833,8.458901288428715,6.003689153953177
CAT,7.9133647728158945,2.8130703462259694,2.127865639802086,1.9012404523461583
TJX,15.82726721186583,3.978349810143124,2.555087077149165,2.791442684721869
TER,32.47041299292738,5.698281582453379,3.6892364169827108,3.348837525653774
ABT,26.622325399962474,5.159682684038087,3.295295113588406,3.1049934088319926
HAL,2.1799309038238888,1.476458906920165,1.131514420917543,1.1176867261494732
PWR,8126.934942940266,90.14951437994698,46.459641565205146,41.75501402772941
STT,43.84684728090839,6.621695196919622,4.312591549391061,4.43283915407213
HAS,32.073263563557674,5.663326192579558,3.7953572477517983,3.895394578429208
OXY,0.5927116858508101,0.7698777083737456,0.6558214131771597,0.6796208070192327
NWL,14.480446979798744,3.80531824947648,2.74883865528877,2.7712787834851498
RHI,2.012313445982945,1.4185603427358826,1.2066529783224456,1.058005274766291
VTR,55.05721566716493,7.420054963891099,5.515079801302448,5.611987909026508
NOC,46.99113478543601,6.855008007685768,5.345605258057496,4.884999375705262
CE,17.234991894220396,4.15150477468356,2.7632866434783154,2.724078288875729
EQIX,4.745293892682267,2.1783695491541986,1.521858753805876,1.3746530035357665
TFC,9.44764967893974,3.0737029262665807,2.022918220642042,1.9672417209856328
MTD,42.76873238357387,6.539780759595375,4.139151017768809,4.108248349914153
DE,30.300297003399276,5.504570555765389,3.663230609341141,3.8288654350608575
ROP,700.9348185224726,26.475173625917407,14.860637673193073,13.983580678825628
AZO,20.126588417481436,4.4862666458294065,3.2233042097603337,2.9289211847338703
ADBE,11.545837761634813,3.3979166796192652,2.308008704431623,2.088084378508098
TYL,82.86961544226413,9.103274984436323,6.731058404064663,7.682562184624004
DHI,2194.7866046980716,46.848549654157615,29.099046888818442,29.03514168215161
LYB,50.985203224748076,7.140392371904227,4.707758617468572,3.7695021535987427
AFL,9.337187242119747,3.055681142089231,2.106904433798368,2.2584642273150455
EOG,56.5319806126038,7.5187752069471925,5.35805683023372,4.99597935255827
