,mse,rmse,mae,mape
STE,6799.367834058196,82.45827935421765,53.89909424561272,48.81452758772006
REG,42554.555199815346,206.28755464112552,141.78578249717177,136.18059757933815
WFC,29655.99333688855,172.20915578705026,110.90620440327838,98.6482126430955
JBHT,216.83997375477287,14.725487216210297,10.758294340527936,10.874027136792648
SJM,13497.404006990428,116.1783284739044,82.49849663824865,91.62758641410014
PFE,539.8812273397017,23.235344355952673,15.44654656956353,16.317595782142952
EQR,99.40147555914821,9.970028864509281,7.273264947448348,6.100464981274242
TSN,354862.98400663637,595.7037720265303,374.3314897962507,329.03251920352676
TDY,19.01278578763337,4.360365327312996,3.0645757558364477,3.000694784263964
GOOG,124.74249439861036,11.168817949926947,7.895166623822051,7.85959746442301
CMCSA,10.587496679763282,3.2538433705025325,2.3810501871793646,2.2775737970546
MRK,256.9112019577796,16.028449767765427,12.874272152675399,10.984606757383268
TXN,2.20096444682237,1.4835647767530644,1.3785140307228876,1.2609875415156762
XRX,281.3390195560212,16.773163671651844,12.145360048787795,11.608978863111593
HRL,17693.12068331917,133.01549038859787,90.26587291063294,85.2540403780951
BSX,3249.259163379676,57.00227331764652,33.19286867137447,32.21443496697663
EMN,250.7071378772261,15.83373417350519,11.17156181095674,10.918865820820875
LVS,177.7160150085439,13.331017028289473,9.664124255719292,10.118223990416437
ADI,2215.1950745349004,47.06585890573867,28.422524766414984,28.092196549265626
NTAP,229.6906277551882,15.155547755036377,7.841343443711683,8.299366298040326
NWSA,229.15654010329274,15.137917297412242,11.05393180306613,11.472513701495348
CAH,17.845969025255926,4.224448961137527,3.4791666846920957,3.099419788472175
MGM,461.7088854538149,21.48741225587239,15.155706348280008,14.105390231503717
ADM,2656.1041197269024,51.53740505426037,33.764828695693794,31.268235783300682
MSFT,608.7459103977629,24.67277670627615,14.972072539170199,13.066181215679308
V,88.14657276363243,9.388640623840729,6.103068297608852,6.184301130392868
FMC,9066.812547957239,95.21981174082019,69.60876645396142,75.41741415238519
CDW,5959.401953814362,77.19716286117232,43.48358128841913,32.501836271153415
GS,83.1525321586196,9.1188010263751,6.324826604623532,6.697313666152024
TPR,95.07207336212737,9.75049092928799,7.53704346629398,11.136140413306755
MA,84.65477766559941,9.200803098947363,6.4576298429300065,7.090241586723736
SNA,90.07406820683055,9.490735914924118,7.26257227667922,6.494305858150654
IPG,1904.6192267706836,43.64194343485042,25.456635943720787,23.16022158637934
COP,14.336860908330582,3.786404747029903,2.897660929829358,2.8352514981164796
EBAY,64752.23305039947,254.46460078053974,144.29189677336333,151.1874953482843
SWKS,122.29338618496591,11.058634010806484,8.131903216410436,4.520379394130012
COST,4.5171581406524375,2.125360708362803,1.709591065687446,1.7630820369806608
EXPD,1684.074386602977,41.03747539265759,28.638992112070063,31.112884950310633
GL,161.40917664496493,12.704691127491644,8.94268819286757,8.672653310816738
TRV,11529.24330400258,107.37431398617912,72.6889392637646,71.7559505399634
DPZ,257.8863293860822,16.05883960272604,10.728503145442938,9.84045847821321
DLTR,5019.485083691574,70.84832449459601,51.47689080254597,56.9624818435475
WBA,8865.08751168086,94.15459368337193,64.37753129124494,59.09762063609157
F,808.8268841908787,28.439881929974298,14.534435859824272,15.493860019916893
J,16645.43696634575,129.01719639778935,92.56237076523531,106.42127820812377
WMB,2041407.90879502,1428.7784673612002,946.7082370756502,714.6746884187853
DUK,2515.3205947446936,50.15297194329259,32.57027665029861,31.79093271851822
OMC,2268.1798302054854,47.62541160142855,24.883080162992936,25.62183673967634
GM,208.4470981806408,14.437697121793379,9.879849293870382,11.735363652247084
EFX,2.133356632704759,1.4606014626532313,1.2806255209190471,1.2063606536030669
IP,925.9963437603944,30.43018803360233,18.416132392457982,18.18197130662771
FITB,370.05522729464207,19.236819573272555,11.190526300345088,11.309468480230619
STZ,1118.0989317389208,33.43798635891403,19.96412563427501,16.442837367627508
SWK,2016.4065114012415,44.90441527735598,31.645517255487967,32.800351235254965
HSY,17530.1262092844,132.40138295835283,97.54863443625509,100.36644450786291
AME,114.77968569583862,10.713528162834063,7.646667650234221,7.782501362507177
MSCI,5.882149366522853,2.4253142820102416,1.7790244995677438,1.7951126783253208
ROK,22.28328928202791,4.720517904004592,3.0011902847095695,3.0003496565210894
ETR,122825.42296800626,350.4645816170391,208.78609339118887,180.55849555477815
IFF,2430.581727929882,49.300930294771135,32.89286879067375,29.702655954058677
USB,3.582322782915541,1.8927025077691266,1.786727906662426,1.7008704516902118
DFS,1644.58404442594,40.55347142262842,23.616987666821647,21.190384961537145
ES,3806.9130629832744,61.70018689585368,42.54198238536104,40.16377277250557
CHRW,1454.759000278242,38.14130307525219,21.76688952042645,20.147938082187874
PKG,377.07027313772386,19.418297379989934,12.713669637232426,11.540499300557194
ORLY,840.0831925149839,28.984188664080005,20.25455640205842,17.740048102477566
MCK,700.8485165746368,26.47354371017671,18.55842998350224,16.352082070300842
CPRT,86982.76769901537,294.9284111424591,185.7835364766598,196.40417029519222
PNW,59.47359840836716,7.71191275938513,5.24865422122296,5.332751267034796
VRSK,1286.3703535458305,35.866005542098364,22.25406661642611,24.583363169927708
MSI,457.3726916010943,21.386273438846104,14.626604577344237,15.178526609742388
CVX,231.57349460900355,15.217539045752554,11.178472011180727,11.426896628807398
FTI,318.60232973909956,17.84943499775552,11.779255360581683,12.32109753410767
KMI,4116.6314623901935,64.16098084030662,42.439843539422725,41.12418537819677
GIS,11962.907521978985,109.37507724330523,74.42580107682228,72.35638671633393
NFLX,7313.172350798425,85.51708806313756,52.50457822121323,47.167617180523365
IT,9107.487100955103,95.43315514513341,66.35274669487629,67.48702856377379
RF,314.4540234795674,17.732851532665787,11.611907515137963,11.269983063230914
TSCO,1776.2542047114673,42.14563090892658,28.160675280708897,33.25836377972748
JNJ,1.3517345353002401,1.1626411894046418,1.038654509990332,0.9853631164740766
TFX,1.6172614943460826,1.2717159644928904,1.2313495932297356,1.1301123325110436
