,mse,rmse,mae,mape
STE,630.4808658907625,25.109378046673367,15.559909083704847,14.395504005270372
REG,4.705584106149539,2.169235834608478,1.6172368107603166,1.4459782652079332
WFC,307.45751380638626,17.53446645342784,12.193190064518621,10.863221641439498
JBHT,357.8686179774443,18.917415732003256,11.807646973945491,11.866248738992518
SJM,289.8098248663558,17.023801716019715,10.940581545689412,11.853514205308368
PFE,3165.236757681578,56.260436877805866,37.61107303308942,39.59947560435563
EQR,28.5401929972754,5.342302218826206,4.157604113016724,3.416508644644608
TSN,1586.9423084332068,39.836444475294314,21.156977581056285,18.68008112521716
TDY,2248.8782157139376,47.42233878367807,25.069751807739944,24.149576039513942
GOOG,106.1945769041682,10.305075298325976,6.377020498817682,6.368885104850179
CMCSA,2914.639826776551,53.987404334497796,29.330898611867152,27.825947050633108
MRK,1406.193222484792,37.49924295882241,23.964799006753573,20.40702743249772
TXN,778.6583345809933,27.904450085622422,16.11443565464216,14.536074900504527
XRX,829.5468160998295,28.80185438647709,15.90585775185524,14.70573315333087
HRL,601.9530841237612,24.534732199960146,18.271651342612902,17.277660489407108
BSX,23652.570020231236,153.79392062182183,96.33307064134898,93.54714215617696
EMN,493.72902762969096,22.220014123075867,12.85025884314971,12.69254703138553
LVS,7026.140067612717,83.8220738684788,53.50034362414574,56.626328113720305
ADI,3029.5350461241296,55.0412122515859,29.244362020104436,28.618354616159753
NTAP,993.7179860830153,31.52329275445405,17.1429274604444,17.964208889752552
NWSA,26.394541936533987,5.13756186693007,3.4027440419392954,3.5723005928635514
CAH,298.8473021595894,17.287200529859927,12.006108409123799,11.239825188432233
MGM,393.1489404689508,19.827983772157744,11.31101973377925,11.052833963482996
ADM,1161.6850847467774,34.08350165031136,20.323058349385366,18.517032316240055
MSFT,35.281657275792064,5.939836468775219,4.296801067535085,3.686642510831021
V,26.291859002988417,5.1275587761612655,3.747719415182837,3.6518923063234374
FMC,1767.1986528142959,42.038061953595054,28.903252416912125,32.06497928525258
CDW,46.82507210214354,6.842884779253815,4.414291578529972,3.7499069980253283
GS,52.42561856092962,7.240553746843512,4.942149397125166,5.05396207599365
TPR,164.3569120149895,12.820175974415854,8.77316386685013,12.891369022959477
MA,87.46666540560166,9.352361488180494,6.291713635390233,6.85817287230847
SNA,174.9749211548635,13.227808630111923,8.807827081169334,7.683436862780529
IPG,440.73177246138175,20.993612658648864,15.67991529326273,14.888189815395426
COP,5.7148576595787395,2.3905768466164687,1.6784832834462882,1.7107057946723658
EBAY,210.9424635696956,14.523858425697203,8.697293695498775,8.9712364347348
SWKS,19498.817201831655,139.63816527665944,88.34126942031533,55.52408105408577
COST,8.011883586037301,2.8305270862574874,1.7649835396868852,1.8645286221913435
EXPD,17.638304825703155,4.1997981886875415,3.2961488844056164,3.5341664468412453
GL,56.01918242152055,7.484596343258636,5.446470751670688,5.293798945382211
TRV,1632.660620342755,40.4061953212964,21.608422641440523,20.729180221453145
DPZ,4358.942939594393,66.02229123254048,34.53889063333935,32.137324031461134
DLTR,87.10874266154914,9.333206451244349,5.754758918214802,6.298011425266949
WBA,1173.0309557166618,34.24953949641749,22.705449775288834,21.235159190119848
F,7353.365051990154,85.75176413339935,54.33914882892002,57.90007030645626
J,658.2758096969432,25.65688620423264,17.735635843692652,21.05636696181388
WMB,666.3926939418454,25.814582970519695,15.859229589551877,12.039875376057893
DUK,436.557115998386,20.89394926763215,11.919505382703441,11.305190051206996
OMC,3188.567925133959,56.467405865100254,39.09557207158412,40.12769413337479
GM,17692.46153703839,133.01301266056035,84.7955501252895,99.73718332526094
EFX,351.4872040050174,18.747991999278682,11.112167803754614,10.089209809043064
IP,168.56398103978594,12.983219209417436,8.359913623077597,8.131820490508197
FITB,49.36616428927261,7.026105912187249,4.930354182038318,5.00046385298925
STZ,586.3644652119887,24.21496366323907,14.198557519019566,11.663802840098976
SWK,337.4824668063907,18.37069587158828,11.388222491974036,11.418947325440753
HSY,800.4514012810909,28.29224984480893,15.627784844195983,16.35604329510203
AME,371.78849456461415,19.281817719411574,11.426024278527672,11.504681020309436
MSCI,139.9121311874909,11.828445848356026,6.774117787789939,6.6313895978716
ROK,139.1425806229316,11.79587133801194,7.60582789868107,7.592868579554947
ETR,421.56526233729426,20.53205450843374,11.217702765475664,9.324365989512755
