,mse,rmse,mae,mape
STE,440.0754127368395,20.97797446696986,13.053139140211895,12.113441776812543
REG,4.705802604590069,2.1692861970219766,1.6172760708725833,1.446013436469456
WFC,293.2967973540913,17.125910117540947,11.967031443865244,10.657839798041385
JBHT,365.38979411025286,19.115171830518626,11.922506404204782,11.984705824193389
SJM,289.48923488282986,17.01438317667819,10.934361383955855,11.846708396850817
PFE,3312.6330236792646,57.555477790382945,38.244215625616526,40.2681949570558
EQR,34.02300008452887,5.832923802393519,4.429289743335754,3.632154847477277
TSN,1652.5025596809485,40.65098473199571,21.578060849761428,19.052239803002944
TDY,2249.648141374485,47.43045584194279,25.074287627099697,24.15395512147387
GOOG,105.9217421238757,10.291828900825921,6.3738927324625685,6.371848097264526
CMCSA,2811.7425949164126,53.02586722455761,28.918284472537216,27.433316953777943
MRK,1411.5447750083024,37.57053067243398,24.001596475603115,20.4373356308057
TXN,784.8855030356485,28.01580809178362,16.12017337054561,14.542081534015702
XRX,760.849426484791,27.583499170424172,15.272906709107707,14.11073963920871
HRL,551.6889026130251,23.488058723807406,17.692524789681052,16.728842228322886
BSX,23331.805047052505,152.74752059216053,95.66854649554348,92.90594854413563
EMN,472.5976021986053,21.739310067217065,12.504710871904015,12.351878888922526
LVS,6930.1060904015085,83.24725875607862,53.099179950697156,56.195647757466325
ADI,2937.643908517546,54.20003605642293,28.753732256924042,28.138484986665762
NTAP,936.9576227943975,30.609763520719945,16.6577323927805,17.44817179188601
NWSA,28.132423605513083,5.304000716960084,3.50657033649734,3.6813734957705537
CAH,301.8553107881736,17.37398373396768,12.00345430187597,11.238781339823413
MGM,400.22798518154127,20.005698817625472,11.41091738324338,11.138714833338845
ADM,1078.9045589989007,32.84668261786722,19.888735345096016,18.151025714233292
MSFT,38.28593922377873,6.1875632702848975,4.470886221541503,3.8401904751726077
V,22.63109716811173,4.757215274518458,3.502801594849881,3.414053577457203
FMC,1789.535404785629,42.3029006663329,29.05424882307135,32.225907797787194
CDW,47.64227104680027,6.902338085518578,4.448746477700792,3.7771486106301113
GS,52.46774475663299,7.243462207855646,4.94393238722352,5.05576948746592
TPR,187.85622152428087,13.706065136437987,9.279294464987412,13.632107502453513
MA,80.02904760427026,8.945895573069823,5.965607817601434,6.505713484489003
SNA,187.06719696274033,13.677251074786202,9.143704027283675,7.991407634734316
IPG,460.43071705793335,21.457649383330256,16.057200732323345,15.238932980418584
COP,5.663583729396826,2.3798285084007262,1.6721634187968117,1.7045800795492942
EBAY,233.05382970927417,15.266100671398513,9.039033000203466,9.32561336817161
SWKS,19384.829483234505,139.22941313973317,88.04118791381164,55.31844704736124
COST,8.004001721343757,2.829134447378519,1.7651320770747971,1.8645480934161267
EXPD,17.832733987143108,4.2228821895884225,3.3105980035111915,3.5496208768762267
GL,62.15172827175663,7.883636741489084,5.732196613856856,5.5686283485647925
TRV,1586.7564533656862,39.83411168038879,21.299126370654676,20.421826149144668
DPZ,39123.24988184982,197.7959804491735,103.16433520516917,96.97383310146768
DLTR,86.07916525288158,9.277885818055834,5.719524934785397,6.259904570458618
WBA,1221.7863624175877,34.9540607428892,23.123318809454286,21.625050506348842
F,7376.6075666316965,85.88717929139189,54.427521145352095,57.994298307420486
J,637.0166966771199,25.2391896992974,17.85264186979124,21.170256334523263
WMB,610.2017461289241,24.702261963814653,15.154067122003596,11.482550084585066
DUK,443.94253263325334,21.06994382131223,12.010841784644036,11.397306941281695
OMC,3242.3343402993296,56.941499280395924,39.34448268895527,40.38501084506509
GM,17701.78682985789,133.04806210485702,84.79639226210217,99.7391911818321
EFX,403.06700993562316,20.076528831838015,11.880933307976479,10.79357449358128
IP,170.64469532066934,13.063104352360863,8.425508812584455,8.195806557473261
FITB,49.42992409037691,7.030641797899883,4.93527581235931,5.005364551729039
STZ,554.368493023658,23.545031174828754,13.806481789647545,11.335912244086481
SWK,339.31614864006775,18.42053605734827,11.449926917326412,11.483551826879856
HSY,937.9228653437423,30.62552636843557,16.893401155652423,17.686010022714992
AME,422.8272286376326,20.56276315667796,12.23123846456182,12.315680441127832
MSCI,138.35364713707315,11.762382715125076,6.740963950054983,6.598877960111935
ROK,155.00580553712874,12.450132751787377,7.980240766672193,7.965989274282208
ETR,442.26702021890486,21.030145511120576,11.490984792404442,9.55564416982481
IFF,6.017177851242576,2.452993650876939,1.6488020274608735,1.5630067089365565
USB,140.98439299566772,11.873684895417586,7.26539973744992,6.8150312099955395
DFS,1342.1587154583722,36.63548437592128,20.53819576841664,18.414924018700347
ES,193.86721024615355,13.92362058683565,9.000162051840958,8.510880811834589
CHRW,74.37110285548202,8.623868207218964,5.817394170913038,5.216211248380218
PKG,165.88046131956688,12.879458890790671,8.802960540946433,7.984896318683242
ORLY,124.49670993362771,11.15780936983724,7.323600226884865,6.183603117464936
MCK,737.5409377354179,27.15770494234404,16.45847556581643,14.227847438636678
CPRT,56.43420012614274,7.512269971595985,4.937623505810963,5.202416144132402
PNW,1537.664332750213,39.21306329209965,20.688419521067154,20.71889268696157
VRSK,200.00324803037424,14.142250458479875,9.589596863134807,10.525587463686419
MSI,120.42681757629886,10.973915325730323,7.543574656999541,7.912068479089033
CVX,127.07474531974489,11.272743469082622,7.16949974527916,7.233885719969312
FTI,194925.91191349062,441.5041471079186,226.88804115442903,230.4072735666175
KMI,656.5672598066626,25.623568444045077,19.117239767790075,18.612775638438084
GIS,72.4791773765904,8.513470348605814,5.590528291676972,5.549985753075122
NFLX,1004.0368134947952,31.686539941981597,18.651009923499064,16.515822350106344
IT,1273.011352303303,35.67928463833465,20.291671850088917,20.09251347282312
RF,58515.30530562535,241.89937020510274,121.91095711389033,118.522039112134
TSCO,16.10079683548436,4.012579822942388,2.907695372673226,3.177764866288372
JNJ,2191.5863934303184,46.81438233524307,32.69213151237969,30.814693634504362
TFX,3.265894313183887,1.807178550443726,1.4213501347157993,1.2770368415862223
WAB,2075.6096435374384,45.558859111455355,29.965361806615945,28.075292522015662
HD,209.95323486368065,14.489763105850994,9.224119034544733,9.009814364040441
SYY,8849.212372273149,94.07025232385182,59.078100386309494,62.89632885399481
AVB,188.53035087317818,13.730635486865792,8.251527332924327,7.247627634485831
K,1339.528544317963,36.599570275045075,19.571542088629826,18.960679105436014
NEE,236.81707464054296,15.388862032019878,9.326518310071988,8.477648785686224
TGT,4755.280793382838,68.95854402017808,43.17572340456542,46.96311773030204
FANG,564.7157258078539,23.763748143082434,14.384935741014797,11.010944971560455
POOL,348.63660452554114,18.67181310225499,10.992057246826663,11.07715893642345
LKQ,263.46882840335104,16.231722903110164,9.823500321164106,12.076500611372207
LNC,35.17455202294677,5.930813774090936,4.217045656204556,4.057046501915689
NKE,14789.540820081193,121.61225604387575,77.57252015768476,78.5297356036402
HBI,99.62806162891953,9.981385756943748,6.610372024392262,4.658751457213558
CAT,1556.8560753064073,39.45701553977958,21.110013626031368,18.087430168918846
TJX,971.7114115994433,31.172285954024023,22.255230829527548,24.127320424019427
TER,4060.5137319174137,63.72216044609139,41.79633844883786,37.76334496370622
ABT,476.1442796145517,21.820730501395953,11.722210043869843,10.559734407237572
HAL,13.89029120100291,3.7269680976636907,2.402017453844691,2.463152332834355
PWR,1698.6584587115294,41.214784467609796,22.699600346861843,20.668411112293782
STT,10.950293124349077,3.309122712192625,2.6173933521651556,2.649937634366375
HAS,1391.8046667121637,37.30689837968527,19.98227964632226,20.303597637601044
OXY,108.21607110722279,10.402695377027186,6.956370170373813,7.0669206493335155
NWL,139.37379225511538,11.805667802166694,7.993238051262943,7.715800202849606
RHI,236.42963337542852,15.376268512725334,9.124285905344943,7.691792660343244
VTR,236.49872559547,15.37851506470862,10.524777136605834,10.430364277384252
NOC,2035.0588198903777,45.11162621642427,24.502620909062692,22.007131593094226
CE,313.16950935744546,17.69659598220645,10.314307635230474,9.776704635430464
EQIX,8.933666224534257,2.98892392417978,2.290555424518964,1.9736268866876263
TFC,26.88556978009457,5.185129678233185,3.731376731964047,3.6032894079697884
MTD,958.8320605150565,30.96501349127845,16.919106483594643,16.317979801830514
DE,109.4910842718723,10.46379874958766,6.786339904911945,7.093906236655876
ROP,1185.7106943157212,34.43415011751736,19.111362396704898,18.00206548931175
AZO,383.2434419687512,19.57660445452048,10.885626703053145,9.887739000808569
ADBE,360.90497563423173,18.997499194215845,13.658468739318968,12.081300107427586
TYL,523.9327999588472,22.889578413742075,14.391534263152286,16.349103369891676
DHI,396.35233314048213,19.908599477122497,12.49026388468062,12.315255867470212
LYB,89.62236663413326,9.466909032737837,6.196746450830824,5.106495696245769
AFL,81.68270558355594,9.037848504127293,5.836974384926993,6.329809277397111
EOG,22.708852263640004,4.7653806000822225,3.4604634052679515,3.151537293543246
ROL,6054.226777082554,77.80891193868833,41.73174749629668,42.15239834801836
DOV,536.4464077756927,23.16131273860989,13.915181874569598,13.078705026664894
GOOGL,109.2370724623128,10.451654053895622,6.463290780288213,6.37517227611978
GRMN,168.6050900282373,12.98480227143399,8.033542023868058,7.016493610692659
SLB,22939.363205611255,151.4574633539439,78.05469183626967,68.81201393694624
FRT,534.2031332487754,23.112834816369354,13.512516971897963,11.668375308083588
IEX,434.1441799295412,20.83612679769302,13.149336288102814,12.584190235805
RMD,939.4299133362829,30.65012093510045,16.76227784842352,18.308450844693045
ULTA,538.639446936523,23.208607173557894,16.887401273468186,22.351832282127468
CCI,1873.2800129236564,43.28140493241476,26.317229744283285,25.843749352612736
CSCO,82.48448621604727,9.082097016441042,5.62440958099156,5.243815477585079
PNC,916.6404805897326,30.276071089058643,17.961854524932146,16.190372096208883
KR,7.1750566358238395,2.678629619007421,1.7925861739250537,1.7338549572338156
DXC,173.85425691643204,13.185380423652251,8.002349884288357,7.304229125621256
PNR,238.73499344111087,15.451051531889695,9.86463353937099,10.598478702070556
BIIB,793.5883524830549,28.170700248361857,15.875069312927073,14.313002110834843
DG,402.8157205368783,20.070269568116874,12.249710476703306,12.64057988924258
DVA,377.3423096190657,19.42530076006716,11.822700424438674,10.36220878480881
RSG,6.206492876835683,2.4912833794724523,1.7534897308145059,1.6778990892787964
ZBH,1086.5530551038125,32.962904227385856,17.745395579352596,16.236841307425763
PAYX,597.4187144125129,24.442150363920785,18.5638076225967,19.696875417439202
LHX,376.5250497067976,19.404253392150846,12.12579432980095,11.794987155857648
JKHY,182.92020523893143,13.524799637663081,8.947742695762729,8.966828096077506
ALK,6.4181113571798,2.533399170517706,2.1533686478680436,1.7093568243858321
AXP,61.823825354597645,7.8628128144193825,5.7952796265887505,5.7605310909628065
ESS,21.372484510542947,4.623038450039427,3.0996346653676383,2.751827541710631
UAA,398.027229169586,19.950619769059458,11.738062448561404,7.9196821351825415
WHR,1583.9864953161975,39.79932782492937,22.63399517503709,23.450034764582494
GD,136.53063323317159,11.68463235335933,7.399411699604004,5.5775824371622855
WYNN,1680.1379490349493,40.98948583521083,21.737698101930388,21.371684119846638
NCLH,6148.780057782481,78.41415725353733,42.887346569582135,44.27438390339821
CMG,966.2403461410967,31.084406800534197,16.95024584197157,14.536678572721236
PPG,153.6429366070856,12.395278803120387,7.900337651710204,7.189000999731164
LEG,6.960558967370456,2.6382871275451536,1.9989682613498159,1.8236195652183464
IDXX,271.7874798385957,16.48597827969562,10.769746139969296,9.688363139862226
NVDA,331.2218075186478,18.19950019969361,10.73037511889055,9.115519406568886
WST,79679.60229184043,282.275755763474,169.91283730212072,194.27513616922542
AES,1655.5143516683954,40.688012382867704,21.551714805584822,22.213303491546437
ABBV,12.952070919792444,3.59889857036739,2.2581065873767265,2.2735713449151986
PVH,1573.5604799590376,39.66812927223866,20.849176166274525,23.50924899994245
ETN,513.1553083222194,22.652931561328202,13.757838517912925,14.74150772574888
AVY,25.213255396360317,5.0212802547119715,3.607129568472949,3.6630766598603084
BIO,382.0601891121772,19.546359996484696,11.695158187614137,12.122950426878475
CF,8819.23604340203,93.91078768385466,58.76997145262747,55.26645627165748
LDOS,10656.772127944769,103.231643055532,67.29034725575457,84.11011477129426
CMI,41.59301735937495,6.449264869686695,4.002266802740582,3.997534547008093
AMP,166.69884232507525,12.911190585111632,8.298714302296004,7.686573479444383
CHD,537.4243144435171,23.182413904585456,13.094879578621242,12.434401336759391
MCD,99.36604353492035,9.968251779270041,6.401258262030866,6.4880142810784305
OKE,773.6558590977146,27.814669854192314,17.702436127404738,14.798955957678679
ARE,3.5897677971746766,1.894668255176794,1.470576027424597,1.2812574554693754
APD,34.42241454731981,5.867061832580241,4.012227653534359,3.693805270876372
RTX,3263.2076174557724,57.12449227306771,39.55454929632152,40.05396975800584
EW,233.27932727197842,15.273484450903089,9.895311504634149,8.143609681854464
LYV,1455.0673503492692,38.145345067901395,22.331477058261775,19.32968780875168
NRG,3297.6279819525075,57.42497698695671,30.576033637167097,29.040204084010924
SPGI,309.3331658752661,17.58786985041867,10.307217078212618,9.644563929081052
ITW,286.89963802746723,16.938111997134367,10.845604384860465,10.301679372185545
AEE,791.6482413605964,28.136244265370536,15.504211808642516,13.985186544894542
TEL,148.18685457216887,12.173202313777951,8.426552247450234,7.451624457593178
XRAY,653.7088463891291,25.56773056782962,14.194738304798065,14.504942004501695
LUV,939.1950624805587,30.646289538548686,19.084036873839366,12.159998712415367
TROW,465.36355244603754,21.572286676336322,12.761482748501429,13.040808924120604
MAA,1683.4310817499272,41.02963662707638,21.683076926835486,19.825145740480313
LH,4600.489134939802,67.82690568601669,42.58614435433457,44.75382518272841
