,mse,rmse,mae,mape
STE,440.0523726307358,20.977425309859544,13.052801002686396,12.11313412969418
REG,4.578713933297154,2.1397929650545993,1.601198514105495,1.4326987438578505
WFC,287.108781538919,16.944284627535,11.913656699033067,10.612800886508618
JBHT,351.7757527130196,18.755685876901957,11.696709241326941,11.752442627431371
SJM,289.4892348549337,17.01438317585841,10.934361383429605,11.84670839615537
PFE,3312.6330473595694,57.55547799610016,38.244215759366426,40.26819509801048
EQR,33.46506639368732,5.784899860298994,4.403921953690357,3.6121626877032913
TSN,1652.5047616507911,40.6510118158305,21.578065991290693,19.052244357878166
TDY,2249.648135690971,47.4304557820286,25.074287557630793,24.15395506178009
GOOG,105.89051925884758,10.290311912612152,6.373136518063279,6.3711231580095955
CMCSA,2811.7383576637876,53.025827269961454,28.91826237587336,27.433296887494073
MRK,1411.5450163278051,37.57053388398686,24.00159595060395,20.437335059292412
TXN,785.588555933629,28.028352715306497,16.124105436324125,14.545747435120548
XRX,789.1334156072413,28.091518570686798,15.543147756691571,14.36566104383111
HRL,552.2319550615109,23.499616062002183,17.699298362009856,16.735261538248114
BSX,23333.15004038498,152.75192319700915,95.67109224819104,92.90842564158837
EMN,428.1148032518835,20.69093529185869,12.037107321194297,11.895474118847147
LVS,6159.2967512500145,78.48118724414161,49.799632789680196,52.65933293604114
ADI,2937.674381966056,54.200317175880585,28.75389829554658,28.138647354693987
NTAP,1005.1484714511755,31.704076574648496,17.23833530038266,18.070640976370363
NWSA,28.133650396556106,5.304116363406454,3.506641649558812,3.681448118839377
CAH,301.8553109108647,17.37398373749857,12.003454304349281,11.238781342119095
MGM,400.2244701623057,20.00561096698388,11.410879256580412,11.138684218097417
ADM,1020.3842915670599,31.94345459663153,19.503211720981486,17.810274144567227
MSFT,38.2247581882502,6.182617422115831,4.467407715478614,3.837116665826731
V,23.38722399370549,4.836033911554538,3.5546630687789382,3.464480626990198
FMC,1741.2111611256098,41.72782238657572,28.790418118848194,31.949047505815564
CDW,47.64319638817281,6.902405116202091,4.448786379016427,3.7771813685141202
GS,52.46774476792854,7.243462208635353,4.943932387757189,5.0557694880047315
TPR,211.96091876892106,14.558877661719706,9.771550894956876,14.350979319217066
MA,80.02904854610003,8.945895625710152,5.965607853887351,6.505713523937384
SNA,187.06932992304039,13.67732904930785,9.143757333488999,7.991455997834626
IPG,460.4423788859225,21.457921122185216,16.057412602432027,15.239131490775732
COP,5.663582344686167,2.379828217474145,1.672163368141416,1.7045800050674107
EBAY,232.37788420663117,15.243945821427968,9.024916725477684,9.310914439235294
SWKS,19384.325819901624,139.22760437464126,88.03986906884451,55.31753614358824
COST,8.004467966553937,2.8292168468595578,1.7651162096403685,1.8645404079109098
EXPD,17.833120927996895,4.222928004121891,3.3106247796875574,3.5496494934387446
GL,59.00727812075125,7.681619498566123,5.657933778086933,5.501369241718549
