,mse,rmse,mae,mape
STE,1455.4503542587317,38.15036506062205,23.80488867644763,21.837283750827993
REG,181.47412448242642,13.471233220549127,8.648656423497716,8.276480243518142
WFC,186.02900007151862,13.63924484975318,9.595977799752296,8.571916414285292
JBHT,224.16959647203373,14.972294295532457,9.800335089758669,9.815960450087276
SJM,491.96112559514006,22.18019669874774,14.412424976983992,15.819376132848205
PFE,112.98614812403035,10.629494255327032,6.765310677149251,7.116171138636297
EQR,34.062732550643965,5.836328687680635,4.6388009379029,4.011475530487529
TSN,93.97084468954678,9.693856027894514,6.419558413936445,5.715027822979027
TDY,21.798181014203845,4.668852215931004,3.0116991736468313,2.9360447050854512
GOOG,40.58365884071965,6.370530499159363,4.535529733099082,4.5589947183192825
CMCSA,26.758390372500987,5.172851280725262,3.4290244062974735,3.3462606472503253
MRK,131.2997502237284,11.458610309445401,8.030777663044354,6.827128545212306
TXN,118.53260074267459,10.887267827268445,6.73133925305129,6.029346689464626
XRX,882.0488925360934,29.69930794709017,16.49994532242041,15.283616956511878
HRL,2291.3850130285564,47.868413521115954,32.98568195885448,31.054826342923782
BSX,4274.523897411086,65.3798432042406,41.12725694823869,40.03444258502803
EMN,5.797615598579437,2.4078238304700443,1.93520081254831,1.9154341635087733
LVS,190.4471354807777,13.800258529490586,9.229580039941164,10.52864534447044
ADI,656.7480585899352,25.627096179433504,14.632574247709012,14.290962524734828
NTAP,121.12085888105578,11.005492214392584,6.83695775354737,7.220044343846473
NWSA,25.032088976874377,5.003207868645313,3.657056385348386,3.864909229668039
CAH,424.6058221607891,20.605965693477923,12.561841457325919,11.379894609504134
MGM,12.141999435752064,3.484537191041597,2.3920138873792216,2.2475840521566424
ADM,4372.390873478538,66.12405669254223,42.435587553271276,39.43170365980842
MSFT,83.36488956752027,9.130437534287186,5.375612270126183,4.543551777268356
V,25.938216580855418,5.092957547521422,3.3121962849376914,3.2933617871932968
FMC,5179.799602953365,71.97082466495272,37.58501642946134,42.28723969495528
CDW,15.969912660840942,3.996237312878321,2.6255453730488765,2.2474446913595805
GS,5.142616483691172,2.267733777075954,1.6624695409602464,1.7028963084531512
TPR,56.93736579353602,7.5456852434710004,4.567678414988998,6.919809472300407
MA,52.85637117484821,7.270238728875979,4.661669718858553,5.079885027840624
SNA,1237.3782154637308,35.176387186061774,19.160226566648547,16.890561232397083
IPG,107.14273801198064,10.350977635565668,6.602233227439009,6.375847552257895
COP,5.152596597226758,2.269933170211572,1.6196494072545289,1.625896933836471
EBAY,6.517195845916683,2.5528799121612993,1.6939114435042564,1.745260650248793
SWKS,13.938624353973388,3.7334467123521917,2.796443308516778,1.8610891344411968
COST,1.1113609478474433,1.0542110546979875,0.9193687132813051,0.9245845669835003
EXPD,2.3168521254187473,1.5221209299588345,1.2996267228454574,1.414021038068877
GL,108.41039679413082,10.412031348115065,6.879903352678932,6.786597764426958
TRV,38.907487030571396,6.237586635115491,4.1122474003700855,4.147309507512392
DPZ,121.24871370153473,11.01129936481316,7.459262582828658,6.66495238005066
DLTR,25.59026696000563,5.058682334363923,3.25027051300627,3.5691411571587452
WBA,17.87409996450883,4.227777189553493,2.9314734104646587,2.7219786089456193
F,5849.756238330042,76.48369916740457,48.71576111788998,51.93134588739944
J,150.1351038144186,12.252963062639935,8.460306700018252,9.742895903917386
WMB,12128.621314075765,110.13002004029494,73.3201207549316,55.93134881871484
DUK,35.32407974946064,5.94340640958202,3.73511297846354,3.6818941621710684
OMC,126.06915199696712,11.22805201256955,7.918646099972746,8.093359657178983
GM,320.73173601284975,17.908984784539008,10.465951968186323,12.38967067345022
EFX,21.375197845686987,4.623331898716226,3.42160788056027,3.081510383515463
IP,87.07721680299939,9.33151739016755,6.1186566839076875,5.895882943450893
FITB,5.499220725467967,2.3450417321378243,1.5589421408609057,1.544303539640126
STZ,57.99866673620836,7.615685572304594,5.42052474234127,4.362460209108429
SWK,273.7232751880825,16.544584467072074,10.710197745241876,10.8046206517394
HSY,192.9261522543048,13.889785896632993,9.10067240820896,9.428199651581053
AME,19.358741126670527,4.399856943886986,3.0367824101196437,3.0720816362896466
MSCI,1.5777858284199875,1.256099450051622,1.1823796701967975,1.1657337100358234
ROK,6.282106570519521,2.506413088562921,2.0318013514608957,2.04659316094931
ETR,8.01890403045883,2.831766944940708,2.115460857529556,1.8980397926262966
IFF,30.505438616140665,5.523172875815193,3.550900635748022,3.329784072285538
USB,13.642395193381514,3.6935613157739122,2.4438439335333455,2.35650653695906
DFS,49.88142706222952,7.062678462327838,4.77328979563497,4.243611859625872
ES,257.8655542735471,16.058192746182463,10.512507652940238,9.94636602531429
CHRW,2577.3658599138757,50.767763983790694,27.066718704150574,24.855960929538487
PKG,108.79859657910173,10.430656574688946,6.4205056232745426,5.812922713331043
ORLY,5.591879511683461,2.3647155244729676,1.6978728065259994,1.5148388280309646
MCK,29.10971815868679,5.395342265203088,3.673254155179312,3.1663219249359504
CPRT,55.828852146991245,7.4718707260626,4.890146219693413,5.160735426001682
PNW,3.45183161321543,1.8579105503805693,1.4723222081610956,1.476511290027678
VRSK,485.39790783325986,22.031747725345348,13.58682622129798,14.922796706892061
MSI,73.21705413565206,8.556696449895371,5.973749222302313,6.296953328196099
CVX,2179.29425562109,46.68291181600704,27.617272087207127,27.301945940731397
FTI,3857.737497018333,62.11068746212952,40.86528694386506,43.24725059341558
KMI,2083.3018599088473,45.64320168337063,30.56130207952313,29.604053535035707
GIS,44.68802285537615,6.684910085810889,4.3354474194168615,4.2493499176967235
NFLX,1327.9444765179294,36.44097249687403,20.68956188079621,18.239772075163
IT,102.91836300449319,10.144868801738797,6.39761520138216,6.475987956157221
RF,37086.79070762527,192.57931017538013,93.91641637315705,91.38449140498311
TSCO,2309.851461206335,48.06091406960894,25.568138401611005,29.88965953407677
JNJ,11.845454119362161,3.44172255118889,2.35697856005199,2.2800880811027557
TFX,159.8738194542257,12.64412193290723,8.27418657127006,7.482937002974989
WAB,612.130373310896,24.741268627758277,15.245682080609049,14.24438112948026
HD,72.67810139833723,8.525145242066978,5.873675860803797,5.823404462874394
SYY,1604.575390006174,40.05715154633657,24.449324601367866,25.953010826708535
AVB,6.424041110843213,2.5345692160292668,1.866924032384175,1.7770639477606371
K,11.057951072660524,3.325349766965954,2.3370940153110173,2.340230716082563
NEE,5.3077088308660025,2.30384652936475,1.703334212141035,1.561657751674053
TGT,1384.6398778213718,37.21074949287332,26.14503772406001,28.526797667664823
FANG,692.7340612316902,26.3198415882712,14.349580237205029,10.764398788355656
POOL,3510.754066125375,59.251616569722174,31.633208358937065,32.1798414776584
LKQ,21.96458651613517,4.68663914934094,3.326420897687948,4.061044101325005
LNC,4.697883933111916,2.1674602494883075,1.8080317306307043,1.758245828941656
NKE,991.221991082607,31.483678169531068,18.127787681228654,18.010849166835055
HBI,178.34097534949734,13.35443654182,8.235120600444088,5.752985199337416
CAT,440.7988076427956,20.995209159300977,11.639028790641513,9.995131516053258
TJX,1.1398818937661905,1.0676525154591219,1.0317577800741191,1.1029215306006712
TER,55.875122567326706,7.474966392387775,4.823455027315868,4.377315724375314
ABT,1746.3416641880733,41.789252974755044,25.217764648073928,22.907912692598888
HAL,45.15629543899657,6.719843408815161,4.794139899084052,4.497274545529309
PWR,7578.319191911549,87.05354209859325,45.031676814283735,40.47765206224899
STT,73.16310091159062,8.553543178799686,5.651376622221858,5.75157142293987
HAS,199.88836830306315,14.138188296350531,8.756970316168696,8.835463755266709
OXY,3.6016457636929964,1.8978002433588728,1.3571336279124848,1.3971522727022556
NWL,1555.811196396667,39.44377259335961,21.794381303339772,21.18003271950662
RHI,34.42320914666914,5.86712954916364,3.816247473291077,3.1999575956248165
VTR,9.551121107891786,3.090488813746425,1.9963534501644888,2.0790822485033975
NOC,3073.0245464395316,55.43486760550197,30.082477336050854,27.078183061055576
CE,47.925828945538676,6.922848326053278,4.529349592177223,4.429474150484344
EQIX,8755.960000430028,93.57328678864512,49.05807516194783,41.438571781884406
TFC,9.290273814632888,3.0479950483281444,2.279987313243001,2.21445858245189
MTD,25.78170583988381,5.077568890707817,3.692251205619783,3.5540269961218853
DE,16.834064637591297,4.102933662343482,2.7063077029354226,2.8286213157639146
ROP,53.52035970577592,7.315761047613291,4.924032415912282,4.6313595655222635
AZO,3.576911916199955,1.8912725652850662,1.7459894152907516,1.564686952092782
ADBE,4441.304926855119,66.64311612503664,43.2549101644844,38.00491353581716
TYL,4031.899893136912,63.497243193204156,34.436271731221005,39.76326771266082
DHI,970.3836666081525,31.150981792042323,19.41905152933312,19.41358513667757
LYB,1128.2944590831937,33.59009465725266,17.9199057106537,13.706542366178237
AFL,444.4255080133976,21.081401946108745,11.434386448035431,12.394945999069185
EOG,73.09275332931848,8.549430000258408,6.2170721713183426,5.683125357319676
ROL,18.458551321563192,4.2963416206772,2.8566339855253418,2.9003621421131336
DOV,70.16754506312522,8.376607013769073,5.438216952177257,5.118538940886801
GOOGL,39.63525548668912,6.295653698122945,4.490388303416063,4.464096007713498
GRMN,627.537635800683,25.050701303569987,16.369992878858014,14.71503341484332
SLB,860.8102403061234,29.339567827528125,19.021461550996573,17.651566079260455
FRT,3916.8991593955243,62.58513529102198,33.75848080697247,29.408970934078543
IEX,2347.7105204758964,48.45317864161129,25.687849430536588,24.48971999311394
RMD,1579.7216413897465,39.74571223905475,21.289951001456462,23.300415532004678
ULTA,261.7827796486536,16.179702705817977,12.35165121477665,16.758456952270972
CCI,6262.469957388727,79.13576914005908,44.79365346986227,43.958708133833376
CSCO,4.798708058346923,2.190595366184025,1.5036320197232866,1.4743992053118553
PNC,183.04736361738244,13.52949975488312,9.294764418062817,8.513173745518086
KR,19.548806631227354,4.421403242323342,3.448702147268604,2.8603452961230875
DXC,58.70082743076823,7.66164652217578,5.260665672489942,4.785185300667501
PNR,10468.539837657887,102.31588262658876,53.29746334347151,58.78713820997979
BIIB,37.96195917031674,6.1613277116476075,4.37921533826725,4.034038570780254
DG,17.26646410196976,4.1552935037094265,3.1229049028412073,3.137712485717722
DVA,2711.5204637376546,52.07226194182133,34.58555655997856,30.81272587211636
RSG,37.806609368398924,6.1487079430071265,4.42526612127716,4.205539002090073
ZBH,285.2683371298231,16.889888606199364,9.69808304244741,8.8618029582762
PAYX,226.25051705716925,15.041626144043377,10.889041835256892,11.603327645594291
LHX,137.16789345752653,11.71186976778373,7.311191261892565,7.145695201774601
JKHY,183.38111920240829,13.541828502916742,8.313960414570651,8.288596456684955
ALK,6180.921395162619,78.61883613462247,41.73630357606829,34.69108100306088
AXP,35.061113719929594,5.92124258242555,3.8112473308903145,3.794432683873668
ESS,80.9688032736247,8.998266681624006,6.283520181800192,5.306276145729175
UAA,17.040956030691092,4.128069286081702,2.8709915112689592,2.152481950905234
WHR,52.26761707362796,7.2296346431633705,4.543219025389327,4.852825754256173
