,mse,rmse,mae,mape
STE,1442.8603597701617,37.98500177399182,23.700600499128118,21.74117115562604
REG,179.2816255298904,13.389608863962023,8.594504267932216,8.225890348029807
WFC,264.1028254138537,16.251240734597886,11.890628726973057,10.613367920002364
JBHT,260.61780906943574,16.143661575659834,10.52050773996784,10.555622099996475
SJM,492.3086929676579,22.188030398565303,14.417036419746042,15.824408697355665
PFE,113.01045014844404,10.630637335006968,6.766029318799724,7.116930039518349
EQR,34.06273136710165,5.836328586286215,4.638800891881174,4.011475491143146
TSN,93.97084461491684,9.693856024045171,6.41955841133147,5.715027820680124
TDY,21.80137120037236,4.6691938490891935,3.0118913528676057,2.9362328617893243
GOOG,40.587176736535426,6.370806600151619,4.5357381107701995,4.5591906409063
CMCSA,26.758528847252173,5.172864665468465,3.4290323881294795,3.346268536784051
MRK,134.19088222574925,11.584078825083557,8.088718851497577,6.882587945473447
TXN,117.68687246933534,10.848358054071378,6.766912591556916,6.060533336596648
XRX,881.960745113524,29.69782391209033,16.499076886436622,15.282771845572807
HRL,2291.3845312863714,47.86840848917343,32.98568476976221,31.05482873805559
BSX,4067.4319325728457,63.77642144690188,40.28683404507804,39.21046518024689
EMN,5.796964827968363,2.4076886900030003,1.9351117899174064,1.9153469542491133
LVS,190.58858968696245,13.805382634572736,9.231958328506371,10.531368963708925
ADI,658.5822715286495,25.66285782076208,14.592016909340186,14.252509415728488
NTAP,121.00040687268442,11.00001849419738,6.833018576294604,7.215828050809467
NWSA,25.04310631290554,5.004308774736581,3.657734146288915,3.8656199825056135
CAH,424.60589778969154,20.60596752859937,12.56184475782174,11.379897719980779
MGM,12.140188554394891,3.48427733603324,2.391875914568783,2.2474570963600953
ADM,4372.391094161834,66.12405836124877,42.435588595434325,39.431704618103396
MSFT,83.36490104278448,9.1304381626943,5.37561239277513,4.543551889054216
V,25.70268422928772,5.069781477468997,3.299732883594274,3.280877127664406
FMC,5179.805062707696,71.9708625952732,37.58503824978493,42.28726501136082
CDW,15.830275255677135,3.9787278438814,2.652821535062696,2.260587195220617
GS,5.132090968619538,2.265411876153989,1.661154365159762,1.7015162416740595
TPR,56.94190897042238,7.545986282151749,4.567849140474863,6.9200721363191775
MA,52.85637111348427,7.270238724655764,4.661669797825132,5.079885112507887
SNA,1302.5770158983332,36.091231842351036,19.600719198551037,17.28775756334373
IPG,107.14273779551462,10.35097762510936,6.602233220369847,6.375847545668764
COP,5.152596611976037,2.269933173460408,1.6196494118199223,1.6258969393159335
EBAY,6.517373850760289,2.5529147754596684,1.6939318174609663,1.7452818492807294
SWKS,367.8213171172524,19.178668283206015,11.832759238326043,6.481202663739816
COST,1.1113607565394432,1.0542109639628319,0.9193686899677772,0.9245845416761064
EXPD,2.316852138026919,1.5221209341004804,1.2996267266358255,1.4140210421393757
GL,108.41039679060859,10.412031347945923,6.879903352564874,6.786597764315193
TRV,39.08221142161059,6.25157671484647,4.1251915289823415,4.158722512645311
DPZ,120.67262268428462,10.985109133926919,7.449202889503928,6.6541753142146485
DLTR,25.62653944438939,5.062266236024079,3.2525766391018966,3.5716465016340333
WBA,17.979007781780343,4.240166008752528,2.940729811918073,2.7305177903867066
F,5849.40834119706,76.48142481149955,48.71450595800846,51.93002536839627
J,227.14312442091057,15.071268175601897,10.12988558992016,11.74195316210589
WMB,12128.657988776175,110.13018654654215,73.32026309309641,55.931473776652155
DUK,35.324079816174404,5.943406415194438,3.7351129821580837,3.6818941657406903
OMC,126.0691659277077,11.228052632923827,7.918646506458528,8.093360150582404
GM,289.6652631451405,17.01955531572845,10.032519741235964,11.875588677840707
EFX,21.451281341957003,4.6315528002989454,3.4263649908601734,3.0856997869432545
IP,87.08438586143207,9.331901513701913,6.118855880402529,5.89607366041899
FITB,5.478036231234116,2.3405205043396045,1.55671542732065,1.5421432449359476
STZ,57.99859876026345,7.615681109412568,5.420528401215205,4.362464257848033
SWK,255.70251052265843,15.990700751457343,10.458765478286166,10.549548277544432
HSY,192.75000879874196,13.883443693793769,9.096563388253346,9.423936410338573
AME,14.194202896332854,3.7675194619713452,2.653512292486491,2.6897941904470994
MSCI,1.5777854223870507,1.2560992884270936,1.1823794966072951,1.165733538089942
ROK,6.282169320035093,2.506425606323693,2.031810348105346,2.046602152398104
ETR,8.018905812384986,2.831767259572189,2.1154610477606868,1.89803994953943
IFF,30.505535198597485,5.52318161919355,3.550905213234924,3.329788087085268
USB,13.642221388571299,3.6935377876192494,2.4438314264073115,2.3564943895989363
DFS,49.857677088189035,7.060996890538123,4.772062533213502,4.242515122124971
ES,257.9852558777069,16.061919433171955,10.514999001768528,9.948710080729827
CHRW,2577.357792303604,50.767684527695415,27.066658350461548,24.855901279106302
PKG,112.64268723595303,10.61332592715182,6.548237516199749,5.927277534775936
ORLY,5.5914364095442775,2.364621832248082,1.6978123384899082,1.5147815453516333
MCK,29.074223935705177,5.39205192257133,3.671460047744308,3.1647920587904292
CPRT,55.84081780452493,7.472671396798131,4.890637802463356,5.161257303575318
PNW,3.4518316134145968,1.857910550434169,1.472322208253836,1.4765112901151864
VRSK,485.4769760527326,22.033542067782307,13.588156984545142,14.924268582572772
MSI,73.21773030931419,8.556735961177848,5.973771029199623,6.296976673396137
CVX,2204.7745101808378,46.95502646342389,28.00214456224794,27.692183929809435
FTI,3275.6340379120493,57.2331550581658,38.136493504051934,40.41559150042449
KMI,1977.2451194093678,44.46622447891622,30.118162320164206,29.19901842598603
GIS,44.68731175154571,6.684856898359583,4.335414621107782,4.249318123413713
NFLX,1327.9444787631144,36.440972527679804,20.689561900664774,18.239772093002717
IT,103.89842711959673,10.19305779045703,6.428185880874029,6.506871248159908
RF,36656.03368659768,191.45765507442547,93.27491175429955,90.76208683312886
TSCO,2309.8603272389587,48.061006306973624,25.568210249058478,29.889742332537168
JNJ,11.845451331248045,3.4417221461425447,2.3569788227329194,2.280087993403383
TFX,159.81881719089182,12.641946732639394,8.273193391479973,7.482013048556547
WAB,612.1962066103885,24.742599026989634,15.246424761119448,14.245070349580217
HD,72.67810139399982,8.52514524181259,5.873675860615694,5.823404462693052
SYY,1604.7044093791042,40.05876195514664,24.450213849864912,25.95395150535195
AVB,6.424629841246591,2.5346853534998366,1.8670126168208598,1.7771455982138975
K,11.057951085049556,3.32534976882877,2.3370940164147624,2.3402307171660435
NEE,6.897729060735008,2.6263528058383567,1.9123791302497017,1.7542565455685397
TGT,1384.6400414432023,37.21075169145609,26.145049341023846,28.526810795389522
FANG,693.9687711789452,26.34328702305286,14.362590707045717,10.774176928323266
