,mse,rmse,mae,mape
STE,862.6518090937265,29.37093476710822,22.427456164693194,21.377366863743035
REG,278369.5840852567,527.6074147368066,369.50138144543234,357.3315478446534
WFC,148.73763632049682,12.195804045674759,8.466540792752726,7.59224775450912
JBHT,14.546898567810166,3.814039665211961,3.0011570579176654,2.968168031002124
SJM,78.86000425962843,8.880315549552753,6.919339109353512,7.637164110632113
PFE,31.74479781740402,5.63425219682293,3.8770747453810905,4.075974608162097
EQR,30.141269068507754,5.49010647150925,3.7493528059127317,3.388444297772722
TSN,1728.3001407138436,41.572829356610356,28.69084831678567,25.071963705142533
TDY,1.3279370835006206,1.1523615246530148,1.0031504000892206,0.9631108791100136
GOOG,80.40935545671466,8.967126376756083,6.465782814879134,6.445687781888296
CMCSA,1.6346749053926113,1.2785440568836928,1.1807172735543148,1.151068981878792
MRK,5.39704061076743,2.3231531612804677,2.1255505902860787,1.8193211154848155
TXN,806.257076240048,28.394666334367233,18.335151957618866,16.620179628117842
XRX,1989.2311766099717,44.60079793692005,26.24201632407802,24.665798347888373
HRL,1304.002007491176,36.11096796668813,27.51073543579397,26.326910632708902
BSX,4306.8908411422335,65.62690638101292,38.583961036806265,37.43605225036051
EMN,757.9949021401684,27.53170721441314,16.91033991159913,16.41604039203027
LVS,1.928966425490285,1.388872357522564,1.1734104284055635,1.279218317641468
ADI,2.5367563103952757,1.592719784015781,1.4128505636195572,1.3761517494040132
NTAP,2380.0180568419028,48.78542873483744,37.31610338902921,41.09849348760973
NWSA,2.6427648917916926,1.6256582949044651,1.386716824184257,1.4861461145853778
CAH,11610.352193052266,107.75134427491967,65.93239397025958,61.66555543395281
MGM,1466.1290609182172,38.290064780804656,29.94476245956625,28.079198977731313
ADM,395.2774508873047,19.8815857236616,15.382649424984969,15.064579950079013
MSFT,47.31151476129698,6.878336627506463,5.080741692832995,4.418179014462728
V,57.008208666179335,7.550378047897955,5.342466456333584,5.460441182277188
FMC,634.5680221205273,25.19063361887762,16.90849026940219,18.638929193190087
CDW,19194.696737044,138.54492678205145,88.15304427345994,67.60303426154061
GS,5.3188157314677955,2.3062557818827893,1.894396195789073,1.9091377856844272
TPR,1542.193119216732,39.27076672560305,23.530903404551836,35.03902654361628
MA,274.45846816793375,16.566788106568325,11.665235248958082,12.648406660989679
SNA,32.79210010727282,5.726438693225732,4.476311234353661,3.9540314125996523
IPG,2990.527198861809,54.68571293182351,33.402308742713174,30.62305292083575
COP,5.112700120079737,2.261128063617746,1.8581760230448845,1.813311820473479
EBAY,78766.44657688477,280.65360602865013,198.6534232432859,207.03136432699446
