,mse,rmse,mae,mape
STE,887.5887959898018,29.792428501043716,22.785118956208276,21.709439071574394
REG,278746.1902716021,527.9641941188835,369.78767625684355,357.61470521020675
WFC,156.90059232079614,12.525996659779059,8.741323472970167,7.843097326486821
JBHT,13.774891772309399,3.7114541317803456,2.9209127347890473,2.8886871212790046
SJM,82.66384957168947,9.091966210434872,7.08577670865105,7.821382141234401
PFE,31.230574151424634,5.588432172928703,3.8516596980021367,4.048916731726873
EQR,167.23576308701917,12.931966713807268,9.879834575184956,8.842154258180287
TSN,557.3962665315775,23.609241125702823,16.923266320788276,14.821599892482686
TDY,1.2646746644275149,1.1245775493168602,0.9892660867485099,0.9490454351211981
GOOG,77.73783558913767,8.816906236834873,6.3309588691497245,6.308978089137146
CMCSA,1.635206969553851,1.2787521141933065,1.1813594904665854,1.1516538334838662
MRK,5.397146224334769,2.3231758918202403,2.1255703264127637,1.819338036439267
TXN,713.2154234462353,26.70609337672276,17.372962718611515,15.744995313736625
XRX,1973.1538101312826,44.42019597132911,26.128046650072623,24.556967390912597
HRL,1305.371228692231,36.129921515168434,27.52642945753618,26.34176277907555
BSX,4689.428715865006,68.47940358870692,40.26432998166762,39.06535708676917
EMN,765.5757366874126,27.669039316308265,17.010471116577886,16.51259041075342
LVS,2.0407180109400924,1.4285370177003087,1.253636387983227,1.389311778021312
ADI,2.554762827292599,1.5983625456361892,1.4181405379301546,1.3809293430281289
NTAP,2388.420897927504,48.87147325309013,37.36993671412583,41.16099116845516
NWSA,16.108818154325427,4.0135792198890785,3.096037352137384,3.292251980894598
CAH,11234.442808475796,105.99265450245029,64.92636794601758,60.723481560310816
MGM,1446.207278509702,38.02903204802486,29.805370667030108,27.95374216551074
ADM,286.92128587078975,16.93875101271607,12.99553833219644,12.718242504518388
MSFT,49.483865846006275,7.034476941891719,5.219765473363109,4.540045828483351
V,57.18537288711434,7.5621010894535345,5.352530072770886,5.47109008541179
FMC,665.3943461344626,25.79523882685451,17.579308104054903,19.29346617307971
CDW,19146.74183321346,138.37175229508895,88.03086779468747,67.50798476767002
GS,5.699896099205182,2.3874455175365115,1.9544260288982125,1.9637499781141146
TPR,1120.5168288301531,33.47412177832531,19.975984784812194,29.81446360889846
MA,267.4257090117494,16.353155934306667,11.487710275981552,12.454609467637354
