,mse,rmse,mae,mape
STE,0.11136402381787132,0.33371248675749504,0.30428065582421054,0.2640748821640885
REG,0.25942785159934967,0.5093406047031296,0.446562754943114,0.4049343865384349
WFC,0.002240571233096476,0.04733467263113241,0.036577259780179186,0.031973020427697785
JBHT,0.010498697989716713,0.10246315430298207,0.09452034984565713,0.09622232830962581
SJM,0.01732445911246276,0.13162241113299347,0.10825078332830058,0.1168202357464906
PFE,0.11111587386991748,0.33334047739498646,0.29400881051362215,0.3061563308776175
EQR,0.03167231670726302,0.1779671787360327,0.15919422860616522,0.13212905223556395
TSN,0.008270423749927402,0.09094187016950664,0.07053764649207749,0.05974464378993371
TDY,0.013856914920123671,0.11771539797377262,0.10058154211729628,0.09448417984075719
GOOG,0.13011568392178083,0.36071551660800627,0.3004340085096055,0.3047802318531821
CMCSA,0.05713065190613184,0.23902019141932726,0.20973708706690883,0.2007535473341185
MRK,0.015922828444821752,0.1261856903330237,0.120408574533656,0.10238110889228091
TXN,0.012950278794921236,0.11379929171537596,0.09487215525819989,0.08639187953304509
XRX,0.1532253539117969,0.39144010258505313,0.3578859050699424,0.3402189807461474
HRL,0.09407242952390152,0.30671229111970966,0.26650254852104055,0.240362367088265
BSX,0.3285956681115239,0.5732326474578396,0.47926845824448117,0.4658152841424256
EMN,0.40344025382431337,0.6351694685863871,0.5306800239726839,0.5280549500420468
LVS,0.41571875719030954,0.64476255876897,0.540503281506964,0.6411817283918176
ADI,0.27200252439075623,0.5215386125597569,0.4520000100070158,0.4427652864206289
NTAP,0.010992494401318244,0.10484509717348849,0.08547523206643819,0.08875553835556751
NWSA,0.013458919489361348,0.11601258332336777,0.0904133606016141,0.10124887776183059
CAH,0.17311564688813708,0.4160716847949847,0.3688086033246515,0.331956737785995
MGM,1.5041080631569883,1.2264208344434582,1.027432141688852,1.0392303215496206
ADM,0.15205783875657855,0.389945943377513,0.3558948356834354,0.32575449269054285
MSFT,0.15862552246252787,0.3982781973225849,0.3384214023579359,0.2877517004016902
V,0.26269843963458184,0.5125411589663623,0.4521979745998474,0.44941264388503777
FMC,0.18951310894197787,0.43533103374556,0.35558361181434156,0.4325268005433294
CDW,0.010110914148719334,0.10055304146926304,0.08566871733004375,0.06509630961677985
GS,0.09468329210116125,0.30770650318308396,0.28559721564410134,0.28676922865637045
TPR,0.06637447341367891,0.2576324385897065,0.23570194411743717,0.3528190990979565
MA,0.38604855630029133,0.6213280585168284,0.5585674490716981,0.5988256063491111
SNA,0.06782960323867818,0.2604411703987643,0.234242978301187,0.20672754042055336
IPG,0.14078498728997343,0.37521325574927844,0.3305289258780501,0.3074349348832234
COP,0.03261848975554435,0.18060589623692896,0.15161218213734434,0.14136675878876967
EBAY,0.48013941583371034,0.6929209304341372,0.6066602458207296,0.6343651026578992
SWKS,0.20546915059452703,0.4532870509892457,0.3712356112115134,0.19545061268269331
COST,0.011237550023468667,0.10600731117931757,0.07146954528827143,0.06798382705282267
EXPD,0.041631113039798336,0.2040370384018508,0.1672424546496085,0.17728796501994631
GL,0.023131867783042367,0.15209164271268283,0.13068754694843596,0.12793240264000938
TRV,0.003990475012888084,0.06317020668707744,0.05308525849154631,0.053615090770418705
DPZ,0.014273009163245101,0.11946969977046523,0.07603555278788145,0.061650236183222865
DLTR,0.006182001638826663,0.07862570596711144,0.0652939650977005,0.06825947920296388
WBA,0.07639578561484434,0.2763978755613804,0.2517583488550502,0.22076679991532114
F,1.4706452608389242,1.2127016371881931,1.0690294854178872,1.1744983813797532
J,0.8513117201704676,0.9226655516331298,0.7871193465204115,1.0002488066999062
WMB,0.058900336777205096,0.24269391582238953,0.1706848010440143,0.13285548062132507
DUK,0.012904488797516898,0.11359792602647681,0.08870031749837282,0.080697248494324
OMC,0.22045297930369628,0.46952420523727667,0.4112889528566088,0.41983716793179054
GM,0.22880102607118205,0.47833150227763804,0.43544770857170195,0.5276889261876159
EFX,0.0014197706076377141,0.03767984351928381,0.02932119216555918,0.02794052442862641
IP,0.08741746734207935,0.29566445058897317,0.26878241122630897,0.26248834485303585
FITB,0.07228851036627283,0.2688652271422856,0.21877856128248366,0.22414191537954806
STZ,0.08705222755818487,0.2950461447946488,0.27364652407146733,0.2228060082321954
SWK,0.0018540131892199137,0.04305825343903203,0.030966614019531758,0.0331216236202423
HSY,0.0031130661261542713,0.05579485752427612,0.0423059072992972,0.04165430722571663
AME,0.4668941954684154,0.683296564800684,0.5941789813964182,0.6050535849923284
MSCI,0.10761469387728714,0.3280467861102851,0.2796590654164667,0.2713892911004088
ROK,0.20918709288584364,0.45736975510613254,0.3798282367813988,0.3878704502326154
ETR,0.005929096965072624,0.0770006296407544,0.06259131745211795,0.05111114960713439
IFF,0.031914721350985734,0.17864691811219618,0.16337548358618456,0.14534099971586226
USB,0.02378232990787434,0.1542152064741812,0.13096680039940714,0.12372386385700873
DFS,0.01602881731560468,0.12660496560405787,0.10804234284283547,0.09641147420385929
ES,0.011503226363849288,0.10725309489170598,0.0855150797616181,0.07789162186606642
CHRW,0.021678900531271382,0.14723756494614879,0.12050003582573808,0.10880078198868819
PKG,0.006378016341816839,0.07986248394469608,0.060458193001169204,0.055907069532647596
ORLY,0.005629493260554548,0.07502994909071009,0.05810390336770629,0.05054265436288245
MCK,0.12048144622954958,0.34710437368254177,0.3097542022564494,0.26541719536520947
CPRT,0.002026027461569934,0.04501141479191621,0.03453930909738196,0.03732291060951075
PNW,0.05483534718976757,0.23416948389952003,0.19322416066971831,0.18394047446033593
VRSK,0.0016417080621549186,0.040517996768780644,0.033705589281619805,0.0377927436783473
MSI,0.052228046668598295,0.22853456340037123,0.19978772493258956,0.2091305997522764
CVX,0.017670253692807617,0.13292950647921484,0.10761413354686396,0.11314537726326732
FTI,0.17543568997795914,0.4188504386746648,0.3505187048504915,0.3900111693133573
KMI,0.47253058834679607,0.6874086036316363,0.6182889648877475,0.5852696902026661
