,mse,rmse,mae,mape
A,0.004352872370778062,0.06597630158456945,0.05323118081050204,0.059822184655109606
AAL,0.021787891637979836,0.14760722081923985,0.1349639328732087,0.1808305787404174
AAP,0.012777852725149235,0.11303916456321338,0.08651547098369167,0.08245600432173016
AAPL,0.010001849641993518,0.1000092477823602,0.07758711308789441,0.09450575814652278
ABBV,0.006428245348256266,0.08017633907990727,0.06750681506056211,0.07166355640124478
ABT,0.007592590477130839,0.08713547197973302,0.06890339219458824,0.0748152485738732
ACN,0.020862285255166157,0.14443782487688658,0.1317480913507761,0.11668382632749125
ADBE,0.015089764117509147,0.12284040099865005,0.10214206384361883,0.09352381414679325
ADI,0.009846174111027181,0.09922788978420927,0.08277812718952123,0.08085425700328429
ADM,0.021760109336196026,0.14751308191545598,0.1104364596250163,0.154482209085981
ADP,0.0017001744440968312,0.04123317164731366,0.032449704071794656,0.03498323921741071
ADSK,0.015283861489066571,0.12362791549268544,0.1011062113887931,0.12891884329955447
AEE,0.004029731193138039,0.06348016377686844,0.05391797252116013,0.0603104444032237
AEP,0.0026542678780991013,0.051519587324619566,0.04430262289939619,0.04911126469080857
AES,0.017441784764443344,0.1320673493504104,0.1104858714976659,0.1501643127069284
AFL,0.0021935071065108114,0.04683489197714468,0.04116051926682716,0.04164193973152255
AIG,0.013882246898349104,0.11782294724861157,0.10521466463028815,0.09779282827583119
AIZ,0.038284578482548216,0.19566445380433364,0.1661448037060915,0.14564957663089192
AJG,0.006966764824735656,0.08346714817660691,0.06680617684828725,0.0756965270682926
AKAM,0.024096912273725367,0.15523180174733966,0.13798111429136675,0.17061228489601113
ALB,0.0073038934712780085,0.08546281923314962,0.06992737885743798,0.08245124722976029
ALGN,0.009542991451863471,0.09768823599524905,0.08194353379813943,0.08133458029475191
ALK,0.026176999422089873,0.16179307593988648,0.13203484545093178,0.1183142395445743
ALL,0.009434088358327312,0.09712923534305885,0.08488982759408059,0.09782096848616581
ALLE,0.009036861917737527,0.09506241064552028,0.08612445240864335,0.08188186773142579
AMAT,0.05823746859813415,0.24132440530981145,0.2281744967777643,0.32920980889277524
AMCR,0.005057854205918652,0.07111859254736873,0.05251981174181965,0.06246147244582062
AMD,0.050739170730611675,0.225253569850983,0.20290714368944127,0.3183416744529651
AME,0.005070609443849691,0.07120821191302089,0.06297113897303268,0.06515215090048539
AMGN,0.0023866958757455393,0.048853821506055585,0.03816199155255088,0.040815542027252356
AMP,0.03091136380768023,0.17581627856282314,0.13564183908309366,0.1853698864196611
AMT,0.0020863018663893197,0.045676053533436095,0.03562618656271198,0.03820768100547169
AMZN,0.24881311506691073,0.49881170301719135,0.4440208739124796,0.3072803892954251
ANET,0.015407230171655538,0.12412586423326742,0.0928547491503253,0.09229789089680256
ANSS,0.005309924244074936,0.07286922700341301,0.06286743090007017,0.060326770988311046
AON,0.002431312270555203,0.04930833875274245,0.04230051779609972,0.04539516262806508
AOS,0.030174901295205878,0.17370924355141806,0.1577792408773133,0.14054505037158152
APA,0.06074523760545463,0.2464654896845695,0.21588387996807273,0.334410155097881
APD,0.007581461696692095,0.08707158949216498,0.06998820661136737,0.08195626858491212
APH,0.003780119695322356,0.06148267801033357,0.047591147147564176,0.05477157920089271
APTV,0.01272684928312246,0.11281333823233164,0.09939192751296777,0.1020468752245441
ARE,0.0063775933328012475,0.07985983554203732,0.05470315241188229,0.06413842726410444
ATO,0.018326817146883088,0.13537657532558242,0.09953162413780359,0.08959543183446023
AVB,0.0023686056459690714,0.04866832281853435,0.03900274786187977,0.03916982933371075
AVGO,0.021618856370986025,0.1470335212493601,0.13224222274701086,0.12956181617521687
AVY,0.03209906936157234,0.17916213149427626,0.16310672367418555,0.13948464020961698
AWK,0.010632584615828937,0.10311442486785705,0.07693875124683387,0.07184139230809998
AXP,0.021720771792392565,0.1473796858199683,0.11626344752758178,0.1674541020378801
AZO,0.023994430406859526,0.15490135702071667,0.1447301998576634,0.1312642982148773
BA,0.006678074117879426,0.08171948432215799,0.05537953530074672,0.06630298695502299
BAC,0.008783715914154964,0.09372148053757455,0.06978214869756084,0.08448180905176528
BAX,0.0017218860210780475,0.0414956144800634,0.031044970905912003,0.03362310701154437
BBY,0.015894237408584436,0.12607234989713023,0.10243954804331235,0.1329669450006907
BDX,0.0014816362073173767,0.038492027841065694,0.029604254351934072,0.029782114498516955
BEN,0.04903264975266762,0.22143317220477066,0.1876885975057752,0.2761606803233939
BIIB,0.04228317097703584,0.20562872118708478,0.17559517691846252,0.26361124188369794
