,mse,rmse,mae,mape
A,0.2165780407926746,0.46537945892859794,0.3576478741300121,0.3438691664572623
AAL,0.2776362480218742,0.5269119926722813,0.39098552062611724,0.4835061675390752
AAP,0.22945928055213868,0.47901908161589835,0.3564429617364184,0.3773632982787368
AAPL,0.22508329926058473,0.47442944603026566,0.3566649211564401,0.3942527542681424
ABBV,0.2044810767737354,0.45219583896110255,0.3267258560161001,0.3225786706602726
ABT,0.2121639845350591,0.46061261873190046,0.337792923769277,0.37622685054405636
ACN,0.2346388489972536,0.48439534369898063,0.3685314272736167,0.3496788440223562
ADBE,0.22240338079698785,0.471596629331665,0.36361371242025053,0.3527150028891129
ADI,0.24681933447292376,0.49680915296814304,0.4017786673315379,0.3926139989877699
ADM,0.2516462100504767,0.5016435089288774,0.4022655046723909,0.3564407661369665
ADP,0.23070477538091957,0.48031736943495973,0.3675959138790189,0.3489375928282966
ADSK,0.2749116831286456,0.5243202104903506,0.43325772754825215,0.44402904307233276
AEE,0.21461690817187148,0.46326764205140797,0.35454840179796165,0.3311642895785148
AEP,0.20623338174505682,0.45412925664953235,0.32680689345451536,0.311589160787716
AES,0.27028521384387333,0.5198896169802522,0.3989876676854656,0.33596367874925614
AFL,0.20720858799923098,0.4552017003474734,0.3460378473987716,0.33096652309130226
AIG,0.21182812488012648,0.46024789503063074,0.34246155337726586,0.383191679759547
AIZ,0.2300616122118114,0.47964738320125483,0.3796542648700388,0.3841866764268748
AJG,0.23936165862680372,0.48924601033304677,0.3943640104724553,0.35682242390727853
AKAM,0.24142506334991082,0.4913502450899061,0.37271761076553356,0.38349889069588855
ALB,0.43822737100830644,0.661987440219455,0.5579895492393875,0.40394136668569314
ALGN,0.3224915663290981,0.567883409098292,0.47668699123036923,0.3874417304208741
ALK,0.2914424936986615,0.5398541411331967,0.4062531189935654,0.4816553880301409
ALL,0.215896594595606,0.46464674172494314,0.3546076134253907,0.33329683065581944
ALLE,0.2191834881592889,0.4681703623247513,0.33806582812800956,0.3420367017708548
AMAT,0.5148960200113136,0.7175625547722746,0.6124707310906294,0.4353690655946171
AMCR,0.24713640516189425,0.497128157683604,0.37355123101195886,0.31945105352812697
AMD,2.926660920475401,1.7107486432773813,1.3578828938644203,0.5774241032895164
AME,0.23419569970360202,0.4839377022960724,0.3564538524298613,0.4210993935700353
AMGN,0.2027874271301982,0.4503192502327634,0.3253265178567555,0.3413266960564148
AMP,0.24602380548501546,0.4960078683700647,0.37724082013133076,0.43485285277101904
AMT,0.22210506377055073,0.47128023910466554,0.34521121459847776,0.3208979615420508
AMZN,0.22317915263207475,0.4724184084390391,0.374186524063364,0.37243750539653764
ANET,0.2614834157115549,0.5113544912402305,0.4268720150031893,0.4548311668133876
ANSS,0.20953395017864837,0.45774878501056493,0.32829336553537686,0.3454045867723217
AON,0.22410319159355707,0.47339538611350773,0.3625460795453445,0.3262887193581697
AOS,0.24704563705960175,0.4970368568422283,0.4068336213997894,0.3776343268349127
APA,0.27951039613287876,0.5286874276289145,0.4379903781793565,0.39365832881192314
APD,0.22274707566860227,0.47196088362130423,0.3679345252159744,0.34512449911858323
APH,0.24428232623296126,0.49424925516682494,0.3919560989419827,0.35709462208652104
APTV,0.2775525877911671,0.5268325994005754,0.4010128569962752,0.5130488223532451
ARE,0.23293504542389978,0.48263344830616517,0.3883760600196028,0.3530499078878666
ATO,0.21154364330247027,0.4599387386407784,0.34364534911629724,0.32635638651778287
AVB,0.21739973457648828,0.4662614444455903,0.32668645567645815,0.33443750119922266
AVGO,0.29903544622790446,0.5468413355150692,0.45571361119097414,0.4082083103178709
AVY,0.2283579449907617,0.4778681251043657,0.3556940800710558,0.31782306740916216
AWK,0.21915606154964778,0.46814107013767525,0.35444595661151435,0.32119467935044377
AXP,0.21154394501099816,0.4599390666283939,0.35065500610614764,0.38797502606647744
AZO,0.2289111868057253,0.47844663945494,0.3394684309841999,0.345914656782072
BA,0.233640330054621,0.48336355888153276,0.376371710578816,0.40681524337224895
BAC,0.277220889364127,0.5265177009029487,0.4376681009659639,0.4853230323235109
BAX,0.25248118428698846,0.5024750583730385,0.3895443519508095,0.3364841609550512
BBY,0.31492606409397733,0.5611827368103703,0.47782213290530823,0.40363630638702575
BDX,0.21711622445494472,0.46595732042210125,0.3490815776957509,0.3306756170225348
BEN,0.2534343641264011,0.5034226495961431,0.3755592490265025,0.42550922163695315
BIIB,0.2028835498873391,0.4504259649346817,0.3206575149743046,0.3646347107882323
BIO,0.23077417650862384,0.48038960907644934,0.39133505281756054,0.3630743344592594
BK,0.2201672587303518,0.4692198405122612,0.36685325660943774,0.39689498689234015
BKNG,0.24990710744715544,0.49990709881652556,0.3923327539742126,0.38047954893450625
BKR,0.27244715795584645,0.5219647094927458,0.43209183133077245,0.46995305823168865
BLK,0.22452425096096962,0.4738399001360793,0.36407556899313986,0.368912952279661
BMY,0.23862143326791677,0.4884889285008584,0.3708856961694649,0.4151799351396827
BR,0.23134872455096067,0.48098723948870065,0.36888605543040154,0.3276230983753
BSX,0.23709875154454388,0.4869278709876278,0.37381410473146315,0.3286107331110001
BWA,0.2724985608201366,0.5220139469594052,0.39418973634309556,0.49440872419299203
BXP,0.21401659977439247,0.46261928167164895,0.3350479466687151,0.3347266166587048
C,0.24588253024854606,0.4958654356259832,0.39026268804434827,0.4593786733724158
CAG,0.229510437986658,0.4790724767575967,0.3682064521807829,0.33673178840765
CAH,0.23542816980087722,0.48520940819493313,0.35879779793570454,0.412116750277343
CAT,0.2748197559587352,0.5242325399655531,0.43510384391545537,0.37368929508030063
CB,0.21104417094577335,0.45939544071069466,0.3426781624523513,0.32538643378250615
CBOE,0.21693263051819586,0.4657602715112098,0.35231189961554676,0.37405726482271606
CBRE,0.27927860199736826,0.5284681655477161,0.3999390431059571,0.5288403250169658
CCI,0.21613735612104307,0.46490574971820153,0.3324589266928649,0.3176219494062034
CCL,0.22795553044231495,0.4774468875616585,0.34856970937436166,0.39447301469788726
CDNS,0.2261273275849971,0.4755284718973167,0.37050619692036546,0.3374265399990158
CDW,0.24651996478091476,0.4965077691042858,0.40508834731796944,0.40365663528090445
CE,0.23736018966272163,0.4871962537445476,0.38980620285878076,0.3919259329740889
CF,0.38657014154455516,0.6217476510165159,0.49427341767434585,0.8136497993089497
CFG,0.2778594058350697,0.5271237101810823,0.442177096970005,0.467338486025513
CHD,0.20713781121033153,0.45512395147951895,0.3254190096637159,0.30942680864289274
CHRW,0.20235008694199005,0.4498333990956986,0.3210432035663071,0.31250931389407827
CHTR,0.36155711713517213,0.6012961975059979,0.5026938831005744,0.38872660108479296
CI,0.22844223019590876,0.4779563057392472,0.3399393463447321,0.37850940213516504
CINF,0.2290866657998178,0.4786299884042137,0.3734525704351294,0.332134929232199
CL,0.21381642864797287,0.46240288563975557,0.3186493215597711,0.30126932061910844
CLX,0.20729742047474928,0.45529926474215754,0.3232523922989528,0.33061161487174023
CMA,0.31008727120880675,0.5568548026270463,0.47698225159608154,0.44629530735281103
CMCSA,0.2149106405360098,0.4635845559722733,0.3660188895161986,0.347923200596787
CME,0.23589106614389216,0.4856861807215562,0.3936920478761273,0.364414900946842
CMG,0.28927124199180143,0.5378394202657532,0.41477199879638743,0.5700423438272201
CMI,0.29892250706955237,0.5467380607471483,0.45150281475300424,0.3630316584207217
CMS,0.2095205109270757,0.45773410505125756,0.3419343722552628,0.3225102237969893
CNC,0.2168613206454202,0.4656837130987299,0.33877405814047046,0.35930921117085013
CNP,0.2850171542704193,0.533869978806094,0.43515508268580066,0.3540305008103698
COF,0.2404151477223667,0.49032147385400804,0.38965184010021253,0.42258309063387894
COO,0.22619381931569504,0.4755983802702602,0.36881960714168205,0.33020079925726187
COP,0.27019714015390184,0.519804905857863,0.4031635851194294,0.5060392535528436
COST,0.21859754109536195,0.4675441595136891,0.337501152655735,0.3660857403561701
CPB,0.22806563855177336,0.4775621829162914,0.3467617157668162,0.3460320802170615
CPRT,0.2938761084580186,0.5421034112215294,0.4460658612265754,0.36554803675757214
CRM,0.22593822596431143,0.47532959718947804,0.35750150836687516,0.38222822051641897
CSCO,0.22487172223735719,0.47420641311285233,0.3563708778245118,0.3305737616715831
CSX,0.2907226145464002,0.5391869940441815,0.43556732227859934,0.4047260046015008
CTAS,0.23236670465896186,0.48204429740321775,0.3922691777954668,0.3614422175892183
