,mse,rmse,mae,mape
A,0.017117487497812237,0.13083381633894287,0.0987820337628524,0.08495798469751867
AAL,0.11046453382532631,0.3323620523244588,0.3116724343766545,0.2434529079830438
AAP,0.031171062774887643,0.1765532859362511,0.12765589877399888,0.17388696082272037
AAPL,0.08936551877123534,0.298940660953366,0.2637504954635572,0.20613681735552844
ABBV,0.0026962600840864893,0.05192552439876259,0.03987883385652412,0.03992216123855866
ABT,0.005051367854352534,0.07107297555578022,0.05879218652782042,0.05883233234994953
ACN,0.0009631166667355902,0.03103412100794205,0.026714088147999034,0.02608890151473329
ADBE,0.056568224748955086,0.23784075502099106,0.1943255960506831,0.15051873664314896
ADI,0.05515636776281937,0.23485392856586276,0.2133900769043145,0.17719181368877368
ADM,0.002006691447811658,0.04479610973970461,0.03463238461094978,0.03519584216533414
ADP,0.007655337038144958,0.08749478291958303,0.07464710356599374,0.06870149644599177
ADSK,0.21905997150907502,0.46803842952163127,0.4173296869412288,0.28644969511026314
AEE,0.0019283893519943022,0.04391343020072905,0.03779105086014033,0.0372587117401068
AEP,0.0034287843618740588,0.05855582261290553,0.04934546049662995,0.05373229786067699
AES,0.0037790217702901325,0.061473748627281,0.05118202539606782,0.054665413389692684
AFL,0.0011499033587500514,0.03391022498819569,0.027786265405584595,0.02748363724348161
AIG,0.011656951509375534,0.10796736316765143,0.10067790830595826,0.0934289574529071
AIZ,0.011126701428274882,0.10548318078383341,0.09249562311137156,0.0822424144399956
AJG,0.013035937588262892,0.11417503049381196,0.10158693912175416,0.08929683046802636
AKAM,0.022499429713134685,0.1499980990317367,0.13076111937989024,0.12890012313510177
ALB,0.038479891470685035,0.19616292073346847,0.1554205650123715,0.12588158182284925
ALGN,0.14569064450560146,0.3816944386621339,0.2901880131246349,0.21207747314992476
ALK,0.097586585691637,0.31238851722116323,0.2828714294956605,0.21499302908319534
ALL,0.023805069015736546,0.15428891410511822,0.12313222751273187,0.10132842866990924
ALLE,0.004197876267976614,0.064791019964009,0.055764385949386264,0.055479798216190326
AMAT,0.19696250764140322,0.4438045827178931,0.3964542862104753,0.2802262710414796
AMCR,0.0024201999102932306,0.04919552734033075,0.042885595390593126,0.04436052344682836
AMD,0.7337912330156054,0.8566161526702643,0.7700334441695665,0.45429590537517
AME,0.01956225199357302,0.1398651207184015,0.10812701836381175,0.09145491711180756
AMGN,0.0037016990914743933,0.06084159014584015,0.051272441135621974,0.05548264335369945
AMP,0.06036216358125693,0.2456871253876705,0.2151385248605693,0.1707699661810483
AMT,0.0071989723949441265,0.08484675830545399,0.07009926000259163,0.06737215591229
AMZN,0.02694275355221101,0.16414247942629295,0.13425741879151318,0.11274431474242143
ANET,0.4202790456892956,0.6482893225168032,0.5453253837830442,0.326198833506207
ANSS,0.026691010005538758,0.16337383513139048,0.11984730472816028,0.10068602672244006
AON,0.009263574481689754,0.0962474648065587,0.0692520777945832,0.059659686769983664
AOS,0.017518702480559627,0.13235823540890695,0.11963182835053476,0.10806201174632467
APA,0.018319600883946532,0.135349920147544,0.12216859593895862,0.13144073690698144
APD,0.0017890786381033568,0.042297501558642404,0.03554702284288591,0.03425991377952453
APH,0.02599367980729674,0.16122555568921676,0.1527567671887139,0.1301772864547082
APTV,0.026003590828919138,0.16125628926934646,0.12439400806851403,0.10417006001532683
ARE,0.006173363512579813,0.07857075481742436,0.07092035063173482,0.06825399890771612
ATO,0.0021841594789904486,0.046734992018726704,0.03987852952313876,0.041867285050533935
AVB,0.0018661862454563555,0.04319937783644986,0.03457519222423925,0.03611079157179782
AVGO,0.08161719929780512,0.2856872403482611,0.2394127652808858,0.18646670764599207
AVY,0.0062206618122699515,0.07887117225114605,0.06578762093504766,0.062348663151482964
AWK,0.005107544572370936,0.07146708733655609,0.0664688397895315,0.0743905958894876
AXP,0.03145017645354015,0.17734197600551357,0.1564162921431409,0.12955166032208007
AZO,0.035872494629128567,0.18940035540919284,0.13682936814175026,0.18404950965145883
BA,0.11245411752117809,0.33534179208857656,0.2727035450957896,0.1955361332219877
