,mse,rmse,mae,mape
A,0.04242062049155092,0.20596266771323127,0.1799708235269345,0.16883979973698
AAL,0.012947906448845997,0.1137888678599361,0.08973572270677083,0.11254718679258431
AAP,0.011033289574094031,0.10503946674509554,0.09779954834091507,0.11761118731965972
AAPL,0.007356685717349653,0.08577112402988346,0.0719181407744284,0.09357668906447651
ABBV,0.008151549054364757,0.09028592943734232,0.07151678796384243,0.07950556963214324
ABT,0.002756527877033517,0.05250264638123984,0.04626803529308681,0.056159026653937856
ACN,0.02332874421716915,0.1527375010178219,0.13734101072985472,0.12641107113985867
ADBE,0.01467839899962908,0.12115444275646305,0.10630837440950723,0.0966284520813418
ADI,0.008833483847072813,0.09398661525490112,0.08075339851040045,0.08784683987165624
ADM,0.008318147701877698,0.0912038798619757,0.0797990468135428,0.1051249295518278
ADP,0.014756198609649628,0.12147509460646502,0.11097067076144716,0.10402634898620945
ADSK,0.049590563161646235,0.22268938717784967,0.19858021103164153,0.18247583557593453
AEE,0.0361495108946511,0.19013024718505758,0.16669598271247174,0.14334166733798567
AEP,0.030433621089142323,0.17445234618411506,0.1497948702287524,0.1314358408161391
AES,0.016438086523630005,0.12821110140557254,0.10504253798285242,0.11904264705296348
AFL,0.029691315915758684,0.1723116824703383,0.14470148282364476,0.13364404381383277
AIG,0.002928892725754299,0.0541192454285377,0.04503914353396239,0.04981014520784039
AIZ,0.012681332350058808,0.11261142193427276,0.09860106885054465,0.09177719476166457
AJG,0.01291526613351801,0.11364535245014647,0.09368788906452409,0.0951085307395565
AKAM,0.04429964942134083,0.21047481897210607,0.19766756237316652,0.28805801471505954
ALB,0.183851003511622,0.4287785016901174,0.35459300078999195,0.2842477103927706
ALGN,0.09548289447389172,0.30900306547652845,0.2586286453607312,0.21478054320818402
ALK,0.012968534160364366,0.11387947207624545,0.09155587152645059,0.11124190179746879
ALL,0.014549083608022753,0.12061958219137867,0.10766961087712508,0.10995692075434449
ALLE,0.01231393377300077,0.11096816558365183,0.09485555343788347,0.08989805170489593
AMAT,0.1694377073998337,0.4116281178440483,0.3409772296848853,0.28621019653996643
AMCR,0.02410160963359369,0.15524693115676616,0.1232020223429765,0.11373090725272413
AMD,1.0920928215807715,1.0450324500132862,0.7669202619337424,0.4234944300230053
AME,0.0038863082319733687,0.0623402617252556,0.056692323463390766,0.06594181322800478
AMGN,0.01074381195988078,0.10365236109168367,0.08910515214667783,0.09624410962995111
AMP,0.006655706916079715,0.08158251599503238,0.06834851964416869,0.09148107365023805
AMT,0.03220557792473389,0.17945912605586234,0.1541797090589095,0.14322644964606235
AMZN,0.07138605799189102,0.26718169471708014,0.22792631845058772,0.18123399445639196
ANET,0.007598992149781168,0.08717219826172315,0.0681469307578855,0.08126976734164906
ANSS,0.0013478747418908619,0.036713413650747075,0.0300582305234683,0.032464281965384464
AON,0.022121092963957693,0.14873161386859787,0.12513122838384808,0.12131550911256327
AOS,0.04695960581459969,0.2167016516194551,0.17907983714513886,0.15475567831642015
APA,0.058982489248143595,0.24286310804266587,0.2146395910058488,0.2359090741441381
APD,0.012968676475476986,0.11388009692425181,0.09926889999206502,0.10022938516072855
APH,0.01702932999940453,0.13049647504589743,0.11305238114495286,0.11270123479577401
APTV,0.007315898862032241,0.08553302790169562,0.0703231974899232,0.08377387486470003
ARE,0.019094946786332005,0.1381844665160741,0.10590552065432815,0.09945408678267248
ATO,0.07892770482538376,0.280940749670431,0.25132296071484844,0.19434102844944656
AVB,0.0058153804179354425,0.07625864159513623,0.06868131116554307,0.0666425395472463
AVGO,0.04643217562519141,0.21548126513734647,0.17671774019531056,0.15349265754277677
AVY,0.05709775787239149,0.2389513713549087,0.21242114518950028,0.18544795431429542
AWK,0.10649320127839584,0.3263329607600125,0.27897999657412836,0.2057407521060615
AXP,0.01783409938222779,0.13354437233454575,0.11494748190261987,0.15134224214056013
AZO,0.002529051768764946,0.05028967855102025,0.041984157508804666,0.04018242708402239
BA,0.004621695231848077,0.06798305106310011,0.05545370381636859,0.059584895443341154
BAC,0.007918723747543863,0.08898721114600605,0.07577403282538726,0.09592766422892474
BAX,0.03399027900005961,0.18436452749935278,0.15223041420351857,0.14479747983605973
BBY,0.013862977319566067,0.11774114539771587,0.1029182331132181,0.1266136296988207
BDX,0.025687771042465078,0.16027404980989618,0.13442927528305595,0.1235494111762469
BEN,0.0024068267914775484,0.04905942102672583,0.0395040905825171,0.054092267182883305
BIIB,0.003480080453873966,0.058992206721515054,0.048633214127776256,0.07499285448632807
BIO,0.0033245025126244815,0.057658499049355084,0.04333650255103733,0.045713042335740355
BK,0.004665105001296291,0.06830157392986118,0.059120215140196566,0.06592412789361812
BKNG,0.005680124044518325,0.07536659767110576,0.05720590895281355,0.06111485947042924
BKR,0.012941860746455659,0.11376229931948308,0.09828220700980209,0.13492111169234167
BLK,0.022069952936734482,0.1485595938899083,0.13232963747361154,0.1303049125855326
BMY,0.013450679478733464,0.11597706445126754,0.09368196216794109,0.09316665512329636
BR,0.02220829883354638,0.1490244907172857,0.11525727258528244,0.10184514268762376
BSX,0.05958676514844256,0.24410400477755903,0.19147626297744016,0.15791263203735087
BWA,0.0069925059702916955,0.08362120526691597,0.07439658586581929,0.12771855883323185
BXP,0.016844406514881758,0.12978600276948882,0.11021116678531998,0.10293960153717863
C,0.008249713976767289,0.0908279361032017,0.08000176998305084,0.10879631843349812
CAG,0.012716622211061816,0.11276800171618638,0.09327935828586326,0.09145234744159189
CAH,0.002163288993884924,0.046511170635503515,0.037229874214736516,0.03832832074385528
CAT,0.018186135877664024,0.13485598198694793,0.11176281978519197,0.12125996171691732
CB,0.03809747522082538,0.1951857454345101,0.18228120630600447,0.1638489867947835
CBOE,0.0018610799947954137,0.04314023637852966,0.03364255156496389,0.03269723114245922
CBRE,0.011982193147864901,0.10946320453862522,0.09878409133148593,0.13221042580597037
CCI,0.033352324087195205,0.1826261867509564,0.16502534969558044,0.15108834695178336
CCL,0.003022682176631935,0.05497892484063266,0.04470734066090239,0.04936832885995342
CDNS,0.015182661390682462,0.12321794264912259,0.10303540433676255,0.09395455117042918
CDW,0.005487144872404671,0.07407526491619636,0.06235334534488526,0.06105937671453624
CE,0.013883893143276054,0.11782993313787483,0.1053367968742719,0.111466620847756
CF,0.050782753917003313,0.22535029158402106,0.19881608555470406,0.44990403531593887
CFG,0.005489939147416235,0.07409412356871653,0.061004097058525886,0.07470395239760927
CHD,0.015254083379294214,0.12350742236519316,0.10180418700042755,0.09499023081814305
CHRW,0.005880530360551084,0.07668461619223953,0.06906826786343102,0.06779562478701402
CHTR,0.03262492450928285,0.1806237097096692,0.13211511596044484,0.11271703552648828
CI,0.002056753676516828,0.04535144624504083,0.03806069468951042,0.04874348706598586
CINF,0.08176466489400201,0.28594521309859694,0.24999410073328993,0.19996299269339063
CL,0.018445783721172615,0.13581525584842305,0.12270569991810636,0.11760803722068039
CLX,0.020530286840873282,0.14328393783279855,0.13603682856546848,0.12369278151561781
CMA,0.008030195984640897,0.08961136080118913,0.07825709932273896,0.09726096646239263
CMCSA,0.010839429179854114,0.10411257935453387,0.08793969261625935,0.08837642853043062
CME,0.013128801424743685,0.11458098195051256,0.09294105702962566,0.08897913468899811
CMG,0.11411869606188335,0.3378145882905049,0.3151229774061055,0.5316448036074638
CMI,0.009454988813575664,0.0972367667787019,0.0811035008348863,0.10284023602231344
CMS,0.04775019307429433,0.21851817561542639,0.19034894552284193,0.15968766588161154
CNC,0.004311961598353708,0.06566552823478776,0.05427400385015071,0.06901555058324829
CNP,0.04554681761474774,0.21341700404313557,0.16823574496799548,0.14615388657020406
COF,0.003046449946040499,0.05519465504956525,0.04342568472321144,0.05714614047187052
COO,0.010664604546780794,0.10326957222135082,0.08416438653140576,0.09670827346500788
COP,0.010298365919680376,0.10148086479568637,0.08412094042637072,0.12159176892941483
COST,0.00969487197812037,0.09846254098955791,0.08616788362596382,0.0788597417482653
CPB,0.03661424053953841,0.19134847932382013,0.16038262668063372,0.1326423206817214
CPRT,0.08057361880601063,0.28385492563281445,0.2271072444439225,0.18022449112822975
CRM,0.009461577084736352,0.09727063834856,0.08463662090562396,0.08166702445953898
CSCO,0.020090531547020476,0.14174107219511384,0.12395740117947154,0.12123699717760852
CSX,0.003374701253375793,0.05809217893465344,0.04644628485741104,0.058027749820120426
CTAS,0.02246647960151614,0.1498882236919103,0.10861443725364163,0.09415251708700981
CTLT,0.00497190736399146,0.07051175337482014,0.060066122076261996,0.08368815365243681
CTSH,0.0028207508900119464,0.053110741757312584,0.04276257189672962,0.04877806400628128
CVS,0.001094086958581905,0.03307698533092012,0.027357839908408847,0.03158891886394776
CVX,0.05545187586885676,0.23548221985716195,0.2173527900437314,0.2112650048431972
D,0.005785717549542794,0.07606390438008552,0.06085071166798688,0.060436231325342496
DAL,0.010819320516166261,0.10401596279497806,0.08794171813806366,0.10016495519993064
DD,0.03906504339082865,0.19764878798218988,0.18606454561788022,0.1856566484342361
DE,0.005596258029370969,0.0748081414644888,0.0631480927978692,0.0734045811405951
DFS,0.00759358987767128,0.08714120654243479,0.07616525053063405,0.08118788782953727
DG,0.02429280286099968,0.15586148613753073,0.11851365244744051,0.11160743809697289
DGX,0.025908201438148874,0.1609602480059871,0.12749579683961998,0.11959987527286142
DHI,0.005236245367629276,0.07236190550026496,0.057973098744610305,0.062117682082222125
DHR,0.18381250821362355,0.4287336098483807,0.27281364259693597,0.18241142909962196
DIS,0.003150464154723768,0.05612899566822631,0.04208914389012816,0.04861826629897802
DLR,0.17228643163633736,0.41507400742076994,0.36064238122783543,0.25940320119209054
DLTR,0.03242441342906789,0.1800678023108737,0.15371678814173606,0.14859587699328589
DOV,0.021204723167571455,0.14561841630635686,0.12555272836850703,0.12911334556203855
DPZ,0.03302810683345987,0.18173636629321022,0.13788654587660126,0.11991484544909435
DRI,0.003244930333328496,0.05696428998353702,0.045419580967593715,0.04891804365256848
DTE,0.02396023077750447,0.1547909260179823,0.1284307293749519,0.11458937379364006
DUK,0.021053002362441054,0.14509652774081486,0.12225749556887534,0.11390828206073006
DVA,0.004400904820970673,0.06633931580119494,0.05133810781622218,0.0613036606999653
DVN,0.01874337269825651,0.1369064377531477,0.1100428465170368,0.2270029490316982
DXC,0.2632685979236194,0.5130970648168038,0.402281116948078,0.2731246043369313
DXCM,0.0539745195059064,0.232324169009396,0.2058815408557696,0.29705886313382385
EA,0.0087600308140369,0.09359503626815313,0.07686871923456898,0.07906143976152043
EBAY,0.011908851470309859,0.10912768425248406,0.08533890495664306,0.08734445186307162
ECL,0.005853114878587793,0.0765056525923921,0.06812804421478891,0.06716644253747422
ED,0.022049968598584994,0.1484923183150731,0.12328811176983911,0.1068810869452974
EFX,0.04875864016767931,0.2208135869181951,0.18946354106767563,0.16211478039531083
EIX,0.02861699297832567,0.16916557858596906,0.1360498852698735,0.11394630244922165
EL,0.021438117630904675,0.14641761380006393,0.1376634551912272,0.13630762403086893
EMN,0.004228796981321764,0.06502920098941524,0.054157054683771064,0.06312106874677469
EMR,0.02688970403892053,0.16398080387325992,0.14584778743064883,0.15298573006253627
EOG,0.015483263206510979,0.12443176124491279,0.10502123781673,0.11097889988740957
EQIX,0.062207764662246506,0.24941484451059945,0.20973842154984967,0.16672189413510272
EQR,0.007140239732068341,0.0844999392429861,0.07441383345912532,0.0720159981552767
ES,0.025682347993618557,0.16025713086667487,0.1456217121125605,0.1314722204704732
ESS,0.0032649201215122978,0.05713947953483911,0.05110036984799551,0.05120421190285665
ETN,0.02253920885400197,0.1501306392912585,0.12596501455278136,0.1351523622099534
ETR,0.04928688423555129,0.22200649593097785,0.1980532088011886,0.17658496844687022
ETSY,0.0676974398550877,0.26018731686054125,0.23823149834357576,0.5760891808844935
EVRG,0.1138471435617623,0.33741242354389134,0.29000451695889273,0.21903070184233217
EW,0.1216342850564494,0.34876107158977676,0.2936973642378762,0.22828334941414663
EXC,0.026030893856614685,0.16134092430817012,0.13547249653375937,0.1314168052742053
EXPD,0.006233110391927784,0.07895004998052746,0.0699076757002935,0.0699559585059515
EXPE,0.007140048098577917,0.08449880530858361,0.07341070103546295,0.08509740214144412
EXR,0.025694255261949118,0.16029427707173177,0.1439939790574635,0.12564888873884458
F,0.003138032066389868,0.05601814051171163,0.04624235308509178,0.05108592015613765
FANG,0.05580151951853967,0.23622345251591695,0.20123679281681656,0.17718058130074163
FAST,0.03377251709422645,0.1837730042585865,0.16371005536215016,0.15513000215853612
FCX,0.01631146862453856,0.1277163600504593,0.10514480924383053,0.27192892028592214
FDX,0.010687645656641247,0.10338107010783573,0.09380585136175917,0.10275643121018914
FE,0.012388709142351436,0.11130457826321177,0.09719357938549152,0.09702449387699423
FFIV,0.00814273187177037,0.09023708700844886,0.07854420128369288,0.103059278356217
FIS,0.01100139280132899,0.10488752452665183,0.09242142465903556,0.09531867055506484
FITB,0.005581994602693368,0.07471274725703352,0.061339878182370244,0.07313531644234171
FLS,0.014001241481498224,0.11832684176254442,0.10434087634981377,0.1172678109637958
FMC,0.02776329442770556,0.1666232109512524,0.13879973226475795,0.16259579635120056
FRT,0.02558226306914908,0.15994456248697259,0.14662655096661,0.12807100785758757
FTI,0.014251837849763678,0.11938106152050952,0.10671402514473811,0.16786964665554555
FTNT,0.07234140126458234,0.268963568656765,0.25419752933576767,0.4014185965300511
GD,0.003921879360734517,0.06262491006568008,0.05010127143669647,0.05222780625067007
GE,0.046790352229755555,0.21631077696165663,0.20843292717822254,0.18223490611135923
GILD,0.013299613388499176,0.11532394976109332,0.09729515568761975,0.1345114075515739
GIS,0.022240274287685925,0.14913173467671434,0.11181831181918908,0.0977683966946865
GL,0.0047138975395682,0.06865782941200661,0.057853533724743764,0.06102266247684065
GLW,0.03713796555599353,0.19271213131506157,0.16625354425606942,0.16167350919277992
GM,0.011454517046144107,0.10702577748441777,0.08991786689930414,0.09190809974500828
GOOG,0.028562057079889618,0.16900312742635745,0.16004878119721713,0.1446281425804519
GOOGL,0.021666720850341308,0.14719619849147364,0.1377419840905167,0.1270156610999799
GPC,0.024523162641697446,0.156598731290191,0.13461696661326367,0.12477171431485067
GPN,0.04937032873757478,0.22219434902259502,0.19149787786972897,0.1555866405660466
GRMN,0.03791193709791542,0.1947098793022979,0.14329842011670946,0.14074540965150886
GS,0.006260571265454298,0.07912377181008434,0.0700507070840162,0.0929304967694667
GWW,0.005065268119539519,0.07117069705672074,0.06345771016318524,0.06828943705426851
