,priors,lt_0 - intercept,"fs_0 - beta(p=7,n=3)",sigma_log__,sigma,prior_lt_0 - slope,prior_lt_0 - intercept,prior_lt_0 - delta,"prior_fs_0 - beta(p=7,n=3)","prior_fs_1 - beta(p=365.25,n=10)",prior_sigma,lt_0 - slope,"fs_1 - beta(p=365.25,n=10)"
A,"[ 0.01988608 -0.04543199 -0.04753324 -0.07921945 -0.05336995  0.06976884
 -0.01406594  0.02715095  0.04543889  0.03097313 -0.01508916 -0.0028421
 -0.02284131 -0.0169125   0.01312294  0.05860243 -0.01134163  0.01548775
  0.03916272 -0.00172769  0.15495994  0.14068726  0.02605424  0.05195942
 -0.13190997 -0.05678234  0.03265721  0.0854915  -0.0147208  -0.05050079
 -0.05411996 -0.05752835 -0.01262018  0.34982574  0.00243823 -0.36190335
 -0.18819429  0.10260058  0.30658046  0.28802286 -0.52930653 -0.66240807
  0.69887782  0.62017272 -0.53041536 -0.09682111  0.10049216 -0.49548987
  0.4003829   0.63812382 -0.80035933  0.00348073  0.61685801  0.        ]",0.18849026322548235,"[-4.77432312e-04  2.97932444e-04 -1.29641261e-04 -3.97843993e-05
  8.33879517e-05  1.73675825e-04]",-5.934178035240384,0.0026473979282626374,0.7921707601908099,-0.03690277144460232,"[-0.13319204 -0.1104735  -0.07736593 -0.03281329  0.00588891  0.05176098
  0.09452769  0.13615426  0.16958498  0.1945533   0.19478434  0.15252303
  0.04870514 -0.1281359  -0.31265293 -0.35064911 -0.26254816 -0.21595355
 -0.17885397 -0.03571834  0.5842466   1.25613432  1.79604112  1.17044557
 -0.00397872]","[-1.53727071e-04 -1.22513331e-04 -3.12044500e-04 -9.54362010e-04
 -2.76896589e-04  4.91277840e-05]","[ 0.01066597 -0.00352079 -0.002666    0.00435706  0.00018175  0.00385023
  0.00028318 -0.00201366 -0.00168277  0.00183311  0.00452448  0.00027895
 -0.00100706  0.00279526 -0.00183972  0.00093244  0.00314976 -0.00110803
  0.00094066  0.00067976]",0.08375998701923967,0.7921707601908099,"[ 0.01066597 -0.00352079 -0.002666    0.00435706  0.00018175  0.00385023
  0.00028318 -0.00201366 -0.00168277  0.00183311  0.00452448  0.00027895
 -0.00100706  0.00279526 -0.00183972  0.00093244  0.00314976 -0.00110803
  0.00094066  0.00067976]"
AAL,"[ 8.54165811e-02  1.60683378e-02 -7.10428214e-02  8.89421394e-02
 -3.80373333e-02 -1.03519559e-01 -1.16379783e-01  3.00217777e-02
  1.44111923e-02 -1.40895817e-01 -6.23975329e-02  5.18424837e-03
 -3.86333721e-02 -7.81180119e-02  6.61518074e-02 -7.83693795e-02
 -1.16608647e-01  5.26792595e-02  1.23684953e-02 -1.49913610e-01
  1.52513440e-01  8.92871574e-02 -1.11936074e-01  1.59630796e-01
 -5.74990673e-02 -1.20805856e-01 -9.94882614e-02  6.77205487e-02
 -5.51757640e-02  1.19634405e-03  8.34736986e-02 -1.03277612e-02
 -6.43347316e-02 -4.94686300e-01  4.40671566e-01  7.59834249e-01
 -8.46468378e-01 -6.19984685e-01  1.04442412e+00  7.65089229e-02
 -1.29146978e+00  3.33319423e-01  6.62004864e-01 -5.10993241e-01
  6.20041823e-02  2.67125482e-01 -8.62162225e-01  1.05355075e-01
  1.09366662e+00 -3.20327556e-01 -6.06245958e-01 -1.11171314e-01
 -3.81324202e-01  0.00000000e+00]",0.19043185882723435,"[-5.81926397e-04  1.40513957e-04 -2.14985491e-05 -3.20767934e-05
  1.64682680e-04  3.61751898e-04]",-5.052168961141596,0.006395446916183955,0.79346249468495,-0.036349338330063284,"[-0.13376661 -0.10637824 -0.07685617 -0.03782367  0.00274003  0.05189123
  0.09356746  0.12983514  0.16801408  0.19556916  0.19411848  0.15041576
  0.05018891 -0.13871177 -0.31946553 -0.34676235 -0.26614788 -0.23373329
 -0.179396   -0.04110134  0.55945772  1.28216595  1.81470967  1.1643401
 -0.0134947 ]",[-0.00027155 -0.00026945 -0.00016224 -0.00053419 -0.00013672 -0.0001223 ],"[ 7.99870224e-03 -2.22773692e-03  3.52447055e-04  2.46160814e-03
 -1.76402758e-03  5.84678635e-03 -8.55044745e-05 -3.94381087e-03
  1.29854304e-03  1.92388870e-03  1.00021607e-03  1.89311303e-03
 -2.74556026e-04 -7.91143278e-05 -2.52714432e-05  2.84571423e-03
  3.36855213e-04 -6.82578042e-05  8.05740769e-04 -1.98256949e-03]",0.08397883672933452,0.79346249468495,"[ 7.99870224e-03 -2.22773692e-03  3.52447055e-04  2.46160814e-03
 -1.76402758e-03  5.84678635e-03 -8.55044745e-05 -3.94381087e-03
  1.29854304e-03  1.92388870e-03  1.00021607e-03  1.89311303e-03
 -2.74556026e-04 -7.91143278e-05 -2.52714432e-05  2.84571423e-03
  3.36855213e-04 -6.82578042e-05  8.05740769e-04 -1.98256949e-03]"
AAP,"[ 0.08660484  0.11334866 -0.05377832  0.16258066  0.07772297 -0.09086026
 -0.21397123  0.00712792  0.04942495 -0.30357909 -0.03909767  0.04365574
 -0.01920337 -0.0379219   0.05721598 -0.1739002  -0.29498892  0.13225471
  0.02381786 -0.28636583  0.14285598  0.00438054 -0.15447151  0.14114663
 -0.06862474 -0.01601441 -0.17369779  0.02222142 -0.08866305  0.02487748
  0.15877866 -0.06036612 -0.14970677 -1.66666857  0.55233258  2.2898351
 -0.90658414 -1.88865186  1.04129337  0.49482263 -1.09240026  0.67014808
  0.12440055 -1.16954516  0.6541218   0.56591991 -1.14541185  0.29544132
  0.86725785 -0.53664931 -0.00231029 -0.62099252 -0.49787088  0.        ]",0.18611271108834274,"[5.33465622e-04 2.12555411e-04 1.26560357e-04 6.78379107e-05
 4.23602178e-05 3.23600302e-05]",-6.285268112716929,0.0018635572593919678,0.7934859175742455,-0.035427590944660164,"[-1.33410022e-01 -1.04652067e-01 -7.41033686e-02 -3.74744104e-02
 -6.87592880e-05  5.12312376e-02  9.49796197e-02  1.23668712e-01
  1.69149449e-01  1.97465059e-01  1.95166350e-01  1.52440012e-01
  4.92405361e-02 -1.44882377e-01 -3.31911647e-01 -3.39857980e-01
 -2.66681977e-01 -2.50420094e-01 -1.82868627e-01 -5.28970812e-02
  5.52782911e-01  1.27567319e+00  1.81277875e+00  1.18459238e+00
 -1.86906088e-02]","[-4.05615813e-04 -4.22091638e-04 -9.76338776e-05 -2.84904609e-04
 -2.68191321e-04 -3.42838815e-04]","[ 0.00428629 -0.00192498  0.00451896  0.00230448 -0.00523134  0.00563039
  0.00132558 -0.00319338  0.00239241  0.00043833 -0.00124776  0.00355666
  0.00023029 -0.00061479  0.00062477  0.00217025 -0.00026386  0.00179521
 -0.00046861 -0.00210332]",0.08396974296049955,0.7934859175742455,"[ 0.00428629 -0.00192498  0.00451896  0.00230448 -0.00523134  0.00563039
  0.00132558 -0.00319338  0.00239241  0.00043833 -0.00124776  0.00355666
  0.00023029 -0.00061479  0.00062477  0.00217025 -0.00026386  0.00179521
 -0.00046861 -0.00210332]"
AAPL,"[ 4.35569268e-02 -4.66532745e-02  2.28233806e-02  7.99943663e-02
 -6.33210671e-02 -5.80027524e-02  2.11013253e-02  5.92488382e-02
 -2.03580927e-02  4.16643883e-02 -4.79473895e-02  8.70162551e-03
 -4.17254147e-02 -1.50840740e-02 -2.44748397e-02 -1.74890814e-02
  9.96006754e-02 -5.33398287e-02 -6.29667122e-02 -1.92176328e-02
 -5.83831673e-04 -8.88056040e-02  8.63601672e-03 -3.37745621e-02
  4.58261931e-02 -2.23478065e-02  2.30907778e-02  7.74901077e-02
  5.41063844e-02 -5.74895781e-02 -2.76191667e-02  9.11044736e-02
  3.57834283e-02  3.43379502e-01  4.34465599e-02 -6.12738328e-01
 -1.96402235e-02  5.36717238e-01 -6.85544731e-02 -3.48781657e-01
  3.43305289e-02 -5.97749431e-02 -1.93536154e-01  3.22948764e-01
  2.30214803e-01 -4.96111402e-01 -2.99678812e-01  3.74168437e-01
  2.77872249e-01  6.88395510e-03 -2.17896245e-02 -6.20729606e-01
 -2.69895363e-01  0.00000000e+00]",0.19335420136101153,"[ 1.40622845e-04 -6.93392436e-04  3.03234000e-04  1.72941244e-04
 -1.69214548e-06  2.09184637e-04]",-5.854024319710204,0.0028683328120899234,0.7926373589543945,-0.03692505391260915,"[-0.13156196 -0.10654833 -0.07753657 -0.03648574  0.0067437   0.05278432
  0.09225356  0.1367866   0.16836539  0.19599264  0.19382811  0.15325884
  0.04545651 -0.13403853 -0.30334622 -0.35605174 -0.27278583 -0.21791254
 -0.1982835  -0.07078783  0.58072947  1.24002834  1.83287272  1.17521523
 -0.00571399]","[-2.11069081e-04  4.81495011e-05 -3.31155136e-04 -7.87527918e-04
  1.68435687e-04  1.89766446e-04]","[ 0.01066954 -0.00337272 -0.00340907  0.00489834  0.00146097  0.00276527
 -0.00143926 -0.00055797 -0.00022422 -0.00068003  0.00364648  0.00226546
 -0.0020593   0.0017594   0.00082246  0.00101684  0.00132587  0.00107767
 -0.00087381 -0.00218006]",0.0840361821278152,0.7926373589543945,"[ 0.01066954 -0.00337272 -0.00340907  0.00489834  0.00146097  0.00276527
 -0.00143926 -0.00055797 -0.00022422 -0.00068003  0.00364648  0.00226546
 -0.0020593   0.0017594   0.00082246  0.00101684  0.00132587  0.00107767
 -0.00087381 -0.00218006]"
ABBV,"[ 0.0169209   0.14156356 -0.01050186  0.03220821  0.14472728  0.0826612
 -0.18934098 -0.09874369  0.10169066 -0.20251679  0.00685203  0.01293405
  0.05587472  0.05315686  0.00389825 -0.07716334 -0.28397659  0.12966328
  0.04369413 -0.19070151  0.02352612 -0.05715478 -0.10854944 -0.00827355
 -0.0185655   0.10918318 -0.05691712 -0.04894638 -0.04139288  0.01643055
  0.04711891 -0.1586798  -0.14062267 -1.39190406  0.04854866  1.96894062
  0.09149758 -1.7167239  -0.17435578  0.77319287  0.1385533   0.19921002
 -0.2622259  -0.7624041   0.21466735  0.57329901 -0.13859129 -0.03926904
  0.07847968 -0.21295448 -0.01748263 -0.5638571   0.04666955  0.        ]",0.18921789463054725,[-0.00056001  0.00041764 -0.00030167  0.00032897 -0.00011004  0.00023684],-5.492239086455837,0.004118611914044621,0.7921123106701613,-0.03512858352902194,"[-1.32417313e-01 -1.07901502e-01 -7.27028242e-02 -3.25147959e-02
  8.18507829e-04  4.79198647e-02  9.68496381e-02  1.27387226e-01
  1.70606598e-01  1.95247450e-01  1.98793887e-01  1.56129554e-01
  4.77252606e-02 -1.36887514e-01 -3.31680368e-01 -3.40761316e-01
 -2.64487295e-01 -2.38670098e-01 -2.00130939e-01 -6.35834732e-02
  5.62156131e-01  1.24141795e+00  1.82161299e+00  1.20354183e+00
 -9.80732341e-03]",[-0.00053075 -0.00028226 -0.00012796 -0.00055349 -0.0005464  -0.00025238],"[ 5.16823689e-03 -3.40932505e-03  3.72622149e-03  5.22460991e-03
 -4.79404193e-03  2.06997220e-03  2.02979675e-03  8.97168483e-05
  7.88230618e-04 -8.75025115e-04  4.66458885e-05  2.41226796e-03
  4.16439745e-04  2.66370672e-03 -4.00495517e-04  5.40898483e-05
  7.25624847e-04  1.28159822e-03 -4.33315885e-04 -5.45336012e-04]",0.0837659138560786,0.7921123106701613,"[ 5.16823689e-03 -3.40932505e-03  3.72622149e-03  5.22460991e-03
 -4.79404193e-03  2.06997220e-03  2.02979675e-03  8.97168483e-05
  7.88230618e-04 -8.75025115e-04  4.66458885e-05  2.41226796e-03
  4.16439745e-04  2.66370672e-03 -4.00495517e-04  5.40898483e-05
  7.25624847e-04  1.28159822e-03 -4.33315885e-04 -5.45336012e-04]"
ABT,"[ 8.42576168e-02  1.00562697e-01 -1.20015098e-02  6.23646088e-02
  1.39180578e-01  9.72832738e-02 -2.37019063e-01 -3.79253247e-02
  1.47970947e-01 -2.41738547e-01 -7.10556484e-02 -2.46141626e-03
  3.20338567e-02  5.61742897e-02  7.31488107e-03 -8.44228858e-02
 -3.22553070e-01  1.17638737e-01  3.43494219e-02 -2.59389800e-01
  1.53491979e-01 -4.31948096e-02 -1.09356867e-01 -5.77636897e-04
 -6.46486005e-02  1.07335505e-01 -4.30523603e-02  4.35785463e-02
 -6.34155971e-02 -4.21779000e-02  4.13856895e-02 -1.43482124e-01
 -1.83365151e-01 -1.54697646e+00  1.72340419e-01  2.07875492e+00
 -2.37559246e-01 -1.85864195e+00  1.77008459e-01  8.26277562e-01
 -3.93720149e-01  7.78964172e-02  8.24493150e-02 -5.94981387e-01
  8.09258762e-02  2.78273407e-01 -2.71285137e-01  2.10159111e-01
  3.96060383e-01 -1.42598745e-01 -3.06033789e-01 -1.44512548e+00
  3.39536403e-01  0.00000000e+00]",0.18693066763024316,"[ 2.52355308e-04  9.14971464e-05  1.91235045e-04 -2.96281354e-05
  1.45217785e-04  1.69485063e-04]",-5.796878625072011,0.003037019642913389,0.7934396492296641,-0.035547749310867176,"[-1.32436140e-01 -1.07132745e-01 -7.26894556e-02 -3.19630438e-02
 -5.64610952e-04  4.98019062e-02  9.83605494e-02  1.25789643e-01
  1.67566364e-01  1.94570412e-01  1.97882207e-01  1.56336785e-01
  4.73759959e-02 -1.37537830e-01 -3.34621500e-01 -3.41234354e-01
 -2.65707861e-01 -2.47890753e-01 -1.83146509e-01 -6.22168706e-02
  5.61735224e-01  1.24089740e+00  1.81100477e+00  1.20396571e+00
 -9.68189621e-03]",[-0.00029796 -0.00034765 -0.00028709 -0.00061843 -0.00048681 -0.00039224],"[ 0.00463428 -0.00308662  0.00401154  0.00426208 -0.00514644  0.00312557
  0.00220366 -0.00130718  0.00059842  0.00015661  0.00050762  0.00205539
 -0.00047552  0.00213924  0.00024779  0.0008441   0.00096304  0.00065134
 -0.00287051  0.00013116]",0.0838939649199371,0.7934396492296641,"[ 0.00463428 -0.00308662  0.00401154  0.00426208 -0.00514644  0.00312557
  0.00220366 -0.00130718  0.00059842  0.00015661  0.00050762  0.00205539
 -0.00047552  0.00213924  0.00024779  0.0008441   0.00096304  0.00065134
 -0.00287051  0.00013116]"
ACN,"[ 0.02373773  0.14293091 -0.07587671  0.03756745  0.11180204  0.06866127
 -0.26930673 -0.12278128  0.15498829 -0.24791932 -0.02427701 -0.00262784
  0.05154802  0.00417591  0.05171783 -0.08478338 -0.37049252  0.17996661
  0.06448113 -0.28552192  0.14502454  0.05240821 -0.18742819  0.08196749
 -0.07525797  0.02874451 -0.08887743 -0.0219757  -0.08855482  0.02104247
  0.0759295  -0.23846634 -0.20271463 -1.54667487  0.23781346  2.34966585
 -0.31301976 -2.12501495  0.37850038  1.04347565 -0.72202003  0.09291172
  0.47260146 -0.8233639  -0.16202506  0.76261033 -0.40249233 -0.18651463
  0.81897999 -0.27329497 -0.72314853 -0.44177314 -0.14028313  0.        ]",0.1868712880763379,"[-5.81083062e-05  8.61967768e-04 -2.19419982e-04  9.94770343e-05
  3.51568677e-05  1.16969598e-04]",-6.053111012601195,0.00235053806641809,0.7922466838798843,-0.03511870269280613,"[-1.33933089e-01 -1.07756985e-01 -7.34413207e-02 -3.29258571e-02
 -1.48985782e-03  4.72254773e-02  9.86646411e-02  1.25516227e-01
  1.69346206e-01  1.94402828e-01  1.98824758e-01  1.53763031e-01
  5.00964255e-02 -1.37879590e-01 -3.38505881e-01 -3.36596990e-01
 -2.62667004e-01 -2.49852346e-01 -1.84993582e-01 -4.57353657e-02
  5.48064686e-01  1.26125443e+00  1.81136121e+00  1.19220684e+00
 -1.17573986e-02]",[-0.00047361 -0.00041444 -0.0001101  -0.00052977 -0.00076066 -0.00044862],"[ 4.65859992e-03 -2.86586790e-03  4.79516712e-03  4.04177661e-03
 -5.96226934e-03  3.65081640e-03  2.81546536e-03 -2.16677815e-03
  7.31796514e-04  1.27692250e-03 -1.60121514e-04  1.44192575e-03
  8.37744976e-04  1.70894625e-03 -9.53387952e-04  1.88494308e-03
  5.67642628e-04 -4.12915759e-04 -3.67403566e-05 -8.95834485e-04]",0.08384029332800033,0.7922466838798843,"[ 4.65859992e-03 -2.86586790e-03  4.79516712e-03  4.04177661e-03
 -5.96226934e-03  3.65081640e-03  2.81546536e-03 -2.16677815e-03
  7.31796514e-04  1.27692250e-03 -1.60121514e-04  1.44192575e-03
  8.37744976e-04  1.70894625e-03 -9.53387952e-04  1.88494308e-03
  5.67642628e-04 -4.12915759e-04 -3.67403566e-05 -8.95834485e-04]"
ADBE,"[ 0.1346305   0.12571386 -0.05582159  0.13959488  0.04729783 -0.07109832
 -0.24562831 -0.033086    0.0446475  -0.28105829 -0.08077553  0.01348805
 -0.00778898 -0.0331946   0.04450562 -0.15260164 -0.26126433  0.11111445
  0.01673895 -0.25745279  0.09242791 -0.04668617 -0.1998499   0.12942703
  0.00323029 -0.0513634  -0.12689397  0.06825051 -0.02431603 -0.01825332
  0.08322019 -0.05434073 -0.11476253 -1.2890644   0.41225677  1.81370472
 -0.55308734 -1.47181847  0.56758816  0.32721672 -0.80446087  0.64928706
  0.07197056 -1.13348267  0.47851604  0.57618579 -1.12840248  0.26833023
  1.24897242 -0.62035779 -0.65317913 -0.72529937 -0.34666842  0.        ]",0.18502908404907156,"[ 7.57147320e-05  2.20345293e-04  1.51406368e-05 -2.13742324e-04
  1.24691174e-04 -3.70655546e-05]",-5.742364743205684,0.0032071751552978666,0.7944325974150892,-0.035332077152671726,"[-1.33464593e-01 -1.05247153e-01 -7.48233152e-02 -3.69092662e-02
 -1.02321947e-03  4.99256666e-02  9.48442565e-02  1.24526543e-01
  1.67317750e-01  1.95770178e-01  1.95701164e-01  1.52763606e-01
  4.85529820e-02 -1.43331925e-01 -3.29761003e-01 -3.41442292e-01
 -2.66900434e-01 -2.47248844e-01 -1.89498269e-01 -6.11311415e-02
  5.45337343e-01  1.27502517e+00  1.82862250e+00  1.17936670e+00
 -1.53977512e-02]",[-0.00027504 -0.00022964 -0.00021191 -0.00048853 -0.0002224  -0.00023802],"[ 5.47140069e-03 -2.35101214e-03  3.24416135e-03  3.34121778e-03
 -4.09309469e-03  4.29562097e-03  7.94603653e-04 -2.50015291e-03
  2.18629706e-03  2.18693265e-04 -1.01176601e-03  3.10973243e-03
  4.28760788e-04 -4.97304792e-04  5.31893476e-04  3.42243717e-03
 -4.81444312e-04 -2.47907666e-05 -8.67430266e-04 -1.72597195e-03]",0.08401848757239688,0.7944325974150892,"[ 5.47140069e-03 -2.35101214e-03  3.24416135e-03  3.34121778e-03
 -4.09309469e-03  4.29562097e-03  7.94603653e-04 -2.50015291e-03
  2.18629706e-03  2.18693265e-04 -1.01176601e-03  3.10973243e-03
  4.28760788e-04 -4.97304792e-04  5.31893476e-04  3.42243717e-03
 -4.81444312e-04 -2.47907666e-05 -8.67430266e-04 -1.72597195e-03]"
ADI,"[ 8.90852100e-02  8.24881148e-02  3.81737580e-03 -2.41859101e-02
 -2.04841215e-02 -1.29714283e-02 -1.00831523e-01 -1.15284998e-01
 -7.82069792e-03  2.00725541e-02 -6.04484351e-02 -5.88869610e-02
  4.13538274e-02 -1.35531412e-02  3.62245076e-03  8.76860743e-02
  5.28945874e-02 -4.55261661e-02  8.08914497e-04  4.19573048e-02
 -1.17948941e-01 -1.00950269e-01 -1.36827224e-01  4.07611332e-02
  1.80750579e-01 -7.60618613e-02  9.88776654e-02 -4.90210798e-03
  1.21821267e-01 -1.63928351e-02 -1.46938333e-01 -1.99613415e-02
  5.24627654e-02  6.60042503e-01 -1.95073457e-01 -7.86301596e-01
  6.17304143e-01  8.57975717e-01 -7.84696649e-01 -5.49630373e-01
  3.66417179e-01  4.57005639e-01  1.14934455e-01 -4.58772588e-01
 -5.00263172e-01  4.78202299e-01  6.66027889e-02 -2.59831447e-01
  7.96676145e-01 -2.13776535e-01 -1.18541935e+00  1.44313023e-01
 -2.89147359e-01  0.00000000e+00]",0.18834181327904947,"[-8.28029419e-05 -5.07261739e-05 -7.66709174e-05  9.42387185e-05
 -9.31138303e-05 -4.52196653e-05]",-6.0503857462785495,0.0023569526453985,0.7935348105418837,-0.03572129185399981,"[-1.32061670e-01 -1.09265611e-01 -7.66478808e-02 -3.53273214e-02
  3.17504642e-03  4.72441841e-02  9.29242223e-02  1.36018700e-01
  1.67517342e-01  1.91842493e-01  1.97741265e-01  1.53221931e-01
  4.78047813e-02 -1.26288652e-01 -3.07125114e-01 -3.55052585e-01
 -2.65937866e-01 -2.10336951e-01 -2.15931570e-01 -7.13573699e-02
  5.56489841e-01  1.25969376e+00  1.86515040e+00  1.17074748e+00
  7.71789362e-04]",[-0.00041704  0.00026853 -0.0002096  -0.00107555 -0.00013823  0.00027592],"[ 0.01167858 -0.00409593 -0.00375974  0.0067656   0.00228618  0.00058722
 -0.00202188  0.00025234  0.00097665  0.00011174  0.00155865  0.00038017
  0.00086254  0.00296396 -0.00110176  0.00249041  0.00060443 -0.00225105
  0.00122187 -0.00188944]",0.08394547165892817,0.7935348105418837,"[ 0.01167858 -0.00409593 -0.00375974  0.0067656   0.00228618  0.00058722
 -0.00202188  0.00025234  0.00097665  0.00011174  0.00155865  0.00038017
  0.00086254  0.00296396 -0.00110176  0.00249041  0.00060443 -0.00225105
  0.00122187 -0.00188944]"
ADM,"[ 0.14836202 -0.01065128  0.05300562  0.05545087 -0.01443154 -0.0846851
 -0.02777392  0.11276463 -0.04435654 -0.01967822 -0.08688135 -0.00500222
 -0.05133921 -0.01847684  0.00557229  0.08589975  0.10960568 -0.1215818
 -0.01128792  0.04293902  0.06614219 -0.05928924  0.01054237  0.0884603
  0.0348072  -0.04726547  0.07075265  0.07690446  0.06841938 -0.04972328
 -0.09939856  0.14228592  0.05731871  0.50683661  0.14704474 -0.95492141
 -0.32306607  1.06699499  0.32936183 -0.90184318 -0.45549564  0.58045465
  0.26280162 -0.26681411 -0.06209146  0.0070384  -0.20910387 -0.0116781
  0.37815445  0.27752848 -0.27344634 -0.80022757  0.05138975  0.        ]",0.18749727146913744,"[-3.29364558e-04  3.36666158e-04 -1.36933890e-04  5.45341348e-05
  3.78225660e-05  1.65587613e-04]",-6.07325415977024,0.0023036645076038947,0.7947032724271277,-0.03663112233625568,"[-0.13088234 -0.10722865 -0.07630698 -0.03721416  0.00522657  0.05430031
  0.09148232  0.13456304  0.16691409  0.19517646  0.19319452  0.15316969
  0.04703757 -0.12676651 -0.30195146 -0.36048822 -0.26740538 -0.21157949
 -0.18982938 -0.06638625  0.58087215  1.26568205  1.83153783  1.17381703
 -0.00297374]",[-0.00023522  0.00012096 -0.00030524 -0.0009999   0.00028929  0.00023725],"[ 0.01115925 -0.00311631 -0.0043344   0.00399289  0.00297742  0.00394249
 -0.0029925  -0.00196004  0.00152882  0.00071585  0.00203787  0.00143162
 -0.00055733  0.00180533 -0.0002923   0.00117416  0.00193515  0.00036368
 -0.00129707 -0.00130075]",0.08404623091908262,0.7947032724271277,"[ 0.01115925 -0.00311631 -0.0043344   0.00399289  0.00297742  0.00394249
 -0.0029925  -0.00196004  0.00152882  0.00071585  0.00203787  0.00143162
 -0.00055733  0.00180533 -0.0002923   0.00117416  0.00193515  0.00036368
 -0.00129707 -0.00130075]"
