,lt_0 - slope,lt_0 - intercept,"fs_0 - beta(p=7,n=3)","fs_1 - beta(p=365.25,n=10)",sigma_log__,sigma
A,0.47530589698725084,0.48589191459188985,"[ 3.89235635e-05  1.76744401e-05 -7.15915801e-05  4.98388067e-04
 -1.98721738e-04  1.74524919e-04]","[ 0.01601126 -0.00481058 -0.00389642  0.0118454  -0.00923226 -0.00079064
  0.0064535  -0.00654452  0.00195245  0.00525529 -0.00047159  0.00021912
  0.00126117  0.00404954 -0.00555908  0.00101477  0.00322122 -0.00169424
 -0.00254781  0.00454124]",-4.68244141758444,0.009256387570776544
AAL,1.0400571541556407,-0.0702023019862726,"[-7.56263174e-04  8.50319704e-04 -5.99200915e-05  3.13740390e-04
  2.48780427e-04  8.56223020e-04]","[ 0.01400077  0.00055017 -0.0097138   0.00599059 -0.00099207 -0.00342124
  0.00571211 -0.00018545  0.00065966  0.00270461  0.00021906  0.00366509
 -0.00394359  0.00183913 -0.00265209 -0.00236171  0.00502484 -0.00279619
  0.00505322  0.00780324]",-4.524959670542476,0.010835151403403069
AAP,1.37880294522188,-0.415690257651616,[ 0.00104828  0.00305924 -0.00068455  0.00165478 -0.00043211  0.00058402],"[ 0.01368131  0.00291997 -0.0130123   0.00485609  0.00091098 -0.00633116
  0.00846362  0.00189001 -0.00096397  0.00486674 -0.00152956  0.0023459
 -0.00221302 -0.0003426   0.00042311  0.00089667 -0.00163077  0.00060651
  0.0023589  -0.00297199]",-4.221326992470092,0.014679152450088506
AAPL,0.4834503964775876,0.49494824693036743,[-0.00016496  0.00064837 -0.00031844  0.00051652 -0.00019442  0.00019729],"[ 0.01436445 -0.00149387 -0.00723771  0.0072817  -0.00258479 -0.00164887
  0.00416799 -0.00081987 -0.00025663  0.00075385  0.00302159  0.00162213
 -0.00188566  0.00524934 -0.00507628 -0.0007531   0.00208642 -0.00220501
  0.00163806  0.00058178]",-4.605581957696626,0.009995883130578002
ABBV,-0.6935882444723531,1.6600719214274458,[ 0.00077688 -0.0006505   0.00021828  0.00015883 -0.00019511 -0.00027436],"[ 0.01595484 -0.00754821  0.00064065  0.01192887 -0.00980958  0.00430836
  0.00034469 -0.00781399  0.00342637  0.00023698  0.00153648  0.00093365
  0.00262801  0.00341242 -0.00346257  0.00452269 -0.00162959 -0.00022222
 -0.00200805  0.00118968]",-4.4935780707539745,0.01118056729319577
ABT,-0.6478534061075633,1.6051545879110773,"[ 1.45742708e-03  1.84101334e-04  2.07602866e-04  9.17100916e-04
 -3.55606163e-04  5.46051745e-05]","[ 0.01603974 -0.00709491 -0.00033699  0.0121152  -0.01016016  0.00279265
  0.00301589 -0.00829822  0.00393984  0.00373181 -0.00142313  0.001546
  0.00162911  0.00183266 -0.00410029  0.00273066  0.00159209 -0.00289157
  0.00107447  0.0052918 ]",-4.986784303191058,0.006827584671256638
ACN,1.0760398765653125,-0.10559616043461369,[ 0.00012714  0.00116467 -0.0004288   0.00082547 -0.00031001  0.00022441],"[ 0.01456521  0.00108182 -0.01135346  0.00734712 -0.00249583 -0.0062889
  0.01031917 -0.00050936 -0.00091591  0.00742194 -0.0022953   0.00042754
 -0.00039705  0.00164759 -0.00352998  0.00014888  0.00271449 -0.00209887
  0.000698    0.00353544]",-4.700144512245517,0.009093962817745601
ADBE,1.1419528965215833,-0.1718628890958329,"[ 5.08076176e-05  3.09761612e-04  1.00075031e-04  6.58061119e-04
 -3.18433618e-05  6.14770689e-04]","[ 0.01395598  0.00137326 -0.01114244  0.00576264 -0.00027675 -0.00512734
  0.00793219  0.00130692 -0.00159042  0.00481286 -0.0010671   0.00062769
 -0.00052341  0.00127302 -0.00250413  0.00100331  0.00077671 -0.00274264
  0.00521779  0.0018233 ]",-4.56191631721804,0.010442029517233956
ADI,0.47709027042399843,0.487583231320895,[-0.00098955  0.00191423 -0.00179861  0.00166466 -0.00127587 -0.00042481],"[ 0.01433721 -0.00079682 -0.00855518  0.00682861 -0.00160678 -0.00349808
  0.00724244  0.00051755 -0.00152548  0.00491167 -0.00119546  0.00083554
 -0.00229905  0.00125341 -0.00181587 -0.00279689  0.00630096 -0.00040541
  0.00135642  0.00665056]",-4.58620219985111,0.010191490211979857
ADM,0.4779681243787583,0.4888343425182839,[ 0.00286047 -0.00057979  0.00051658  0.00131566 -0.00074489 -0.0004306 ],"[ 0.01496707 -0.0049828  -0.00316012  0.00874352 -0.0046876   0.00032383
  0.00576362 -0.00263705  0.00037412  0.00726243 -0.00610463  0.00091168
 -0.00056823 -0.00437452  0.00238699 -0.00052975  0.00480362  0.00032811
  0.00410677  0.00770727]",-4.509137930231124,0.011007945703834662
