,mse,rmse,mae,mape
A,0.08684334582166998,0.2946919507242605,0.2453006767314873,0.1897458168015754
AAL,0.00783382506893667,0.08850889824721958,0.07789547271044296,0.07553773131063218
AAP,0.06662004765328602,0.25810859662802016,0.21164562194545827,0.34442306476899803
AAPL,0.08619088182249802,0.29358283638948995,0.25567584203914423,0.19482433072310731
ABBV,0.07501305141440183,0.27388510622960466,0.18198568225848552,0.13836890661812565
ABT,0.047367468948682115,0.2176406877141361,0.1717133709189737,0.1452362240700443
ACN,0.008997868392384815,0.09485709458118995,0.06712862910617443,0.06026408320993423
ADBE,0.09671851577290258,0.3109960060401139,0.25378677434343866,0.18783429820988579
ADI,0.02414535185237393,0.15538774678968073,0.13199616589276786,0.11546736123558758
ADM,0.0025421237888544586,0.050419478268368255,0.03714412291458893,0.04101400278359826
ADP,0.018597688153252485,0.13637334106507945,0.11651383138523361,0.10349289101234932
ADSK,0.13072723953854096,0.36156222083970685,0.3001199121340999,0.21656092928299112
AEE,0.024850596658132957,0.15764072017766526,0.1337697121144686,0.11628749531411761
AEP,0.02006542446538438,0.1416524777947226,0.11330765408021308,0.10244741909419561
AES,0.0033556382071474092,0.05792787072858288,0.05121021972760071,0.05830344510675042
AFL,0.014254806415978812,0.11939349402701477,0.08865632313762001,0.08017287098575482
AIG,0.0015551956408153648,0.039435968871264784,0.030866180064558726,0.030883803387751055
AIZ,0.020133653150923126,0.14189310466306362,0.12669283009066054,0.11531908004692465
AJG,0.024941591727984398,0.15792907182651456,0.13539501486914046,0.11646020876198518
AKAM,0.05192157713924585,0.22786306664144992,0.19397199882547803,0.26434378299039474
ALB,0.12870753893008777,0.3587583294225902,0.30074385694978445,0.21454373883010025
ALGN,0.49486362798624717,0.7034654419274959,0.5223129654794159,0.28744102924634257
ALK,0.018730864766647013,0.13686074954729355,0.1081175874258409,0.10379082960821626
ALL,0.05442651350822607,0.23329490673442932,0.20519780893259615,0.16525742671463417
ALLE,0.028434391142910704,0.16862500153568777,0.14251696425532995,0.12760981999548643
AMAT,0.1884410501480035,0.4340979729830623,0.36175680681792527,0.2475003578748779
AMCR,0.006054398817370496,0.07781001746157429,0.06729022131898997,0.0664368535482822
AMD,0.2119676257969241,0.46039941984859634,0.42559577124020087,0.29919485451389577
AME,0.08178811511456696,0.28598621490303855,0.24313637020881887,0.19319609867648793
AMGN,0.022271304217604315,0.1492357337155023,0.11557790348743899,0.11439553629275463
AMP,0.03618841360556937,0.19023252509907282,0.13906947151822696,0.10955247412990642
AMT,0.036997814415524126,0.19234815937649138,0.15955221441375994,0.13798678477499973
AMZN,0.027363317492010632,0.16541861289471216,0.13240665707020338,0.1138217256061632
ANET,0.4549589186899974,0.6745064259812484,0.5555161210462966,0.32005298665023363
ANSS,0.0865564876777355,0.29420483965722843,0.23441207757605598,0.18278274350418106
AON,0.03347433421156581,0.18295992515183704,0.1419031596869795,0.1159214017566615
AOS,0.01731494255210624,0.13158625517927866,0.10070727838838453,0.0894325711732886
APA,0.0758515019253977,0.27541151378509526,0.24537882139255457,0.3395653651440469
APD,0.007761620251137605,0.08810005817896834,0.06358871565686237,0.05985902396631979
APH,0.022705173564142495,0.1506823598306799,0.1113792850718481,0.09356118221518273
APTV,0.08619191889581276,0.2935846026204589,0.24247631888214738,0.18726672149303014
ARE,0.012049068083075147,0.10976824715315056,0.08883167848149823,0.0818989013665862
ATO,0.021205272960242032,0.14562030407962356,0.12018619178965158,0.10766805839554282
AVB,0.010156251899523915,0.10077823127800922,0.08932377373732014,0.08516717851603811
AVGO,0.11789869528139758,0.34336379436597214,0.30370675561405264,0.22143273184442067
AVY,0.05833421474780993,0.24152477046425264,0.18603432865853337,0.15299399560389404
AWK,0.012761859328098174,0.1129683996881348,0.08499676377665588,0.07828597107074432
AXP,0.03456941312428702,0.18592851616760409,0.15614449964542315,0.131153620236235
AZO,0.041978872893197475,0.20488746397278063,0.17062237647761444,0.23427504470854954
BA,0.21704666228753844,0.46588267008715667,0.38085485711172024,0.25228985322044634
BAC,0.0621227891275471,0.2492444365026973,0.22926508677544594,0.19088783253595323
BAX,0.04701361969500383,0.216826243095719,0.18132504229970062,0.1494558786352285
BBY,0.04664792856800712,0.2159813153215044,0.17550732092072682,0.1453427799442375
BDX,0.017950829772815393,0.13398070671859957,0.10502951791153053,0.09428243280850107
BEN,0.018266347127389348,0.13515305075132172,0.12232495248180902,0.11009039390693173
BIIB,0.014656082771749315,0.1210623094598369,0.10448704779738202,0.12229435837054928
BIO,0.07022804572145876,0.26500574658195386,0.2400923228317234,0.18868405562946358
BK,0.009782788714258998,0.09890798104429692,0.074532470801069,0.06809631860547696
BKNG,0.031993299202261724,0.1788667079203442,0.15689630391380271,0.1331310981919824
BKR,0.01774991663448285,0.13322881307916412,0.10678799030590572,0.12624258258702536
BLK,0.03307921694128093,0.18187692800704802,0.14334458436947028,0.12133022050477393
BMY,0.013240248061625597,0.11506627682177605,0.07821720306113066,0.07491250110732631
BR,0.025038837975262376,0.15823665180754545,0.11295077484054408,0.09989382632628668
BSX,0.03346972055690298,0.1829473163424459,0.15618156971255986,0.14071593394370457
BWA,0.07365601204204954,0.27139641125491976,0.23686368347906683,0.18389495948490736
BXP,0.0033006599829040425,0.05745137059204108,0.04557486716361179,0.050894665922039256
C,0.04812473211881593,0.2193734991260702,0.18746698312518176,0.15753201936737193
CAG,0.004931235793409578,0.07022275837226545,0.05946022320111353,0.060712470379567125
CAH,0.0030674231115835615,0.05538432189332611,0.04708002652887662,0.05080627406331873
CAT,0.05671049853908717,0.23813966183541785,0.17361220304749767,0.13687398930312392
CB,0.01732556161875532,0.13162659920682948,0.11680474296919569,0.10230379595204671
CBOE,0.17020652201288664,0.41256093127305044,0.3477125690902235,0.24712116183639257
CBRE,0.06315149645075331,0.2512996149037107,0.2194580642354413,0.17943681913274212
CCI,0.01978746761860614,0.14066793386769474,0.10797396007119499,0.10068078682822434
CCL,0.050833221380952545,0.22546223936826437,0.19584873468566205,0.157557558093338
CDNS,0.11087032553889553,0.33297195908799215,0.2729467344738049,0.20003216829322187
CDW,0.05400073943313365,0.23238059177378315,0.2063597771688458,0.16990745187183573
CE,0.05811641071635991,0.24107345502223987,0.20773460215953082,0.16836437125949139
CF,0.040436555323225216,0.20108842662675844,0.15336803416867248,0.13372984246565206
CFG,0.03315215613582559,0.18207733559074724,0.1671405734727504,0.14798879516200783
CHD,0.0046627777494982585,0.06828453521477801,0.05968772376741146,0.060669760354174915
CHRW,0.004976131359840354,0.07054169943969563,0.061559833748482326,0.061264868768902976
CHTR,0.0684154461288706,0.26156346482043435,0.23516728578318558,0.18652253029483645
CI,0.06669932460407867,0.25826212382786345,0.21013225954167358,0.16640913979606833
CINF,0.002827745361795432,0.053176548983508064,0.04549686577488148,0.04727712006779205
CL,0.0036090965375398867,0.06007575665391063,0.05025164565227583,0.052507428806328256
CLX,0.011675352157935736,0.10805254350516574,0.0957604416419959,0.09324257174348453
CMA,0.039902366827307426,0.19975576794502686,0.18582102486387708,0.15858099744053328
CMCSA,0.017349492609190227,0.13171747267993805,0.1199316798867979,0.10640228129178261
CME,0.03282294417882199,0.18117103570610285,0.15763304193665847,0.13714213247981422
CMG,0.018701372172430963,0.13675296037903883,0.1096080817867557,0.14106903677046598
CMI,0.027501205937879133,0.16583487551742285,0.14150954418520545,0.12181909240621797
CMS,0.01710214941867212,0.130775186555677,0.10873803973447868,0.09912632884285646
CNC,0.08195093419304138,0.2862707358306842,0.220786516084599,0.18242470129331287
CNP,0.04397297536419172,0.20969734229167455,0.1907610736052189,0.15788244667917026
COF,0.008901096949497457,0.09434562496214362,0.0773430301211164,0.07391272514159722
COO,0.0635602049688544,0.2521114931312224,0.2073517515979509,0.16910144361893198
COP,0.008027714257098474,0.08959751256088795,0.07348450793170999,0.06837397915795446
COST,0.015883645533322513,0.1260303357661262,0.11001812878606948,0.10469719068730753
