,priors,lt_0 - intercept,"fs_0 - beta(p=7,n=3)","fs_1 - beta(p=365.25,n=10)",sigma_log__,sigma,prior_lt_0 - slope,prior_lt_0 - intercept,prior_lt_0 - delta,"prior_fs_0 - beta(p=7,n=3)","prior_fs_1 - beta(p=365.25,n=10)",prior_sigma,lt_0 - slope
A,"[0.0020479 0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.       ]",0.16526884735547098,[ 0.00075291 -0.00186775  0.00036005  0.00042183 -0.00049312 -0.00042878],"[ 0.0076112  -0.00275901 -0.00123914  0.0051624  -0.00301529  0.00258025
 -0.00022393  0.00063265 -0.00011236 -0.00184622  0.0010801   0.00179137
 -0.00093544  0.00370429  0.00248061  0.0003683   0.0002227  -0.00253786
 -0.00049371  0.00207548]",-5.220016720168679,0.005407238715741706,0.8130298188424259,-0.039708829947394546,"[-0.1420656  -0.12123835 -0.08274219 -0.04128103  0.00276929  0.04687353
  0.09234809  0.13319494  0.16890931  0.19761185  0.20273239  0.17170077
  0.06713545 -0.09460129 -0.2864059  -0.36264235 -0.28298581 -0.22164604
 -0.21003748 -0.12032289  0.44000141  1.16921159  1.82965995  1.45557595
  0.00628714]",[ 0.00028093  0.00015136  0.00029117 -0.0013518  -0.00011322 -0.00090784],"[ 0.01098432 -0.0028286  -0.00256982  0.00531363 -0.00213222  0.00395508
 -0.00051007 -0.00023066  0.0002376  -0.0015435   0.00136176  0.00327415
 -0.00121777  0.00269255  0.00047991  0.00038174  0.00056207  0.00096205
  0.00172468 -0.00182136]",0.08399746617018998,0.8130298188424259
AAL,"[0.00196712 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.1609402136446981,"[ 3.43538613e-04 -1.13998023e-03  5.18541345e-04 -1.16780828e-04
  1.04760804e-04  8.07415360e-05]","[ 0.00727837 -0.00170764  0.00066976  0.00569847 -0.00243607 -0.00020632
 -0.00371005  0.00053256  0.00079436  0.00138693  0.00291319  0.00018057
 -0.002595    0.00289697  0.00122962  0.00111107 -0.00031738  0.00199199
  0.00978102  0.00332631]",-5.22225388643692,0.005395155344976947,0.8130282112571132,-0.03970882927924226,"[-0.14206566 -0.12123825 -0.08274225 -0.04128098  0.00276921  0.0468735
  0.09234807  0.13319496  0.16890922  0.19761183  0.2027324   0.17170071
  0.06713523 -0.09460115 -0.28640608 -0.36264234 -0.28298557 -0.22164597
 -0.21003737 -0.12032267  0.44000141  1.16921087  1.82965908  1.45557633
  0.00628725]",[ 0.00028091  0.00015135  0.00029118 -0.0013518  -0.00011321 -0.00090783],"[ 0.01098433 -0.00282859 -0.00256982  0.00531363 -0.00213222  0.0039551
 -0.00051007 -0.00023065  0.00023759 -0.0015435   0.00136174  0.00327414
 -0.00121778  0.00269255  0.00047992  0.00038174  0.00056206  0.00096204
  0.00172468 -0.00182137]",0.08399746715651936,0.8130282112571132
AAP,"[0.0020663 0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.       ]",0.1659696886092479,"[-2.45492839e-04 -1.40737807e-03  4.83330213e-04 -5.88063840e-05
  1.11599558e-04  2.89617392e-04]","[ 0.00668586 -0.00109364  0.00170071  0.00709385 -0.00012786 -0.00156413
 -0.00510669 -0.00203962 -0.00132752  0.00206508  0.00215781  0.00076886
 -0.00325274  0.00541527  0.0054431   0.00224662  0.00044882 -0.00283542
  0.00597802  0.00417991]",-5.178373822630961,0.005637165996602107,0.813030185063307,-0.03970883009960501,"[-0.14206559 -0.12123837 -0.08274218 -0.04128104  0.00276931  0.04687354
  0.09234809  0.13319494  0.16890934  0.19761185  0.20273239  0.17170079
  0.0671355  -0.09460132 -0.28640586 -0.36264235 -0.28298586 -0.22164605
 -0.2100375  -0.12032294  0.44000141  1.16921176  1.82966015  1.45557586
  0.00628712]",[ 0.00028093  0.00015136  0.00029117 -0.0013518  -0.00011322 -0.00090784],"[ 0.01098432 -0.0028286  -0.00256982  0.00531363 -0.00213222  0.00395508
 -0.00051007 -0.00023066  0.0002376  -0.0015435   0.00136176  0.00327416
 -0.00121777  0.00269255  0.00047991  0.00038174  0.00056207  0.00096205
  0.00172467 -0.00182136]",0.0839974659454962,0.813030185063307
AAPL,"[0.00206937 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.16568621179418183,[-0.00064892 -0.00265268  0.00088747 -0.00056105  0.00033527  0.00031351],"[ 0.00666673 -0.00283279 -0.00081058  0.00733063  0.0003024   0.00117749
 -0.00259735 -0.00259304 -0.0021706   0.00039534  0.00165831  0.00201118
 -0.0013379   0.00494691  0.00417887  0.0001942  -0.0004708  -0.00135076
  0.006493    0.00048284]",-5.176988044211731,0.0056449832748425455,0.8130302461495194,-0.03970883012499396,"[-0.14206558 -0.12123838 -0.08274217 -0.04128104  0.00276931  0.04687354
  0.09234809  0.13319494  0.16890934  0.19761185  0.20273239  0.17170079
  0.0671355  -0.09460133 -0.28640586 -0.36264235 -0.28298587 -0.22164606
 -0.2100375  -0.12032294  0.44000141  1.16921179  1.82966018  1.45557584
  0.00628711]",[ 0.00028093  0.00015136  0.00029117 -0.0013518  -0.00011322 -0.00090784],"[ 0.01098432 -0.0028286  -0.00256982  0.00531363 -0.00213222  0.00395508
 -0.00051007 -0.00023066  0.0002376  -0.0015435   0.00136176  0.00327416
 -0.00121777  0.00269255  0.00047991  0.00038174  0.00056207  0.00096205
  0.00172467 -0.00182136]",0.08399746590801693,0.8130302461495194
ABBV,"[0.00200351 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.16775629449526502,"[ 2.68881377e-04 -3.75024653e-04  1.43558871e-04 -1.90942623e-04
  2.05965204e-05 -1.91651575e-04]","[ 6.98214128e-03 -5.40803199e-03 -4.41608194e-03  6.59694077e-03
 -5.58162441e-04  4.77322525e-03 -1.70530080e-05 -2.31857135e-03
 -2.90841257e-03 -1.64910727e-04  2.91405844e-03  3.00901042e-03
 -1.19732636e-03  2.86147701e-03  2.51454935e-03  1.38681524e-03
  7.70928890e-04 -1.11961605e-03  5.64733502e-03  4.12232236e-03]",-5.576558129091074,0.0037855725737647697,0.8130289354308833,-0.03970882958022682,"[-0.14206563 -0.12123829 -0.08274222 -0.041281    0.00276925  0.04687351
  0.09234808  0.13319495  0.16890926  0.19761184  0.2027324   0.17170074
  0.06713533 -0.09460121 -0.286406   -0.36264235 -0.28298568 -0.221646
 -0.21003742 -0.12032277  0.44000141  1.1692112   1.82965947  1.45557616
  0.0062872 ]",[ 0.00028092  0.00015136  0.00029117 -0.0013518  -0.00011321 -0.00090784],"[ 0.01098433 -0.0028286  -0.00256982  0.00531363 -0.00213222  0.00395509
 -0.00051007 -0.00023065  0.0002376  -0.0015435   0.00136175  0.00327415
 -0.00121778  0.00269255  0.00047992  0.00038174  0.00056207  0.00096205
  0.00172468 -0.00182137]",0.08399746671220461,0.8130289354308833
ABT,"[0.00201997 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.1637688851305244,"[ 1.20842456e-03 -1.16898178e-03  7.13668230e-04  1.19572782e-04
  4.01893322e-06 -9.51707971e-06]","[ 0.00650247 -0.00472929 -0.00302896  0.00757506  0.00058568  0.00249899
 -0.00314235 -0.00267193 -0.00173593  0.00292916  0.00459411  0.00106129
 -0.00254649  0.00286994  0.00394644  0.0009232  -0.00121488 -0.00256108
  0.00603869  0.00436496]",-5.249751569689587,0.005248822203751773,0.8130292629771436,-0.039708829716363164,"[-0.14206562 -0.12123831 -0.08274221 -0.04128101  0.00276926  0.04687352
  0.09234808  0.13319495  0.16890928  0.19761184  0.2027324   0.17170075
  0.06713537 -0.09460124 -0.28640596 -0.36264235 -0.28298572 -0.22164602
 -0.21003744 -0.12032281  0.44000141  1.16921134  1.82965965  1.45557608
  0.00628718]",[ 0.00028092  0.00015136  0.00029117 -0.0013518  -0.00011321 -0.00090784],"[ 0.01098433 -0.0028286  -0.00256982  0.00531363 -0.00213222  0.00395509
 -0.00051007 -0.00023065  0.0002376  -0.0015435   0.00136175  0.00327415
 -0.00121777  0.00269255  0.00047992  0.00038174  0.00056207  0.00096205
  0.00172468 -0.00182137]",0.08399746651123953,0.8130292629771436
ACN,"[0.00188862 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.16646508696321496,"[ 6.30595295e-04 -3.42748261e-04  4.02869204e-04  2.99123320e-04
  2.56183014e-05  2.67888284e-04]","[ 7.12579341e-03 -5.44383197e-03 -4.47614833e-03  6.13583991e-03
 -1.85886633e-03  4.82983068e-03 -7.37913113e-05  1.95487151e-04
  8.11830820e-04  1.88644158e-04  3.55233627e-03  1.80466122e-04
 -2.07466396e-03  2.13650084e-03  2.42073248e-03  3.41446299e-04
  3.33874502e-04 -2.81479134e-03  1.52102147e-03 -2.90148419e-03]",-5.921717275319499,0.002680592906070562,0.8130266491022304,-0.03970882862997199,"[-0.14206572 -0.12123815 -0.08274231 -0.04128094  0.00276912  0.04687346
  0.09234805  0.13319497  0.16890913  0.19761182  0.20273241  0.17170065
  0.06713501 -0.09460102 -0.28640625 -0.36264233 -0.28298534 -0.22164591
 -0.21003727 -0.12032246  0.44000142  1.16921017  1.82965823  1.45557671
  0.00628736]",[ 0.00028089  0.00015135  0.00029118 -0.0013518  -0.0001132  -0.00090783],"[ 0.01098434 -0.00282859 -0.00256982  0.00531363 -0.00213222  0.00395511
 -0.00051007 -0.00023065  0.00023759 -0.0015435   0.00136172  0.00327413
 -0.00121779  0.00269255  0.00047993  0.00038174  0.00056206  0.00096204
  0.00172469 -0.00182138]",0.08399746811497502,0.8130266491022304
ADBE,"[0.00214372 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.17032000384539167,"[ 9.15010907e-04 -1.30694252e-03  8.08268266e-04 -8.04085954e-05
  1.57318920e-04  1.11705409e-04]","[ 0.0066112  -0.00132852  0.00115525  0.00751033  0.00060194 -0.0006228
 -0.00395516 -0.00288233 -0.00230279  0.00148675  0.00299162  0.0018641
 -0.00165961  0.0029012   0.00214405  0.00041975 -0.00068792 -0.00185594
  0.00036606  0.00160541]",-5.196060017257205,0.00553834246376234,0.8130317258383731,-0.0397088307399893,"[-0.14206553 -0.12123847 -0.08274211 -0.04128108  0.00276939  0.04687357
  0.09234811  0.13319493  0.16890943  0.19761186  0.20273239  0.17170085
  0.06713571 -0.09460145 -0.28640569 -0.36264236 -0.28298608 -0.22164612
 -0.2100376  -0.12032314  0.4400014   1.16921245  1.82966098  1.45557549
  0.00628701]",[ 0.00028095  0.00015136  0.00029117 -0.0013518  -0.00011322 -0.00090785],"[ 0.01098432 -0.0028286  -0.00256982  0.00531363 -0.00213221  0.00395507
 -0.00051007 -0.00023066  0.00023761 -0.0015435   0.00136178  0.00327417
 -0.00121775  0.00269254  0.0004799   0.00038174  0.00056207  0.00096206
  0.00172467 -0.00182135]",0.08399746500015806,0.8130317258383731
ADI,"[0.00201322 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.16746252385763513,"[-2.39921366e-04 -1.35982182e-03  2.47874271e-04 -1.99590489e-04
 -5.56340320e-05 -1.66020547e-04]","[ 0.00753187 -0.00528969 -0.00451294  0.00524777 -0.00318655  0.00540735
  0.00126444  0.00141283  0.00146855 -0.00165915  0.00210754  0.00026724
 -0.0017785   0.00272209  0.00189951  0.00028069  0.00017955 -0.00190339
  0.00102326 -0.00088066]",-5.5144665489320275,0.004028075546629045,0.8130291286688227,-0.039708829660541296,"[-0.14206563 -0.12123831 -0.08274222 -0.04128101  0.00276926  0.04687351
  0.09234808  0.13319495  0.16890927  0.19761184  0.2027324   0.17170075
  0.06713535 -0.09460123 -0.28640598 -0.36264235 -0.28298571 -0.22164601
 -0.21003743 -0.12032279  0.44000141  1.16921128  1.82965958  1.45557611
  0.00628719]",[ 0.00028092  0.00015136  0.00029117 -0.0013518  -0.00011321 -0.00090784],"[ 0.01098433 -0.0028286  -0.00256982  0.00531363 -0.00213222  0.00395509
 -0.00051007 -0.00023065  0.0002376  -0.0015435   0.00136175  0.00327415
 -0.00121777  0.00269255  0.00047992  0.00038174  0.00056207  0.00096205
  0.00172468 -0.00182137]",0.08399746659364402,0.8130291286688227
ADM,"[0.00160228 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.16030825702715543,"[-8.59257580e-06 -1.24066293e-04  1.07391677e-05  3.47775965e-05
 -3.54115507e-05 -1.51516706e-05]","[ 0.0072242  -0.00485833 -0.00364336  0.00609462 -0.0012271   0.00387301
 -0.0010793  -0.00187067 -0.00287743  0.00098718  0.00401709  0.00301318
 -0.0019086   0.00189873  0.00209852  0.00328644  0.00366225 -0.00217428
  0.00210422  0.00257911]",-6.5630694390694115,0.0014115463984632438,0.8130209504442185,-0.03970882626146855,"[-0.14206594 -0.12123778 -0.08274254 -0.04128077  0.00276882  0.04687334
  0.09234799  0.13319502  0.16890879  0.19761177  0.20273243  0.17170042
  0.06713423 -0.09460053 -0.28640688 -0.3626423  -0.28298451 -0.22164568
 -0.2100369  -0.12032168  0.44000144  1.1692076   1.82965514  1.45557808
  0.00628776]",[ 0.00028083  0.00015134  0.00029119 -0.0013518  -0.00011318 -0.0009078 ],"[ 0.01098436 -0.00282858 -0.00256982  0.00531364 -0.00213223  0.00395515
 -0.00051008 -0.00023063  0.00023756 -0.00154349  0.00136166  0.00327408
 -0.00121784  0.00269256  0.00047997  0.00038173  0.00056205  0.00096201
  0.00172471 -0.00182141]",0.08399747161137038,0.8130209504442185
