,seasonality_loss_factor,trend_loss_factor,tune_trend,tune_weekly
0,-1,-1,parametric,parametric
1,-1,0,parametric,parametric
2,-1,1,parametric,parametric
3,0,-1,parametric,parametric
4,0,0,parametric,parametric
5,0,1,parametric,parametric
6,1,-1,parametric,parametric
7,1,0,parametric,parametric
8,1,1,parametric,parametric
9,-1,-1,parametric,
10,-1,0,parametric,
11,-1,1,parametric,
12,0,-1,parametric,
13,0,0,parametric,
14,0,1,parametric,
15,1,-1,parametric,
16,1,0,parametric,
17,1,1,parametric,
18,-1,0,,parametric
19,0,0,,parametric
20,1,0,,parametric
21,-1,0,,
22,0,0,,
23,1,0,,
