,mse,rmse,mae,mape
TSN,0.058139105701344757,0.2411205211120463,0.19975854932387643,0.17328663979723677
ORLY,0.06735995629647425,0.2595379669652867,0.2202092278967007,0.1866006175836715
SYY,0.0074680812583415804,0.08641806094990549,0.06928867412015768,0.07320405846003611
PNR,1.5732043692082174,1.2542744393505822,1.0813689145477934,1.2229412364964838
SJM,0.016144980951389578,0.12706290155426792,0.10422756832165722,0.11493679956524434
HON,0.4500880278584063,0.6708860021333031,0.5833426361920019,0.5620961496181931
XRAY,0.026011986928271297,0.16128232056946384,0.1498625122882383,0.15540052657895922
UPS,0.01181594842143158,0.10870118868453822,0.1005285867154409,0.10570495490983255
CHRW,0.012483683882062894,0.1117304071507076,0.0926614889916332,0.08691356316981745
WU,0.04511697300120034,0.2124075634274833,0.19554562968974754,0.2250953794811928
LVS,0.06604799704624895,0.2569980487207032,0.20395949953714304,0.2497922694529223
TSLA,1.7023552655781609,1.3047433715402277,1.1769864406140642,0.9401423620131575
SNPS,0.5791590403270506,0.7610249932341582,0.6722663511805304,0.6803267871910774
PFG,0.13176049690410416,0.362988287557745,0.33504279771808615,0.3397912605575184
DVN,0.08046154834078223,0.2836574489428794,0.20283755891720295,0.21152647109995573
ANSS,0.007351084189056123,0.0857384638832311,0.07384558611281598,0.08308656554317119
KMX,1.469851724907133,1.2123744161384853,1.0305468317746624,1.0477246106829228
GOOG,1.2052748691816104,1.0978501123475874,0.9644446326733889,0.9671301676804779
CE,0.1600195862881977,0.4000244821110299,0.34640482789501525,0.33424279312571886
MSI,0.2806347301739376,0.5297496863367996,0.46491218199913087,0.4908482107753014
NTAP,0.07160605620505218,0.267593079516366,0.24387367414437133,0.2679607069666234
YUM,0.2706324333726459,0.5202234456199046,0.44868187377578433,0.47551367234967773
ECL,0.02296901141015101,0.15155530808965753,0.12975039086486106,0.12796377413128432
GD,0.1992502467936093,0.44637455885568716,0.38260236345457643,0.29191436479569327
AAPL,0.5851322550045552,0.764939379954095,0.6308729454869293,0.5134744315962751
ESS,0.6677803065856357,0.8171782587573141,0.728885569588618,0.6358177455000854
POOL,0.08289957222187086,0.28792285810937424,0.2523280249097207,0.25519829825037693
IP,0.4248381881271327,0.6517961246640952,0.5836487741509637,0.5770606944769507
CRM,0.14857677211240175,0.38545657616961443,0.3306410431772253,0.3341650542068014
ALGN,0.3238005120727881,0.5690347195670824,0.48369956399789493,0.5278955879197273
WAT,0.20873628332611419,0.4568766609557925,0.38235405614680323,0.3850175545315675
LYV,0.13371575624898405,0.3656716508686229,0.3217566481353329,0.26667488878018386
CHTR,0.09826646431513958,0.3134748224581036,0.28085954109798456,0.26241431736879284
PEG,0.026691118717030234,0.16337416783883013,0.14667840848698221,0.129334388027369
MDLZ,0.0021765911300359693,0.04665395085130486,0.039399468479567296,0.03892004038448385
ADSK,0.45833157842650146,0.6770019043004986,0.5908036340431361,0.5391178116182989
OXY,0.3990913508151998,0.6317367733599175,0.5389511589659481,0.578007480832842
AXP,0.004478625271709151,0.06692253186864011,0.054017349204831984,0.05384652922771617
MAR,0.11086158162626021,0.33295882872550503,0.2941754473773481,0.21809318722577084
AJG,0.14246316788377422,0.37744293328101164,0.3307383494327503,0.3433108185794765
JPM,0.6724334767833339,0.8200204124186994,0.7200084954961691,0.7161845264634287
BLK,0.5016732674900813,0.7082889717411117,0.632924713923457,0.6206939738865991
NVDA,0.1120639426692963,0.3347595296168524,0.2724760282926672,0.23271767509747537
DFS,0.09920239115146844,0.31496411089435006,0.2747674035151851,0.24674913079394775
VLO,0.24493949513315108,0.4949136239114368,0.40309646400693183,0.4019726248979243
