,mse,rmse,mae,mape
LVS,0.04533702813116185,0.21292493543773083,0.1659467149480724,0.20391399870662957
PAYX,0.8165975444304788,0.9036578691244153,0.8114085810918379,0.8541016598383193
KMI,1.2503297383272196,1.1181814424891963,0.9980861194946681,0.9803677992250162
WAT,0.23048499748444423,0.4800885308820075,0.4025431019130635,0.40526088684404865
UNP,0.039635089939052355,0.1990856346878206,0.1687591347378764,0.13375630594909318
LRCX,0.16467706044948102,0.4058042144304086,0.37433950184671066,0.3030890318823877
EW,0.172252628978799,0.41503328659132754,0.3732680816309997,0.3084937747973733
ROL,0.33385202929149654,0.5777992984518903,0.5115709583992419,0.5110616986134526
MSFT,0.13136504654386924,0.36244316319096054,0.30784715307284444,0.26661248277200733
CVX,0.1726580073704761,0.4155213681274118,0.3630447986045305,0.38289539563174385
AJG,0.06429155083530987,0.25355778598834205,0.2231478766200902,0.23178755666193507
DOV,0.587670153207914,0.7665964735164871,0.6568553418854013,0.6520364136568462
CDW,0.03341408611107459,0.18279520264786653,0.16181607497485068,0.12186103221182665
DLTR,0.01828898881439453,0.13523678794763846,0.12319713817447152,0.13495511984696032
BKR,0.04085773094784795,0.2021329536415276,0.14369768508340888,0.14149692437890726
PRGO,0.03078330981991853,0.1754517307407326,0.15166335567684666,0.16035171807065346
GD,0.1869649289423294,0.4323944136345073,0.3705841481933607,0.28277662492630157
TXN,0.016238706723898877,0.12743118426781913,0.10762670093844061,0.0994065531711495
ARE,0.00285163814130444,0.05340073165514158,0.04871252346451818,0.0427652393946059
A,0.5261278499465619,0.7253467101645681,0.6339569076127203,0.6433790589005055
BDX,0.2089641706190049,0.45712598987478814,0.40130821366736646,0.36465765478246787
DVN,0.04363583569643588,0.20889192348302,0.13637456451942753,0.14472846067116837
ORLY,0.08669700849612538,0.2944435574029858,0.25029403204439893,0.2117863646649413
FFIV,0.9190571363220098,0.9586746770004984,0.8073270112041523,0.6259492119560229
MSCI,0.0018960834873328314,0.043544040778651115,0.03578724991156324,0.0350033027632475
UNH,0.4858884153959739,0.6970569671095569,0.6188549681145107,0.5395140894652897
SCHW,0.2534834998495688,0.5034714488921579,0.44073370671431483,0.4114268671350175
HBAN,0.09977900648844355,0.31587815133124286,0.2825712130408402,0.2810866938539243
PNC,0.10475363082704599,0.3236566557743653,0.2690111740758649,0.2445456804006732
GOOG,0.021045002252749655,0.14506895688861093,0.11778906224602695,0.12030313489756694
MET,1.1396309989964315,1.0675350106654262,0.9400346367741128,0.9522534096920844
RJF,0.4513366971568485,0.6718159697095988,0.5914631458910795,0.5810396343748417
IT,0.7073462467708725,0.8410387902890524,0.7493440674017136,0.709014976093411
AAL,0.05931534256004254,0.24354741337169347,0.21738756864099365,0.1457768676637357
HCA,0.3815967816748486,0.6177352035256276,0.5238190035090234,0.39559347285719537
SYY,0.0036256109437871643,0.06021304629220452,0.050329691444041084,0.053419491545230846
CTSH,0.7854489300631621,0.8862555670139184,0.7727544760295334,0.8008835315687706
J,0.8858084367924619,0.941173967336784,0.8042850869724746,1.0217259795804672
AAP,0.036680806149906875,0.19152233851409312,0.1654983721928208,0.13402483736505913
LH,0.021477974860306573,0.14655365863842013,0.12724178542613368,0.13248411746289157
HRL,0.08519367519439794,0.2918795559719761,0.25296922079142764,0.23089454666616963
IPG,0.20568677801257232,0.4535270422064955,0.3989801411702999,0.374727068113227
APA,0.08345098253295444,0.2888788371150688,0.22118765394065829,0.2737483827626481
AMT,0.0015629401878300801,0.039534038344571885,0.030416037423181736,0.02651180643234535
CTAS,0.7751804067957191,0.8804433012952732,0.7829060104910158,0.7018183246163485
ABBV,0.058717795619551816,0.24231755119997359,0.18881540523953375,0.17106297459357658
RMD,0.4409367324691219,0.66403067133162,0.5864299835895449,0.660573745237117
LNC,0.16879996380572698,0.4108527276357393,0.37094886386619813,0.36809820120756104
PG,0.012420800053011286,0.11144864311875352,0.08152643612034698,0.08106054810030719
JCI,1.1542757385982694,1.0743722532708435,0.9277201361613281,0.8847627002314902
