,mse,rmse,mae,mape
CDNS,0.019441760474210153,0.139433713549522,0.12194408613532558,0.1032028355864383
XRAY,0.05859519505451988,0.24206444401134147,0.22518779744620804,0.23083898756543786
V,0.008085991800544656,0.08992214299350663,0.07351220614515894,0.07541479161777655
WHR,0.02235256947927769,0.14950775725452406,0.13130186900084434,0.13940885421393692
EL,0.005289475528249649,0.07272878060472106,0.06305416950171541,0.0655376915579436
SBUX,0.17466995164623766,0.4179353438586376,0.3478807601400229,0.3653320279121667
INCY,0.1693656168080016,0.4115405409045403,0.36962461624518844,0.3534796219952289
PSA,0.2397075962575444,0.4895994242822845,0.43742858469337154,0.42037314860271974
HUM,0.011988283049441467,0.1094910181222253,0.09297969804012472,0.08009434688849193
UDR,0.008553872160018688,0.09248714591779059,0.07673547068141609,0.06604637501217395
HON,0.01351616244416411,0.1162590316670671,0.09627539550849577,0.09190954174855705
AON,0.03076114468052974,0.17538855344785115,0.15092313757050924,0.1442804005209304
TGT,0.010264396267534994,0.1013133568071604,0.06873383980989368,0.0691546725685974
VNO,0.013867997439790215,0.11776246192989605,0.10468079970101267,0.08766364099958286
ALL,0.0595040803047948,0.24393458201902166,0.2014724136836469,0.17403627804726227
MSFT,0.0462478739858194,0.2150531887366923,0.2035366856580492,0.17922388342014337
VRSK,0.0027757232881723357,0.0526851334645015,0.04099082665786199,0.04514311953109042
A,0.009211396232437677,0.09597601904870652,0.07993959249716748,0.08072890289330927
COO,0.11076143438232011,0.3328084049153809,0.2815412201518616,0.24602031867464794
BKNG,0.02609413408340509,0.16153678863777468,0.12891652305155266,0.13179431646326023
EXPD,0.026300683754114207,0.16217485549281124,0.14630948366010335,0.1604852803761774
CBOE,0.024541792255971345,0.15665820200669783,0.11924564109362726,0.10853807964664852
VRSN,0.03418446066790797,0.1848904017733424,0.1734152565109458,0.1928747220941787
GE,0.12505655174326258,0.3536333577920253,0.31848659205781665,0.3372623119065306
EQIX,0.0654826035548621,0.2558956888164826,0.22666388991319367,0.19042413039926717
C,0.011047019306084949,0.10510480153677543,0.07939620067412174,0.08100984652995918
LEN,0.06556644192595275,0.2560594499836957,0.21687825391613444,0.21043379776239138
WELL,0.46123521427355624,0.6791429998708345,0.5920006236068199,0.5598171146111658
WAT,0.10140228457310435,0.3184372537457016,0.2909567637472757,0.2887762805958767
AMCR,0.0430148774278052,0.20740028309480488,0.1687882009375848,0.17220919774187599
FIS,0.10336553346026453,0.32150510642953173,0.28305683249892405,0.2653286964576651
NVR,0.010561901780390974,0.10277111355040858,0.090518703690034,0.08057748568894695
WM,0.8436650124130098,0.9185123909959025,0.7853901436213162,0.7544884494912956
XYL,0.19740723222317114,0.4443053367034557,0.37777692949691855,0.3528127614971156
STE,0.039007539491731906,0.19750326450905034,0.15955896530399188,0.1327880439168339
LYV,0.08028178363567408,0.2833404024061413,0.2583967912564074,0.2150801187224373
LOW,0.024837556120840834,0.1575993531739291,0.09896592255051898,0.08753347655459702
BR,0.014164883416718208,0.11901631575846316,0.11112214905571184,0.10778100228427802
EFX,0.006230359861735782,0.07893262862552965,0.06810380884303281,0.06347382893753897
