,mse,rmse,mae,mape
CDNS,0.016933261358332626,0.13012786541833624,0.11351111470345814,0.09608527479313227
XRAY,0.05745064573845434,0.2396886433239054,0.22293275485390812,0.22855635074344588
V,0.0073309514641575375,0.08562097560853613,0.07101928533863798,0.07242023481886842
WHR,0.025590312831426727,0.15996972473385934,0.14223156329342176,0.15039507663778104
EL,0.003188139923920626,0.05646361593026634,0.04735559084381667,0.049536628211144795
SBUX,0.013253318812997576,0.11512305943205982,0.0903015957383739,0.09419585236136625
INCY,0.1729414664689822,0.41586231672151086,0.37344553611001563,0.35706501270578633
PSA,0.21762872066772682,0.466506935283632,0.4168362093544592,0.4005606221554444
HUM,0.009228731564051513,0.09606628734395596,0.07974135179554195,0.06921414011874281
UDR,0.02458432253345919,0.15679388551043433,0.138099152108572,0.11747045420748822
HON,0.014274849534294542,0.11947740177244624,0.09921475065577572,0.0947124729613584
AON,0.035276437568764155,0.18782022672961546,0.16253553569473306,0.15531180845609266
TGT,0.011881980881352212,0.10900449936288048,0.07237322370385195,0.07223464175917113
VNO,0.008035450594328534,0.08964067488773461,0.07792253159608575,0.06531563026956545
ALL,0.006011782221379983,0.07753568353590483,0.056155550768952865,0.04832279526748388
MSFT,0.017451633634510532,0.13210463138932915,0.1265581179285613,0.11276468470084715
VRSK,0.001884515006605631,0.04341100098599007,0.036314407094573974,0.04033028687990511
A,0.013784511383875283,0.1174074588085241,0.0997230623966833,0.1007421829332858
COO,0.12070969783655532,0.34743301201318694,0.29419817575228646,0.2571621513321725
BKNG,0.04061450282467516,0.2015304017379888,0.16312651030062672,0.1667820513373034
EXPD,0.015173364162735854,0.12318021010996796,0.10147900458584459,0.10739473522009041
CBOE,0.01803741324853365,0.1343034372178674,0.10131381514888546,0.09208062431242436
VRSN,0.049103281887731984,0.22159260341385942,0.207626104416983,0.230228536279729
GE,0.049307146764758954,0.22205212623336656,0.20239355369314416,0.21460690821007497
EQIX,0.059586221048921514,0.2441028902920273,0.21551931942100122,0.1809351378568412
C,0.005610828390143654,0.07490546301935297,0.06069259578081359,0.06263398302311016
LEN,0.02952137730203225,0.17181786083533995,0.1440770159042996,0.14051833671609995
WELL,0.5103465798315497,0.7143854560610468,0.6224692176334937,0.5886083774941158
WAT,0.08972053404506944,0.2995338612662506,0.2733885226018469,0.2711791006105934
AMCR,0.0427807898646751,0.2068351755980474,0.16780031874876583,0.1711394559923215
FIS,0.12114978227552063,0.34806577291586804,0.30683394329709407,0.28758442714173443
NVR,0.007367597727621978,0.08583471167087345,0.07040644895876015,0.06272436892634319
WM,0.02517767740635557,0.15867475352542876,0.12471165389950702,0.11826795780641201
XYL,0.17599212283898305,0.41951415094008815,0.35503457785520925,0.3316188010817256
STE,0.040632484251811055,0.2015750089961825,0.16309602269988835,0.1357569280047146
LYV,0.06264329507113375,0.25028642606248896,0.22699379082392268,0.1887158808463603
LOW,0.014058929546234611,0.11857035694571645,0.0788465361779625,0.07201058153955374
BR,0.03011762172542748,0.17354429326666862,0.16119187667034815,0.15508196988734546
EFX,0.010706835109831577,0.10347383780372495,0.09055854954302936,0.08402968417092171
NOV,0.012637732372026067,0.11241766930525675,0.08718743239676395,0.08387416533900122
CE,0.0056444058543509935,0.07512926097301233,0.06366226691404225,0.061200643693208046
DVN,0.05023644873198622,0.22413488959103672,0.19214970073748824,0.17741517699781095
XOM,0.1552025477306702,0.39395754559428126,0.3449034144519106,0.35677301350640195
ADM,0.044960994508981084,0.21204007760086555,0.19626725009416793,0.1815337835291015
PVH,0.09370881729836153,0.3061189593905636,0.27841945666944756,0.3152926782762499
CTAS,0.015748751778976722,0.12549403084998395,0.08701085097382331,0.07205052949007276
ULTA,0.6160827321784872,0.7849093783224196,0.6406460971658894,0.7776373321233004
FTI,0.08330248387871442,0.28862169682599126,0.25614337478097715,0.27183839359559925
NWS,0.004705772144678846,0.06859863077845538,0.05640756401922151,0.06136024266789145
SCHW,0.032384083019657985,0.17995578073420698,0.15447118581030775,0.14425496096219492
IFF,0.04067445298029116,0.20167908414183947,0.18411543515253181,0.16383657686751035
PHM,0.08245693221470381,0.2871531511488317,0.24798639677331855,0.2598640662444461
CPRT,0.11411228286400388,0.33780509597104047,0.2917607910191651,0.3104585660787454
KMB,0.0010826023865096047,0.03290292367722973,0.026394084527951944,0.025719196678689885
MCO,0.006704373671109958,0.08188023980857627,0.06729924663848476,0.05703863403834519
TTWO,0.20873522318625076,0.4568755007507524,0.40082057895935835,0.3148269345792781
APD,0.0367659816054926,0.1917445738619286,0.1657508715558303,0.14057734046825862
ZION,0.051615423378231565,0.22719028011389827,0.19226968177750914,0.20012784598870623
TJX,0.007516134473548126,0.0866956427598765,0.06790375518389184,0.07591503648473319
GM,0.20141285881823673,0.44879043975806426,0.4060825241897804,0.4924235413241209
KR,0.24504842004816824,0.4950236560490501,0.41896865515416964,0.3417546092763659
CMA,0.033737584856959796,0.18367793786124614,0.1477070421671106,0.14682577593315582
KMI,0.17978714610654475,0.42401314378984145,0.35421551024008213,0.3271770237071396
NTAP,0.00542530071418647,0.07365664066590649,0.06429604912361012,0.07101877576230893
SRE,0.06493594629272474,0.25482532506155026,0.22747123146518003,0.19715465339945254
FDX,0.0224874502816754,0.14995816177079327,0.14141417354631944,0.1361557924168337
BXP,0.15219775272366093,0.39012530387512795,0.3589632322998094,0.31002809435645406
GS,0.043605849205105254,0.20882013601447838,0.16547939668751185,0.1602227434866214
UNP,0.005195554809709929,0.07208019707041546,0.057125795021211866,0.04429250745498015
AMT,0.0298825676519513,0.17286575037280028,0.14566915785805365,0.12239440131364994
HCA,0.04440183963835527,0.21071744028047434,0.1575907701223756,0.11397612812595423
IP,0.004400410894146139,0.06633559296596465,0.057162587513226365,0.057521319131703365
PNW,0.09087929117463546,0.3014619232583702,0.2526710349069923,0.2413497163838398
HPQ,0.19905434324418264,0.4461550663661488,0.3894206636368075,0.3107187606694348
MRK,0.004014062466181932,0.06335662922048435,0.054332621143770056,0.04706911478629437
VTR,0.2936972402967731,0.5419384100585353,0.4836317427382505,0.47249812384627415
REG,0.19230423956723244,0.4385250729060226,0.38249635660453013,0.346475229440941
MHK,0.07528051725483471,0.2743729528485538,0.24610173057724133,0.26291974435854915
AMZN,0.22215061189697016,0.47132856045116783,0.42208311675372534,0.5302262624501439
TT,0.03335408798190712,0.1826310159362509,0.15888609356673666,0.16138060995559095
MCHP,0.06458754165845594,0.2541407910164284,0.20199365522244056,0.1961689946236349
ODFL,0.017622989473221284,0.13275160817564993,0.10831899115020384,0.08385958278882205
CDW,0.023661775667408045,0.15382384622485568,0.12949436488363358,0.09622574869517424
URI,0.018840998048426618,0.13726251508852158,0.11956236750817194,0.09110936415865872
AEE,0.02629718891975831,0.16216408023899223,0.14502489802023893,0.1267101058354631
WST,0.1020960973910519,0.3195247993365333,0.2933345315438426,0.3271505345892256
ZTS,0.01122876374239783,0.10596586121198577,0.09278710205210919,0.0908252264341903
PWR,0.024782614304918307,0.15742494816552524,0.11052577585573548,0.10907664778638548
TYL,0.018880198013549305,0.13740523284631231,0.11447738626136303,0.1380948467789276
DVA,0.0022997257812521787,0.04795545621983153,0.037980203548352756,0.03360816082254843
OKE,0.051803606140601595,0.227604055633026,0.13823860227881712,0.13128285017062183
STX,0.034502268363817146,0.1857478623398319,0.171001102526016,0.165567522854661
LHX,0.10262375691509942,0.320349429397181,0.25943426177581663,0.2556266877648063
AME,0.030802602059505503,0.17550670089630624,0.1459872625577619,0.14919673740791883
MO,0.003942618602232691,0.06279027474245268,0.05393169627033779,0.04959479101328066
QCOM,0.041710223639013354,0.20423080972030971,0.1596723758309909,0.15630022656721168
WFC,0.020439223306245733,0.14296581166924396,0.13148927475045508,0.11466885861806449
FRT,0.07185381805917862,0.2680556249347859,0.24077771312228724,0.20711444124298803
AIZ,0.17023081159937417,0.4125903677976186,0.3608640137658824,0.3587078849302652
PPG,0.006748896620546559,0.0821516683978272,0.06183360117175049,0.05860608477406119
LH,0.08469102351248262,0.29101722202042035,0.2505172439324418,0.25995587813131543
MPC,0.3757030459261709,0.612946201494202,0.53399239956541,0.5506142266697379
RCL,0.02504165582176401,0.1582455554565878,0.12146532856808935,0.0888949241951219
PLD,0.09791542541593683,0.31291440589390707,0.2849978288042122,0.27657682626090113
ADSK,0.10255067209286195,0.3202353386071905,0.2769648751475643,0.2537245293370499
LLY,0.08575947207820046,0.2928471821243982,0.26632316761061287,0.21109244888187312
TRV,0.01246772125768756,0.11165895063848469,0.09015557192418765,0.08358538999297319
MU,0.10833525116505598,0.3291432076848252,0.27948590689856095,0.21433160580918123
TXN,0.02559707293547533,0.1599908526618798,0.1412645096184934,0.12802210163692396
FTNT,0.4338953535531018,0.6587073352810805,0.5933862098898891,0.5155936023550536
DGX,0.06962040739292988,0.2638567933423922,0.22058401994312363,0.2235772420801786
IT,0.08029424002740787,0.28336238287289983,0.25519113864929743,0.24346412214467306
AMD,0.04224156114442063,0.20552751919006038,0.13134545470143247,0.18317119341660576
NRG,0.011106354544432054,0.10538669054691895,0.08259185348301133,0.07705918345182751
JNPR,0.08581853869159459,0.2929480136331267,0.23766889743384487,0.23700839058065906
BKR,0.09648013100504746,0.31061250941494206,0.28195884348154654,0.24828021405251147
ABT,0.0026772172877837824,0.05174183305395918,0.041675917756038,0.03790318828817823
HAS,0.026494904749956062,0.16277255527255222,0.14170706465993807,0.14123534333324383
PNC,0.0036049767405885434,0.06004145851483409,0.05213337926702191,0.046881226028797685
L,0.0032492464115475464,0.057002161463821234,0.0537101256807262,0.06122948868420853
TXT,0.2116203841095607,0.4600221561072474,0.3865288257950461,0.36579703412890013
ROP,0.019711762103684676,0.14039858298317928,0.12533772608739358,0.11859114233350743
BAX,0.005143226274125919,0.0717162901586935,0.05250136915141378,0.05005477401070907
TROW,0.009317708595340845,0.09652827873395882,0.0827206231700323,0.08491462244470942
RJF,0.06935484837051577,0.26335308688245096,0.23153388384259718,0.2266213436196498
ZBH,0.03146844566363532,0.177393476947816,0.15421247817353184,0.13949276793021004
TMO,0.015219671747934755,0.12336803373619422,0.1038810937026593,0.09541012260845655
FITB,0.06689308421849993,0.2586369738040173,0.2118249786002841,0.2167959933733452
COF,0.03313948293305942,0.18204253056101868,0.16268727728298774,0.1545685272758893
