,mse,rmse,mae,mape
LVS,0.19594151455643863,0.44265281491981795,0.3625688726088849,0.4403788153300478
PAYX,0.401273498789168,0.6334615211590741,0.5750593732076429,0.6061979404673895
KMI,0.9949823400566136,0.9974880149939716,0.8924152395556706,0.8772743010358937
WAT,0.01948645651355156,0.13959389855416876,0.11871771030437736,0.1202250529703753
UNP,0.010489577110846296,0.10241863654065259,0.08482372921000207,0.06644933607404829
LRCX,0.1448577496912028,0.3806018256540591,0.35189271488784174,0.28552918974381336
EW,0.007950367687669655,0.08916483436686043,0.07299106161171284,0.06059009951755077
ROL,0.177742208779895,0.42159483960301863,0.37562959100351967,0.3756214269793952
MSFT,0.2457147168366234,0.49569619409132387,0.42358243952716423,0.3673949529944628
CVX,0.05521938768998536,0.2349880586114651,0.20266408665359462,0.2154097235780551
AJG,0.0027592616973507113,0.05252867500090509,0.04302259935584329,0.044122530175716074
DOV,0.41157515233022834,0.6415412319798536,0.5468174161971854,0.5439332913756927
CDW,0.03876238689201344,0.1968816570735157,0.1744683110243818,0.13122991815532026
DLTR,0.006665888550727778,0.08164489298619833,0.06145821350293487,0.06337732768860033
BKR,0.024453744821080068,0.15637693187001742,0.12764848933586903,0.12111666359667832
PRGO,0.04000942475350294,0.2000235604960149,0.16512635229522948,0.16837385863091703
GD,0.03914784723352634,0.19785814927246828,0.16516129705233623,0.1262904849860846
TXN,0.002526674156615439,0.05026603382618763,0.03624685459618344,0.0343691835601695
ARE,0.010934260980109075,0.10456701669316704,0.09599105897148218,0.0823722945207141
A,0.16502917408907422,0.40623782946578746,0.35502589388506073,0.3607692201811877
BDX,0.04510922354771822,0.2123893207007316,0.1862186527191252,0.17024796649441082
DVN,0.03439134388988412,0.18544903313278321,0.12343402866525595,0.13048652005485473
ORLY,0.004130265414784905,0.06426714101922464,0.04967541772983955,0.041942164810377845
FFIV,0.15489901669131675,0.39357212387479473,0.3307997114520459,0.2568505384345908
MSCI,0.03656329972021662,0.19121532292213567,0.15797697565952276,0.15285901414205283
UNH,0.012900471941465513,0.11358024450345894,0.1025643681095951,0.09276344935473738
SCHW,0.01794018580310836,0.13394097880450315,0.11592899943179506,0.10948560234024632
HBAN,0.09418236006101303,0.3068914467055298,0.27426915947395986,0.27285920520446855
PNC,0.011146284353063548,0.10557596484552509,0.08159453487109346,0.07454400948368517
GOOG,0.1138446383405145,0.33740871112126686,0.2799387000843862,0.28430234241729924
MET,0.21057192958040993,0.4588811715252762,0.4079054562581485,0.41452032079997714
RJF,0.27759889545990807,0.5268765466975239,0.4645136773533801,0.45679975297635106
IT,0.34731969508695015,0.5893383536534426,0.5290006556694765,0.5016075457623367
AAL,0.0487725284747068,0.22084503271458653,0.19491183790151875,0.13221377539189258
HCA,0.13281562670318048,0.3644387832039566,0.2990159699742728,0.22290973718675883
SYY,0.035303672442435555,0.18789271524579007,0.17110785024381722,0.18297375846565195
CTSH,0.2647867986681009,0.5145743859424999,0.4477925288368929,0.46520594344721417
J,0.7975643279035955,0.893064570959791,0.7621108031603858,0.9685266956308222
AAP,0.07536389892190089,0.27452486029848167,0.23381161192260919,0.19168428207183644
LH,0.355929434816444,0.5965982189182633,0.5257639666573273,0.5475857867048101
HRL,0.054202495348410276,0.2328142936943741,0.20039782068178702,0.1826806702214793
IPG,0.02059059354731306,0.14349422827177774,0.12260091761799483,0.1173537262701489
APA,0.02567874873873818,0.16024590084847157,0.12157333564620038,0.12495686651456205
AMT,0.001186727708014168,0.0344489144678634,0.026525013261443135,0.023377726747200605
CTAS,0.6050005174782784,0.7778177919527673,0.693138297174644,0.6217544684673124
ABBV,0.007446777512453427,0.08629471311994395,0.06342278230811653,0.058938656446270686
RMD,0.16640894142281198,0.40793252067322605,0.34498906114123135,0.3834028158842566
LNC,0.003869490537494438,0.06220522918127091,0.05060113652030803,0.050088216547068014
