,mse,rmse,mae,mape
CDNS,0.026102195884760277,0.16156174016381564,0.13239764063895976,0.11254597078762928
XRAY,0.04332191217701048,0.20813916540865268,0.19316939394140858,0.19848462741273834
V,0.855370494190821,0.924862419060706,0.8172437960764496,0.8085678458152945
WHR,0.19483365522599488,0.44139965476424525,0.40668587177927545,0.41466761379622563
EL,0.09213978708276711,0.30354536247942765,0.2762745737442711,0.2813438060679856
SBUX,0.06925950217725661,0.26317200112712713,0.24395894353326267,0.26034121748451017
INCY,0.2589051005120502,0.5088271813809185,0.45016086396480837,0.42988690460089274
PSA,0.021871198057727064,0.14788914110822018,0.1353114367363129,0.13021823860317303
HUM,0.00373765133272301,0.061136333981708535,0.05323897740093447,0.046024591035229344
UDR,0.3043397837375498,0.5516699953210703,0.4890427129507444,0.41655508331196955
HON,0.2968608483149832,0.5448493813110035,0.4738122051178712,0.45080998461902405
AON,0.01939468882836129,0.13926481547168074,0.11997501666594763,0.11527117862726202
TGT,0.02536322092365273,0.1592583464803422,0.1113350942920966,0.11073435746651977
VNO,0.02044593894108606,0.142989296596235,0.12954412459614043,0.10871922266337918
ALL,0.001703529317632646,0.04127383332854662,0.03619660057802677,0.03329316272298967
MSFT,0.2120733249418525,0.46051419624356044,0.3931034702125276,0.3346273074017881
VRSK,0.020255253445119362,0.1423209522351483,0.13309580671319884,0.14840216383511481
A,0.31700327228352665,0.5630304363740265,0.49193470191043026,0.4958871714566658
COO,0.002679016199268641,0.05175921366547835,0.042894998063579944,0.03996273193745376
BKNG,0.006751332701533087,0.08216649378872806,0.06883657238064522,0.0666715489056824
EXPD,0.04748796350818655,0.21791733182146517,0.19681555092749234,0.21503423631727314
CBOE,0.04553098641348164,0.21337991098855028,0.1872146207499397,0.18379785453924946
VRSN,0.3850990641429412,0.6205635053263616,0.5619297970216696,0.6164559660795107
GE,0.3670814565549134,0.6058724754887892,0.5400314554371793,0.5715713416898076
EQIX,0.14020131679040868,0.3744346629125149,0.3244360453519649,0.2747514158195284
C,0.0852149326361406,0.2919159684500672,0.27134501791954063,0.2863430627463191
